Date,Season,Charkhari,Jaitpur,Kabrai,Panwari,Charkhari_Trend,Charkhari_SMA,Charkhari_EWMA,Charkhari_DES,Charkhari_TES,Charkhari_ARIMA,Jaitpur_Trend,Jaitpur_SMA,Jaitpur_EWMA,Jaitpur_DES,Jaitpur_TES,Jaitpur_ARIMA,Kabrai_Trend,Kabrai_SMA,Kabrai_EWMA,Kabrai_DES,Kabrai_TES,Kabrai_ARIMA,Panwari_Trend,Panwari_SMA,Panwari_EWMA,Panwari_DES,Panwari_TES,Panwari_ARIMA
1996-02-29,POMRB,4.34,3.5575,5.465,5.585000000000001,,,4.34,4.385456759809792,3.8724151421545385,0.0,,,3.5575,3.330045701789077,3.8034915690551716,0.0,,,5.465,3.9419364679139193,4.932732909995003,0.0,,,5.585000000000001,5.6851811657657905,5.7693328565765825,0.0
1996-05-31,PREMON,2.7,6.2624999999999975,6.93,8.95,,,3.6839999999999997,4.04855673867941,5.239303186164922,4.339989341376942,,,4.639499999999999,3.769488263857775,4.989364956200198,3.55749532467839,,,6.051,4.283576785539854,6.446967894169973,5.068777710183127,,,6.931000000000001,6.500299174532514,8.237661930545022,3.774428010754609
1996-08-31,MONSOON,2.58,2.6625,2.0475000000000003,2.03,3.36375,,3.2424,3.753334553225314,2.460731274625976,3.4781578909962763,4.109791666666665,,3.848699999999999,3.5875196566334613,2.691974490612049,5.379377254108692,4.275,,4.4496,3.1181848055691694,4.502476685471131,6.029363645676419,5.434375,,4.970600000000001,5.35270188866726,3.481188051683045,5.958169560885607
1996-11-30,POMKH,3.95,3.9466666666666654,3.035,3.575,3.5975000000000006,3.3925,3.5254399999999997,3.761190163632338,2.980676925459046,3.1299896189439593,3.6365624999999997,4.107291666666665,3.887886666666666,3.6303502642768315,3.721598986256052,3.276636514832018,3.9222916666666667,4.369375,3.8837600000000005,2.6411940559276053,3.6027068711907155,4.200478877460107,5.9712499999999995,5.035,4.4123600000000005,4.890232057299084,3.4779616335217494,2.964045708310909
1997-02-28,POMRB,4.11,3.5775,4.71,8.78,4.731250000000001,3.335,3.759264,3.7964798590450894,3.5922957911413853,3.5688489214860066,2.948645833333333,4.112291666666665,3.7637319999999996,3.611092994925775,4.234388027607233,3.742811313928456,3.6608333333333336,4.180625,4.214256000000001,2.9343434365718695,4.076857967638145,4.198803538675912,6.158125,5.83375,6.159416,5.865533477132048,5.5119344344823125,4.947825511525899
1997-05-31,PREMON,4.8,2.4566666666666666,4.863333333333333,10.05,5.3950000000000005,3.8600000000000003,4.1755584,3.949813417737143,4.973464194462052,3.4091039553435025,2.636875,3.1608333333333323,3.2409058666666666,3.4053242661820997,5.299034647092428,5.4031947239504685,3.5058333333333334,3.6639583333333334,4.4738869333333335,3.333748469770373,5.638713197087738,5.207803311846884,6.08375,6.1087500000000015,7.715649600000001,6.913392042233773,9.45450763624467,9.797987437822488
1997-08-31,MONSOON,9.55,0.965,2.0225,2.425,5.64875,5.602500000000001,6.325335040000001,4.93261954388549,2.8689838304691557,3.775515599262115,2.3435416666666664,2.7364583333333323,2.33054352,2.9659072529555224,1.7874474620672136,1.6198823044938782,3.0383333333333336,3.657708333333334,3.49333216,2.7403898069844264,3.100160808395853,2.781352064661088,5.2318750000000005,6.207500000000001,5.59938976,5.760296822640457,4.223202739182763,2.9770532981519287
1997-11-30,POMKH,2.29,3.15,1.82,2.585,7.0287500000000005,5.187500000000001,4.711201024,4.41872778439749,5.258548886815143,5.648316963876793,2.3648958333333336,2.537291666666666,2.658326112,2.9202517722468597,2.5831211685909925,2.844332429361126,2.7347916666666667,3.353958333333334,2.823999296,2.2314858580006223,2.8505833894707386,3.0682513229007147,4.100833333333333,5.960000000000002,4.393633856,4.942625852629215,4.398159125482405,3.137499506282575
1998-02-28,POMRB,7.8,2.0275,2.185,2.955,6.89125,6.110000000000001,5.9467206144,4.997124651254251,4.748161473220188,4.839621929143121,2.7478125,2.149791666666666,2.4059956672,2.7019659741080995,3.1967547418104756,3.268175542073286,2.743125,2.722708333333334,2.5683995776,1.9944073117195085,3.10622339834696,3.657907748187718,3.7741666666666664,4.503750000000002,3.8181803136,4.427843122767391,6.346946399907448,6.692310884492423
1998-05-31,PREMON,12.15,4.1775,4.96,6.826666666666665,5.9425,7.947500000000001,8.42803236864,6.252772810382955,6.851373316534455,5.5320282253589,3.053125,2.579999999999999,3.11459740032,2.8640321821693737,4.110237825756045,3.4102899837807303,2.8696875,2.746875000000001,3.52503974656,2.8636353808698147,3.9343060782840222,3.722192789294132,4.126041666666667,3.697916666666668,5.021574854826666,5.026197626920322,7.257749305077971,6.473240330767739
