Date,Season,Mithwal,Birdpur,Khesraha,Itwa,Jogia,Bansi,Domariyaganj,Naugarh,Manwapur,Barhni,Mithwal_Trend,Mithwal_SMA,Mithwal_EWMA,Mithwal_DES,Mithwal_TES,Mithwal_ARIMA,Birdpur_Trend,Birdpur_SMA,Birdpur_EWMA,Birdpur_DES,Birdpur_TES,Birdpur_ARIMA,Khesraha_Trend,Khesraha_SMA,Khesraha_EWMA,Khesraha_DES,Khesraha_TES,Khesraha_ARIMA,Itwa_Trend,Itwa_SMA,Itwa_EWMA,Itwa_DES,Itwa_TES,Itwa_ARIMA,Jogia_Trend,Jogia_SMA,Jogia_EWMA,Jogia_DES,Jogia_TES,Bansi_Trend,Bansi_SMA,Bansi_EWMA,Bansi_DES,Bansi_TES,Bansi_ARIMA,Domariyaganj_Trend,Domariyaganj_SMA,Domariyaganj_EWMA,Domariyaganj_DES,Domariyaganj_TES,Domariyaganj_ARIMA,Naugarh_Trend,Naugarh_SMA,Naugarh_EWMA,Naugarh_DES,Naugarh_TES,Naugarh_ARIMA,Manwapur_Trend,Manwapur_SMA,Manwapur_EWMA,Manwapur_DES,Manwapur_TES,Manwapur_ARIMA,Barhni_Trend,Barhni_SMA,Barhni_EWMA,Barhni_DES,Barhni_TES,Barhni_ARIMA
1996-02-29,POMRB,1.82,3.11,2.89,3.99,4.625,4.56,4.99,5.3500000000000005,2.25,2.6,,,1.82,5.526604973973394,1.9307424661874182,0.0,,,3.11,4.986640047179074,3.090842941313195,0.0,,,2.89,4.034768457677662,2.934847341632842,0.0,,,3.99,2.884824670678368,3.2748396946745393,0.0,,,4.625,7.713722353349121,4.386129522150218,,,4.56,3.631233646150658,3.3715096374641247,0.0,,,4.99,4.161429696307515,4.99,0.0,,,5.3500000000000005,12.411457905167996,6.138605563439464,0.0,,,2.25,2.9748604515648567,2.0704179951406805,0.0,,,2.6,2.727047695504338,2.9414717452159063,0.0
1996-05-31,PREMON,4.1,4.22,3.52,5.22,6.33,4.02,3.76,9.676666666666668,4.16,4.47,,,2.732,8.45049950897785,3.7227476439576765,1.0032789094121686,,,3.554,6.026840473137557,4.095695075951134,1.3964420917148355,,,3.1420000000000003,4.649016366242171,3.7314148915045457,2.8899965194177306,,,4.482,2.883180533094594,4.932685099887079,1.773734064360027,,,5.307,9.518436116853442,6.061648734673705,,,4.343999999999999,3.2749539384490984,4.292249997905221,4.559991850781043,,,4.498,3.707239851834037,3.76,6.549045300938648e-07,,,7.0806666666666676,17.194410433184665,8.801191066838083,5.349973117308679,,,3.0140000000000002,2.149158404761925,4.272027216920986,2.2499969591756996,,,3.348,4.205817258053299,4.216832460626265,0.9162224750714212
1996-08-31,MONSOON,0.5,0.9,1.21,1.27,0.1,0.6,0.86,2.23,0.9,0.9066666666666668,2.05,,1.8392,5.581257948239584,0.9542210850174424,2.1872803765231374,2.7987499999999996,,2.4923999999999995,4.689328527923445,1.9988193296156953,2.0410751968788174,2.465,,2.3692,4.2351935082133,1.228039287313488,3.20500666126544,3.02125,,3.1972,2.8815373291145248,1.786920861666156,2.2744837152106934,3.0906249999999997,,3.2242,7.715517831901272,1.2104865752653797,2.7906249999999995,,2.846399999999999,2.4784245336742754,1.2188817271802987,4.23862103812246,2.705,,3.0427999999999997,2.8884236088312023,0.8599999999999999,4.934750709925909e-07,5.62875,,5.1404000000000005,12.579510337144375,3.073047999235941,8.061487445302856,2.22125,,2.1684,1.2680395283449282,1.0185380826000556,3.323414381293726,2.49,,2.3714666666666666,3.7087064957094844,1.1553442083984504,1.4298927958727532
1996-11-30,POMKH,1.61,2.83,2.23,2.06,1.67,2.455,2.29,5.073333333333333,1.68,1.87,2.09375,2.0075,1.74752,3.6671997041852133,1.452116123797321,0.8551196263787787,2.82,2.765,2.62744,4.293603991191222,2.495541693606598,1.269973523728631,2.61875,2.4625,2.31352,4.056393830008614,2.1514663582793476,2.5399419720405336,2.84625,3.1350000000000002,2.7423200000000003,2.879895062329524,2.2458305868119814,1.0643561123915108,2.94625,3.18125,2.60252,6.3107682660733655,2.418066078913823,2.72625,2.9087499999999995,2.6898399999999993,2.1496149905455044,2.627602708903294,2.716845696292038,2.5037499999999997,2.9749999999999996,2.7416799999999997,2.465524234408733,2.29,-2.1393782247693763e-07,6.030833333333333,5.5825000000000005,5.113573333333333,9.728736342706364,4.511193414695001,4.42731027747074,2.265,2.2475,1.9730400000000001,0.8966398907870835,1.7186942459640686,2.145588509683143,2.4866666666666664,2.461666666666667,2.17088,3.510586539137827,2.193130529662684,0.14664723580631706
1997-02-28,POMRB,2.16,3.38,2.91,3.08,3.9,3.615,2.83,5.72,2.04,2.8266666666666667,2.2350000000000003,2.0925,1.912512,2.6751889752243,1.950114837772147,1.7595626216175813,3.2262500000000003,2.8325000000000005,2.928464,4.1203447270979465,2.9149419391648244,2.9252159652132006,2.8887500000000004,2.4675,2.552112,4.027634817648666,2.9622999978610363,2.7810839123907334,2.8512500000000003,2.9075,2.8773920000000004,2.878253732405542,3.508628641851012,3.5026266980299727,3.37375,3.0,3.121512,5.801745420888231,4.406321938903446,2.80875,2.6724999999999994,3.0599039999999995,2.10334414545497,3.547756312772629,3.96135342359811,2.6087499999999997,2.4349999999999996,2.777008,2.235367374051375,4.99,4.989998947259034,6.532916666666666,5.675,5.356144,7.660939055665575,5.995010413989051,5.339005366933628,2.4162500000000002,2.1950000000000003,1.999824,0.7696089489193116,2.0672602741343606,2.2300336796814255,2.517916666666667,2.5183333333333335,2.4331946666666666,3.642421984893318,2.939567038236755,2.553093963486894
1997-05-31,PREMON,4.11,4.12,4.73,4.73,5.9,4.45,4.31,12.523333333333332,4.72,4.216666666666667,2.465,2.095,2.7915072,3.667530678521819,3.9163139693605418,4.025919267114607,3.7375,2.807500000000001,3.4050784,4.290237200377353,4.046118080776845,3.983663617917676,3.0725000000000002,2.77,3.4232672000000006,4.5732351131067315,3.7588668065460844,3.2553086041450836,2.95875,2.785,3.6184352000000004,2.876613339356688,4.923035550769599,4.260217428797331,4.140000000000001,2.8924999999999996,4.2329072000000005,6.108222505309743,6.08184115142682,2.895625,2.7799999999999994,3.6159424,2.246176912243994,4.266354419436814,3.5404312834461256,2.6375,2.5724999999999993,3.3902048,2.3248420445865703,3.508698060941828,3.122348064605963,6.58375,6.386666666666665,8.223019733333333,11.137612914712069,8.974206874274344,8.444186116067815,2.5,2.335,3.0878943999999997,1.2172402100437958,4.260851164694438,3.884070754791984,2.5995833333333334,2.455,3.1465834666666668,4.303717739761787,4.220392514407329,4.32964050507462
1997-08-31,MONSOON,1.62,4.25,2.16,1.8,3.95,0.8300000000000001,1.15,3.4000000000000004,1.55,1.41,2.5500000000000003,2.375,2.32290432,2.3407323773284867,1.048057564391735,0.5896278023345962,3.8487500000000003,3.645000000000001,3.74304704,4.446169251011883,1.9349574581233941,0.9603796608015189,3.1325000000000003,3.0075000000000003,2.9179603200000006,4.11920981665391,1.2556085023754608,1.5839909950844437,2.8862500000000004,2.9175000000000004,2.8910611200000003,2.8749738786647483,1.4989749566801973,1.311312246356616,4.60625,3.855,4.119744320000001,5.4827104400435935,1.2306789920184285,2.901875,2.8374999999999995,2.5015654400000003,1.8075496268140836,1.275176590585538,1.540341560283316,2.57375,2.6449999999999996,2.49412288,1.914018588603297,0.6779908073142473,1.2440763203646652,6.362083333333333,6.6791666666666645,6.29381184,7.050438346876744,3.33758774938239,4.8072845121320915,2.44125,2.4975,2.47273664,1.0519340591944246,1.028766130743466,1.1974932633506628,2.501666666666667,2.5808333333333335,2.45195008,3.542737906880441,1.1527623692597255,0.8126886597585586
1997-11-30,POMKH,2.33,3.57,2.75,2.39,3.95,2.92,2.23,4.31,1.7,2.02,2.5575,2.555,2.325742592,2.10776477131231,2.103457524992188,1.98880523342073,3.865,3.8300000000000005,3.6738282239999998,4.173357119384532,3.398828837565125,3.864823985196334,3.0075,3.1375,2.8507761920000005,3.841182491162861,2.1791270828427933,2.363537607805707,2.6725,3.0000000000000004,2.690636672,2.873335352860488,2.1390563105422347,2.299220019498295,4.7778125000000005,4.425000000000001,4.051846592,4.909517436280218,2.4382584956674473,2.8218750000000004,2.9537499999999994,2.668939264,1.7995591210513893,2.7152137390210997,2.525914763551011,2.4825,2.63,2.388473728,1.7652797877366126,2.147851178087196,2.6355356485168535,5.6795833333333325,6.488333333333331,5.500287104,4.954137203600851,5.104706197944204,5.359939191724727,2.2025,2.5025,2.163641984,0.9832481437871544,1.7537196448788128,1.8487086564796025,2.3583333333333334,2.618333333333333,2.279170048,3.0808601221027816,2.20264427947906,1.9475794494323961
1998-02-28,POMRB,2.12,3.53,2.87,2.17,5.35,3.2,2.38,4.71,1.55,1.893333333333333,2.5224999999999995,2.545,2.2434455552,1.9114565181280168,2.6387578054322987,2.2501023356970413,3.4875,3.8675000000000006,3.6162969343999998,3.9006860960580494,3.7719697469187246,3.3821947158080907,2.79,3.1275000000000004,2.8584657152000004,3.5999497029014194,2.9900095783770273,2.886671477529904,2.4875000000000003,2.7725000000000004,2.4823820032,2.8716977607064473,3.3803147204015005,3.3363101493880962,4.334375,4.787500000000001,4.5711079552000005,5.002912323301836,4.42651435565741,2.81125,2.849999999999999,2.8813635584000004,1.8691439671954797,3.7034043400968697,3.807902015396931,2.5524999999999998,2.5174999999999996,2.3850842368,1.6888585495020163,3.82442595661161,3.80672186989635,4.935833333333332,6.235833333333331,5.1841722624,4.121023737236254,6.285769921472803,5.399227690953192,2.025,2.38,1.9181851904,0.9306769814244265,2.102951857448101,2.1715696711648507,2.2954166666666667,2.385,2.124835362133333,2.6256252677013046,2.952439580254917,2.662194659058215
1998-05-31,PREMON,4.21,4.1,3.77,3.93,5.8225,4.225,4.03,8.073333333333332,3.3,4.003333333333334,2.4012499999999997,2.5700000000000003,3.03006733312,3.761886260846613,4.209092113791208,4.044271710914449,2.8949999999999996,3.8625,3.8097781606399996,3.9654440365699157,4.702844509458349,4.103681396216085,2.6487499999999997,2.8875,3.2230794291200002,3.671248097640921,3.786569694208125,3.936892303173365,2.3099999999999996,2.5725000000000002,3.0614292019200002,2.8700611033929677,4.777190625328368,3.9986807065748,3.650625,4.768125000000001,5.07166477312,5.29927711596871,6.102033568181,2.6675,2.7937499999999993,3.4188181350400004,2.1381929145672136,4.319124033942967,3.7956917037631626,2.60875,2.4475,3.04305054208,1.933004595902528,3.820183799314897,3.580883067425276,4.7924999999999995,5.123333333333331,6.339836690773333,6.202918365869506,9.668496958996322,9.916200603331959,2.04125,2.0250000000000004,2.4709111142399998,1.2676919793220316,4.277692548461175,4.179718666499553,2.2287500000000002,2.3316666666666666,2.8762345506133338,3.141004535828405,4.210642850257548,3.9184749925145255
