Date,Season,Shahdara,Seelam Pur,Seema Puri,Shahdara_Trend,Shahdara_SMA,Shahdara_EWMA,Shahdara_DES,Shahdara_TES,Shahdara_ARIMA,Seelam Pur_Trend,Seelam Pur_SMA,Seelam Pur_EWMA,Seelam Pur_DES,Seelam Pur_TES,Seelam Pur_ARIMA,Seema Puri_Trend,Seema Puri_SMA,Seema Puri_EWMA,Seema Puri_DES,Seema Puri_TES,Seema Puri_ARIMA
1996-02-29,POMRB,5.172222222222222,3.2,12.895,,,5.172222222222222,5.028660153990021,5.139860776086687,0.0,,,3.2,3.299311094119154,3.2918595968008812,0.0,,,12.895,10.672210297760333,12.905,0.0
1996-05-31,PREMON,5.702857142857143,3.71,11.5,,,5.384476190476191,5.2107235081582886,5.7697444084387675,5.088233336937225,,,3.404,3.3903100262434847,3.793640276865306,3.1999651176194055,,,12.337,9.846140451389271,11.518836565096953,1.1732664916293164e-20
1996-08-31,MONSOON,5.206666666666667,2.93,11.17,5.366686507936508,,5.313352380952381,5.1292774867242565,5.154828441020321,5.430698870661967,3.17,,3.2144,3.382598427358271,2.8179905128299487,3.455863029123939,11.395624999999999,,11.8702,9.303112253686914,11.196534250044122,7.862762152233668e-21
1996-11-30,POMKH,5.385,2.51,10.86,5.366686507936508,5.3666865079365085,5.342011428571428,5.154071930352497,5.485298294045486,5.2875298073037715,3.3412499999999996,3.0875,2.93264,3.3274865643616898,2.601651624838324,3.278539139401332,11.185,11.60625,11.46612,8.966250873982853,10.893127644054534,-3.80949805916147e-21
1997-02-28,POMRB,5.172222222222222,3.86,11.21,5.366686507936507,5.3666865079365085,5.274095746031746,5.087486362881654,5.101697810541176,5.273462330925562,3.4875,3.2525000000000004,3.303584,3.432835963344831,3.5503339186516962,3.1496900145559703,11.07625,11.184999999999999,11.363672000000001,8.975028533375797,12.928396773387346,12.894996141869823
1997-05-31,PREMON,5.702857142857143,4.42,11.5,5.366686507936508,5.3666865079365085,5.445600304761904,5.264375851527744,5.749131558991241,5.424849550723846,3.6637500000000003,3.4299999999999997,3.7501504,3.5917441125431564,4.0787592072717285,3.528525449672838,11.105,11.184999999999999,11.4182032,9.229147549136139,11.337841078962217,11.499996559247997
1997-08-31,MONSOON,5.206666666666667,3.39,10.3,5.366686507936508,5.3666865079365085,5.350026849523809,5.178466154000529,5.143694883754224,5.339951115757367,3.8525,3.545,3.6060902400000003,3.616374484874513,3.247251392010355,3.114347764148949,11.66375,10.967499999999998,10.97092192,9.1792455379371,11.012634800882697,11.169996657982626
1997-11-30,POMKH,5.385,3.46,11.96,5.366686507936508,5.3666865079365085,5.364016109714285,5.199640652400729,5.479284758764305,5.329470464674968,3.9212499999999997,3.7825,3.547654144,3.646537270130346,2.9062517969846167,2.8741838185315842,12.085,11.242499999999998,11.366553152000002,9.766038252168311,10.608029948402827,10.85999675073333
1998-02-28,POMRB,5.172222222222222,4.42,14.58,5.366686507936507,5.3666865079365085,5.287298554717459,5.129761319726019,5.098449737556674,5.247072231700762,3.80125,3.9225000000000003,3.8965924864000003,3.783772103215549,4.138464585972777,3.7675872312460355,12.139375,12.084999999999997,12.6519318912,11.242586819694417,11.891955497278552,12.394760954345955
1998-05-31,PREMON,5.702857142857143,4.41,11.5,5.366686507936508,5.3666865079365085,5.453521989973332,5.304258519393127,5.74737718695888,5.479137430467824,3.58375,3.9200000000000004,4.10195549184,3.9059415540286033,4.684962882743644,4.171622110210494,12.125,12.084999999999997,12.19115913472,11.543592351685817,11.793667130085566,11.500000772784292
1998-08-31,MONSOON,5.206666666666667,2.44,10.735,5.366686507936508,5.3666865079365085,5.354779860650666,5.215883448888684,5.142747299989172,5.309213711323464,3.34125,3.6825,3.437173295104,3.7897224992532563,3.6972833434977064,3.546199951763326,11.845625,12.193749999999998,11.608695480831999,11.508394362978077,10.993675958337967,10.911716641649113
1998-11-30,POMKH,5.385,2.67,11.41,5.366686507936508,5.3666865079365085,5.366867916390399,5.234856501095261,5.478772943154329,5.337651234314238,3.1981249999999997,3.4849999999999994,3.1303039770624,3.7116758146233457,3.536055291503864,3.5000654960912714,11.635,12.056249999999997,11.5292172884992,11.655562900604501,11.76213493924163,11.186566844553706
1999-02-28,POMRB,5.172222222222222,3.27,12.895,5.366686507936507,5.3666865079365085,5.289009638723128,5.162779880836649,5.098173292108549,5.230530005776265,3.2581249999999997,3.1974999999999993,3.18618238623744,3.7103764755755377,4.523251536155323,4.033786440716202,11.580625,11.634999999999998,12.075530373099522,12.25188204523817,13.589640604355479,12.424274719190509
1999-05-31,PREMON,5.702857142857143,4.415,11.5,5.366686507936508,5.3666865079365085,5.454548640376734,5.335632141155353,5.74722787129847,5.5145951902550925,3.366875,3.1987499999999995,3.677709431742464,3.8405632176477407,4.642249591713671,3.9657195076226115,11.595000000000002,11.634999999999998,11.845318223859714,12.273416168164847,11.54823944261862,11.5
1999-08-31,MONSOON,5.206666666666667,2.915,10.3,5.366686507936508,5.3666865079365085,5.355395850892707,5.245455021787071,5.142666650564179,5.289000156793643,3.4881249999999997,3.3174999999999994,3.372625659045479,3.7854667111082123,3.0478971010542537,2.7686138199095036,11.874374999999999,11.526249999999997,11.227190934315828,11.834772210080102,10.777499824825515,10.252944526812877
1999-11-30,POMKH,5.385,3.065,11.96,5.366686507936508,5.3666865079365085,5.367237510535624,5.262771778860765,5.4787293822194565,5.343025771760195,3.559375,3.4162499999999993,3.249575395427287,3.7531660099390356,3.1896457217357725,2.9244173754546874,12.085,11.663749999999997,11.520314560589497,11.957939022929576,11.456311790376304,12.019495425868776
2000-02-29,POMRB,5.172222222222222,3.845,14.58,5.366686507936507,5.3666865079365085,5.289231395210263,5.1890030705881705,5.098149763669965,5.219143712205248,3.499375,3.5599999999999996,3.487745237256372,3.813622739473615,3.976489682548734,3.3113895412585572,12.139375,12.084999999999997,12.7441887363537,12.937619197478606,13.185696781353165,14.76227235007591
2000-05-31,PREMON,5.702857142857143,4.41,11.5,5.366686507936508,5.3666865079365085,5.454681694269015,5.360575982717864,5.7472151629526635,5.539735682125857,3.390625,3.55875,3.8566471423538236,3.9327647765308504,4.792009203973447,4.07117599612258,12.125,12.084999999999997,12.24651324181222,12.74807180661682,11.719600590938732,11.5
2000-08-31,MONSOON,5.206666666666667,2.44,10.735,5.366686507936508,5.3666865079365085,5.355475683228075,5.268981180342413,5.142659786443055,5.274798121712025,3.269375,3.4400000000000004,3.289988285412294,3.8138253444718617,3.2478691205796286,3.159268903619182,12.003333333333334,12.193749999999998,11.641907945087333,12.266339890346924,10.718202712188704,10.646192674470193
2000-11-30,POMKH,5.385,2.67,11.41,5.366686507936508,5.3666865079365085,5.367285409936844,5.284986842340424,5.478725674722031,5.346919445498069,3.5501171874999997,3.34125,3.0419929712473763,3.7333341797800075,3.358514328295386,3.195439140753328,11.950416666666666,12.056249999999997,11.5491447670524,12.02987149675508,11.984243955651188,11.52228512423309
2001-02-28,POMRB,5.172222222222222,3.27,14.156666666666665,5.366686507936507,5.3666865079365085,5.289260134850995,5.209873795899309,5.098147761150407,5.210895195552408,4.214155505952381,3.1975000000000002,3.133195782748426,3.7298382767448537,4.1108548960800855,3.6416348655874713,11.950416666666666,11.950416666666664,12.592153526898105,12.731927269041964,14.075746545723403,13.239000789695915
2001-05-31,PREMON,5.702857142857143,7.2309375,11.5,5.366686507936508,5.3666865079365085,5.454698938053454,5.380426235829783,5.7472140813376855,5.558539008599264,4.79627941468254,3.9027343750000005,4.772292469649056,4.181095340976851,4.732936121907924,3.9655784087286126,11.950416666666666,11.950416666666664,12.155292116138863,12.4639711410005,11.61426312515569,11.5
2001-08-31,MONSOON,5.206666666666667,4.931369047619048,10.735,5.366686507936508,5.3666865079365085,5.355486029498739,5.287700660064033,5.1426592022335855,5.264317199811346,5.329063074813259,4.525576636904762,4.835923100837053,4.322780185133191,3.0792279811016514,2.9938523827275016,11.950416666666666,11.950416666666664,11.587175269683318,11.94751988646778,10.74182719093212,10.388807325529807
2001-11-30,POMKH,5.385,4.835622222222223,11.41,5.366686507936508,5.3666865079365085,5.367291617699244,5.302659499306002,5.4787253591746685,5.349908209349467,5.591143957166199,5.066982192460317,4.835802749391121,4.439111463920522,3.4066404701918005,3.2930460529554146,11.950416666666666,11.950416666666666,11.51630516180999,11.709051482192065,11.687499395465782,11.847714875766913
2002-02-28,POMRB,5.172222222222222,5.3666470588235295,14.156666666666665,5.366686507936507,5.3666865079365085,5.289263859508434,5.226473500797235,5.098147590714781,5.204678689051626,5.5911439571662,5.5911439571662,5.048140473164084,4.604563696259316,4.178130508048305,3.7922124284820624,11.950416666666666,11.950416666666666,12.572449763752662,12.429006407742168,14.151541568578299,14.887628651062817
2002-05-31,PREMON,5.702857142857143,7.2309375,11.5,5.366686507936508,5.3666865079365085,5.454701172847917,5.396209621920865,5.747213989280772,5.573157259029628,5.5911439571662,5.5911439571662,5.921259283898451,4.967107215335745,6.9798661835248605,6.398130461887863,11.950416666666666,11.950416666666666,12.143469858251597,12.195883959432686,11.574991981580816,11.5
2002-08-31,MONSOON,5.206666666666667,4.931369047619048,10.735,5.195158730158729,5.3666865079365085,5.3554873703754176,5.302581267392208,5.142659152511181,5.256291929130103,5.512813074813259,5.591143957166199,5.5253031893866895,5.0290757298266495,4.805020031539499,5.025045090273693,11.950416666666666,11.950416666666666,11.580081914950958,11.724374660180885,10.75931049909897,10.870862798694803
2002-11-30,POMKH,5.385,4.835622222222223,11.41,4.898273809523809,5.3666865079365085,5.36729242222525,5.316704369932632,5.478725332318221,5.352296777848768,5.1937400049603175,5.591143957166199,5.249430802520902,5.07377540822889,4.777379003417542,4.957604532180353,11.950416666666666,11.950416666666666,11.512049148970576,11.534371834789756,11.556564998136881,11.23821944992611
2003-02-28,POMRB,3.8,4.74,14.156666666666665,4.628333333333333,5.0236309523809535,4.74037545333515,4.681790863546094,5.098147576208922,5.1998485564300045,4.953451686507937,5.434482192460317,5.045658481512541,5.102971928512038,5.326175257994359,5.280314783819484,11.950416666666666,11.950416666666666,12.569896156049012,12.302497085416364,14.1804719672352,14.024447697821913
2003-05-31,PREMON,4.7,5.305,11.5,4.335625,4.772916666666667,4.72422527200109,4.646581370794172,5.1161660800637865,4.973405512790947,4.993202777777777,4.952997817460317,5.149395088907525,5.194024127182952,7.451274115624083,6.404309234850063,11.950416666666666,11.950416666666666,12.141937693629409,12.113541961820658,11.555722127042014,11.5
