Date,Season,Astaranga,Kakat Pur,Satyabadi,Delanga,Chilika Lake,Sadar,Brahmagiri,Gop,Nimapada,Pipil,Astaranga_Trend,Astaranga_SMA,Astaranga_EWMA,Astaranga_DES,Astaranga_TES,Astaranga_ARIMA,Kakat Pur_Trend,Kakat Pur_SMA,Kakat Pur_EWMA,Kakat Pur_DES,Kakat Pur_TES,Kakat Pur_ARIMA,Satyabadi_Trend,Satyabadi_SMA,Satyabadi_EWMA,Satyabadi_DES,Satyabadi_TES,Satyabadi_ARIMA,Delanga_Trend,Delanga_SMA,Delanga_EWMA,Delanga_TES,Delanga_ARIMA,Chilika Lake_Trend,Chilika Lake_SMA,Chilika Lake_EWMA,Chilika Lake_DES,Chilika Lake_TES,Chilika Lake_ARIMA,Sadar_Trend,Sadar_SMA,Sadar_EWMA,Sadar_DES,Sadar_TES,Sadar_ARIMA,Brahmagiri_Trend,Brahmagiri_SMA,Brahmagiri_EWMA,Brahmagiri_DES,Brahmagiri_TES,Brahmagiri_ARIMA,Gop_Trend,Gop_SMA,Gop_EWMA,Gop_DES,Gop_TES,Gop_ARIMA,Nimapada_Trend,Nimapada_SMA,Nimapada_EWMA,Nimapada_DES,Nimapada_TES,Nimapada_ARIMA,Pipil_Trend,Pipil_SMA,Pipil_EWMA,Pipil_DES,Pipil_TES,Pipil_ARIMA
1996-02-29,POMRB,1.965,2.5166666666666666,1.244,1.44,4.05,3.507857142857142,1.4,2.4118181818181816,1.4683333333333335,1.8675,,,1.965,2.940948817456087,2.1919611101772194,0.0,,,2.5166666666666666,3.2398868736295623,2.5266666666666664,0.0,,,1.244,1.2185163101589522,1.731942668015315,0.0,,,1.44,1.3179691930202866,0.0,,,4.05,3.991050215543963,3.583882284394905,0.0,,,3.507857142857142,5.6185523987782755,3.517857142857142,0.0,,,1.4,3.7454116593422624,1.40625,0.0,,,2.4118181818181816,2.014540634933954,2.6862610681238377,0.0,,,1.4683333333333335,1.9601807247345073,1.7007052749604337,0.0,,,1.8675,2.085417674231139,2.4401816585811815,0.0
1996-05-31,PREMON,2.52,2.9233333333333333,1.948,2.82,3.49,4.8414285714285725,2.9,2.989090909090909,2.94,3.0825,,,2.1870000000000003,3.4717586180034457,2.630760422322573,0.571819510216188,,,2.679333333333333,3.606759683000542,2.942169898430286,-9.642800545723431e-11,,,1.5255999999999998,1.3021124176305545,2.1020095480576533,0.38710073402781464,,,1.992,2.405368314154649,0.37117637060641684,,,3.8259999999999996,3.8849224955470776,4.570603902340215,4.049996333691272,,,4.041285714285714,6.775979341499816,4.860265136525525,3.5078551582902526,,,2.0,5.490883051519319,2.912153739612189,0.37820470110717214,,,2.6427272727272726,2.17907731092127,3.364700256812845,0.6442634880048554,,,2.057,2.0274481576687045,2.633619753661638,2.5193088619919583e-07,,,2.3535,2.10940371567091,2.6397654400223693,1.8674987125337363
1996-08-31,MONSOON,1.4449999999999998,1.836666666666667,0.968,0.93,2.18,2.555384615384616,1.84,1.7899999999999998,1.235,1.4225,1.94,,1.8902,3.297254304351173,1.0665977946824432,0.6193751358033346,2.4558333333333335,,2.3422666666666667,3.4669165995999487,1.8632009167107881,-1.5508935677219341e-10,1.4029999999999998,,1.3025599999999997,1.1348890019764835,0.714078345088248,0.5377850160922925,1.515,,1.5672000000000001,0.868624715146905,1.0842617833264878,3.1975000000000002,,3.1676,3.53365454042427,2.6651288888509512,3.6845363760102985,3.6895947802197804,,3.4469252747252748,5.694573758925835,2.5819188654287375,4.41438439838502,2.1891666666666665,,1.936,4.844533731743451,1.857713089218162,0.7348845804795502,2.3926136363636363,,2.3016363636363635,2.007476971676418,1.5938737493760913,0.6744987871822751,1.7570833333333333,,1.7282,1.7647024092258856,0.9948363481408982,5.964127237908417e-07,2.053125,,1.9811,2.106531093956879,1.0078662946349257,2.657079299734549
1996-11-30,POMKH,1.715,2.22,1.1840000000000002,0.87,3.22,3.4369230769230765,2.08,2.093636363636364,1.143333333333333,1.7675,1.9553125,1.91125,1.8201200000000002,3.101623078513868,1.5442092603194313,0.6619560892765365,2.52625,2.3741666666666665,2.29336,3.3782347840328972,2.2531276440545343,-2.0666553084477313e-10,1.443,1.336,1.2551359999999998,1.0641902404322112,0.996517391670797,0.36869709525515243,1.3675000000000002,1.515,1.2883200000000001,1.0469015874600642,1.534427197684535,3.42875,3.2350000000000003,3.1885600000000003,3.466167135296813,2.514041177776953,3.0283839927245535,3.7245741758241757,3.585398351648352,3.442924395604395,5.024357629863215,3.470050720977611,3.001068573460844,2.3570833333333336,2.0549999999999997,1.9936,3.873219640285503,2.102930774747316,0.5213379110400121,2.496204545454546,2.3211363636363638,2.2184363636363638,1.954538962013516,1.900769899109329,0.7910612583212638,1.74125,1.6966666666666668,1.494253333333333,1.529790551036597,1.284289358659255,4.085688699470038e-07,2.0031250000000003,2.035,1.8956600000000001,2.109094011215913,1.5194479871709479,1.7731679439008703
1997-02-28,POMRB,2.1950000000000003,3.17,1.78,1.44,3.75,4.341428571428572,2.473333333333333,2.983636363636364,1.9516666666666664,2.0125,1.89625,1.96875,1.9700720000000003,3.030291426288338,2.243432878046601,1.9096189111851936,2.4885416666666664,2.5374999999999996,2.6440159999999997,3.561708388686422,2.5526950190013817,2.474009230969674,1.3730000000000002,1.4700000000000002,1.4650816,1.1818490771677235,1.7209980032260654,1.1994995635507384,1.14875,1.5150000000000001,1.348992,1.3907897195113088,1.0058227521179752,3.9274999999999998,3.16,3.413136,3.5204660749198995,3.56503438996364,3.771695264792528,3.524951923076923,3.7937912087912093,3.8023260659340656,4.895867941274685,3.5438854951918572,3.6051014313558545,2.28875,2.323333333333333,2.185493333333333,3.2251987542287286,1.4255076935180175,1.3841448699798347,2.499290404040404,2.4640909090909093,2.524516363636364,2.1788396444892055,2.686031228140161,2.3443097505337187,1.599375,1.8175,1.6772186666666664,1.5001924312835944,1.709528757216608,1.4683335758777911,1.8643750000000001,2.07125,1.9423960000000002,2.1154972408486006,2.6147792765873845,1.8713577917660054
1997-05-31,PREMON,2.4125,2.833333333333333,1.732,1.64,5.64,4.287692307692307,3.17,3.2460000000000004,2.33,2.5375,1.8640625,1.941875,2.1470432,2.989644617084761,2.7201761656388213,2.4895350372044365,2.4089583333333335,2.5149999999999992,2.7197429333333334,3.560494876425384,3.0378750975266327,2.8737829080275032,1.31825,1.4160000000000004,1.57184896,1.2893722902780589,2.153601870804844,1.990732713584461,1.0687499999999999,1.2200000000000002,1.4653952000000001,2.5092810582797354,2.1743665629624576,4.35625,3.6975000000000002,4.3038816,3.948671570603852,4.218694103225354,3.3971845041148576,3.3013736263736257,3.6553571428571434,3.9964725626373623,4.689983346741158,4.976939864707745,4.632399574118953,2.1333333333333333,2.3908333333333327,2.579296,3.271016334855569,2.987470346770947,3.0844718689515007,2.460183080808081,2.5283181818181824,2.8131098181818186,2.4754738396902187,3.3794879228169803,3.035055843515057,1.5302083333333334,1.665,1.9383312,1.5692199532364144,2.9267530474962915,3.132573269586061,1.764375,1.935,2.1804376000000003,2.130277219754674,2.807648108098465,2.7061371280512376
1997-08-31,MONSOON,1.08,1.625,0.624,0.36,4.02,1.5121428571428572,1.0233333333333332,1.5577777777777777,0.7100000000000001,0.8575,1.893125,1.850625,1.7202259200000003,2.356303265358486,1.1141615238911635,1.3549501690516657,2.2766666666666664,2.4620833333333323,2.28184576,3.1022420083159155,1.941244973577729,1.8055352135941807,1.29475,1.3300000000000003,1.192709376,1.088798616182144,0.7350744878541813,0.8085703024302567,1.0262499999999999,1.0775000000000003,1.02323712,0.7674205380485318,0.7430868984945083,4.7875,4.157500000000001,4.19032896,3.959189622515083,3.2576416654775855,3.481575697863257,3.0928434065934067,3.394546703296704,3.0027406804395604,2.981195617107378,2.6265371856818907,2.7688012427053805,2.038333333333333,2.186666666666666,1.9569109333333332,1.7301784119267931,1.9445236088297404,1.7940506498178386,2.329535353535354,2.470262626262627,2.310977002020202,2.2550439548355876,1.6511287122294127,1.7752440954158222,1.5414583333333334,1.53375,1.4469987199999998,1.3206325633826912,1.0308881845238915,0.9804923798558915,1.7974999999999999,1.79375,1.6512625600000002,2.117846586877546,1.0140139396949608,1.5932003153850967
1997-11-30,POMKH,1.8225,1.795,1.09,0.8,4.81,2.6915384615384617,1.653333333333333,2.013,1.115,1.5325000000000002,1.9615624999999999,1.8775,1.7611355520000003,2.11116571601246,1.5040876536124324,1.535026863077241,2.2524999999999995,2.355833333333332,2.087107456,2.7225761455640134,2.299643120509913,2.182371056722703,1.3805625,1.3065000000000002,1.1516256256,1.0437806344582239,0.9757803197169119,1.0014800358908427,1.0625,1.0600000000000003,0.9339422720000001,0.8558667212497408,0.5988152480317354,5.039999999999999,4.555000000000001,4.438197376,4.128489955071005,3.714580682731156,3.9763980720293315,2.9518131868131867,3.2082005494505506,2.878259792879121,2.499178852942438,3.3869073757812216,3.1402233840150924,1.9458333333333335,2.079999999999999,1.8354798933333332,1.3829199219215118,2.1410604509465307,1.6566799219130448,2.1938421717171717,2.450103535353536,2.191786201212121,2.180585279549594,1.9478129465491447,1.88737240520515,1.7610416666666668,1.5266666666666668,1.314199232,1.192652367958077,1.0599554738351344,0.9123273632188527,2.0365625,1.7349999999999999,1.6037575360000003,2.1161531251249337,1.3960166963737195,1.5209036101898898
1998-02-28,POMRB,2.3200000000000003,2.536666666666666,1.686,1.17,5.61,3.4185714285714286,2.14,2.019090909090909,2.07,2.5125,2.0584375,1.90875,1.9846813312000002,2.1216414710340987,2.2346864243494875,2.1466072232641893,2.427708333333333,2.1974999999999985,2.2669311402666663,2.626611278522516,2.716221608380904,2.909693913076753,1.640625,1.2830000000000001,1.36537537536,1.179426711330747,1.6918841371206155,1.6030437065423657,1.186875,0.9925000000000003,1.0283653632,1.2454413787665832,1.170404703894681,5.195,5.0200000000000005,4.9069184256,4.426101875805123,4.818476861367465,4.405944556867321,3.0996222527472526,2.9774862637362647,3.094384447156044,2.687365685776906,3.590777272616726,3.895303861864522,1.9683333333333333,1.9966666666666661,1.957287936,1.6790204779606273,1.8331689778122822,1.9280362540166829,2.2701060606060603,2.2089671717171724,2.1227080843636363,2.1168065316161235,2.7347409351426597,2.668862991974674,2.0348333333333333,1.5562500000000004,1.6165195392,1.285693694147745,1.6501774857968337,1.8936707367004677,2.3668750000000003,1.86,1.9672545216000001,2.1301605933752286,2.466035871237644,1.8357747623495146
1998-05-31,PREMON,2.835,3.273333333333333,2.5125,2.2,5.8,4.082307692307692,2.7633333333333336,3.125,3.9683333333333333,3.95,2.043125,2.014375,2.3248087987200003,2.3638007799049534,2.7398558721787696,2.4161567973262534,2.5468749999999996,2.3074999999999983,2.669492017493333,2.794442977593214,2.8878946036477027,2.832860711523317,1.7453750000000001,1.4781250000000001,1.824225225216,1.5593826979587362,2.117069002600787,1.7006204447931719,1.215,1.1325000000000005,1.4970192179200001,2.2231815126382655,1.9389465095647216,5.2275,5.0600000000000005,5.264151055359999,4.701489085886138,5.86855780136068,5.6561955479320565,3.2736263736263735,2.926140109890111,3.4895537452167034,3.3295968426841003,4.5008941471048,4.327870497119708,2.0045833333333336,1.8949999999999996,2.279706094933333,2.4997672552053594,3.0347914076065132,3.04108581534671,2.296494949494949,2.1787171717171723,2.523624850618182,2.386732222308885,3.3658551584237006,2.866084674738949,2.235291666666667,1.9658333333333338,2.5572450568533336,1.799320367238954,2.66570195398355,2.453660860718632,2.501875,2.2131250000000002,2.76035271296,2.1673152588721805,2.8060881514375797,2.8015971425515502
