Date,Season,Sakran,Machhrehta,Rampur Mathura,Sidhauli,Hargaon,Parsendi,Gondlamau,Misrikh,Ailiya,Khairabad,Pisawan,Kasmanda,Maholi,Biswan,Laharpur,Pahala,Mahmudabad,Behta,Sakran_Trend,Sakran_SMA,Sakran_EWMA,Sakran_DES,Sakran_TES,Sakran_ARIMA,Machhrehta_Trend,Machhrehta_SMA,Machhrehta_EWMA,Machhrehta_DES,Machhrehta_TES,Machhrehta_ARIMA,Rampur Mathura_Trend,Rampur Mathura_SMA,Rampur Mathura_EWMA,Rampur Mathura_DES,Rampur Mathura_TES,Rampur Mathura_ARIMA,Sidhauli_Trend,Sidhauli_SMA,Sidhauli_EWMA,Sidhauli_DES,Sidhauli_TES,Sidhauli_ARIMA,Hargaon_Trend,Hargaon_SMA,Hargaon_EWMA,Hargaon_DES,Hargaon_TES,Hargaon_ARIMA,Parsendi_Trend,Parsendi_SMA,Parsendi_EWMA,Parsendi_DES,Parsendi_TES,Parsendi_ARIMA,Gondlamau_Trend,Gondlamau_SMA,Gondlamau_EWMA,Gondlamau_DES,Gondlamau_TES,Gondlamau_ARIMA,Misrikh_Trend,Misrikh_SMA,Misrikh_EWMA,Misrikh_DES,Misrikh_TES,Misrikh_ARIMA,Ailiya_Trend,Ailiya_SMA,Ailiya_EWMA,Ailiya_DES,Ailiya_TES,Ailiya_ARIMA,Khairabad_Trend,Khairabad_SMA,Khairabad_EWMA,Khairabad_DES,Khairabad_TES,Khairabad_ARIMA,Pisawan_SMA,Pisawan_EWMA,Pisawan_TES,Kasmanda_Trend,Kasmanda_SMA,Kasmanda_EWMA,Kasmanda_DES,Kasmanda_TES,Kasmanda_ARIMA,Maholi_Trend,Maholi_SMA,Maholi_EWMA,Maholi_DES,Maholi_TES,Maholi_ARIMA,Biswan_Trend,Biswan_SMA,Biswan_EWMA,Biswan_DES,Biswan_TES,Biswan_ARIMA,Laharpur_Trend,Laharpur_SMA,Laharpur_EWMA,Laharpur_DES,Laharpur_TES,Laharpur_ARIMA,Pahala_Trend,Pahala_SMA,Pahala_EWMA,Pahala_DES,Pahala_TES,Pahala_ARIMA,Mahmudabad_Trend,Mahmudabad_SMA,Mahmudabad_EWMA,Mahmudabad_DES,Mahmudabad_TES,Mahmudabad_ARIMA,Behta_Trend,Behta_SMA,Behta_EWMA,Behta_DES,Behta_TES,Behta_ARIMA
1996-02-29,POMRB,2.083333333333333,9.105,1.75,7.11,3.22,3.225,8.55,5.05,2.54,5.7,8.32,1.57,5.625,3.82,6.05,3.03,3.825,4.22,,,2.083333333333333,2.595215731628958,2.476992789853346,0.0,,,9.105,8.5090162578154,9.109900711282119,0.0,,,1.75,0.9014323359098833,1.4025531256408084,0.0,,,7.11,9.154073076141504,6.722872571248931,0.0,,,3.22,6.802994577575836,2.6562912606418205,0.0,,,3.225,3.513623438048967,2.736196792140845,0.0,,,8.55,7.491069839437316,7.213630353404437,0.0,,,5.05,4.851903796693063,4.802673529335072,0.0,,,2.54,2.320138547114849,2.538046134748975,0.0,,,5.7,5.591113049303736,5.43419166363584,0.0,,8.32,8.32,,,1.57,1.5328863061322882,1.700590420935345,0.0,,,5.625,4.881341196351075,4.554271634843677,0.0,,,3.82,5.8701545147621985,3.911692629592808,0.0,,,6.05,5.790226528958688,6.006492991386459,0.0,,,3.03,3.48538609850882,3.226635114620655,0.0,,,3.825,4.075642928092827,3.8617164499850682,0.0,,,4.22,4.090130973698976,4.22,0.0
1996-05-31,PREMON,4.093333333333333,8.7,3.0,8.32,5.85,5.235,8.34,6.746666666666667,3.96,7.3000000000000025,,3.19,6.6,5.13,7.32,5.82,4.46,4.6549999999999985,,,2.8873333333333333,2.7074576906377605,3.154422210114982,2.0833328002119544,,,8.943,8.27469024187298,8.709915185726457,2.9562693511422605e-07,,,2.25,1.175645739247141,2.298817136402756,1.7499987327173683,,,7.594,10.159678085292235,8.241174683462011,7.109979868027281,,,4.272,9.801510419857056,5.537223120363787,5.440428578437001e-07,,,4.029,5.1866979742669495,4.484302315336855,3.224997005421675,,,8.466000000000001,7.623600648144909,9.126599558266804,8.549981665034235,,,5.728666666666667,5.271945393795651,5.9854981115793455,5.049995687176131,,,3.108,2.578859304075022,4.078356403496462,2.539996566517835,,,6.340000000000002,5.9099375355017125,7.528875914895554,5.69998554395869,,,,,,2.218,1.8467297261028102,2.6967013603046466,1.5699987947461824,,,6.015000000000001,5.186324429708275,7.048586412543507,5.624989967777644,,,4.343999999999999,6.9674535431319855,4.646943985763962,3.819998478617948,,,6.558,6.130989970384036,7.080786938200905,6.049995138217471,,,4.146,3.96522163997394,5.066142961836449,3.029996263149425,,,4.079,4.057753240311855,4.570193761460201,3.631002824114563,,,4.393999999999999,4.240316956647938,4.654999999999999,1.246937651457357e-07
1996-08-31,MONSOON,1.903333333333333,8.575,0.5,4.205,0.255,0.26,5.6,2.8425,0.52,4.885,,0.3,3.19,2.813333333333333,2.09,1.7475,2.9925,4.055,2.549375,,2.493733333333333,2.6213161533307328,2.285257864791797,3.3498697382339135,8.835,,8.7958,8.127373968901686,8.554969359205478,3.1171988494509495e-07,1.66,,1.5499999999999998,1.0211622146259762,0.7818051791826208,2.3776913032862383,6.562499999999999,,6.2384,8.907998402547618,6.008378354231915,7.585546496177519,2.9025,,2.6652,6.877718229261633,1.2504949497171187,1.1267791584684295e-06,2.64375,,2.5214,3.9659279792734257,2.361964963827022,4.4845800473235045,6.96,,7.319599999999999,7.284676156250909,7.1420693207980435,8.439874917719429,4.633541666666666,,4.5742,4.74839751987931,4.512463354920758,5.967831844731005,2.23625,,2.0728,2.3357194417610505,0.31546899658175054,3.4740297638870876,5.789375000000001,,5.758000000000001,5.78754834069298,5.035659951535124,6.384916703763727,,,,1.63375,,1.4508,1.6216148666074583,0.7489037150320401,2.472873918943842,4.24875,,4.885,4.707510359020882,4.5365570425874076,6.155579815693808,3.8979166666666663,,3.7317333333333327,5.849675617987277,3.5390825800984453,4.7208642105497765,5.405,,4.7707999999999995,4.409982495870634,4.163979895074565,6.956124188859318,3.7024999999999997,,3.1866000000000003,3.568816877937919,3.1659344610976454,4.841896272716705,4.20875,,3.6443999999999996,3.7682721375941055,3.4626994554158075,4.046042737572986,4.128333333333333,,4.2584,4.161493157991517,4.055000000000001,1.6587232980811027e-07
1996-11-30,POMKH,1.9966666666666664,8.96,1.375,6.54,2.63,2.09,5.84,3.915,1.52,5.495,8.2,1.265,2.64,3.5966666666666662,6.06,3.41,5.75,3.583333333333333,2.546666666666666,2.519166666666666,2.2949066666666664,2.546461021189079,2.334117875870409,2.2676931550341983,8.834999999999999,8.835,8.86148,8.28834642373856,8.948931334399623,8.138761074550454e-08,1.63875,1.65625,1.48,1.0307016029092984,1.0688507247313277,1.742840235501793,6.58125,6.543749999999999,6.35904,8.547165473815925,6.352667886888553,6.972651676894356,2.72875,2.9887500000000005,2.6511199999999997,5.422176696192892,1.8270942203037963,1.2568142145779793e-07,2.475625,2.7025,2.34884,3.5846237784964448,1.9024926587771143,2.057696451052906,6.98125,7.0825000000000005,6.72776,7.019102108461108,6.006088427673579,7.3456606739614525,4.555208333333334,4.638541666666667,4.31052,4.572642957427675,4.2333606785381726,4.660146141986031,2.465,2.135,1.85168,2.258931803976897,1.2212224215977274,1.5921293989492316,5.778125,5.8450000000000015,5.652800000000001,5.783085149762922,5.3506089641115375,6.2224234733779005,,8.272,8.2,1.5862500000000002,1.5812499999999998,1.37648,1.5944580849872183,1.121465146975941,1.4962854937455063,3.8550000000000004,4.51375,3.9869999999999997,4.203157754473719,3.8378556159957604,4.896230702587758,3.9770833333333333,3.8399999999999994,3.6777066666666665,5.118839141333771,3.4119116615349983,3.3109774525891384,5.415,5.38,5.286479999999999,4.8300636014427125,4.3927053361054815,3.6736502966278675,3.9331250000000004,3.501875,3.2759600000000004,3.5672485499994244,2.5249789114886028,2.670834666951494,4.1825,4.256875,4.4866399999999995,4.0564448323892295,3.756554275504805,3.631981173073739,4.128333333333333,4.128333333333333,3.9883733333333335,3.926616337568442,3.583333333333334,1.056772988241271e-07
1997-02-28,POMRB,2.325,9.105,1.78,7.26,2.53,2.755,7.57,5.010000000000002,3.35,5.255,8.32,1.99,3.505,4.283333333333332,6.25,4.635,3.44,4.22,2.5808333333333335,2.579583333333333,2.3069439999999997,2.5042783587616944,2.4667487882542436,2.124765907101858,8.834999999999999,8.835,8.958888,8.553639583200365,9.1263820520433,9.104999722527838,1.61375,1.6637499999999998,1.6,1.115608131305387,1.4730498585323863,1.700480211865107,6.670625,6.581249999999999,6.719424,8.398669715111984,6.550930046603485,6.252620934028276,2.631875,2.81625,2.602672,4.019927089800374,2.912750388502996,3.219999552515417,2.5250000000000004,2.5850000000000004,2.511304,3.475115237703725,2.6144554074621302,2.976932554613594,7.251250000000001,6.837500000000001,7.064656,7.070797227078305,6.90229569500606,7.443387824394971,4.5496875,4.628541666666667,4.590312000000001,4.674112523898562,4.516903854320679,4.46359057465007,2.6062499999999997,2.3374999999999995,2.451008,2.4417082135493717,2.858445064494264,2.3813725387302878,5.788125,5.7337500000000015,5.49368,5.7403712491552,5.750809558169558,5.517460578135283,,8.2912,8.32,1.5275,1.6862499999999998,1.621888,1.6947936594214426,1.8990281333557115,1.3029439681111632,3.89625,3.9837499999999997,3.7942,3.9807607974955226,3.9763883843172843,4.411071576026488,4.1120833333333335,3.9558333333333326,3.9199573333333326,4.8348182592318665,3.945294508264121,3.8648864546165203,5.46375,5.43,5.671887999999999,5.16671764062338,6.047461135470901,6.03192918945107,4.0653125,3.9031249999999997,3.8195760000000005,3.802814663589484,3.4263827466394945,3.300824415804647,4.2796875,4.1606250000000005,4.067984,3.860447543669601,4.302727120463574,4.162739183214516,4.128333333333333,4.128333333333333,4.081024,3.9644667100663393,4.220000000000001,4.219999927632927
1997-05-31,PREMON,3.83,8.7,2.8,8.32,5.15,4.36,9.49,6.16,4.98,7.655,,2.39,5.57,5.3,7.2,6.0600000000000005,4.635,4.6549999999999985,2.6566666666666667,2.51375,2.9161664,2.6008399968157025,3.2245511168294305,3.6679027095361674,8.835,8.835,8.8553328,8.591815169867573,8.70990487846659,8.699999389614542,1.548125,1.6137499999999996,2.08,1.3828142562065595,2.3693149523771972,2.464807532009655,7.751250000000001,6.581249999999999,7.3596544,8.631122348580247,8.144807882740492,7.238065550484313,2.4625000000000004,2.64125,3.6216032,4.644396153721167,5.578334495140389,5.569206454966252,2.6262499999999998,2.366250000000001,3.2507824000000003,4.088836631574683,4.255383410540395,4.525545362346441,7.34875,7.125000000000001,8.0347936,7.443507130578669,8.610847501494625,7.379116916969374,4.606250000000001,4.4818750000000005,5.218187200000001,5.00464868979959,5.7858412540047395,5.441082552859075,2.5925000000000002,2.5924999999999994,3.4626048000000003,2.825075416513864,4.457664638730967,4.195738639215907,5.671875,5.822500000000002,6.358208,6.093687902046275,7.4903932555271915,6.600172130214572,,,,1.518125,1.48625,1.9291328,1.8482232390539874,2.9886826586007147,2.6828718039449617,3.976875,3.72625,4.50452,4.24432787391548,5.844733650232369,4.556955487763531,4.1899999999999995,3.998333333333333,4.4719744,5.18923411789488,4.7974190116841084,4.538337178361278,5.163125000000001,5.3999999999999995,6.2831328,5.737452592967471,7.254804828550931,7.091841128661927,3.976875,3.963125,4.7157456,4.270271656713707,5.748810431380837,5.3834182919034985,4.050625,4.204375000000001,4.2947904,3.9283364011931163,4.746531049587777,4.233176293860081,4.128333333333333,4.128333333333333,4.3106143999999995,4.17249429433707,4.654999999999999,4.654999771844805
1997-08-31,MONSOON,2.44,8.575,0.5,4.92,0.18,1.5299999999999998,6.61,3.385,0.63,4.61,,0.63,4.55,3.723333333333333,2.6,2.565,3.595,4.055,2.773125,2.6479166666666667,2.72569984,2.571632671583713,2.2489945726292184,2.1660725812168944,8.835,8.835,8.74319968,8.567637001955799,8.554959588695311,8.574999798086719,1.4224999999999999,1.6137499999999996,1.448,1.241568205170561,0.8522997970001374,0.9814577580255954,8.649999999999999,6.76,6.38379264,7.358719866862461,5.934633574821586,6.1954453428447085,2.19375,2.6224999999999996,2.24496192,2.2062634545281887,0.9918714832938109,0.00028892307357153424,2.5,2.6837500000000007,2.56246944,3.2405292543882243,1.9342128582201237,0.6485766069522692,7.085,7.377500000000001,7.46487616,7.299795450613924,7.066021505498544,6.655077389101246,4.54375,4.6175,4.484912320000001,4.65756069292167,4.177205937625988,3.9207793816140035,2.3625000000000003,2.6199999999999997,2.32956288,2.56697361909826,1.0617059783743654,1.3486207607154554,5.514375,5.753750000000002,5.6589248,5.898228525822816,5.121478869521194,5.325463327738266,,,,1.4725000000000001,1.56875,1.40947968,1.6790673532886764,0.5798505680919845,0.732727584791582,3.8362499999999997,4.066249999999999,4.522712,4.244306105089513,3.403273858482395,3.102271441012431,4.06875,4.225833333333333,4.172517973333333,4.479918907734222,3.6948677715079503,3.7908514452390607,4.486875,5.5275,4.80987968,4.382702741053488,3.7269362881295782,3.18990544676019,3.4712500000000004,4.1675,3.8554473600000003,3.9754356146707774,3.696477723386816,3.1148141131310116,3.750625,4.355,4.01487424,3.7901867381713616,3.6386082447121977,3.6668258759228456,4.128333333333333,4.128333333333333,4.20836864,4.140120975045718,4.055000000000001,4.054999814288678
1997-11-30,POMKH,2.066666666666667,8.96,0.85,14.47,1.35,1.63,5.61,3.825,1.3,4.84,8.2,0.86,1.925,3.31,3.145,1.885,3.315,3.583333333333333,2.769166666666667,2.6654166666666668,2.4620865706666666,2.510407746836286,2.4806497248927504,2.2972545171503898,8.834999999999999,8.835,8.829919808,8.747985731130369,8.94892207268796,8.960000000096406,1.38875,1.4824999999999995,1.2087999999999999,1.1666428419891817,1.1393471412047544,1.467538851297105,8.56625,8.7425,9.618275584,10.388130001877073,6.464080249651939,6.919435282751703,2.02,2.3024999999999993,1.886977152,1.3993309997887697,1.8165904029549997,2.7156032517573614,2.35125,2.5687500000000005,2.189481664,2.571255088063987,1.9972283207168502,2.5193187724020367,6.8225,7.320000000000001,6.722925696000001,7.002900075135951,6.231917109099949,6.758285277646278,4.445416666666667,4.595,4.220947392000001,4.48187008801602,4.205652042932253,4.222085455234133,2.0825,2.565,1.917737728,2.431927811419059,1.8534360406132855,1.5437688775985912,5.3187500000000005,5.590000000000002,5.33135488,5.77035062297326,5.444782327594865,5.674354520556715,8.26,8.254719999999999,8.2,1.46625,1.4675000000000002,1.189687808,1.5743671504829555,1.1631122116859123,1.298795560873455,3.9068750000000003,3.8874999999999993,3.4836272,3.6882707180725305,3.7166354015819074,3.3335372217687884,3.88625,4.154166666666666,3.827510784,3.7261201371621304,3.7728190459417728,3.8673644789215302,3.8506250000000004,4.79875,4.143927808,3.7553823045205212,5.229889432071274,5.68040161648309,3.068125,3.786250000000001,3.067268416,3.6037239869991344,3.154135849379715,3.6685337894426864,3.6806249999999996,3.7462500000000007,3.734924544,3.6251092082862524,4.069152992533329,4.867363672292974,4.128333333333333,4.128333333333333,3.9583545173333334,3.938524222852713,3.583333333333334,3.58333320018395
1998-02-28,POMRB,3.186666666666667,9.105,1.3,6.52,1.66,2.205,5.69,4.6000000000000005,1.73,4.65,8.32,2.03,3.095,3.6,3.755,2.115,3.475,4.22,2.5233333333333334,2.8808333333333334,2.7519186090666667,2.5529091805973647,2.5888629056080075,2.3355543360379905,8.834999999999999,8.835,8.9399518848,8.965388398613669,9.1263732726345,9.10500019531331,1.4208333333333334,1.3624999999999994,1.24528,1.1742538100931015,1.543545984590711,1.6603772016948581,8.39625,8.5575,8.3789653504,9.546475429516248,8.497748967495282,7.61328222556837,1.9737500000000001,2.0849999999999995,1.7961862912000002,1.2051001751224986,2.5132685055721513,2.350532284990319,2.1125000000000003,2.4312500000000004,2.1956889984,2.3056803891543076,2.538469683823148,2.667259959244713,6.5425,6.850000000000001,6.3097554176,6.749845039245529,7.014067623808344,7.446503173577679,4.262708333333333,4.4925,4.372568435200001,4.513521599472235,4.467369561651261,4.586753217689894,1.9775,2.16,1.8426426368,2.3721293931997476,3.378079605144962,3.0185309975865113,5.2675,5.4387500000000015,5.058812928,5.631442753948766,5.444451521103852,5.1156739763265815,8.26,8.280832,8.32,1.41375,1.4775,1.5258126848,1.6845174272342882,1.7521008313961925,1.3642907902216213,3.6887499999999998,3.7849999999999993,3.32817632,3.489239922553487,3.6141435896409373,3.61203239118131,3.5616666666666665,3.9833333333333334,3.7365064704,3.4118082800833607,4.130082559125351,3.9165891007724927,3.3987499999999997,4.175,3.9883566848000003,3.6000134840840006,4.335317869342774,4.436393778298361,2.7756250000000002,3.1562500000000013,2.6863610496000003,3.3453136797387852,3.315256200829336,3.588428634980416,3.4556250000000004,3.7550000000000012,3.6309547264,3.521421455349096,3.7349301331467673,3.451598012167869,4.128333333333333,4.128333333333333,4.0630127104,3.999151884989353,4.220000000000001,4.219999946169786
1998-05-31,PREMON,2.936666666666666,8.7,3.01,8.39,4.63,3.72,9.27,5.783333333333334,4.36,6.695,,2.3,6.545,4.523333333333333,4.605,5.355,4.04,4.6549999999999985,2.3670833333333334,2.6574999999999998,2.8258178321066665,2.573476520675654,3.582621848198345,3.9537656451069383,8.835,8.835,8.84397113088,8.917395746504885,8.709896556244773,8.700000024271892,1.5579166666666666,1.4149999999999994,1.951168,1.4884996890032085,2.439811193481858,2.367086189858954,6.954999999999999,8.575,8.38337921024,9.446228625379584,9.460898429523642,9.373799729858854,1.92375,1.9549999999999996,2.9297117747200003,3.396699077775721,5.081131161209607,4.973874457160855,2.0012499999999998,2.27125,2.8054133990400003,2.8040050112196924,4.0335185239304945,4.125442174252614,6.49375,6.795,7.49385325056,7.124143858592625,8.171542868766533,7.669295467217829,4.196875,4.398333333333333,4.936874394453334,4.79667029402225,5.610006930646625,5.481923312709425,2.005,2.005,2.8495855820800005,2.6792051427805346,4.421164336189817,3.843925095223409,5.295625,5.198750000000001,5.7132877568,5.845857516010779,7.32977654670367,6.646615746418316,,,,1.47375,1.455,1.83548761088,1.8241614244259452,2.9206760533746676,2.7908309910789404,3.5275,4.028749999999999,4.614905792,4.069163236492812,5.463104264519801,4.466374925725365,3.3570833333333328,3.7891666666666666,4.051237215573334,3.812055334170852,4.746105941180505,4.566412133934328,3.436875,3.52625,4.2350140108800005,3.82499138345323,5.0197987142563925,5.4248471217376695,2.641875,2.980000000000001,3.75381662976,3.7611834304061804,4.809866189887125,4.417603886968757,3.26375,3.6062500000000015,3.79457283584,3.5459730609234725,4.371884493946872,4.0451602952484125,4.128333333333333,4.128333333333333,4.299807626239999,4.221635267590481,4.654999999999999,4.654999884494562
