Date,Season,Neemuch,Nimbahera,Manasa,Neemuch_Trend,Neemuch_SMA,Neemuch_EWMA,Neemuch_DES,Neemuch_TES,Neemuch_ARIMA,Nimbahera_Trend,Nimbahera_SMA,Nimbahera_EWMA,Nimbahera_DES,Nimbahera_TES,Nimbahera_ARIMA,Manasa_Trend,Manasa_SMA,Manasa_EWMA,Manasa_DES,Manasa_TES,Manasa_ARIMA
1996-02-29,POMRB,7.76,8.403333333333334,7.561111111111113,,,7.76,8.437136302508788,6.587134301794707,0.0,,,8.403333333333334,9.410018999615545,9.654874193472736,0.0,,,7.561111111111113,5.8284628545365775,7.407258313560428,0.0
1996-05-31,PREMON,9.254,12.206666666666667,12.235555555555555,,,8.3576,8.40540790343387,8.902766971827193,3.311046306893663,,,9.924666666666667,9.420025541157857,11.590604651170393,3.715340432426099,,,9.430888888888889,6.975264646978545,10.395238522587189,7.561078038247457
1996-08-31,MONSOON,1.112,3.67,1.2262499999999998,5.1907499999999995,,5.459359999999999,8.356072392062872,2.823761944152144,4.3513128154292575,7.324791666666667,,7.4228,9.430042408356151,4.018284680357594,5.736676204478647,5.848784722222222,,6.149033333333334,4.804693722659451,3.642621268311604,11.097954753200792
1996-11-30,POMKH,3.94,5.6816666666666675,3.4022222222222216,4.8315,5.5165,4.851616,8.313198904930413,4.6107110190085105,2.540924577347989,6.788541666666667,7.490416666666667,6.726346666666666,9.440070001104163,5.985443062260742,3.7414677842266197,5.351006944444444,6.106284722222222,5.050308888888889,3.818065748293267,5.249186949742564,2.9177132767244944
1997-02-28,POMRB,5.153999999999999,7.078333333333332,5.501111111111111,5.005,4.865,4.9725696,8.273228525216823,6.752721905700725,6.630356255570094,6.557916666666666,7.159166666666666,6.867141333333333,9.450108308131973,9.598413469047824,7.4656191411376405,5.491059027777777,5.5912847222222215,5.230629777777778,3.7722929980486475,6.546118830982433,6.921816207206813
1997-05-31,PREMON,8.986,9.241666666666667,10.313333333333334,5.05075,4.798,6.57794176,8.241873162222069,8.527334851668964,7.255694512865051,6.705833333333333,6.417916666666666,7.816951466666667,9.460157369099335,11.396072293994044,10.340153229927367,6.0351388888888895,5.110729166666665,7.2637112,5.429250482187789,9.079136269491272,9.682827402854134
1997-08-31,MONSOON,2.768,4.79,4.268888888888888,4.81525,5.212,5.053965056,8.197115813280382,2.11902896299126,1.7031454439159808,6.730625,6.697916666666666,6.6061708800000005,9.470216951548244,3.5222062864956474,2.8663630467077104,6.214166666666667,5.871388888888887,6.065782275555556,5.0049536866965,2.0964989111663392,1.5491309519090581
1997-11-30,POMKH,2.65,5.745,4.712222222222222,4.6195,4.889499999999999,4.0923790336,8.15235661987424,4.423851591744041,4.628142944693577,6.749791666666667,6.713749999999998,6.261702528000001,9.480287266008899,5.665263504793659,5.892496878567108,6.261059027777778,6.198888888888888,5.524358254222222,4.792664175913023,5.444481129501985,4.809063585000622
1998-02-28,POMRB,4.56,7.213333333333334,5.623333333333332,5.203999999999999,4.740999999999999,4.279427420159999,8.112030354101877,6.250038114652456,5.977428643433516,6.795833333333334,6.747499999999999,6.642354850133334,9.49036834281958,9.319976608896937,7.45126536084924,6.5003125,6.229444444444443,5.563948285866666,4.928962358854225,7.164439410534616,6.362695585507702
1998-05-31,PREMON,8.014,9.26,10.56625,6.388999999999999,4.497999999999998,5.773256452096,8.079493294765577,8.35536126362471,7.866834835549001,6.975,6.752083333333331,7.68941291008,9.500460214747354,11.162635146047403,10.23170500883166,7.086145833333333,6.292673611111109,7.56486897152,6.788605891098471,9.5091895071353,10.100539614960034
