Date,Season,Rupnagar,Nurpur Bedi,Morinda,Chamkaur Sahib,Anandpur Sahib,Rupnagar_Trend,Rupnagar_SMA,Rupnagar_EWMA,Rupnagar_DES,Rupnagar_TES,Rupnagar_ARIMA,Nurpur Bedi_Trend,Nurpur Bedi_SMA,Nurpur Bedi_EWMA,Nurpur Bedi_DES,Nurpur Bedi_TES,Nurpur Bedi_ARIMA,Morinda_Trend,Morinda_SMA,Morinda_EWMA,Morinda_DES,Morinda_TES,Morinda_ARIMA,Chamkaur Sahib_Trend,Chamkaur Sahib_SMA,Chamkaur Sahib_EWMA,Chamkaur Sahib_DES,Chamkaur Sahib_TES,Chamkaur Sahib_ARIMA,Anandpur Sahib_Trend,Anandpur Sahib_SMA,Anandpur Sahib_EWMA,Anandpur Sahib_DES,Anandpur Sahib_TES,Anandpur Sahib_ARIMA
1996-02-29,POMRB,5.59,4.833333333333333,16.65,7.9700000000000015,3.6760000000000006,,,5.59,5.651634044721293,5.573097973490926,0.0,,,4.833333333333333,4.902537687669679,4.833643516841778,0.0,,,16.65,15.186535864529063,15.260590863727398,0.0,,,7.9700000000000015,8.432687657509094,7.70065175383864,0.0,,,3.6760000000000006,3.401997220388122,3.4984534112619534,0.0
1996-05-31,PREMON,6.3874999999999975,6.6866666666666665,16.705,10.28,4.166,,,5.908999999999999,5.809887239009919,6.295211832026015,5.589996484104505,,,5.574666666666667,5.731645594785244,5.840408131538658,4.833330102423623,,,16.671999999999997,15.457071821604048,16.960718193951696,16.649376608710035,,,8.894000000000002,9.173242906021828,9.893544131240327,7.969984561077914,,,3.8720000000000008,3.50306058042205,4.086477290369106,3.675997925940056
1996-08-31,MONSOON,5.101428571428571,3.33,17.16,9.606666666666667,1.7020000000000004,5.56174107142857,,5.585971428571428,5.626182162604299,5.298039559791715,6.016117631309128,4.574583333333333,,4.6768,4.699346255829715,5.217510755741846,6.0450999465192155,15.896249999999998,,16.867199999999997,15.747435649169784,16.872977775445996,16.666752634016838,8.716354166666667,,9.179066666666667,9.387460478012535,10.195376893612323,9.434731027890358,3.2757500000000004,,3.0040000000000004,3.3238586504744627,2.5345599742636518,4.04892582708206
1996-11-30,POMKH,4.914285714285714,3.1833333333333336,13.68,7.0625,3.134,5.57252232142857,5.498303571428571,5.317297142857142,5.442176019753143,5.274442281715334,5.645331486698948,4.441666666666666,4.508333333333333,4.079413333333333,4.055064768910812,3.9069558657960854,4.397843271832868,15.66875,16.04875,15.592319999999997,15.680721781473094,14.37205795967316,16.763402403593965,8.693333333333333,8.729791666666667,8.33244,8.567914076479768,8.833064790036818,9.265996015714835,3.388,3.1695,3.056,3.3201077390334017,2.8280649597868806,2.3400192730217273
1997-02-28,POMRB,6.0974999999999975,5.363333333333333,15.43,7.8625,4.526,5.552031249999999,5.62517857142857,5.629378285714284,5.581968246465684,5.427694701507066,5.387754871096665,4.33875,4.640833333333333,4.5929813333333325,4.666160233820149,4.116445318981367,3.6021772195563924,15.580625000000001,15.74375,15.527391999999999,15.786668524357063,16.639787003422782,16.733244504575,8.538541666666667,8.702916666666667,8.144464,8.351425610637346,7.366899091677169,7.9635508777370525,3.55775,3.382,3.644,3.4691226594279017,3.5867804539127874,3.6641704672876125
1997-05-31,PREMON,5.96625,5.093333333333334,16.105,10.203333333333333,4.214,5.86845238095238,5.51986607142857,5.764126971428571,5.657281791245104,6.361915652252131,5.785977725065553,4.363333333333333,4.2425,4.793122133333333,4.888399998610376,5.8570465988399825,5.323095619217255,15.8,15.59375,15.7584352,15.947748516601454,17.32133120984546,16.23247525754088,8.376770833333333,8.68375,8.968011733333332,9.093248039510538,9.660805615342177,8.955006422729246,3.7025,3.394,3.872,3.568436423408056,4.295133336285594,4.163604660670038
1997-08-31,MONSOON,5.3587500000000015,4.1000000000000005,17.055,8.445,3.0120000000000005,6.042663690476191,5.584196428571428,5.601976182857143,5.5709310254949695,5.206223013033723,5.564067858266945,3.980833333333333,4.4350000000000005,4.51587328,4.569950408220746,4.286860861570959,4.077175629917646,15.423124999999999,15.567500000000003,16.27706112,16.185381326724226,17.44991539664421,16.431305885855366,8.195520833333333,8.393333333333333,8.75880704,8.901163400428954,10.032319169333178,9.350508736780114,3.43375,3.7215000000000003,3.5280000000000005,3.5258115379337034,2.579889571170578,2.39396472192506
1997-11-30,POMKH,7.188333333333333,2.61,15.54,6.93,2.982,5.923087797619049,6.152708333333332,6.236519043047619,5.937852490721644,5.296049336332483,5.458321246748999,3.5804166666666672,4.291666666666667,3.753523968,3.7267741018729437,3.976948250524937,4.042453407905357,15.545625000000001,16.0325,15.982236671999999,16.25787865597143,14.39974927847948,14.378992231103501,7.821979166666667,8.360208333333333,8.027284224,8.2116295214179,8.224162014464795,7.862425165701742,3.1850625000000004,3.6835000000000004,3.3096,3.4843502130449466,3.2656297941189187,3.434897115301907
1998-02-28,POMRB,5.217142857142859,2.876666666666667,10.555,6.545,2.528,5.835141369047619,5.932619047619047,5.828768568685716,5.750894097004187,6.181046626452022,6.238506263415722,3.3329166666666667,3.670000000000001,3.402781047466667,3.37290823036726,3.807912461915913,3.8193514251371603,16.255625000000002,14.81375,13.8113420032,15.848773475258454,16.521434680048294,15.551727375637125,7.421249999999999,8.030833333333334,7.4343705344,7.632481130281459,6.970694010767265,7.726893580383113,2.978375,3.184,2.99696,3.3975181320655694,4.013641526768715,3.8255856391079104
1998-05-31,PREMON,5.889999999999999,4.376666666666667,21.96,8.532499999999999,4.2225,5.335372023809524,5.913556547619048,5.853261141211428,5.767764018505773,6.5845284993584885,6.021228734817978,3.1195833333333334,3.4908333333333346,3.7923352951466667,3.843544195387633,4.266925575683985,3.6197745808686497,15.907499999999999,16.2775,17.070805201920003,16.56268649634436,16.886404730277572,16.492899176751738,7.175624999999998,7.613125,7.873622320639999,8.01310332949468,8.853273574478374,8.438108866403706,2.6369375,3.186125,3.487176,3.5052335807188393,4.141862764393574,3.4301594609189583
