Date,Season,Anjangaon Surji,Teosa,Chandur Railway,Chandurbazar,Morshi,Bhatkuli,Achalpur,Warud,Chikhaldara,Dharni,Amravati,Nandgaon Khandeshwar,Daryapur,Dhamangaon Railway,Anjangaon Surji_Trend,Anjangaon Surji_SMA,Anjangaon Surji_EWMA,Anjangaon Surji_DES,Anjangaon Surji_TES,Anjangaon Surji_ARIMA,Teosa_Trend,Teosa_SMA,Teosa_EWMA,Teosa_DES,Teosa_TES,Teosa_ARIMA,Chandur Railway_Trend,Chandur Railway_SMA,Chandur Railway_EWMA,Chandur Railway_DES,Chandur Railway_TES,Chandur Railway_ARIMA,Chandurbazar_Trend,Chandurbazar_SMA,Chandurbazar_EWMA,Chandurbazar_DES,Chandurbazar_TES,Chandurbazar_ARIMA,Morshi_Trend,Morshi_SMA,Morshi_EWMA,Morshi_DES,Morshi_TES,Morshi_ARIMA,Bhatkuli_Trend,Bhatkuli_SMA,Bhatkuli_EWMA,Bhatkuli_DES,Bhatkuli_TES,Bhatkuli_ARIMA,Achalpur_Trend,Achalpur_SMA,Achalpur_EWMA,Achalpur_DES,Achalpur_TES,Achalpur_ARIMA,Warud_Trend,Warud_SMA,Warud_EWMA,Warud_DES,Warud_TES,Warud_ARIMA,Chikhaldara_Trend,Chikhaldara_SMA,Chikhaldara_EWMA,Chikhaldara_DES,Chikhaldara_TES,Chikhaldara_ARIMA,Dharni_Trend,Dharni_SMA,Dharni_EWMA,Dharni_DES,Dharni_TES,Dharni_ARIMA,Amravati_Trend,Amravati_SMA,Amravati_EWMA,Amravati_DES,Amravati_TES,Amravati_ARIMA,Nandgaon Khandeshwar_Trend,Nandgaon Khandeshwar_SMA,Nandgaon Khandeshwar_EWMA,Nandgaon Khandeshwar_DES,Nandgaon Khandeshwar_TES,Nandgaon Khandeshwar_ARIMA,Daryapur_Trend,Daryapur_SMA,Daryapur_EWMA,Daryapur_DES,Daryapur_TES,Daryapur_ARIMA,Dhamangaon Railway_Trend,Dhamangaon Railway_SMA,Dhamangaon Railway_EWMA,Dhamangaon Railway_DES,Dhamangaon Railway_TES,Dhamangaon Railway_ARIMA
1996-02-29,POMRB,17.168214285714278,6.3,4.3,9.55,6.791666666666668,5.7,11.7,12.608333333333333,3.625,3.85,5.154,5.6999999999999975,13.35,5.2125,,,17.168214285714278,16.423940530607418,17.090182546805618,0.0,,,6.3,6.544015626451194,6.385826268984042,0.0,,,4.3,4.3227884424963205,4.0998907801728794,0.0,,,9.55,11.202078108867427,10.11494195526059,0.0,,,6.791666666666668,7.462006052375344,7.245451633172071,0.0,,,5.7,5.94717368849576,6.241523265361659,0.0,,,11.7,13.222253518739649,12.397010265735787,0.0,,,12.608333333333333,13.172838024220015,12.078462647769381,0.0,,,3.625,3.9254038868052716,3.897682945097179,0.0,,,3.85,8.454647759244022,3.6242430183324297,0.0,,,5.154,5.291874611055184,4.973180774290818,0.0,,,5.6999999999999975,5.969783788104021,6.335454369502254,0.0,,,13.35,13.450905092063387,13.903153108496856,0.0,,,5.2125,10.985936242986948,6.201185738008221,0.0
1996-05-31,PREMON,15.933690476190476,8.5,4.55,11.966666666666667,8.750000000000002,11.71,14.35,18.63,4.75,6.510416666666666,5.709999999999999,9.0,13.9,9.175,,,16.674404761904757,16.304431578263774,16.153349890201106,8.179372453082381,,,7.18,6.544862848254431,8.406787888681233,3.0569305253266483,,,4.3999999999999995,4.367350924828571,6.042409851072098,3.54171743559206,,,10.516666666666667,11.38243282617062,13.701253585386867,1.4541877562207657,,,7.575000000000001,7.631530585315081,8.988664497602509,6.791657232098773,,,8.104,6.868805257748163,10.177307085900829,1.237497419072865e-12,,,12.76,13.414002755428955,13.473121063322472,10.999938550568046,,,15.017,14.309187780588779,18.78321220086864,12.60825795796032,,,4.075,4.042951399104478,5.156241790288016,3.624992230327254,,,4.914166666666667,11.488888765183244,6.450756881802051,1.36906004611361,,,5.3764,5.296699407628844,6.475723794143502,3.185297509212413,,,7.019999999999999,5.971821977468026,8.240605672546126,3.437792828031655,,,13.57,13.500063344049394,13.697726955717927,13.349891321393795,,,6.7975,14.837057419591849,7.901518020736263,5.212489052131758
1996-08-31,MONSOON,16.608472222222225,5.029999999999999,4.42,11.86,7.698666666666666,5.42,13.45,7.21,4.305,1.366666666666667,3.732,5.445,12.4,5.976666666666668,15.827344246031743,,16.648031746031744,16.332855238853085,16.530636311042883,4.779124691604474,6.238333333333333,,6.32,6.538799866469218,4.956335962135473,4.419246664809287,4.03625,,4.4079999999999995,4.354971951503441,2.33698866585258,3.948229390968306,11.555729166666666,,11.054,11.503610489789853,10.417598522779853,1.9736909364157915,7.684796875000002,,7.624466666666668,7.624621165563649,5.687705809534778,8.16021369558797,6.7250000000000005,,7.030399999999999,5.9809674069056955,6.424000328372753,1.7494865616576376e-12,13.7875,,13.036,13.323769585743342,13.6388519667351,12.585817525405748,12.534541666666666,,11.8942,12.658881094437646,10.452600872084341,15.985380512070172,4.048184523809524,,4.167,4.0889715288023005,2.8169662868371566,4.377447059662113,3.4305208333333335,,3.4951666666666665,9.174961656995507,1.7392529529988323,2.452001525484673,4.346749999999999,,4.718640000000001,5.23096285469109,3.047076951149564,3.550053908984008,6.548749999999999,,6.389999999999999,5.972774966514398,4.575347296963521,5.4755738147278405,12.87875,,13.102,13.197812338898164,11.706803521890908,13.631228337778413,6.524479166666667,,6.469166666666668,12.556534299104234,4.752581293324586,7.835771434847754
1996-11-30,POMKH,13.598999999999998,5.133333333333334,3.1,11.375,6.9006250000000025,4.12,14.0,12.054,3.478571428571428,2.3625000000000003,3.2439999999999998,5.325,11.5,5.31,15.827344246031744,15.827344246031744,15.428419047619045,15.796225594142713,13.785575191364542,11.880909279796201,6.206666666666667,6.240833333333333,5.8453333333333335,6.532951765107333,5.563581429805267,3.9249856918388257,4.0737499999999995,4.0925,3.8848,3.918388586161215,2.7625005313065003,4.04384902070038,12.196145833333333,11.187916666666666,11.1824,11.499303599923334,11.007475228097384,2.9942364666780903,7.932791666666668,7.535239583333334,7.334930000000002,7.503634032888141,6.702658538440312,7.394288487897916,6.913749999999999,6.7375,5.8662399999999995,4.973851168532953,5.293919456986261,1.053285103114264e-12,14.025,13.375,13.4216,13.427770521305183,13.914778110597485,13.5607204729244,12.943916666666668,12.625583333333333,11.958120000000001,12.455682443084273,10.383538527629817,11.984868708882683,4.135892857142856,4.039642857142857,3.8916285714285714,4.023638222757299,3.460158781001077,4.128114736433423,3.3790104166666666,3.5223958333333334,3.0421,6.9525899679692245,2.9053474917211375,1.469273282186904,4.567428571428571,4.46,4.1287840000000005,5.149745956655233,4.053851109638923,3.1960412961287132,6.38625,6.367499999999999,5.9639999999999995,5.973691219383881,5.669306862357824,4.376460603002331,13.6075,12.7875,12.461200000000002,12.761226166860865,13.40511542170259,13.190142556117452,6.621041666666667,6.418541666666667,6.005500000000001,9.06523919747382,6.364474943540322,5.864544988481519
1997-02-28,POMRB,17.168214285714278,6.28,3.85,12.4925,7.988125000000001,5.6,15.0,11.88,3.693333333333333,3.115,4.247999999999998,7.15,14.08,6.06,15.827344246031746,15.827344246031744,16.124337142857136,16.024148601128836,17.035391528814376,9.353260234275114,6.41125,6.235833333333333,6.0192000000000005,6.529397849496476,6.3195742402123285,5.919851271091673,4.27125,3.9800000000000004,3.8708799999999997,3.86976484629266,4.782101628541736,3.738461179891555,12.73625,11.923541666666665,11.70644,11.727649075558604,10.284634094533704,8.880613828442206,7.932479166666667,7.834354166666668,7.596208000000002,7.5571912905676495,7.975331209481528,6.869498681705608,7.42375,6.7124999999999995,5.7597439999999995,4.658638515671789,5.94030883410846,5.294649805586914,14.176874999999999,14.2,14.052959999999999,13.829914497529069,12.23933295184053,12.88668269453948,13.967333333333336,12.4435,11.926872000000001,12.260061133662582,11.784326738527078,11.638245824681114,4.055997023809524,4.05672619047619,3.812310476190476,3.9938976623832727,4.180129814339001,3.8097237376879782,3.5229166666666667,3.338645833333333,3.07126,5.307724301365853,3.537664799625655,3.6506072798844538,5.438964285714285,4.233499999999999,4.1764703999999995,5.106677599643219,4.7096661318166255,4.70607090315467,6.428125,6.73,6.4384,5.975164339341296,6.667541228622564,5.403805882723074,13.445,12.97,13.108720000000002,13.010253319912223,13.514893169240146,12.832736149710936,7.018750000000001,6.630416666666667,6.0273,7.047146594878099,6.40545744131622,5.3034319399059076
1997-05-31,PREMON,15.933690476190476,8.266666666666667,5.3,14.1475,9.5375,13.32,12.95,22.633333333333336,5.383333333333333,6.833333333333332,8.381428571428572,6.25,19.0,9.1,15.827344246031744,15.827344246031743,16.048078476190472,15.979684710015778,16.110549494730638,13.186333678408635,6.708333333333334,6.1775,6.918186666666667,6.5298111769885665,8.35426278571781,7.899994439615032,4.5024999999999995,4.1675,4.442527999999999,4.3077322733593535,6.203233424331338,3.859992173725238,13.211875,12.468749999999998,12.682864000000002,12.25232412057284,14.491133105343206,11.342709925757845,7.847989276960784,8.031229166666668,8.3727248,7.826350706055749,9.936884467034119,8.975592347931274,8.0675,7.115,8.7838464,6.893266112111776,10.298852513451951,10.877254249723403,14.648125,13.85,13.611775999999999,13.558123408377678,14.750115716517472,15.033422372691229,14.322125,13.444333333333336,16.209456533333334,14.490012980186405,18.14507397538052,15.83864599451323,3.8051686507936506,4.215059523809523,4.440719619047619,4.183842110529625,5.3605632379997825,4.291013181813214,3.746770833333333,3.419375,4.576089333333333,6.219261903545479,6.196620162509822,5.931235779077678,6.366607142857142,4.901357142857142,5.858453668571428,5.212296151226262,5.929114600221098,4.899894052881659,6.93875,6.0425,6.36304,5.976362611442255,9.081788216222913,8.939483894202784,12.710625,14.245,15.465232,14.317283363869524,13.587286195446149,13.230701987478575,7.664166666666667,6.611666666666667,7.25638,8.271249078738313,8.394943357576768,8.9833938209098
1997-08-31,MONSOON,16.608472222222225,6.9,5.25,14.000000000000002,6.908666666666665,7.89,16.065,11.394,3.0325,2.195,8.032857142857143,8.53,6.0,9.233333333333333,15.827344246031743,15.82734424603174,16.272235974603174,16.06906670121446,16.497202476089843,9.85634944138002,6.668333333333334,6.645,6.910912,6.527506527447091,4.850149620279932,4.831331492216403,4.97375,4.375,4.765516799999999,4.584412845321818,2.769130158508129,4.354802668959907,13.23,13.003749999999998,13.209718400000003,12.63861140128759,11.518589394658074,11.169466119032219,7.701013174019606,7.833729166666668,7.787101546666666,7.676992402819486,6.560715194227949,8.234605645178513,8.3025,7.7325,8.42630784,7.293283019725705,6.3203768818189054,5.034561744961769,14.53625,14.50375,14.5930656,14.274387405379217,13.882695280530234,13.509518822326882,13.967666666666668,14.490333333333338,14.28327392,13.725167762649203,10.676848401534457,11.236832341616369,3.804861111111111,3.8969345238095228,3.8774317714285713,4.04967224656947,3.375405462102615,4.516662590260075,4.053958333333333,3.6264583333333333,3.6236536,4.186986326152698,1.6342324451656922,1.5534749806643033,6.746642857142857,5.976571428571428,6.7282150582857145,5.30271238706247,3.918412846581713,5.717744750583749,7.020624999999998,6.813750000000001,7.229824,5.978256579627593,3.781111618478512,3.8887647999257764,13.59625,12.645,11.6791392,12.375583844638562,12.890838512119618,13.991634313779997,7.961666666666666,7.425833333333333,8.047161333333333,9.220570761792537,4.990479545627084,6.240648897017445
1997-11-30,POMKH,13.598999999999998,5.6400000000000015,4.12,13.04,7.01470588235294,6.8,15.155,10.708333333333334,2.744444444444444,3.325,6.364285714285713,6.3249999999999975,12.025,7.216666666666668,15.827344246031744,15.82734424603174,15.202941584761902,15.581952880860115,13.759458112132448,9.895067328168103,6.620833333333334,6.7716666666666665,6.402547200000001,6.522697779723426,6.0438982972154776,5.701263062415033,5.254999999999999,4.63,4.50731008,4.402796865553087,3.3778573352463352,3.9120961180013314,13.109062500000002,13.419999999999998,13.141831040000003,12.746432177509478,12.340858815967113,10.725691390744982,7.366964460784314,7.862249387254903,7.478143280941176,7.564790836929195,6.7974453456482715,6.442220576250358,7.800000000000001,8.4025,7.775784703999999,7.293430034758158,5.591473618395931,3.8270100349154816,14.517499999999998,14.7925,14.81783936,14.605903049215867,14.733544608276464,14.086558512541826,13.089750000000002,14.153916666666671,12.853297685333334,12.98204000218253,13.388372366936462,14.572460579354924,3.999902777777778,3.7134027777777767,3.4242368406349204,3.895420435916107,3.3107453205585218,3.413763577697468,4.160104166666667,3.8670833333333334,3.50419216,3.4093705165874804,3.041514701730512,2.5974060056844785,6.443964285714285,6.7566428571428565,6.582643320685714,5.3312547284841605,6.436316819582521,5.690402248745912,7.253124999999999,7.06375,6.867894399999999,5.979477374135127,6.641668295066962,6.500515275803033,13.76,12.77625,11.81748352,12.247652948655269,12.704981713424248,12.173335418899814,7.958333333333334,7.902500000000001,7.714963466666667,8.061562822077711,7.959415258539791,7.0696389022116755
1998-02-28,POMRB,17.168214285714278,5.453333333333332,6.6,10.9725,6.698235294117647,4.8,12.95,10.39,4.425,4.61,4.168,6.805,20.64,6.533333333333334,15.827344246031746,15.82734424603174,15.989050665142852,15.850097082179275,17.014989985629946,8.153786454529861,6.4425,6.5649999999999995,6.022861653333333,6.51752532375936,6.807711342765397,6.257806007646875,5.03625,5.317499999999999,5.3443860480000005,5.086028963494382,5.583798117964425,4.328241286810789,13.209375,13.039999999999997,12.274098624,12.40330495943079,11.692189541530416,11.652203134932874,7.140568627450979,7.539776960784315,7.166180086211765,7.423374651008351,8.07914688025203,7.520484106343558,7.217499999999999,8.202499999999999,6.5854708224,6.645373322960849,6.7950292328238815,5.396594094334516,14.298958333333335,14.280000000000001,14.070703616,14.207882684953121,14.478552552833492,15.50480413563502,12.438833333333335,13.78141666666667,11.867978611200002,12.337043003886695,12.7698233598263,12.983530400560067,4.139423611111111,3.8963194444444436,3.824542104380952,3.975172869046945,3.800303929976382,3.3320693945441726,4.08,4.240833333333333,3.9465152960000003,3.708283533213651,3.88736444657896,3.5284050210059394,5.694678571428571,6.736642857142857,5.616785992411428,5.280780713238866,7.417233138971065,5.518190816239419,7.374999999999998,6.977500000000001,6.84273664,5.980844516023866,7.652489219179472,6.911134409670408,13.8225,14.416250000000002,15.346490112,14.10237305874876,13.119130232968097,12.814237006080628,7.633333333333334,8.020833333333334,7.242311413333335,6.788291969898015,8.140529662324115,6.890149191953973
1998-05-31,PREMON,15.933690476190476,8.713333333333333,4.8,14.7,8.155,10.1,14.85,17.1,6.2120000000000015,6.1875,6.040000000000001,8.455,13.75,8.6,15.827344246031744,15.827344246031739,15.966906589561901,15.838304453124666,16.094612683397052,11.61974936539527,6.640833333333333,6.676666666666666,7.099050325333333,6.518858670197145,8.452185355446682,7.72280078712641,4.74,5.192499999999999,5.1266316288,4.958909855694255,7.902130872329609,5.777470124793052,12.813749999999999,13.178124999999996,13.2444591744,12.90375138571567,15.243889144781788,12.681409751287578,6.9101470588235285,7.194151960784314,7.561708051727059,7.512746756636738,9.388501178388761,8.421872231400979,6.6499999999999995,7.397499999999999,7.99128249344,7.710056136584318,11.505404333098568,12.113592583756528,13.676666666666666,14.754999999999999,14.382422169599998,14.435418415498965,13.885026671948777,12.741131747158787,12.101458333333333,12.398083333333336,13.960787166720001,13.324242700976017,19.41418352896225,19.000382955679008,4.310430555555556,4.103486111111111,4.779525262628572,4.273353122146293,5.363977502190004,4.613742038109752,4.0415625,4.079375,4.8429091776,5.034890023529262,6.842276570755874,6.878268061901673,4.8975357142857145,6.151285714285715,5.786071595446857,5.298542385525047,7.408412321244166,6.222966813000214,7.474375,7.5287500000000005,7.487641984,5.982715062843679,9.461080220678959,6.78456683218486,15.413125,13.103750000000002,14.7078940672,13.967276420340426,14.91960479045914,15.728346710315558,7.085416666666667,7.895833333333334,7.785386848,7.776939243626103,9.562819786247003,9.00341591013629
