Date,Season,Silonijan,Silonijan_Trend,Silonijan_SMA,Silonijan_EWMA,Silonijan_DES,Silonijan_TES,Silonijan_ARIMA
1996-02-29,POMRB,4.338518518518518,,,4.338518518518518,4.8866245362514675,5.252455973346829,0.0
1996-05-31,PREMON,4.6433333333333335,,,4.460444444444445,5.14868687638618,5.042893984670776,4.795148470574048e-08
1996-08-31,MONSOON,4.3412000000000015,4.54671737891738,,4.412746666666667,5.264405040394141,3.3864244277433486,1.1385035570190717e-08
1996-11-30,POMKH,4.396923076923079,4.771883054626533,4.429993732193733,4.4064172307692315,5.334164569414484,4.447954692066342,3.970047328427619e-08
1997-02-28,POMRB,5.2723076923076935,4.834525083612041,4.663441025641026,4.752773415384617,5.582546758318979,5.2517636203116425,4.22713545044649
1997-05-31,PREMON,5.510869565217392,4.876088865663323,4.88032508361204,5.0560118753177274,5.837638007174349,5.042789000850187,4.524124734817399
1997-08-31,MONSOON,3.9748,4.985924602842809,4.788725083612039,4.623527125190637,5.628968193952166,3.3874190318917052,4.229748090097756
1997-11-30,POMKH,5.095833333333333,4.857194112318841,4.963452647714602,4.812449608447715,5.6786990406105655,4.4482105566232875,4.284040584478205
1998-02-28,POMRB,5.4520833333333325,4.544093589743589,5.008396557971013,5.068303098401962,5.786062978333548,5.252260899405476,4.7449571342153645
1998-05-31,PREMON,4.3012500000000005,4.3153250418060205,4.705991666666665,4.761481859041178,5.560237359836091,5.043619604602892,5.012928483798144
1998-08-31,MONSOON,2.6796153846153845,4.203791980211817,4.382195512820511,3.9287352692708604,4.916768089441078,3.3879854495147517,4.102740055983634
1998-11-30,POMKH,4.560869565217392,4.489910639632108,4.248454570791525,4.181588987649473,4.790238773253238,4.448451422511219,4.686103950591158
1999-02-28,POMRB,5.0947826086956525,4.944546784737003,4.159129389632104,4.546866436067945,4.81614927798205,5.252068463064116,4.9818867624879415
1999-05-31,PREMON,6.9475000000000025,5.082270256916997,4.820691889632105,5.507119861640768,5.325872576714315,5.042731325147074,4.77317825720491
1999-08-31,MONSOON,3.6704545454545454,5.087853507905139,5.068401679841895,4.772453735166279,4.965685586939735,3.387861523171263,3.6241014526347075
1999-11-30,POMKH,4.671818181818184,4.897927556818182,5.096138833992094,4.732199513827041,4.87948124079429,4.449124511829132,4.6434116115605635
2000-02-29,POMRB,5.028499999999998,4.586990983201581,5.07956818181818,4.850719708296224,4.8930953578146195,5.252602203125714,5.010244379657637
2000-05-31,PREMON,5.494375,4.4287745800395255,4.716286931818179,5.108181824977734,5.028768840229242,5.044549832964675,5.331398177478484
2000-08-31,MONSOON,2.6360869565217397,4.434541625494072,4.457695034584978,4.119343877595337,4.437641987026583,3.38824652553707,3.6355357020228225
2000-11-30,POMKH,4.440454545454545,4.400807250494072,4.399854125494068,4.24778814473902,4.352628855450897,4.449181284268996,4.650098298712818
2001-02-28,POMRB,5.306000000000002,4.507718255928855,4.469229125494069,4.671072886843413,4.5088637117214905,5.252311595933741,5.013428908107646
2001-05-31,PREMON,4.947000000000001,4.654017045454546,4.33238537549407,4.781443732106048,4.5757840174510696,5.044763115161253,5.36504151427847
2001-08-31,MONSOON,4.038749999999999,4.595545454545455,4.683051136363635,4.484366239263629,4.415080568758642,3.3875463665455294,3.424411714676079
2001-11-30,POMKH,4.208181818181819,4.495613389328063,4.624982954545453,4.373892470830905,4.315870311649232,4.449344843301282,4.60529862411273
2002-02-28,POMRB,5.0705,4.349575074110672,4.566107954545452,4.652535482498543,4.452008965535555,5.252449413584805,5.065679610155028
2002-05-31,PREMON,4.383043478260869,4.268373180171278,4.425118824110669,4.544738680803473,4.411917185520123,5.044739097800297,5.288724959120615
2002-08-31,MONSOON,3.4343999999999992,4.283141666666666,4.274031324110669,4.100603208482084,4.140818746663375,3.387837471203479,3.5350672046957277
2002-11-30,POMKH,4.162916666666667,4.357231979965899,4.2627150362318815,4.125528591755916,4.082072595310748,4.448902177158474,4.532867029359643
2003-02-28,POMRB,5.23391304347826,4.364876912830349,4.303568297101447,4.568882372444854,4.311684645528916,5.252031511828073,5.065781970736776
2003-05-31,PREMON,4.812352941176472,4.312451912830349,4.410895662830347,4.666270599937501,4.426597283250151,5.044063864946959,5.142844899220988
2003-08-31,MONSOON,3.06625,4.302379449062234,4.318858162830347,4.026262359962501,4.092608079652281,3.3877305134605256,3.518462514070505
2003-11-30,POMKH,4.111666666666667,4.316843030690537,4.306045662830347,4.060424082644167,4.050357055123539,4.448481690433781,4.47296437016928
2004-02-29,POMRB,5.204583333333333,4.452254076086956,4.298713235294115,4.518087782919833,4.298480545173756,5.251765999390122,5.089583572499851
2004-05-31,PREMON,4.957391304347826,4.560681159420289,4.334972826086954,4.693809191491031,4.472681170250459,5.0436551200340505,5.094060289553563
2004-08-31,MONSOON,4.004499999999998,4.500993659420289,4.569535326086954,4.418085514894618,4.388639430657354,3.3873057780385687,3.452176083708785
2004-11-30,POMKH,4.0408333333333335,4.409831651138717,4.551826992753621,4.267184642270104,4.314536560283296,4.448310661285643,4.419784541583157
2005-02-28,POMRB,4.797916666666667,4.299395021645021,4.450160326086954,4.479477452028729,4.437324564337677,5.251758214063482,5.104395096944738
2005-05-31,PREMON,4.6347619047619055,4.316114718614719,4.369502976190474,4.541591233122,4.509086751938192,5.043508500749349,5.074983335807821
2005-08-31,MONSOON,3.443636363636364,4.632230564574315,4.229287067099566,4.102409285327745,4.268493533174913,3.3875132487197686,3.5260911824999477
