Date,Season,Bijapur,Asur,Bhopal Patnam,Bheramgarh,Bijapur_Trend,Bijapur_SMA,Bijapur_EWMA,Bijapur_DES,Bijapur_TES,Bijapur_ARIMA,Asur_Trend,Asur_SMA,Asur_EWMA,Asur_DES,Asur_TES,Asur_ARIMA,Bhopal Patnam_Trend,Bhopal Patnam_SMA,Bhopal Patnam_EWMA,Bhopal Patnam_DES,Bhopal Patnam_TES,Bhopal Patnam_ARIMA,Bheramgarh_Trend,Bheramgarh_SMA,Bheramgarh_EWMA,Bheramgarh_DES,Bheramgarh_TES,Bheramgarh_ARIMA
1998-05-31,PREMON,7.615454545454546,6.030000000000001,7.7650000000000015,8.1675,5.988667322261073,7.222637674825176,6.968478669657511,6.626012449486049,8.220872944942272,6.859368949369893,3.4930208333333335,3.4894791666666665,4.490884963840001,4.7022493201592725,6.01937746777664,6.06905158655188,4.841875000000001,4.916874999999999,5.92289694208,6.095726669467556,7.853900338235912,7.501617181874752,4.1125,4.936249999999999,5.77913677824,2.513633920071561,7.467267857193082,7.7666475541098805
1998-08-31,MONSOON,5.6816666666666675,1.3166666666666669,3.065,1.7699999999999998,5.3544726107226115,6.353054341491842,6.453753868461174,6.483598609867487,7.162532718128897,6.605645665285964,3.583489583333334,3.4894791666666665,3.221197644970667,3.0743896145090384,1.300347739185984,1.4003789051660704,4.6525,5.003749999999999,4.779738165248,4.678769094037416,2.897737668051958,2.5331717305290233,3.9887499999999996,4.272499999999999,4.175482066943999,2.2468792238586692,1.5401358079371374,2.89048255141652
1998-11-30,POMKH,2.7661538461538457,2.4916666666666667,2.64,2.005,4.939649766899767,5.624280303030304,4.978713859538242,5.818608719154732,4.952265358661879,5.23145573113459,3.7137500000000006,3.4965625,2.929385253649067,2.5651360571849167,2.492215117480846,2.4281288345232483,4.638125,4.68,3.9238428991488,3.4221809983913007,4.231218113236794,3.782822310401232,3.961875,3.952499999999999,3.3072892401663996,2.0635631801810703,2.8135644890654854,2.639894439127125
1999-02-28,POMRB,4.275384615384615,4.843333333333334,5.03,4.1575,4.76913782051282,5.084664918414919,4.697382161876791,5.559203562911351,5.367178032897162,4.932823976673626,3.7570833333333336,3.670416666666666,3.6949644855227737,3.6987804705563843,4.206454546719076,4.842109791505636,4.528437500000001,4.625,4.366305739489279,3.97778562641975,5.315358222493094,5.400204546926485,3.8175,4.024999999999999,3.64737354409984,2.277052588547051,4.963612445259195,4.53694117670175
1999-05-31,PREMON,6.455333333333333,6.376666666666668,7.87,7.6625,5.060371794871794,4.7946346153846156,5.400562630459408,5.757433431307523,6.651351086314804,6.005448440301735,3.7606250000000006,3.757083333333333,4.7676453579803315,5.715267569725662,6.635542598500247,6.3705698792207075,4.47625,4.65125,5.767783443693568,6.395784263042188,7.689628152591285,7.734111846013572,3.851458333333333,3.898749999999999,5.253424126459904,3.122819659610993,7.468738497390202,7.823231351224322
1999-08-31,MONSOON,5.477692307692307,1.3166666666666669,2.0825,1.12,5.552590201465201,4.7436410256410255,5.4314145013525685,5.735453750448227,5.73117778939578,5.804924199748879,3.677239583333334,3.757083333333333,3.387253881454866,3.950593258124232,1.6786277321453476,1.3252203662070934,4.555625,4.405625,4.293670066216141,4.591479045093321,2.8592046840024583,2.7844283986661145,4.219479166666666,3.736249999999999,3.6000544758759423,2.798454732026279,1.541165428589124,2.2655088481078662
1999-11-30,POMKH,5.3,2.52,3.205,2.9266666666666667,5.628304029304029,5.3771025641025645,5.378848700811542,5.6840563741517975,3.93513402070527,4.5324401387243896,3.546979166666667,3.764166666666666,3.0403523288729195,3.2041458037283257,2.536588983800556,2.4612167638785833,4.495625,4.546875,3.8582020397296843,3.802933843338797,3.1490218090025346,3.361740729369478,4.500729166666667,3.966666666666666,3.330699352192232,2.801714261447263,2.8140269776103004,2.2816886765950093
2000-02-29,POMRB,5.679285714285713,4.147916666666667,5.1,6.18,5.3825686813186815,5.728077838827838,5.49902350620121,5.713427496913667,5.54845139983706,5.84358019563353,3.503645833333334,3.5903124999999996,3.4833780639904184,3.626504183413612,4.236669503399104,4.2278661943019795,4.426875,4.564375,4.3549212238378106,4.376398515933905,5.091225117277452,5.104787909723343,4.510000000000001,4.472291666666666,4.470419611315339,3.3894986453402636,4.964874759623065,4.814128427564083
2000-05-31,PREMON,5.6571428571428575,6.030000000000001,7.32,7.8900000000000015,5.218690476190476,5.52853021978022,5.562271246577868,5.7332615741698305,7.245244029224548,6.672572825263064,3.5036458333333336,3.5036458333333327,4.502026838394252,5.219468331916888,6.025245634677513,6.002640801821226,4.48,4.426875,5.540952734302687,6.324959526838068,7.719293416031149,7.727317692111439,4.516666666666667,4.529166666666667,5.838251766789204,4.293323840846966,7.4717580868086895,8.110766425866412
2000-08-31,MONSOON,4.31,1.3166666666666669,2.0825,0.9666666666666668,5.2681547619047615,5.236607142857142,5.0613627479467205,5.495975432293827,5.855262257556161,5.384984383919249,3.5036458333333336,3.5036458333333327,3.2278827697032177,3.490648399623486,1.301036100328628,1.3223304449096935,4.5825,4.426875,4.157571640581612,4.5039279129435,2.3162876423891223,2.477812247342621,4.414583333333333,4.490833333333334,3.8896177267401892,3.917533661963831,1.544381090670059,1.757765752588756
