Date,Season,Nuh,Punhana,Taoru,Kaman,Nagina,Nuh_Trend,Nuh_SMA,Nuh_EWMA,Nuh_DES,Nuh_TES,Nuh_ARIMA,Punhana_Trend,Punhana_SMA,Punhana_EWMA,Punhana_TES,Punhana_ARIMA,Taoru_Trend,Taoru_SMA,Taoru_EWMA,Taoru_DES,Taoru_TES,Taoru_ARIMA,Kaman_Trend,Kaman_SMA,Kaman_EWMA,Kaman_DES,Kaman_TES,Kaman_ARIMA,Nagina_Trend,Nagina_SMA,Nagina_EWMA,Nagina_DES,Nagina_TES,Nagina_ARIMA
1996-02-29,POMRB,2.646666666666667,2.8275,15.14,5.911666666666666,2.805,,,2.646666666666667,2.264921771871827,2.07470755329063,0.0,,,2.8275,2.8678808140257424,0.0,,,15.14,15.440047651973929,15.150000000000002,0.0,,,5.911666666666666,7.517420901183294,4.531824786842144,0.0,,,2.805,2.5089220597889583,3.2342023668022293,0.0
1996-05-31,PREMON,2.0933333333333333,2.105,15.62,8.82,4.58,,,2.4253333333333336,2.2269490795952693,3.0013699740340685,1.632796075477827,,,2.5385,2.694277641200475,2.82749590828051,,,15.332,15.729561701180392,15.638337950138505,15.139429586954096,,,7.075,10.314694533316203,5.373399093019976,5.91164939447276,,,3.515,3.0290101235036504,3.8914997086294276,2.7036190270799
1996-08-31,MONSOON,0.6625,1.4733333333333334,14.14,0.96,4.7425,1.7359166666666668,,1.7202000000000002,1.8269944863338432,1.2813719740323612,1.530935786992188,2.6598958333333336,,2.112433333333333,1.89592123782135,2.464223755053732,14.3825,,14.8552,15.814293425106023,14.165206988896646,15.22894167794533,4.643208333333333,,4.6290000000000004,6.611139469589422,4.7440089121710445,7.395636236065571,3.3606249999999998,,4.006,3.6511766891161495,3.341090615599994,3.7596386552998813
1996-11-30,POMKH,1.7819999999999998,3.62,13.42,3.5760000000000005,1.495,1.8869583333333333,1.796125,1.74492,1.820634020689792,1.3887922085780984,1.2166642085517703,2.865208333333334,2.5064583333333337,2.71546,2.366313677458107,2.1277853079026023,14.16,14.58,14.28112,15.786181766072627,13.450781966225692,15.400712348392942,3.9620000000000006,4.816916666666667,4.207800000000001,5.589538374051405,4.8431169227243664,5.106368678931025,3.278125,3.4056249999999997,3.0016,2.607793046621652,3.7810531688891924,4.198938602322274
1997-02-28,POMRB,2.165,4.0550000000000015,13.56,4.522,2.445,2.3045625,1.6757083333333331,1.912952,1.9154125114929133,2.1100480383111,2.3751532772708384,2.9733333333333336,2.813333333333334,3.2512760000000007,2.8810239624853766,2.6780855883700445,14.095000000000002,14.184999999999999,13.992671999999999,15.750599036455071,15.166799825531378,14.822863083272438,3.8232500000000003,4.469500000000001,4.333480000000001,5.40288896329957,4.752018780984805,4.860217890615823,3.1115625,3.315625,2.7789599999999997,2.310554914665678,3.1205631417150475,2.7779652438560474
1997-05-31,PREMON,3.783333333333333,2.52,15.42,4.76,4.28,2.542125,2.098208333333333,2.6611045333333334,2.4062935152753795,2.601307164788552,1.7765410470696805,2.859583333333334,2.9170833333333337,2.9587656000000004,2.6907843606843826,2.4634501754347364,14.18375,14.135,14.5636032,15.915216815540298,15.382019473482153,14.864804230123253,4.25825,3.4545000000000012,4.504088,5.3543726784339185,5.387047193127272,5.368942067622982,3.286875,3.240625,3.3793759999999997,3.0838700660170786,3.6772293016595103,3.0569711251849956
1997-08-31,MONSOON,2.313333333333333,1.9233333333333331,13.82,3.91,3.71,2.5169940476190473,2.5109166666666662,2.5219960533333334,2.3891611570208102,1.5219717789492924,1.6931814386486448,2.4858333333333333,3.029583333333334,2.5445926933333336,1.9983761307358807,2.150091424254949,14.35,14.055,14.26616192,15.867929919331088,13.898493887931515,13.811981054642223,4.327375,4.192000000000001,4.2664528,4.7540778194815,4.235006009427493,3.686000160602814,3.668125,2.9825,3.5116256,3.456152175028448,3.0918021724830456,3.650112106749798
1997-11-30,POMKH,2.0316666666666663,2.26,14.45,4.106,3.93,2.4599880952380953,2.573333333333333,2.3258642986666667,2.303251682466034,2.2222969905996375,2.549949827697513,2.3939583333333334,2.689583333333334,2.430755616,3.039396624558041,3.2116040036634512,14.39,14.3125,14.339697152,15.876935411896993,13.157015037525017,13.558551279628098,4.397333333333334,4.3245000000000005,4.20227168,4.469040978792374,4.777905749545102,4.249327921084899,3.82,3.5912499999999996,3.67897536,3.8567708697126144,3.2118456791466956,2.8669845822313693
1998-02-28,POMRB,1.7142857142857146,2.425,13.86,4.545,3.06,2.3404047619047614,2.4606547619047614,2.081232864914286,2.156954335023445,2.7139655029759666,2.3686691507634206,2.605666666666667,2.282083333333334,2.4284533695999997,3.268532107247294,3.331439692514216,14.577499999999999,14.3875,14.1478182912,15.798816725309424,13.751931237644001,13.558851798139314,4.525666666666667,4.330250000000001,4.339363007999999,4.5434568707279634,4.763173486478754,4.366767214075982,4.153125,3.744999999999999,3.4313852160000002,3.673226373797612,3.778486662620934,3.348719064371592
1998-05-31,PREMON,3.778,3.415,15.44,5.296666666666667,4.88,2.130029761904762,2.459321428571428,2.759939718948572,2.5844006910390545,3.1322388857467285,2.3842288749978326,2.5295625,2.5058333333333342,2.82307202176,2.397686620593544,2.4605496833657186,14.8975,14.392499999999998,14.66469097472,15.8940136230029,15.634304230810278,15.206258964021139,4.544291666666666,4.4644166666666685,4.722284471466667,5.036912846907641,5.399721655581202,4.330550275241567,4.2925,3.8949999999999987,4.0108311296,4.444329168383557,4.317619819952743,4.252202592245955
