Date,Season,Siliguri,Karsiyang,Siliguri_Trend,Siliguri_SMA,Siliguri_EWMA,Siliguri_DES,Siliguri_TES,Siliguri_ARIMA,Karsiyang_Trend,Karsiyang_SMA,Karsiyang_EWMA,Karsiyang_DES,Karsiyang_TES,Karsiyang_ARIMA
1996-02-29,POMRB,3.4225,5.81,,,3.4225,4.304056360770444,3.58260101234447,0.0,,,5.81,10.022404635958331,6.001875,0.0
1996-05-31,PREMON,3.92125,8.93,,,3.622,4.744033345470933,4.08276539386313,0.0,,,7.058,13.159930295558395,9.278670360110802,1.5884985559896487e-07
1996-08-31,MONSOON,1.71125,3.05,3.10234375,,2.8577,4.256372056985278,1.681119117045915,0.0,5.699999999999999,,5.4548,11.006632666574951,3.5220159452428987,5.117907808208529e-07
1996-11-30,POMKH,3.17375,4.37,3.24609375,3.0571875,2.98412,4.208461273567919,2.94872008412936,0.0,5.875,5.54,5.02088,9.11450772456349,4.934118201123706,6.539013458020914e-07
1997-02-28,POMRB,3.78375,7.09,3.34828125,3.1475,3.303972,4.310817855063902,3.5952199294267198,3.422499611412309,5.9,5.86,5.848528,8.735732935280758,6.417416738457922,5.680626016892123
1997-05-31,PREMON,4.71,9.05,3.3817187500000006,3.3446875,3.8663832,4.676468576056334,4.09583712003747,3.9212495547846657,6.108750000000001,5.890000000000001,7.1291168,9.370426391849772,9.796444525214902,8.731151512913078
1997-08-31,MONSOON,1.7399999999999998,3.13,3.394375,3.351875,3.01582992,3.9543205075807553,1.6951990337468068,1.7112498057061545,6.4175,5.91,5.529470079999999,6.510454233946272,3.9363269016591635,2.982084234655938
1997-11-30,POMKH,3.4125,5.96,3.2728125,3.4115625,3.1744979520000003,3.8245124936697152,2.9628208401237455,3.1737496396551688,6.19625,6.3075,5.7016820479999994,5.8697647017650745,5.2499406048050705,4.2726911760009925
1998-02-28,POMRB,3.64625,7.97,3.1484765625,3.3771875000000002,3.3631987712000004,3.778028731059054,3.609614341964684,3.6060177131284834,5.907187500000001,6.527500000000001,6.6090092288,6.612688986821061,7.060362742250721,6.380922807982966
1998-05-31,PREMON,3.875,6.4,3.043046875,3.1684374999999996,3.5679192627200003,3.8107394281701352,4.110036383958109,4.32194112220306,5.675625000000001,5.865000000000001,6.52540553728,6.403761698108321,10.329117257322595,8.888523323649835
1998-08-31,MONSOON,1.5803124999999998,3.4675,2.9435156250000003,3.1285156249999995,2.772876557632,3.098963072312815,1.7082969959710623,1.725855135547888,5.163125,5.949375000000002,5.302243322368,4.7606765408737415,3.8824910365664183,3.0552419578452925
1998-11-30,POMKH,2.72875,3.77,2.9357725694444445,2.9575781249999995,2.7552259345792,2.861451298740541,2.9756948280737796,3.295036742171048,5.348125,5.401875000000001,4.689345993420799,3.840037083742508,5.349592603485839,5.111449262391952
1999-02-28,POMRB,3.53375,6.06,2.8820529513888893,2.9294531249999993,3.06663556074752,2.943695065441576,3.621583524623973,3.620134663580276,5.8671875,4.924375000000001,5.237607596052479,4.5366629265851905,6.694494580531577,6.916618597448942
1999-05-31,PREMON,3.9255555555555564,9.79,2.76453125,2.9420920138888884,3.4102035586707347,3.173960764582195,4.1218428984476025,4.165115692488899,5.92875,5.771875000000001,7.058564557631487,7.536177323533219,9.046595506528941,8.046928216039118
1999-08-31,MONSOON,1.1,4.23,2.6988020833333337,2.8220138888888884,2.4861221352024407,2.48721810747149,1.7201526762601418,1.6747862469904395,6.074999999999999,5.962500000000001,5.927138734578892,6.577075164229249,3.6606326448862205,3.194019649388056
1999-11-30,POMKH,2.268888888888889,3.5,2.6734722222222222,2.707048611111111,2.39922883667702,2.2854635324403274,2.986910003017702,3.0963345926694443,6.23375,5.895000000000001,4.956283240747335,5.239013608962691,5.13809911696891,4.65773825074092
2000-02-29,POMRB,3.4677777777777776,7.5,2.7401388888888887,2.6905555555555556,2.826648413117323,2.5298909670091114,3.6321847670556986,3.5961919408730862,6.11625,6.255000000000002,5.973769944448401,6.42293236686463,6.549318149315162,6.6934831060941455
2000-05-31,PREMON,3.7888888888888883,9.62,2.918333333333333,2.6563888888888885,3.211544603425949,2.883773593513421,4.1323419301829265,4.098718236128358,6.342499999999999,6.212500000000002,7.43226196666904,8.687728659609531,9.312342656010982,8.497823833843116
2000-08-31,MONSOON,1.77,3.46,3.021527777777778,2.8238888888888884,2.6349267620555694,2.541270604794165,1.7304576591245855,1.5154761662744383,6.663749999999999,6.020000000000002,5.843357180001425,6.743349013048733,3.8439849692084707,3.462231729025066
2000-11-30,POMKH,3.0244444444444447,6.08,3.143194444444444,3.012777777777777,2.7907338350111197,2.65199925584957,2.99806891517823,2.866996395126278,6.75875,6.665000000000003,5.938014308000855,6.511533803836451,4.919516503759187,4.356833089525012
