Date,Season,Bagha,Ramnagar,Narkatiyaganj,Lauriya,Chanpatia,Bairala,Bettiah,Manjhaulia,Sidhaw,Bagha_Trend,Bagha_SMA,Bagha_EWMA,Bagha_DES,Bagha_TES,Bagha_ARIMA,Ramnagar_Trend,Ramnagar_SMA,Ramnagar_EWMA,Ramnagar_DES,Ramnagar_TES,Ramnagar_ARIMA,Narkatiyaganj_Trend,Narkatiyaganj_SMA,Narkatiyaganj_EWMA,Narkatiyaganj_DES,Narkatiyaganj_TES,Narkatiyaganj_ARIMA,Lauriya_Trend,Lauriya_SMA,Lauriya_EWMA,Lauriya_DES,Lauriya_TES,Lauriya_ARIMA,Chanpatia_Trend,Chanpatia_SMA,Chanpatia_EWMA,Chanpatia_DES,Chanpatia_TES,Chanpatia_ARIMA,Bairala_Trend,Bairala_SMA,Bairala_EWMA,Bairala_DES,Bairala_TES,Bairala_ARIMA,Bettiah_Trend,Bettiah_SMA,Bettiah_EWMA,Bettiah_DES,Bettiah_TES,Bettiah_ARIMA,Manjhaulia_Trend,Manjhaulia_SMA,Manjhaulia_EWMA,Manjhaulia_DES,Manjhaulia_TES,Manjhaulia_ARIMA,Sidhaw_Trend,Sidhaw_SMA,Sidhaw_EWMA,Sidhaw_DES,Sidhaw_TES,Sidhaw_ARIMA
1996-02-29,POMRB,2.65,5.3742105263157915,2.9775,4.145,4.2,3.11,2.13,3.08,4.7,,,2.65,1.4559006905049252,2.6599999999999997,0.0,,,5.3742105263157915,5.46540365534238,4.95251007740402,0.0,,,2.9775,2.5362645932374654,2.8759981655745235,0.0,,,4.145,2.508616127721041,4.154999999999999,0.0,,,4.2,3.621622643867285,4.21,0.0,,,3.11,3.6139436509262035,3.145849228776557,0.0,,,2.13,2.051201817677008,2.3141433143283314,0.0,,,3.08,3.9505814523718,3.09,0.0,,,4.7,4.635497116537203,4.421425859957288,0.0
1996-05-31,PREMON,4.795,6.953684210526316,3.0575,4.24,3.87,5.4,3.98,3.57,4.62,,,3.508,2.1972664880782524,4.813836565096953,-8.577727211802235e-08,,,6.006000000000002,5.487766365587494,7.562458014489026,-2.656614456611586e-10,,,3.0095,2.624324817453465,3.118113117293023,1.5838023861327768,,,4.183,2.5353264435530196,4.259445983379502,7.656817807130534e-10,,,4.068,3.3861534464751943,3.8888365650969527,4.199995545438461,,,4.026,3.634636779903349,5.449916609005655,1.596052923458616e-06,,,2.87,2.0480260177738114,3.0800752517880827,-3.884464829925667e-09,,,3.276,4.391083392902866,3.5888365650969525,0.0,,,4.668,4.610584655259912,5.05342615900544,4.69999364954132
1996-08-31,MONSOON,2.21,3.804444444444445,1.1833333333333331,0.875,0.82,1.27,0.72,0.69,2.6,3.273125,,2.9888,2.2137026684547894,2.236534250044122,-1.2837853005662431e-07,5.180116959064329,,5.125377777777779,5.510220571424526,3.3583837260002953,-5.174654572109724e-10,2.2148958333333333,,2.279033333333333,2.3436030660911964,1.4495448048958626,2.354968680129587,2.8425000000000002,,2.8598,2.5137495483706025,0.9033409427490584,3.5775251738753705e-09,2.58625,,2.7687999999999997,2.705202904124525,0.8465342500441215,3.991297372099265,2.9875,,2.9236,2.4996398219002196,1.358973766882242,3.533082322530175e-06,2.1125,,2.01,2.0446291337452562,0.6988775232047637,-1.2563100113652112e-09,2.2362499999999996,,2.2415999999999996,3.669461830157592,0.7165342500441212,0.0,3.9275,,3.8408,4.584767802025074,2.4539554168303592,4.656963991725034
1996-11-30,POMKH,3.12,4.5244444444444465,1.75,2.605,2.23,2.1,1.58,1.92,4.135,3.125625,3.1937500000000005,3.0412800000000004,2.4736487760466073,3.1531276440545355,-1.1662142783514616e-07,5.168910818713451,5.1641959064327505,4.885004444444446,5.53276665401209,4.605269280195817,-6.65104574753263e-10,2.178020833333333,2.2420833333333334,2.06742,2.223078712439617,1.8736055712405653,2.1353992666283697,2.6468749999999996,2.96625,2.75788,2.5169742195657236,2.641689239595705,5.216858645004435e-09,2.30375,2.7800000000000002,2.55328,2.3764018614179654,2.2631276440545345,2.573492329064538,2.81625,2.9699999999999998,2.59416,1.9807424703155943,2.1861348766524236,2.3381161890512572e-06,2.08,2.1025,1.8379999999999999,2.0412976958747238,1.573411475775504,5.893017445000822e-09,2.10375,2.315,2.1129599999999997,3.3322838225693854,1.953127644054534,0.0,3.8775,4.01375,3.9584799999999998,4.559901893412477,3.8979421865036743,3.890487250801158
1997-02-28,POMRB,3.285,5.5015789473684205,2.76,3.155,2.65,3.25,2.21,2.45,4.01,2.9631250000000002,3.3525000000000005,3.1387680000000002,2.761497002036147,2.686028352334716,2.5446652297366468,5.194463364293086,5.196038011695908,5.131634245614036,5.555404989731789,5.232991006653679,4.749916567952669,2.2645833333333334,2.187708333333333,2.3444519999999995,2.315295664667252,2.8635750738809995,2.6181244078431267,2.7237500000000003,2.71875,2.916728,2.5280520815171084,4.186338625418301,3.9698019705055394,2.36625,2.3925,2.591968,2.1924240205961403,4.235502036545242,3.93366153347558,2.7199999999999998,3.005,2.856496,2.0313391508201115,3.1603266289231198,3.110002193710961,1.9625000000000001,2.1225000000000005,1.9867999999999997,2.0380156222869,2.3141447730626625,1.6090746671391054,2.085,2.1575,2.247776,3.1601015579799068,3.1144494049662934,3.0799997709453315,3.993125,3.8412499999999996,3.979088,4.535117468544226,4.451176467138325,4.512308101282021
1997-05-31,PREMON,2.98,6.736666666666667,2.98,3.665,3.16,3.89,3.64,3.14,4.91,2.9893750000000003,2.89875,3.0752607999999997,2.93766696913177,4.907408800204381,4.604403697847293,5.307446922299622,5.141783625730996,5.773647214035089,5.578135956506694,7.811857492707704,6.145911046525752,2.3936458333333333,2.168333333333333,2.5986711999999996,2.4311493438934675,2.971761316150296,2.7528873856731155,2.8699999999999997,2.5749999999999997,3.2160368000000004,2.5463975232530034,4.230956102483805,4.060786575305934,2.5675,2.215,2.8191808000000003,2.148387937281311,3.727268109141543,3.3823665001521284,2.905,2.6275,3.2698976,2.3750948090522295,5.471286361235179,5.466822540037897,1.8475000000000001,2.0375000000000005,2.64808,2.0348384003872537,3.080078789270428,3.006627785043124,2.13125,2.0500000000000003,2.6046656,3.2144515067814146,3.53244379072778,3.569999734504816,4.093125,3.9137499999999994,4.3514528,4.510947452932894,4.989363043760266,4.392660351586248
1997-08-31,MONSOON,2.725,4.225882352941177,1.9533333333333327,2.065,2.03,2.01,0.12,0.97,3.2350000000000003,2.931875,3.0275,2.93515648,3.013119364485824,2.1117978391941694,2.122154775901837,5.365126902734778,5.247143102855179,5.154541269597524,5.60095992678244,3.5131017310823127,3.362502010270744,2.376145833333333,2.360833333333333,2.340536053333333,2.332027333116943,1.2056107410646826,1.2277728423256586,2.8449999999999998,2.8724999999999996,2.75562208,2.541759203922729,0.8386736586917056,0.8380160976717631,2.6675,2.5174999999999996,2.5035084800000003,1.9482888819671784,0.6002908275601424,1.077101581572672,2.99,2.8125,2.76593856,2.093787402658139,1.092349209683301,0.5492711752456314,1.74375,1.8875000000000004,1.636848,2.031422035793496,0.6988789371185418,0.54391256327228,2.1225,2.1200000000000006,1.95079936,2.5441367876200216,0.6052014672397354,0.6899999486858047,4.17875,4.072499999999999,3.9048716800000003,4.486048206728585,2.4360415906658655,3.035173899786575
1997-11-30,POMKH,2.815,5.006875,2.0125,2.585,2.63,2.84,1.26,2.01,4.3,2.98,2.95125,2.887093888,3.085374642943307,3.085704697576211,2.9959832183048047,5.385713848039216,5.367750741744068,5.095474761758514,5.623877286874504,4.81413074954859,3.99886337204825,2.297708333333333,2.4264583333333327,2.209321632,2.2630101187859597,1.9306171740485278,1.9019217255551455,2.795625,2.8674999999999997,2.687373248,2.54455387488924,2.6392915259826246,2.494893639005454,2.80375,2.6174999999999997,2.554105088,1.8972116225782172,2.1597120572159803,2.6429359737122455,2.915,2.9975,2.7955631359999997,2.1778326740919574,2.0755707785816884,2.4532048545190013,1.5575,1.8075000000000006,1.4861088,2.028090596119573,1.5734119074828203,1.193585906392149,2.03375,2.1425000000000005,1.974479616,2.296706756791365,1.8721759156241937,1.9199998572126742,4.261875,4.11375,4.062923008,4.461849911722401,3.9651304440221646,4.150654745946426
1998-02-28,POMRB,3.13,5.4805882352941175,2.3575,2.975,3.05,3.19,1.7,2.29,4.529999999999999,2.890625,2.9124999999999996,2.9842563328,3.217665086694097,2.7490146743392754,2.9895927692730466,5.356861213235295,5.362503063725493,5.249520151172756,5.646888418365341,5.497386307020831,5.092842688112811,2.1670833333333333,2.3258333333333328,2.2685929792,2.271998618302011,2.976714755408487,2.8985918667862993,2.664375,2.8225,2.8024239488000005,2.552907302966728,3.8677366643323574,3.561563470706147,2.810833333333333,2.7175,2.7524630528,1.9477816183063925,3.692053262543455,3.3220320061863435,2.71875,2.9825,2.9533378815999995,2.4110583872504856,3.333632063734652,3.603204854505458,1.585,1.6800000000000004,1.57166528,2.024795322031598,2.314144495563195,1.8673879426696725,1.9425,2.102500000000001,2.1006877696,2.192460662004826,2.779531404257653,2.669494674726061,4.131875,4.24375,4.2497538048,4.437913906763666,4.531113701168742,4.2982789112783175
1998-05-31,PREMON,3.52,6.922352941176469,2.755,3.45,3.85,3.35,2.66,2.59,5.055,2.90875,3.0474999999999994,3.19855379968,3.4289012733801547,4.269272333208809,3.4933461026836032,5.330629595588235,5.408924632352943,5.918653267174241,5.669993706635989,8.018320155989377,6.404068742034996,2.0984375,2.2695833333333324,2.46315578752,2.353901966849831,3.0329077368892596,2.774982758353669,2.54625,2.76875,3.0614543692800003,2.568029173665031,4.065817817086711,3.8609064772781667,2.7485416666666667,2.8899999999999997,3.1914778316800003,2.1572807961385387,3.6123302052512387,3.360321470684173,2.50875,2.8474999999999997,3.11200272896,2.698665576765612,4.200288044052738,3.861361768543788,1.71875,1.4350000000000005,2.006999168,2.02157227362609,3.0800788944222437,3.278420958468759,1.86625,1.9650000000000007,2.29641266176,2.222055834120072,3.326263538162587,3.28981378757615,3.91125,4.28,4.57185228288,4.41439216295368,5.126658931966019,4.678053766086897
