Date,Season,Aspur,Bichhiwara,Simalwara,Sagwara,Dungarpur,Aspur_Trend,Aspur_SMA,Aspur_EWMA,Aspur_DES,Aspur_TES,Aspur_ARIMA,Bichhiwara_Trend,Bichhiwara_SMA,Bichhiwara_EWMA,Bichhiwara_DES,Bichhiwara_TES,Bichhiwara_ARIMA,Simalwara_Trend,Simalwara_SMA,Simalwara_EWMA,Simalwara_DES,Simalwara_TES,Simalwara_ARIMA,Sagwara_Trend,Sagwara_SMA,Sagwara_EWMA,Sagwara_DES,Sagwara_TES,Sagwara_ARIMA,Dungarpur_Trend,Dungarpur_SMA,Dungarpur_EWMA,Dungarpur_DES,Dungarpur_TES,Dungarpur_ARIMA
1996-02-29,POMRB,5.926666666666668,5.537999999999999,5.54,6.395,4.9,,,5.926666666666668,5.152918407502606,4.663301504215089,0.0,,,5.537999999999999,8.34833094194931,5.830725418572003,0.0,,,5.54,14.990552896408273,5.381941356609683,0.0,,,6.395,7.721491631885024,6.149152076333874,0.0,,,4.9,4.5395267746639005,4.5033044280763725,0.0
1996-05-31,PREMON,7.53,9.3625,11.65,9.036666666666667,6.49,,,6.568000000000001,5.4925696998095,6.9355899780110235,-9.890232180267096e-09,,,7.0678,12.21652192574571,8.240055251151286,3.1243538327016513,,,7.984,24.493913924104255,11.25270206767119,1.6569220547840238,,,7.451666666666666,10.046007319467941,9.168003426065944,6.39497921095017,,,5.536,4.668975554134677,6.968149787762663,4.899990669307003
1996-08-31,MONSOON,2.2666666666666666,3.6525,4.16,2.885,2.12,4.4816666666666665,,4.8474666666666675,4.668626058724844,3.5465592291085564,-1.7258736677109894e-08,5.88025,,5.7016800000000005,11.183572373487515,3.9510320925529294,5.323881835895556,5.647499999999999,,6.4544,28.53070892747256,4.791079631576425,3.5980917483776675,5.144479166666667,,5.624999999999999,7.930538739383099,4.328731881017854,8.269273430087685,3.9212500000000006,,4.1696,4.43753122888563,2.99392600327562,5.997104609527657
1996-11-30,POMKH,3.263333333333333,5.354,1.84,3.3775,2.87,4.010833333333333,4.746666666666666,4.213813333333334,4.1987738559937755,4.617827768880464,-1.8978269434327055e-08,5.4384375,5.97675,5.562608,10.43268043119158,5.215991649543167,3.436142401521368,5.356249999999999,5.7975,4.608639999999999,28.419387150837053,2.312328543273427,2.21544634074068,4.732395833333333,5.423541666666667,4.725999999999999,6.594592995666544,4.074487291737578,4.3507852448276045,3.64125,4.095000000000001,3.64976,4.286000546864412,3.1276773782107194,3.384363738682099
1997-02-28,POMRB,3.806666666666666,4.766,4.34,4.1625,3.51,3.9274999999999998,4.216666666666665,4.050954666666667,3.935407401107542,4.6045400627797735,5.513622288210153,4.9271875000000005,5.78375,5.2439648000000005,8.911489753042913,6.010938912449896,5.297094679049749,5.3425,5.4975000000000005,4.501183999999999,26.779509625095685,5.472755563271359,4.234366769660867,4.661874999999999,4.865416666666667,4.5005999999999995,6.023449578403906,4.814911134717943,5.267403952019535,3.5324999999999998,3.7475,3.5938559999999997,4.1987135317248345,3.8092469078817266,4.222511842101085
1997-05-31,PREMON,5.883333333333333,6.6,10.52,7.9725,5.64,4.05,3.804999999999998,4.783906133333333,4.175858161681126,6.720867287042445,7.005215270030727,4.7612499999999995,5.093125,5.786378880000001,8.380816345047144,8.267792927240912,8.26782374137148,5.470000000000001,5.215000000000002,6.9087104,26.158248663100863,11.291504483656233,8.781165742644067,4.724375,4.599375,5.88936,7.682147580458056,7.242266408430604,6.935558209286587,3.5300000000000002,3.5349999999999997,4.412313599999999,4.289409339912335,5.875904981498994,5.2478475114199465
1997-08-31,MONSOON,3.2466666666666666,2.325,5.18,3.385,2.1,4.0460416666666665,4.049999999999998,4.169010346666666,3.832988619585284,3.2234901408811303,2.108696937198848,4.8655,4.7612499999999995,4.401827328,5.665339354737407,2.952394420596057,2.5310362013498455,5.882499999999999,5.4700000000000015,6.2172262400000005,21.446009469651088,4.041541156201454,3.6625501821956856,4.867395833333333,4.724375,4.8876159999999995,6.209731453402651,2.9703317322814433,3.6492584495546847,3.6937499999999996,3.5299999999999994,3.487388159999999,4.088974058104525,2.040282883881914,2.712715092686
1997-11-30,POMKH,3.263333333333333,5.354,1.84,3.3775,2.87,3.9991666666666665,4.049999999999998,3.806739541333333,3.5613121088487696,4.3933539074809485,3.035903385383058,5.130375,4.7612499999999995,4.7826963968000005,5.190542328117917,4.159259030214518,4.543612099525864,6.1987499999999995,5.4700000000000015,4.466335744,15.035510890901945,1.9238712752589473,2.0983517779886993,5.159791666666667,4.724375,4.2835696,5.182632003046784,3.9398280952069897,4.156413655539583,3.78125,3.5299999999999994,3.2404328959999997,3.9673891126301966,2.7082232619625657,3.1936198758209313
1998-02-28,POMRB,3.775,5.6,7.64,5.306666666666667,4.82,4.150729166666667,4.0420833333333315,3.7940437248,3.4559157942561,4.3970507584398755,4.682991195650676,5.6686250000000005,4.9697499999999994,5.10961783808,5.064863969459222,5.142942416410424,4.9635546976371625,5.975,6.295000000000002,5.7358014464,11.967658192910442,4.749613179101525,3.860162771051333,5.822604166666667,5.010416666666666,4.692808426666667,5.496548838290794,4.768923892660513,4.724376851452938,3.76875,3.8574999999999995,3.8722597376,4.012326569716364,3.6297857519795618,4.081754180228848
1998-05-31,PREMON,5.540000000000001,7.885,9.75,9.1675,5.03,4.385416666666667,3.956249999999999,4.49242623488,3.7625949648214547,6.526681400763406,6.457656795983065,6.091583333333333,5.290999999999999,6.219770702848,6.286227983821255,7.891623868123785,7.846119049279331,6.15,6.102500000000002,7.34148086784,10.460697779811763,11.389491545591222,9.83703648197944,6.599166666666667,5.309166666666666,6.482685056,7.785549979979524,7.979985559538081,8.155582853356833,3.7249999999999996,3.704999999999999,4.33535584256,4.070211548344582,6.548647149858064,6.2231939449030556
