Date,Season,Vikramgad,Shahapur,Vasai,Mokhada,Ambarnath,Palghar,Vada,Kalyan,Bhiwandi,Jawhar,Dahanu,Murbad,Talasari,Thane,Vikramgad_Trend,Vikramgad_SMA,Vikramgad_EWMA,Vikramgad_DES,Vikramgad_TES,Vikramgad_ARIMA,Shahapur_Trend,Shahapur_SMA,Shahapur_EWMA,Shahapur_DES,Shahapur_TES,Shahapur_ARIMA,Vasai_Trend,Vasai_SMA,Vasai_EWMA,Vasai_DES,Vasai_TES,Vasai_ARIMA,Mokhada_Trend,Mokhada_SMA,Mokhada_EWMA,Mokhada_DES,Mokhada_TES,Mokhada_ARIMA,Ambarnath_Trend,Ambarnath_SMA,Ambarnath_EWMA,Ambarnath_DES,Ambarnath_TES,Ambarnath_ARIMA,Palghar_Trend,Palghar_SMA,Palghar_EWMA,Palghar_DES,Palghar_TES,Palghar_ARIMA,Vada_Trend,Vada_SMA,Vada_EWMA,Vada_DES,Vada_TES,Vada_ARIMA,Kalyan_Trend,Kalyan_SMA,Kalyan_EWMA,Kalyan_DES,Kalyan_TES,Kalyan_ARIMA,Bhiwandi_Trend,Bhiwandi_SMA,Bhiwandi_EWMA,Bhiwandi_DES,Bhiwandi_TES,Bhiwandi_ARIMA,Jawhar_Trend,Jawhar_SMA,Jawhar_EWMA,Jawhar_DES,Jawhar_TES,Jawhar_ARIMA,Dahanu_Trend,Dahanu_SMA,Dahanu_EWMA,Dahanu_DES,Dahanu_TES,Dahanu_ARIMA,Murbad_Trend,Murbad_SMA,Murbad_EWMA,Murbad_DES,Murbad_TES,Murbad_ARIMA,Talasari_Trend,Talasari_SMA,Talasari_EWMA,Talasari_DES,Talasari_TES,Talasari_ARIMA,Thane_Trend,Thane_SMA,Thane_EWMA,Thane_DES,Thane_TES,Thane_ARIMA
1996-02-29,POMRB,2.875,2.6420000000000003,3.3128571428571427,2.34,1.26,2.568,3.723333333333333,1.3,1.9833333333333327,1.41,3.855,0.86,3.26,2.2225,,,2.875,4.713762997382084,2.885,0.0,,,2.6420000000000003,1.145762153708716,2.6745000000000005,0.0,,,3.3128571428571427,6.656030689146851,3.1569878615785627,0.0,,,2.34,5.701844504008085,2.799914735661085,0.0,,,1.26,0.9891623838262764,1.2793750000000002,0.0,,,2.568,5.55851163648371,2.5581572333827314,0.0,,,3.723333333333333,3.965109292485018,3.749147489792439,0.0,,,1.3,1.5396677238689107,0.6840212062588669,0.0,,,1.9833333333333327,5.654022766709835,2.55440203919635,0.0,,,1.41,10.200093339082372,1.42,0.0,,,3.855,3.4442111191875022,3.870001270563956,0.0,,,0.86,1.4704253188905434,0.87,0.0,,,3.26,2.401223888652612,3.02429572066343,0.0,,,2.2225,1.7798126988436864,2.5202922100450333,0.0
1996-05-31,PREMON,6.125,4.215,5.295,4.37,3.72,4.4380000000000015,5.7399999999999975,2.775,4.096666666666667,7.15,5.286666666666667,2.645,5.6400000000000015,3.5325,,,4.175,8.321469872814806,6.1444459833795015,2.8749859494101,,,3.2712000000000003,0.8868656932194438,4.27819944598338,2.6419822649948532,,,4.105714285714285,8.748211136178899,4.568337731038561,0.7291237821479316,,,3.152,8.038473939183941,4.032904477509206,-3.648817927758021e-08,,,2.244,2.518063460553285,3.757676592797784,1.2599963590136238,,,3.3160000000000007,7.511578733633414,4.0597602608657155,0.0,,,4.529999999999999,5.346791601639892,5.790097209633217,3.7233066371588155,,,1.8900000000000001,2.5819974338958356,2.1841476909414363,1.2999980074065667,,,2.828666666666666,8.42453046807122,3.839258531741719,-4.156369311099114e-09,,,3.7060000000000004,22.08461753523788,7.168836565096954,-8.809016731041805e-10,,,4.427666666666667,3.447431562849671,4.929442398018725,1.9013245547998978,,,1.574,1.5042254849599839,2.6644459833795016,0.8599994513254772,,,4.212000000000001,1.8107627132706905,5.092508213917554,0.0,,,2.7465,1.3382450187574848,3.482690978858317,0.420569644226515
1996-08-31,MONSOON,0.83,0.342,1.0957142857142856,1.53,0.1,1.5819999999999999,0.3566666666666667,0.425,0.6066666666666666,0.205,1.7333333333333332,0.59,1.09,1.4725,2.918125,,2.8369999999999997,7.62606099710589,0.8583409427490585,4.415828668711541,2.030125,,2.09952,0.48395130210130394,0.4341080639344397,3.428628630870561,2.9144642857142857,,2.9017142857142852,6.7148862854524385,1.1457031404263593,1.2521643352747909,2.563125,,2.5032,6.42835008631758,1.3783862204435744,-8.94861541098127e-08,1.31,,1.3864,2.6162133890523416,0.15491057657630014,2.553252940159595,2.7672500000000007,,2.6224000000000003,5.78167158220297,1.4554206690997415,0.0,2.860833333333333,,2.860666666666666,4.507716242605717,0.42980461332578246,4.622666948730507,1.2518749999999998,,1.304,2.5785991524419756,-0.254535743963918,2.0924317664544008,1.8737499999999998,,1.9398666666666662,6.405816803006551,0.6801579040169026,-8.769974180988253e-09,2.279375,,2.3056,10.38393114991975,0.23153425004412176,-4.560203119184936e-09,3.4154166666666663,,3.3499333333333334,3.4499000207814037,1.9224001643023834,2.7866813815168023,1.19625,,1.1804000000000001,1.381883372494189,0.6183409427490584,2.2107890138365356,2.8912500000000003,,2.9632,1.0197265812407237,1.303516130594549,0.0,2.305,,2.2369000000000003,0.880757591269646,0.7926326827499737,0.6107492753494245
1996-11-30,POMKH,1.9,1.25,1.7171428571428573,1.915,0.15,2.5520000000000005,1.6966666666666663,0.635,0.85,0.245,3.0966666666666662,0.7050000000000001,1.7,1.9375,2.85375,2.9325,2.4621999999999997,6.847529352774494,1.936689239595705,3.4673746532543546,1.998625,2.11225,1.759712,0.34280900936469605,1.3692400286860407,2.399131938058261,2.9593750000000005,2.855178571428571,2.427885714285714,4.863167496984289,2.186633026353801,0.8569101233705858,2.6087499999999997,2.5387500000000003,2.26792,4.688839180932426,2.4137479635968093,-1.00971499377648e-07,1.2650000000000001,1.3075,0.89184,2.560309178035586,0.22108540171667723,1.5600680011397907,2.7195000000000005,2.785,2.59424,4.572038869955484,2.5213186215251135,0.0,2.814166666666666,2.8791666666666664,2.395066666666666,4.0956513523457705,1.7915141556963077,3.6346397333096667,1.18,1.28375,1.0364,2.5100720022362992,0.4670933643566245,1.379669323042076,1.9008333333333332,1.8841666666666663,1.5039199999999997,4.1241515489096185,1.728163095611756,-5.57813088445904e-09,2.04625,2.2525,1.48136,2.7312370026661656,0.27812764405453483,-2.1481189335368248e-09,3.215833333333333,3.4929166666666664,3.2486266666666666,3.452659210231481,3.5789898441811445,1.9587576748426376,1.135625,1.2,0.9902400000000001,1.2777454153677676,0.7416892395957049,0.3007704846489948,2.8256250000000005,2.9225000000000003,2.45792,0.7010671598989011,2.0934039022689155,0.0,2.3318749999999997,2.2912500000000002,2.11714,0.7076700901390337,1.959366528169188,0.45105365595298613
1997-02-28,POMRB,2.76,1.985,3.787142857142858,2.535,1.28,2.426,3.5766666666666667,1.045,1.9,1.625,3.235,0.8300000000000001,3.01,2.3325,2.7937499999999997,2.90375,2.58132,6.133596746385337,2.916864941207775,2.9014672294490103,2.028,1.9479999999999997,1.8498272,0.3386600416288878,2.783192637872638,2.499199852098579,2.9269642857142864,2.97375,2.9715885714285717,4.469246933702797,3.1758061299336284,3.1562713710326817,2.5824999999999996,2.5875000000000004,2.374752,3.5960222041356773,2.804592073719295,2.1810515821698315,1.2175,1.3125000000000002,1.047104,2.7902382549697,1.345192270958485,1.2409346734282216,2.6437500000000003,2.7495000000000003,2.5269440000000003,3.4206027555155543,2.5946181881346937,2.5679993401774164,2.7983333333333333,2.8425,2.867706666666666,4.311657532668961,3.838270307131411,3.5364029009818596,1.1243750000000001,1.22,1.0398399999999999,2.48101007049258,0.7725937407609029,1.253150662558199,1.9174999999999998,1.8633333333333333,1.6623519999999998,2.949371726389332,2.56414144887408,1.8526300650820764,1.8325,2.30625,1.538816,1.267830793017443,1.444975720755768,1.263279551126742,3.045625,3.3379166666666666,3.243176,3.4554494198525263,3.736275287866261,3.708373235648991,1.1175,1.1925,0.9261440000000001,1.1919069796235637,0.9034438885761963,1.2316538017604364,2.83,2.8600000000000003,2.6787520000000002,0.7439585889064086,3.03286564494025,3.2599986925644378,2.3171875,2.31875,2.203284,0.6977200490841057,2.625205303022193,2.0659933076185664
1997-05-31,PREMON,5.725,4.62,5.1800000000000015,4.54,3.34,4.198,5.513333333333333,2.455,4.3966666666666665,5.07,4.31,2.19,5.365,3.6375,2.8493749999999998,2.80375,3.8387919999999998,6.875320470458232,6.165426870817381,5.564031352455569,2.1245000000000003,2.04925,2.95789632,0.617452034785679,4.340389371270352,3.6316113215266768,2.9669642857142864,2.9450000000000007,3.8549531428571435,4.968706833620095,4.610764452725352,5.142229280846296,2.7643750000000002,2.63,3.2408512,4.196614406423912,4.037581818517518,4.073160441850128,1.30125,1.2174999999999998,1.9642624,3.7239502384797727,3.81948521208475,3.0004362116645904,2.6265,2.6895,3.1953664,3.8309769570800674,4.1392516773460715,4.4379988596991335,2.8966666666666665,2.7858333333333336,3.925957333333333,5.146206286739461,5.8654787673714495,4.906337721264864,1.154375,1.1400000000000001,1.605904,2.9079644937231817,2.272720222381861,2.0783186995302763,1.9704166666666665,1.9383333333333332,2.7560778666666663,3.8758382751821765,3.8490018396128787,3.8266930262647283,1.9056250000000003,1.78625,2.9512896,5.973077402361071,7.211684204782308,6.405992052272611,3.0389583333333334,3.0937499999999996,3.6699056,3.4584694388780215,4.5690217126289845,4.808467299785906,1.1724999999999999,1.0787499999999999,1.4316864,1.2185051753015592,2.6931189542114615,1.95601638468968,3.009375,2.79125,3.7532512000000002,1.2351428163118632,5.1011076150292265,5.63999773805627,2.42125,2.345,2.7769703999999997,0.947572335940993,3.5883520710571473,3.2474564843236795
1997-08-31,MONSOON,0.75,0.172,0.9514285714285714,1.15,0.1,1.2159999999999995,0.4566666666666666,0.3,0.44,0.575,1.3483333333333334,0.9,1.4,1.25,2.9187499999999997,2.78375,2.6032751999999997,4.606020650474971,0.8529894756279419,1.1927580175705437,2.209125,2.00675,1.843537792,0.4170524229819112,0.5092756452758271,0.831312788221934,2.906785714285715,2.9089285714285724,2.693543314285715,2.925336424666319,1.1799698905382006,1.0671951078090784,3.0168749999999998,2.535,2.4045107199999998,2.3924419689575687,1.3830635640144768,1.4260721848385935,1.36,1.2174999999999998,1.2185574399999999,3.297929955467255,0.19070123763728164,0.4918636543769832,2.6470000000000002,2.598,2.4036198399999997,2.219687159483646,1.5054133156042298,1.5819995935205111,2.9654166666666666,2.8108333333333335,2.538241066666666,4.045582687457871,0.48712094248783844,1.0520534775490837,1.1412499999999999,1.1087500000000001,1.0835423999999998,2.41739871001144,-0.16596321616432586,0.8362101617547721,2.0454166666666667,1.8966666666666667,1.8296467199999997,1.920501823716732,0.6898996578675414,0.566686842916181,1.9056250000000001,1.87875,2.00077376,2.0302543992417204,0.025691336586640245,0.18366830315594299,3.0810416666666667,2.9974999999999996,2.7412766933333335,3.4608628595102373,1.274693515530474,1.4109529454148944,1.185,1.15625,1.21901184,1.147998492394865,0.618843863921786,0.9672888050879997,3.1075,2.86875,2.81195072,1.017175790693917,1.3118591632780006,1.0899995628513,2.4953125000000003,2.289375,2.1661822399999995,0.8019383471490749,0.8981965654221185,1.4090817715326858
1997-11-30,POMKH,2.425,2.192,2.1814285714285715,3.75,0.82,2.78,2.3833333333333333,1.0,1.4400000000000002,0.46,3.4283333333333332,0.835,2.825,2.9925,2.760625,2.9149999999999996,2.5319651199999997,3.5933455876455898,1.923170512495699,2.0915404574395913,2.17475,2.24225,1.9829226752000002,0.48296642510637355,1.4259469552098325,1.4721689119297248,2.751428571428572,3.0250000000000012,2.4886974171428573,2.2265237473465214,2.2116447845652196,1.5792581843542137,3.0250000000000004,2.9937500000000004,2.9427064319999996,2.973280789768108,2.418425301205008,1.784920417832879,1.43,1.3849999999999998,1.059134464,2.986358121907953,0.25218407286014344,0.47332274461290086,2.5832499999999996,2.6549999999999994,2.5541719039999995,2.248413565021026,2.5600012941569523,2.551999344288461,2.9529166666666664,2.9825,2.476277973333333,3.686346783450489,1.8490272718298617,2.090894159658929,1.01,1.2000000000000002,1.05012544,2.144181662659455,0.5556658902530495,0.8581844874760484,2.0979166666666664,2.044166666666667,1.6737880319999998,1.3648727206336155,1.7379010601728861,0.7939843135469579,1.690625,1.9324999999999999,1.3844642559999998,0.5430617446006489,0.1144542421850927,0.2195060211423491,3.062708333333333,3.0804166666666664,3.0160993493333335,3.463699027465804,3.0537536616733507,2.925704199395926,0.99875,1.18875,1.065407104,1.0790310403263272,0.7566827792483231,0.7052629025670676,3.04625,3.1500000000000004,2.817170432,1.1261349956929807,2.1017606609084796,1.6999993182084492,2.4109375,2.553125,2.4967093439999997,1.0108912541279145,2.016690585018618,1.727292627824445
1998-02-28,POMRB,2.79,1.72,2.841428571428571,2.72,1.08,2.362,3.44,0.575,1.91,1.41,3.24,0.8,2.67,1.87,2.605,2.9225,2.6351790719999997,3.0381995896509957,2.899514392394763,2.810709657416284,2.1855,2.176,1.8777536051200001,0.5026066240835303,2.8147764747491406,2.398147942282833,2.68375,2.7885714285714296,2.629789878857143,2.2222695163416066,3.2235869768790004,3.5463520137316147,3.040625,3.0400000000000005,2.8536238592,2.7414054644021744,2.809269439698471,2.3518348808116447,1.51375,1.3349999999999997,1.0674806784,2.681955049980501,1.4100403380552449,1.288231051369492,2.54275,2.6389999999999993,2.4773031424,2.1065612049478495,2.610043548829957,2.4936671645472144,2.9375,2.9483333333333333,2.861766784,3.7074008778794214,3.9285753384270286,3.496795081011486,0.9543749999999999,1.0825000000000002,0.8600752639999999,1.7188783851878864,0.8611662691206021,1.1926331862319621,2.1958333333333333,2.046666666666667,1.7682728192,1.425864007098643,2.573880427492952,1.832494964445044,1.451875,1.8787499999999997,1.3946785536,1.127961417190024,1.3878717733254826,1.43446918743783,3.07,3.0816666666666666,3.1056596096,3.466496956949289,3.6105162102856134,3.5549017577351627,0.75,1.18125,0.9592442624,1.0138526798327403,0.9200201334902652,0.9620775461562714,2.981875,3.0650000000000004,2.7583022592,1.2279729167928468,3.041544534910322,3.134517670934396,2.4293750000000003,2.4375,2.2460256064,1.022555489765433,2.829231621605706,2.368580517448087
1998-05-31,PREMON,4.43,4.609999999999999,4.882857142857144,4.42,4.1,3.752,5.55,1.875,4.806666666666667,3.565,4.158333333333333,0.73,5.215,3.425,2.476875,2.5987499999999994,3.3531074432,3.498834757538372,6.075528332705751,5.6181970488735535,2.0407499999999996,2.1734999999999998,2.9706521630719998,0.8679781363437236,4.468746179846933,4.102724827953333,2.5673214285714288,2.714285714285715,3.531016784457144,3.6229459528816395,4.607049010124133,4.960244307138252,2.805625,3.0100000000000007,3.48017431552,3.8646578393216315,4.0422591872917915,4.298185418116678,1.4249999999999998,1.5249999999999995,2.28048840704,3.4033968650527253,3.8476682098826878,3.2882423090840764,2.4835,2.527499999999999,2.98718188544,3.103525411732318,4.181241681938411,4.3123670267067045,2.7904166666666668,2.9575000000000005,3.9370600704000003,4.441380464447853,5.942895676922749,5.173244621231165,0.930625,0.9375000000000002,1.2660451583999999,1.7770793255264874,2.361292745764062,2.146607061775101,2.17625,2.149166666666667,2.9836303581866668,4.074288507686552,3.8587465216744077,4.104084811482935,1.384375,1.5024999999999995,2.26280713216,5.5819275442059775,6.26902323629746,5.760131216334016,2.9806250000000003,3.04375,3.526729099093333,3.4694914549452025,4.504220837966185,4.571150412944105,0.673125,0.81625,0.8675465574400001,0.9496037559736676,2.661284487551073,1.9896292089936651,2.764375,3.0275000000000003,3.7409813555199998,1.8521181177416002,5.109791297488501,5.501969027732686,2.2631249999999996,2.3843750000000004,2.7176153638400002,1.3448777126962341,3.694369693446747,3.279775390245144
