Date,Season,Baidhan,Deosar,Baidhan_Trend,Baidhan_SMA,Baidhan_EWMA,Baidhan_DES,Baidhan_TES,Baidhan_ARIMA,Deosar_Trend,Deosar_SMA,Deosar_EWMA,Deosar_DES,Deosar_TES,Deosar_ARIMA
1996-02-29,POMRB,4.946666666666666,5.5,,,4.946666666666666,5.195768399943508,5.067537179197507,0.0,,,5.5,4.963521081380439,5.465366524496936,0.0
1996-05-31,PREMON,6.526666666666666,7.48,,,5.578666666666667,5.483994725893456,6.553718732193859,4.946658697497797,,,6.292,5.447464798039854,8.192500965213519,5.49998290776303
1996-08-31,MONSOON,4.5633333333333335,2.78,5.3687499999999995,,5.172533333333334,5.300336863562254,4.066996854159857,6.038037283514592,5.140000000000001,,4.8872,4.554490824775658,4.677331631820095,6.742534521024091
1996-11-30,POMKH,5.156666666666667,4.47,5.503333333333333,5.298333333333333,5.1661866666666665,5.2793757732602264,4.950877584997918,4.82424184864434,5.72,5.0575,4.72032,4.297749475812235,3.945342008906259,4.442614193111602
1997-02-28,POMRB,5.51,6.16,5.349583333333333,5.439166666666667,5.303712,5.336906381493921,5.433884394237946,5.059210399908698,6.7,5.2225,5.2961920000000005,4.617695549166157,5.740495733046048,5.251935553161411
1997-05-31,PREMON,7.039999999999999,11.46,4.942916666666666,5.5675,5.9982272,5.703464805092742,7.014122553486088,6.291191820188407,7.13625,6.2175,7.761715200000001,6.638273667663382,8.409438209609384,7.063618015078619
1997-08-31,MONSOON,2.8200000000000003,6.64,4.729374999999999,5.131666666666667,4.72693632,5.108385514977566,4.552673371896394,5.338864855708049,7.041875,7.1825,7.313029120000001,7.017955467663673,5.117810372394062,5.152294756092218
1997-11-30,POMKH,3.6466666666666665,4.1,4.586458333333333,4.754166666666666,4.294828458666666,4.810561663263269,4.37225016592261,4.072995911348398,6.682499999999999,7.09,6.027817472000001,6.5060480420464035,4.988062916766802,5.89548203993057
1998-02-28,POMRB,5.3116666666666665,5.775,4.728333333333333,4.704583333333334,4.701563741866666,4.92402780206459,4.410546734955672,4.521283017443534,5.9312499999999995,6.9937499999999995,5.9266904832,6.482660364942906,6.679241973531147,5.743785352064495
1998-05-31,PREMON,6.095,8.97,5.217083333333334,4.468333333333334,5.2589382451199995,5.178230482727116,6.38470659416652,6.419964395975805,5.47625,6.37125,7.14401428992,7.423789495542323,9.531779947130044,9.030784944443322
1998-08-31,MONSOON,4.9,3.12,5.494375000000001,4.988333333333333,5.115362947072,5.128826757131827,3.7725728652976085,3.773119235574281,5.471875000000001,5.49125,5.534408573952001,6.453208918390743,5.752218628152258,5.151418587443072
1998-11-30,POMKH,5.476666666666668,3.98,5.596041666666666,5.445833333333333,5.259884434909868,5.210688757493392,4.957785718409161,4.9666812875747794,5.65921875,5.46125,4.912645144371201,5.787216058481021,4.960640974480908,3.8948866416369325
1999-02-28,POMRB,5.7,5.86,5.639166666666667,5.542916666666666,5.435930660945921,5.322373638135016,5.590287114770632,5.768258291809132,6.7065624999999995,5.4825,5.291587086622721,5.744410500649126,6.602209144238573,5.669961731367101
