Date,Season,Pottangi,Koraput,Dasamantapur,Boipariguda,Similiguda,Boriguma,Lamptaput,Jeypur,Kundura,Nandapur,Kotpad,Lakshmipur,Narayan Patana,Pottangi_Trend,Pottangi_SMA,Pottangi_EWMA,Pottangi_DES,Pottangi_TES,Pottangi_ARIMA,Koraput_Trend,Koraput_SMA,Koraput_EWMA,Koraput_DES,Koraput_TES,Koraput_ARIMA,Dasamantapur_Trend,Dasamantapur_SMA,Dasamantapur_EWMA,Dasamantapur_DES,Dasamantapur_TES,Dasamantapur_ARIMA,Boipariguda_Trend,Boipariguda_SMA,Boipariguda_EWMA,Boipariguda_DES,Boipariguda_TES,Boipariguda_ARIMA,Similiguda_Trend,Similiguda_SMA,Similiguda_EWMA,Similiguda_DES,Similiguda_TES,Similiguda_ARIMA,Boriguma_Trend,Boriguma_SMA,Boriguma_EWMA,Boriguma_DES,Boriguma_TES,Boriguma_ARIMA,Lamptaput_Trend,Lamptaput_SMA,Lamptaput_EWMA,Lamptaput_TES,Lamptaput_ARIMA,Jeypur_Trend,Jeypur_SMA,Jeypur_EWMA,Jeypur_DES,Jeypur_TES,Jeypur_ARIMA,Kundura_Trend,Kundura_SMA,Kundura_EWMA,Kundura_DES,Kundura_TES,Kundura_ARIMA,Nandapur_Trend,Nandapur_SMA,Nandapur_EWMA,Nandapur_DES,Nandapur_TES,Nandapur_ARIMA,Kotpad_Trend,Kotpad_SMA,Kotpad_EWMA,Kotpad_DES,Kotpad_TES,Kotpad_ARIMA,Lakshmipur_Trend,Lakshmipur_SMA,Lakshmipur_EWMA,Lakshmipur_DES,Lakshmipur_TES,Lakshmipur_ARIMA,Narayan Patana_Trend,Narayan Patana_SMA,Narayan Patana_EWMA,Narayan Patana_DES,Narayan Patana_TES,Narayan Patana_ARIMA
1996-02-29,POMRB,6.2,4.663333333333334,3.975,5.615,7.92,4.264444444444443,7.95,4.114444444444445,7.54,5.133333333333333,3.171428571428572,6.84,11.96,,,6.2,5.388420864608642,6.64787619325382,0.0,,,4.663333333333334,8.477451039650468,5.058750044035991,0.0,,,3.975,3.5928646954699843,3.7281320719559425,0.0,,,5.615,5.194924654586366,6.018737930480197,0.0,,,7.92,12.490597025805512,7.6816763498977245,0.0,,,4.264444444444443,4.864226125634529,4.274444444444443,0.0,,,7.95,8.280402206892758,0.0,,,4.114444444444445,5.817703950532929,4.4260394074195455,0.0,,,7.54,5.992752467957256,7.55,0.0,,,5.133333333333333,7.598216169989316,5.382276479193567,0.0,,,3.171428571428572,3.6798068438970533,3.3330231073869987,0.0,,,6.84,6.297323179833886,6.548133412103942,0.0,,,11.96,11.670696557759463,12.069401591989537,0.0
1996-05-31,PREMON,7.95,6.9899999999999975,4.295,7.43,10.82,6.4833333333333325,9.72,5.097999999999999,6.64,6.623333333333334,5.387142857142856,7.823333333333332,12.52,,,6.9,6.467208377179192,7.193734221831953,6.199987738886019,,,5.593999999999999,10.729392608929519,7.18412484343719,4.663321995318371,,,4.103,3.6078896139175662,4.212995682515312,-4.33768619815875e-09,,,6.341,6.156935023039646,7.611393275895367,9.23488498890222e-07,,,9.08,14.974347493098668,11.086915980603944,7.919977412844605,,,5.151999999999999,6.730347032555232,6.502169898430285,4.264435506328798,,,8.658,9.328923386250167,1.781667056551472e-06,,,4.507866666666667,6.7097394389378335,4.95841868171567,4.114440221270787,,,7.18,5.400074497083473,6.658836565096951,7.539968067804694,,,5.729333333333333,8.897352295170077,6.324934190887451,2.1232469517792256,,,4.057714285714286,5.544331578768576,4.212626171534721,1.3142855280108838,,,7.233333333333333,6.702837998353358,8.238797966740371,6.839989027943918,,,12.184000000000001,11.59544749663924,12.731961731937112,11.95992295209743
1996-08-31,MONSOON,3.335,4.053333333333334,3.09,2.67,5.03,1.7366666666666666,1.08,2.322,1.265,3.5500000000000003,0.5685714285714286,5.08,11.64,5.64625,,5.474,5.711961377440143,5.108673670776712,7.123105176582998,5.192500000000001,,4.977733333333333,9.62760873350531,3.6169893102003674,6.11911829645677,3.7825,,3.6978,3.5769463017181296,2.8918147693606593,-8.718036866826966e-09,5.193125,,4.8726,5.3670454455704135,2.911012338368561,1.2219979864512073e-06,7.518750000000001,,7.459999999999999,12.090610911994714,6.130441990472673,9.759736232256191,3.9313888888888884,,3.785866666666666,5.60896558491793,1.7632009167107885,5.374103298493102,6.64375,,5.6268,2.1306497626116574,3.4431306016813665e-06,3.8564305555555554,,3.63352,5.973415220985296,2.269129497179578,4.681775459165837,4.938750000000001,,4.814,4.125657338866623,1.29153425004412,7.089882412949273,5.004166666666667,,4.8576,7.819600130129094,3.472511996663474,3.0132499957364924,2.8678571428571424,,2.662057142857143,4.57037397797601,1.2394903507578454,2.5692415554611383,6.543333333333333,,6.372,6.168832164820914,5.515842984984054,7.40867020426616,11.68,,11.9664,11.456821908927886,11.948382949321047,12.257549009672696
1996-11-30,POMKH,4.725,4.596666666666667,3.71,4.745,6.15,3.1833333333333336,7.6,3.653000000000002,5.15,4.633333333333334,2.32,6.34,10.55,5.7425,5.5525,5.1744,5.4754458302981135,4.878069360021813,5.639391066875417,5.331666666666667,5.075833333333334,4.825306666666666,8.284369272925312,3.8742598013925296,4.668486300709291,3.754375,3.7675,3.70268,3.5706020652572397,3.4855516956002393,-1.4896661958143661e-08,5.254375,5.115,4.82156,5.284674491289117,4.174382415215142,-1.0077824257623838e-09,7.897500000000001,7.48,6.936,9.811692579087739,6.511632197872058,6.8290693431172524,3.6504166666666658,3.916944444444444,3.5448533333333327,5.198492402912515,3.2164609773878685,4.160817950989452,6.685,6.5875,6.41608,5.794823966611446,2.536856924066394e-06,3.8874999999999997,3.7968611111111112,3.6413120000000005,5.651978942424976,3.3133661796370038,3.5664011381395126,4.592499999999999,5.14875,4.9483999999999995,3.7491437570846187,5.183127644054534,5.14676856130337,4.91625,4.985,4.767893333333333,7.086861950526843,4.630724680588797,2.7760296238924624,2.6151785714285714,2.8617857142857144,2.5252342857142853,4.321440886259196,1.920738162433637,2.342293814938049,6.68125,6.520833333333333,6.3591999999999995,6.171734586239893,6.099535275560413,6.274339995284876,11.71125,11.6675,11.399840000000001,11.23799833922647,10.944328422662736,12.00101783264957
1997-02-28,POMRB,6.95,5.596666666666668,4.0950000000000015,6.24,8.23,4.38,8.4,4.590999999999998,5.859999999999999,5.286666666666666,3.22,7.02,12.06,6.30875,5.74,5.884640000000001,6.049107508102987,6.175140096527664,5.523240261909086,5.430833333333333,5.309166666666667,5.133850666666667,7.43708824985886,5.255596864390877,4.703787724797754,3.5575,3.7975000000000008,3.8596080000000006,3.5790077782876035,3.7378167547800323,3.7420966435992518,5.303750000000001,5.27125,5.388936,5.6906392618535175,5.968010704168391,5.614998236489317,8.571250000000001,7.557500000000001,7.4536,9.090381281921074,7.394824789189137,7.625133435367397,3.4105555555555553,3.945833333333333,3.8789119999999997,5.323897005326415,4.301525428358106,4.149454105837495,6.86,6.7,7.209648,8.47968757311678,7.949997620332313,3.8782500000000004,3.9159999999999995,4.0211872,5.626902428044721,4.483554567815535,4.001559883359311,4.536874999999999,4.72875,5.313039999999999,3.6200255430556787,7.577080983913662,6.692804587596086,4.862916666666667,5.023333333333333,4.975402666666666,6.61385732197996,5.418100591058467,5.0127100400784705,2.3825,2.8739285714285714,2.803140571428571,4.382557416061174,3.4498388748310367,2.8599067281824544,6.876666666666666,6.565833333333333,6.623519999999999,6.3764765065876245,6.7257096637152465,6.353160170123098,11.90625,11.6925,11.663904000000002,11.165721775980872,12.355343744954501,11.82161645485312
1997-05-31,PREMON,7.97,7.170000000000001,3.95,7.295,13.54,4.119999999999999,9.6,4.87,5.55,5.766666666666668,3.3171428571428567,8.746666666666666,12.67,7.308125,5.745,6.718784000000001,6.932069558282752,7.0781707147913435,6.725449724084238,5.55625,5.354166666666668,5.9483104,7.567359843352201,7.635666998711542,6.813153740364063,3.4150000000000005,3.711250000000001,3.8957648000000002,3.5816127727634837,4.222685916232173,4.043347191223009,5.428541666666667,5.237500000000001,6.1513615999999995,6.404573854012314,7.694811980699171,7.570239498195679,9.078750000000001,8.2375,9.88816,11.843246230210191,10.80682938043051,10.305133147925957,3.4351388888888885,3.354999999999999,3.9753471999999994,5.195834288631165,6.53716848334575,5.653851225339284,7.0625,6.67,8.1657888,9.5883361565375,9.76660284924543,3.88225,3.859,4.36071232,5.625498454955,5.12524084639135,4.986915522213738,4.53625,4.45625,5.407824,3.5264643501345354,6.484933949643073,6.066626115874533,4.976666666666667,4.809166666666667,5.291908266666667,6.375539378073557,6.393252145279513,6.474751058807999,2.385,2.3564285714285713,3.0087414857142853,4.364479024380707,4.318687331491475,4.937409119338722,7.014166666666666,6.796666666666667,7.472778666666667,7.034068395345722,8.4123332582612,7.320051866661327,12.128750000000002,11.73,12.066342400000002,11.158456918557512,12.922489450866431,12.261863559931603
1997-08-31,MONSOON,7.8450000000000015,4.666666666666667,1.86,3.2,7.7,2.1811111111111106,2.6,2.476,1.91,3.979999999999999,0.7771428571428572,5.72,13.05,7.918125000000001,6.8725000000000005,7.169270400000001,7.643901203850864,5.032709525369282,5.063225803627722,5.623750000000001,5.507500000000001,5.435652906666667,6.1107716135592165,3.9746254486953227,4.4981948482485485,3.40125,3.4037500000000014,3.0814588800000005,3.5054458926878316,2.90148716200341,2.908950598207294,5.5,5.370000000000001,4.97081696,5.631467895316926,2.951070380217801,2.604963250925782,9.24125,8.905000000000001,9.012896,10.232099237659442,6.334332115302295,6.824095751734638,3.427083333333333,3.4661111111111103,3.2576527644444435,4.116123453776161,1.5179535067269385,2.3879179305089187,7.0125,7.050000000000001,5.93947328,2.299070216894032,1.09692649194758,3.8576250000000005,3.8975,3.606827392,4.565202482426151,2.33296200143767,2.6878516902697087,4.543125,4.6175,4.0086943999999995,2.9056712325147322,0.9899386263759418,2.5646157930147577,5.072916666666667,4.916666666666667,4.7671449599999995,5.273879194922708,3.285051687688986,3.189071659701164,2.3369642857142856,2.4085714285714284,2.116102034285714,3.1454493629262767,1.0026266024756274,0.29179243820440537,7.090416666666667,6.956666666666667,6.7716671999999996,6.591379030808548,6.0383308711721755,6.377333102529459,12.1925,12.0825,12.45980544,11.194208276718598,12.056378357621789,11.70469766727784
1997-11-30,POMKH,8.21,4.986666666666667,3.8,5.213333333333334,7.54,2.9355555555555566,7.7,3.531,4.5,5.113333333333333,2.1314285714285712,6.8,10.92,8.131250000000001,7.74375,7.585562240000002,8.346057045852612,6.141708007412658,6.486145746697259,5.775625,5.605000000000001,5.256058410666667,5.251449884414754,4.320322385615382,4.755960063155199,3.453125,3.4262500000000014,3.368875328,3.505407296508379,3.49516172408063,3.492623533945955,5.681875000000001,5.487083333333334,5.0678235093333335,5.559638626350228,4.311704142220277,4.808634522487127,8.87125,9.252500000000001,8.423737599999999,8.788749541396614,7.488928696556102,7.251046876710005,3.7230357142857136,3.404166666666666,3.128813880888889,3.614257839177257,3.023839083205084,3.352127691405041,6.95,7.075000000000001,6.6436839679999995,6.287385725481944,7.7508587999149405,4.004222222222222,3.866999999999999,3.5764964352,4.084065159769719,3.4007189434654883,3.6743279953387114,5.23,4.455,4.20521664,2.8429302806627486,4.960574916300064,5.0449462754736,5.223750000000001,5.036666666666667,4.905620309333333,4.986047922165767,4.6140055081897415,4.653825929250563,2.4292857142857143,2.361428571428571,2.122232649142857,2.726356190880638,1.7540704270027991,2.082391815234659,7.114166666666667,7.071666666666666,6.783000319999999,6.60438236478808,6.684562572287319,6.824960287693067,12.30125,12.175,11.843883264,11.053781802133853,11.057413212610628,11.094127626648111
1998-02-28,POMRB,8.345,5.746666666666667,3.895,6.343333333333334,8.14,4.5633333333333335,7.9,4.516,6.565,5.576666666666667,3.0242857142857145,7.169999999999999,12.2,8.151875,8.0925,7.889337344000001,8.928587574494863,8.087659061654174,8.01653453375658,6.1745833333333335,5.642500000000001,5.452301713066667,5.171132286905891,5.682271613043859,5.251757723798214,3.8025,3.3762500000000006,3.5793251968,3.508945982707211,3.747430826288314,3.927838199281895,5.9975000000000005,5.512916666666667,5.578027438933334,5.860658934744035,6.171045130705938,6.016987325453278,8.287500000000001,9.23,8.310242559999999,8.117965986413605,8.784596405822306,8.387894348362332,4.084821428571429,3.4499999999999993,3.702621661866667,3.988311972733083,4.10117534408726,4.1850315073696525,7.0475,6.950000000000001,7.1462103807999995,8.878103570730945,8.381692548720444,4.186527777777778,3.8482499999999993,3.95229786112,4.109469650639619,4.516297504737256,4.285589475314068,5.99,4.6312500000000005,5.149129984,3.1897596307776555,7.019352492662706,6.278160773373104,5.416666666666667,5.109166666666668,5.174038852266667,5.055444333050446,5.538735018272164,5.288378594165208,2.569642857142857,2.3124999999999996,2.4830538752000004,2.78523048707104,3.2797193421347686,3.004266273510122,7.169166666666667,7.109166666666666,6.937800191999999,6.723866559407513,7.2606453730031895,7.2540250197677265,12.1125,12.21,11.986329958399999,11.036155984856533,12.56215815820123,12.008713419630197
1998-05-31,PREMON,8.28,8.235,4.565,8.646666666666668,10.67,6.304285714285713,9.6,6.1177777777777775,10.34,6.683333333333334,4.251428571428572,8.786666666666667,13.4,7.515,8.17,8.0456024064,9.306849827936276,8.83951757542935,8.972061301281586,6.545833333333333,5.90875,6.565381027840001,6.762171861369516,7.966660741420258,7.027303669129126,4.065625,3.530000000000001,3.9735951180800004,3.537558390643657,4.232289437886867,4.068327085249151,6.059583333333335,5.850833333333334,6.805483130026667,6.918941087801197,7.878053663355713,7.435739240585036,7.874999999999999,8.512500000000001,9.254145536,9.251676030813224,12.350040093993133,11.711280583347461,4.161349206349207,3.9960714285714274,4.743287282834285,5.131137394676092,5.967864853549151,4.978040966654693,6.36125,6.950000000000001,8.12772622848,9.771290382136048,9.697839178020182,4.178430555555556,4.160194444444444,4.818489827783111,4.844018487520907,5.129878956604986,4.948353330616834,6.056875,5.82875,7.2254779904,4.23993274995504,6.1733186541844525,5.811347822545747,5.3029166666666665,5.338333333333334,5.7777566446933335,5.734266731428625,6.560719818236816,6.231232560181653,2.4807142857142863,2.546071428571428,3.190403753691429,3.3954304725876057,4.144534328370373,4.094402813344406,7.104166666666667,7.119166666666666,7.6773467818666665,7.289303869972817,8.772400754135322,8.231994095972258,11.695,12.3925,12.55179797504,11.131506303689523,13.160244383457865,12.443200472748604
