Date,Season,Kathua,Billawar,Bashohli,Hiranagar,Kathua_Trend,Kathua_SMA,Kathua_EWMA,Kathua_DES,Kathua_TES,Kathua_ARIMA,Billawar_Trend,Billawar_SMA,Billawar_EWMA,Billawar_DES,Billawar_TES,Billawar_ARIMA,Bashohli_Trend,Bashohli_SMA,Bashohli_EWMA,Bashohli_DES,Bashohli_TES,Bashohli_ARIMA,Hiranagar_Trend,Hiranagar_SMA,Hiranagar_EWMA,Hiranagar_DES,Hiranagar_TES,Hiranagar_ARIMA
1996-02-29,POMRB,4.262727272727272,5.17,3.4066666666666667,5.80157894736842,,,4.262727272727272,3.395291396781354,4.272727272727272,0.0,,,5.17,7.507149834621278,4.877925580025504,0.0,,,3.4066666666666667,2.746757969951026,3.37205684028233,0.0,,,5.80157894736842,4.4914360566193805,5.702688031315059,0.0
1996-05-31,PREMON,5.335454545454546,6.5100000000000025,2.8320000000000003,7.645789473684211,,,4.691818181818181,3.847353299497634,5.354900528834047,1.2567342294312218,,,5.706000000000001,8.753009550629482,6.493046033386358,5.1699868451128825,,,3.1768,2.7402651154817903,2.7837534374544406,3.4066635606672233,,,6.5392631578947364,5.188416841846165,7.173485171584495,5.8015717394998605
1996-08-31,MONSOON,2.7063636363636365,0.4866666666666666,1.1054545454545457,3.1310526315789486,3.4962954545454545,,3.8976363636363636,3.415256869459637,2.734704579112696,1.3169528849808123,4.103333333333334,,3.6182666666666674,6.771515543906393,1.4310114725188612,6.033750112421383,2.422905303030303,,2.3482618181818182,2.4566769253191625,1.043597536674448,3.051646752859384,5.33202485380117,,5.175978947368421,4.5739718901810225,4.412120912352798,6.833216466767435
1996-11-30,POMKH,2.3750000000000004,4.2,2.3475,4.7688888888888865,3.334522727272727,3.6698863636363637,3.288581818181818,2.960015789027663,2.4116892395957064,1.3352773846963335,4.052083333333334,4.091666666666668,3.8509600000000006,6.320843859306524,3.71925118675824,2.9580291748071263,2.422905303030303,2.422905303030303,2.347957090909091,2.4209945456025808,2.272752324829435,2.263899353262083,5.271169590643274,5.336827485380116,5.013142923976607,4.497416260636784,4.6111201753528785,5.155195757260065
1997-02-28,POMRB,2.8739999999999997,5.263333333333333,3.4066666666666667,5.7631578947368425,3.364863636363636,3.3227045454545454,3.1227490909090907,2.763819340874171,4.3030132665666265,4.151183822106122,4.0575,4.115,4.4159093333333335,6.243999106723364,4.885274802886982,4.942695857648337,2.422905303030303,2.422905303030303,2.771440921212121,2.5619822808029853,3.37205684028233,3.199075885038579,5.299590643274854,5.327222222222222,5.313148912280701,4.737054953660058,5.509317281392554,5.097524373957032
1997-05-31,PREMON,5.429999999999999,6.006666666666668,2.8320000000000003,7.197368421052633,3.514579545454545,3.346340909090909,4.045649454545454,3.4874063908445727,5.3023318662447565,4.786526759274252,4.082916666666667,3.9891666666666667,5.052212266666667,6.40959312123721,6.476611647426406,6.2022062390084844,2.422905303030303,2.422905303030303,2.7956645527272728,2.5866220849936963,2.7837534374544406,2.8189301381285987,5.363439327485381,5.215116959064328,6.066836715789474,5.396908279225105,7.04604050072222,6.976610271111106
1997-08-31,MONSOON,2.854545454545455,1.0333333333333332,1.1054545454545457,3.806842105263157,3.8706477272727273,3.3833863636363635,3.5692078545454544,3.2925896181997483,2.682348545571136,2.828138976614689,3.8258333333333336,4.1258333333333335,3.4446606933333337,4.486055500959633,1.10877782834541,1.1209340141240283,2.422905303030303,2.422905303030303,2.119580549818182,2.328921045060194,1.043597536674448,1.3664604879011257,5.339656432748539,5.38406432748538,5.1628388715789475,5.0265027419588755,4.148111183408194,3.5465295072443657
1997-11-30,POMKH,3.424545454545454,3.856666666666667,2.3475,4.603888888888889,4.021564393939394,3.6457727272727265,3.5113428945454546,3.309892435766815,2.36314329081487,2.5063322646293518,3.3475,4.04,3.609463082666667,4.024761704820638,3.8919586636267534,4.156755219208021,2.422905303030303,2.422905303030303,2.210748329890909,2.314764117259079,2.272752324829435,2.2947700764127466,5.217090643274854,5.34281432748538,4.939258878502924,4.905744039500792,4.746964576755977,4.9408275337840255
1998-02-28,POMRB,4.673,3.5499999999999994,3.4066666666666667,5.737894736842105,3.9220378787878785,4.095522727272727,3.9760057367272728,3.75754837266236,3.7258322443883194,3.654536300380796,3.1349999999999993,3.6116666666666672,3.5856778496,3.5947655852891285,4.894065739049219,4.979298523224559,2.422905303030303,2.422905303030303,2.689115664601212,2.473650503955073,3.37205684028233,3.2520206964087723,5.157353801169591,5.336498538011695,5.258713221838597,5.123346286932531,5.517162131563289,5.5771459258424585
1998-05-31,PREMON,4.838333333333333,3.893333333333333,2.8320000000000003,6.242105263157897,3.921109848484848,3.947606060606061,4.320936775369697,4.2226046638907695,5.512052359945629,5.616492248733412,3.1399999999999997,3.083333333333334,3.708740043093333,3.4507538411554473,5.8500309714836,5.372557018238991,2.422905303030303,2.422905303030303,2.7462693987607274,2.5131732349534834,2.7837534374544406,2.8188033287801217,5.268830409356725,5.097682748538011,5.6520700383663165,5.47309097979303,7.039798965456357,7.0990782290780885
