Date,Season,Barkot,Tileibani,Barkot_Trend,Barkot_SMA,Barkot_EWMA,Barkot_DES,Barkot_TES,Barkot_ARIMA,Tileibani_Trend,Tileibani_SMA,Tileibani_EWMA,Tileibani_DES,Tileibani_TES,Tileibani_ARIMA
1996-02-29,POMRB,4.542962962962964,4.08,,,4.542962962962964,1.4453500653828046,4.552962419144314,0.0,,,4.08,3.4007904341860296,4.834387651016388,0.0
1996-05-31,PREMON,6.102777777777778,6.88,,,5.16688888888889,1.3316415454193462,6.122223008416564,-1.7394955365069992e-21,,,5.2,2.7224706447414966,6.260916418974686,5.197818563478387e-17
1996-08-31,MONSOON,1.4688888888888894,1.03,3.706157407407408,,3.6876888888888897,0.8473219388406072,1.4972292513754617,-4.5842286449368e-22,3.8974999999999995,,3.532,1.5809213502940265,1.5033573096678121,8.497355739294058e-17
1996-11-30,POMKH,2.71,3.13,3.706157407407408,3.7061574074074075,3.2966133333333336,0.7358341175502854,2.7466885067523483,-1.769222552080692e-21,4.00875,3.7800000000000002,3.3712,1.2718448131811837,3.066303048381034,-3.1975146238812094e-17
1997-02-28,POMRB,4.542962962962964,5.02,3.7061574074074075,3.7061574074074075,3.795153185185186,0.9448901481899601,4.580617099550794,4.542962798159882,4.05375,4.015000000000001,4.0307200000000005,1.4802846248466828,4.834387651270788,4.079998692787599
1997-05-31,PREMON,6.102777777777778,6.83,3.706157407407408,3.7061574074074075,4.718203022222223,1.3883539106893528,6.1416209353448945,6.102777556389975,4.02875,4.0025,5.150432,2.097415923716639,6.260916419236267,6.879997795698647
1997-08-31,MONSOON,1.4688888888888894,1.44,3.706157407407408,3.706157407407407,3.4184773688888894,1.1434438050131903,1.5091280058963,1.4688888356026488,3.8031249999999996,4.105,3.6662592000000003,1.650055309364883,1.503357309923683,1.0299996699920115
1997-11-30,POMKH,2.71,2.52,3.706157407407408,3.7061574074074066,3.135086421333334,1.154747806872866,2.7518240719408094,2.7099999016905145,3.4524999999999997,3.9525000000000006,3.20775552,1.543201506845666,3.066303048639713,3.1299989971531113
1998-02-28,POMRB,4.542962962962964,3.825,3.7061574074074075,3.7061574074074066,3.698237037985186,1.476996549605785,4.584382410481342,4.5429628184772355,3.37125,3.6537500000000005,3.4546533120000005,1.7642326221010705,4.834387651530101,4.541090602057003
1998-05-31,PREMON,6.102777777777778,5.22,3.706157407407408,3.7061574074074066,4.660053333902223,2.0576437355847013,6.143924832094506,6.102777583683241,3.616875,3.25125,4.1607919872,2.3072195230076398,6.2609164194975815,6.855473934986878
1998-08-31,MONSOON,1.4688888888888894,2.4,3.6557870370370376,3.706157407407407,3.3835875558968893,1.8695103014812016,1.509899432153424,1.4688888421719157,3.8100000000000005,3.4912500000000004,3.4564751923199997,2.227372859633325,1.5033573101816873,1.2311139827427755
