Date,Season,Kunavaram,Kamepalli,Manuguru,Cherla,Wazeedu,Chandrugonda,Garla,Thallada,Kusumanchi,Enkur,Tirumalalayapelm,Pinapaka,Singareni,Chintur,Yellandu,Sathupalli,Mulakalapalli,Dummagudem,Aswapuram,Konjerla,Burgampahad,Bayyaram,Kalluru_kmm,Khammam(u),Khammam(r),Tekulapalli,Madhira,Bhadrachalam,Kukunur,Wyra,Dammapeta,Palwancha,Nelakondapalli,Penuballi,Julurpad,Yerrupalem,Kothagudem,Aswaraopet,Bonakal,Venkatapuram,Kunavaram_Trend,Kunavaram_SMA,Kunavaram_EWMA,Kunavaram_DES,Kunavaram_TES,Kunavaram_ARIMA,Kamepalli_Trend,Kamepalli_SMA,Kamepalli_EWMA,Kamepalli_DES,Kamepalli_TES,Kamepalli_ARIMA,Manuguru_Trend,Manuguru_SMA,Manuguru_EWMA,Manuguru_DES,Manuguru_TES,Manuguru_ARIMA,Cherla_Trend,Cherla_SMA,Cherla_EWMA,Cherla_DES,Cherla_TES,Cherla_ARIMA,Wazeedu_Trend,Wazeedu_SMA,Wazeedu_EWMA,Wazeedu_DES,Wazeedu_TES,Wazeedu_ARIMA,Chandrugonda_Trend,Chandrugonda_SMA,Chandrugonda_EWMA,Chandrugonda_DES,Chandrugonda_TES,Chandrugonda_ARIMA,Garla_Trend,Garla_SMA,Garla_EWMA,Garla_DES,Garla_TES,Garla_ARIMA,Thallada_Trend,Thallada_SMA,Thallada_EWMA,Thallada_DES,Thallada_TES,Thallada_ARIMA,Kusumanchi_Trend,Kusumanchi_SMA,Kusumanchi_EWMA,Kusumanchi_TES,Kusumanchi_ARIMA,Enkur_Trend,Enkur_SMA,Enkur_EWMA,Enkur_DES,Enkur_TES,Enkur_ARIMA,Tirumalalayapelm_Trend,Tirumalalayapelm_SMA,Tirumalalayapelm_EWMA,Tirumalalayapelm_DES,Tirumalalayapelm_TES,Tirumalalayapelm_ARIMA,Pinapaka_Trend,Pinapaka_SMA,Pinapaka_EWMA,Pinapaka_DES,Pinapaka_TES,Pinapaka_ARIMA,Singareni_Trend,Singareni_SMA,Singareni_EWMA,Singareni_TES,Singareni_ARIMA,Chintur_Trend,Chintur_SMA,Chintur_EWMA,Chintur_DES,Chintur_TES,Chintur_ARIMA,Yellandu_Trend,Yellandu_SMA,Yellandu_EWMA,Yellandu_DES,Yellandu_TES,Yellandu_ARIMA,Sathupalli_Trend,Sathupalli_SMA,Sathupalli_EWMA,Sathupalli_DES,Sathupalli_TES,Sathupalli_ARIMA,Mulakalapalli_Trend,Mulakalapalli_SMA,Mulakalapalli_EWMA,Mulakalapalli_DES,Mulakalapalli_TES,Mulakalapalli_ARIMA,Dummagudem_Trend,Dummagudem_SMA,Dummagudem_EWMA,Dummagudem_DES,Dummagudem_TES,Dummagudem_ARIMA,Aswapuram_Trend,Aswapuram_SMA,Aswapuram_EWMA,Aswapuram_DES,Aswapuram_TES,Aswapuram_ARIMA,Konjerla_Trend,Konjerla_SMA,Konjerla_EWMA,Konjerla_TES,Konjerla_ARIMA,Burgampahad_Trend,Burgampahad_SMA,Burgampahad_EWMA,Burgampahad_DES,Burgampahad_TES,Burgampahad_ARIMA,Bayyaram_Trend,Bayyaram_SMA,Bayyaram_EWMA,Bayyaram_DES,Bayyaram_TES,Bayyaram_ARIMA,Kalluru_kmm_Trend,Kalluru_kmm_SMA,Kalluru_kmm_EWMA,Kalluru_kmm_DES,Kalluru_kmm_TES,Kalluru_kmm_ARIMA,Khammam(u)_Trend,Khammam(u)_SMA,Khammam(u)_EWMA,Khammam(u)_DES,Khammam(u)_TES,Khammam(u)_ARIMA,Khammam(r)_Trend,Khammam(r)_SMA,Khammam(r)_EWMA,Khammam(r)_TES,Khammam(r)_ARIMA,Tekulapalli_Trend,Tekulapalli_SMA,Tekulapalli_EWMA,Tekulapalli_DES,Tekulapalli_TES,Tekulapalli_ARIMA,Madhira_Trend,Madhira_SMA,Madhira_EWMA,Madhira_DES,Madhira_TES,Madhira_ARIMA,Bhadrachalam_Trend,Bhadrachalam_SMA,Bhadrachalam_EWMA,Bhadrachalam_DES,Bhadrachalam_TES,Bhadrachalam_ARIMA,Kukunur_Trend,Kukunur_SMA,Kukunur_EWMA,Kukunur_DES,Kukunur_TES,Kukunur_ARIMA,Wyra_Trend,Wyra_SMA,Wyra_EWMA,Wyra_DES,Wyra_TES,Wyra_ARIMA,Dammapeta_Trend,Dammapeta_SMA,Dammapeta_EWMA,Dammapeta_DES,Dammapeta_TES,Dammapeta_ARIMA,Palwancha_Trend,Palwancha_SMA,Palwancha_EWMA,Palwancha_DES,Palwancha_TES,Palwancha_ARIMA,Nelakondapalli_Trend,Nelakondapalli_SMA,Nelakondapalli_EWMA,Nelakondapalli_DES,Nelakondapalli_TES,Nelakondapalli_ARIMA,Penuballi_Trend,Penuballi_SMA,Penuballi_EWMA,Penuballi_DES,Penuballi_TES,Penuballi_ARIMA,Julurpad_Trend,Julurpad_SMA,Julurpad_EWMA,Julurpad_DES,Julurpad_TES,Julurpad_ARIMA,Yerrupalem_Trend,Yerrupalem_SMA,Yerrupalem_EWMA,Yerrupalem_DES,Yerrupalem_TES,Yerrupalem_ARIMA,Kothagudem_Trend,Kothagudem_SMA,Kothagudem_EWMA,Kothagudem_DES,Kothagudem_TES,Kothagudem_ARIMA,Aswaraopet_Trend,Aswaraopet_SMA,Aswaraopet_EWMA,Aswaraopet_DES,Aswaraopet_TES,Aswaraopet_ARIMA,Bonakal_Trend,Bonakal_SMA,Bonakal_EWMA,Bonakal_DES,Bonakal_TES,Bonakal_ARIMA,Venkatapuram_Trend,Venkatapuram_SMA,Venkatapuram_EWMA,Venkatapuram_DES,Venkatapuram_TES,Venkatapuram_ARIMA
1996-02-29,POMRB,5.89,5.14,5.534999999999998,5.22,7.5,4.035,2.35,2.475,2.55,6.9,4.16,3.2,,4.4319999999999995,4.36,3.525,3.66,7.605,5.15,2.156428571428572,7.18,5.625,3.6800000000000006,3.1966666666666668,0.75,8.4,4.3,6.16,4.145714285714286,2.858,6.405,3.84,3.09,3.0333333333333337,6.15,5.65,5.14,5.69,3.872,7.484,,,5.89,5.536981798045013,5.90726568490692,0.0,,,5.14,6.620316097296639,5.639872254100746,0.0,,,5.534999999999998,7.630579225666641,5.534999999999998,0.0,,,5.22,16.87614522447361,8.962903496145138,0.0,,,7.5,5.3636231713455125,6.883906517230161,0.0,,,4.035,5.174483021863548,4.521767389062891,0.0,,,2.35,0.613689652856135,3.241938847109548,0.0,,,2.475,2.0609420886795484,2.5196531478049455,0.0,,,2.55,2.896024907210644,0.0,,,6.9,6.446799268074809,5.964376167422697,0.0,,,4.16,4.298083385087748,4.3318632370160275,0.0,,,3.2,6.420016871742869,5.413022191795929,0.0,,,,,,,,4.4319999999999995,3.4714602898003264,4.5399717856025035,0.0,,,4.36,4.27866651770251,4.344948387485744,0.0,,,3.525,4.369706273207234,4.111140897116799,0.0,,,3.66,5.131381162262383,4.189562853298068,0.0,,,7.605,10.147615093027692,8.989704145222609,0.0,,,5.15,8.396292111953787,9.135696011360395,0.0,,,2.156428571428572,2.142335597796656,0.0,,,7.18,7.376673513303775,7.1928777574101,0.0,,,5.625,4.4523804118429515,7.278156934315158,0.0,,,3.6800000000000006,3.5253420006829645,3.6508666735557047,0.0,,,3.1966666666666668,3.3175774721652673,3.1966666666666668,0.0,0.75,,0.75,0.75,0.0,,,8.4,7.610457519687234,8.722181561362119,0.0,,,4.3,4.19933435561569,4.613861613575029,0.0,,,6.16,5.100962067971399,6.192127456878662,0.0,,,4.145714285714286,5.129203458475268,4.145714285714286,0.0,,,2.858,2.4410386404815907,2.8206054303195023,0.0,,,6.405,4.648905743615668,5.329454825739672,0.0,,,3.84,5.762514994942425,4.897843071652334,0.0,,,3.09,7.167947023412313,4.5361328125,0.0,,,3.0333333333333337,0.006066933661597948,4.159131277176609,0.0,,,6.15,7.125802441970843,6.4742862922641775,0.0,,,5.65,4.961040403468426,5.6484177029249665,0.0,,,5.14,8.360212907237104,5.916651101970391,0.0,,,5.69,4.206370425290571,5.660338422451927,0.0,,,3.872,3.128149995619525,3.8678322226857573,0.0,,,7.484,13.125239936815392,7.484,0.0
1996-05-31,PREMON,7.02,8.618999999999998,8.355357142857143,12.81,10.735,7.9,4.98,5.615,5.55,8.17,5.13,7.44,5.3,5.822000000000001,4.83,7.475,6.64,9.185,10.0,3.4721428571428574,11.12,9.02,4.2250000000000005,6.837999999999999,,11.62,5.77,9.36,6.619999999999999,5.508000000000001,6.93,7.89,5.136666666666667,7.006666666666668,8.4,5.2586111111111125,6.93,6.967499999999999,5.77,10.73875,,,6.342,5.779993714385723,6.931771644333896,3.673366257826282e-06,,,6.531599999999999,6.950501136849335,8.000471431047236,5.139984505264351,,,6.663142857142856,7.405316661373654,8.355357142857143,1.6143231129813367e-06,,,8.256,25.8176920978663,10.511264107870552,5.219953086024292,,,8.794,5.891383589026948,9.455106165533412,7.49996312117333,,,5.5809999999999995,5.398516146062719,6.5142548799697515,2.524710390146872,,,3.402,0.3724371442186116,5.182836433688528,0.9541293314548828,,,3.731,1.252477221788686,4.255601473644955,1.192463053187564,,,3.75,4.656791239517121,1.8041259360701534,,,7.4079999999999995,6.784583911200174,8.633006406429137,6.899969581395599,,,4.548,4.609108636664541,4.723019518092367,3.85234156735274,,,4.896000000000001,11.77514490740014,8.333308790911243,1.1284394460188678,5.3,,5.3,5.3,0.0,,,4.988,4.119209253416405,6.100211886387562,1.256038404214212,,,4.548,4.278101634409305,5.3253522355238125,1.930662611033476,,,5.105,4.792144687241662,6.680029107534578,3.5249816198584663,,,4.852,8.249619369146226,5.441586087922102,2.4539230023358676,,,8.237,11.402640763772464,9.182550081586335,7.604989748588603,,,7.09,8.436406924058268,9.658705869233577,5.149951212760499,,,2.6827142857142863,3.580781244413216,1.5342562024564583,,,8.756,7.3448468279547185,10.528268301671384,5.189591350993666,,,6.9830000000000005,6.188766948813913,8.925201095824686,2.857912909075651,,,3.8980000000000006,3.735436069704548,4.238945524470335,2.256092562696349,,,4.6532,2.1366735221290623,6.837999999999999,1.6558723639458632e-06,,,,,,,,9.687999999999999,7.6730905798303795,10.753129846305706,8.39997325169521,,,4.888,4.240563141557369,5.86185387351021,1.9564806564956903,,,7.4399999999999995,5.490246924142995,9.05050830078652,4.414062009312985,,,5.135428571428571,6.9627109426791725,6.619999999999999,4.2412477713683966e-06,,,3.918,1.7383954620069284,5.494452979001718,-2.061019926536846e-07,,,6.615,4.6885237082722915,4.974945398958949,6.404951064747698,,,5.46,5.753448087404646,7.2348425897046225,1.2167153406218625,,,3.908666666666667,10.123817833432788,7.660388749422899,3.089963194781951,,,4.622666666666667,1.045678620975238,5.706191401053701,1.9891333246451466,,,7.050000000000001,7.095642125528352,8.549176235684268,6.149985484567794,,,5.493444444444445,4.676739473749716,5.252799316385221,6.132105382396123e-07,,,5.856,10.210845009710681,7.5883592130095305,5.139968877266663,,,6.2010000000000005,4.575885929651034,7.2286362774711215,5.689994932197688,,,4.6312,3.6427836663490387,5.776818675451119,1.3709547700143692e-06,,,8.7859,16.433019639715848,10.73875,9.71613087466976e-22
1996-08-31,MONSOON,5.74,0.67,2.675769230769231,5.57,2.925,2.6950000000000003,0.96,0.18,2.4,2.85,4.91,1.02,,2.9625000000000004,4.61,0.34,2.71,5.6999999999999975,0.1,1.6246153846153848,2.57,2.625,3.3366666666666664,2.256,,6.6,3.87,3.96,2.0575,0.8150000000000001,0.38,1.95,3.061875,2.16,4.3,3.2483333333333326,4.16,3.585,3.735,2.5175,6.05375,,6.1012,5.68466872320339,6.064043970579965,5.04558095873205e-06,5.215999999999999,,4.186959999999999,6.314691486363357,4.67358414115423,7.348589067270131,5.048531593406593,,5.068193406593406,6.397879514570332,2.675769230769232,2.436900369808497e-06,9.05625,,7.1815999999999995,19.748603174728803,3.497024276038257,10.207292362851438,6.17375,,6.4464,4.434597897007689,4.138851339295988,9.45654529580011,4.329375,,4.4266,5.193508660983663,3.5346172284335244,4.768740909642423,2.7062500000000003,,2.4252,0.1279807759905885,1.5962027710961504,2.056519523172858,2.2675,,2.3106,0.46844170924700257,1.8037503214835109,2.6754066613981533,3.3225,,3.21,3.183118703285294,3.7135691525731658,5.93375,,5.5847999999999995,6.1973546840720575,5.775952200398911,7.788674734475941,4.345000000000001,,4.6928,4.678842674262666,4.5636739677035045,4.7235191426394465,4.12,,3.3456,11.315086947181326,2.608285470232292,2.6714997849664575,,,,,,4.1541250000000005,,4.1778,3.7897483239564145,2.87323517325163,0.2777669540643435,4.40875,,4.572800000000001,4.277536824034079,3.459741390694838,2.3872984141970535,3.4781249999999995,,3.1990000000000003,4.056027404199405,1.3385291839593907,5.964876699440384,3.85125,,3.9952,7.3789160146955055,2.7341812479828302,4.307464625445718,7.588125,,7.222199999999999,10.095376104252008,7.214613938194204,8.435249373770985,6.793749999999999,,4.294,7.397680614455209,6.0554999486364744,7.625765324227579,2.2107967032967037,,2.2594747252747256,1.4595709213403072,2.4148890083337196,6.27375,,6.281599999999999,7.313157451410448,5.176190938212736,7.858867890731426,5.5962499999999995,,5.2398,4.7972836606607885,4.59384446119094,4.720118281231634,3.698916666666667,,3.673466666666667,3.5762822962062386,3.3903100681345477,2.8004149413498864,3.560166666666666,,3.69432,1.1630716149955895,2.2560000000000007,3.723775321178426e-06,,,,,,8.85375,,8.4528,7.613969721508696,8.297350554758383,10.470329019273354,4.3875,,4.4808,3.8376250650188446,4.1568287685626135,2.8391456065442955,6.104374999999999,,6.048,5.348812242430919,4.7564795297206155,6.589090152498428,3.8643035714285716,,3.9042571428571424,6.403984390354573,2.0575,6.772546375194298e-06,2.5957500000000007,,2.6768,0.9422262364636883,0.8568123346138117,-3.8757167316318974e-07,3.9831250000000002,,4.1209999999999996,4.728479246467859,3.3481477455476822,6.6876766987046,4.0737499999999995,,4.056,5.742533525503788,3.257625272666032,2.350422483467987,3.348697916666667,,3.5699500000000004,11.392896408143914,6.324470735661848,4.300802773587981,4.1416666666666675,,3.637600000000001,0.7618531169242212,2.8880338775091783,3.8762319502890668,6.0825000000000005,,5.95,7.065609433188457,6.017869829145972,7.629980691350218,4.282628968253968,,4.5954,4.1250985563579095,3.273326488274674,5.707319245681636e-07,5.22375,,5.1776,10.083018204680616,4.212172137002723,6.04559105523012,4.8478125,,5.1546,4.235203923483936,4.563970255870406,6.585489481267622,4.128,,4.27272,3.467668895823447,3.7637685351952,2.469424325491183e-06,6.589312499999999,,6.27854,13.428088052810416,2.517500000000002,-2.3645649430839688e-21
1996-11-30,POMKH,5.49,5.66,3.628,10.0,4.29,2.78,2.13,1.085,2.5,5.74,3.16,3.52,,3.3680000000000003,4.21,2.745,2.51,7.379999999999999,9.5,1.5900000000000003,4.3,4.73,3.554,1.95,,8.12,3.57,4.715,2.6340000000000003,1.2020000000000002,3.33,2.49,2.10625,3.67,6.04,2.9735714285714283,4.04,3.6025,3.135,5.616999999999999,6.05875,6.035,5.85672,5.547619468274849,5.387018585129938,2.6220551920647107e-06,5.40975,5.02225,4.7761759999999995,6.275877463850411,3.53120960331376,3.3867343143355346,5.048531593406594,5.048531593406593,4.4921160439560435,5.65173850591841,3.628000000000001,-2.298272253087169e-08,9.77375,8.4,8.308959999999999,16.462669574720426,6.980682712557329,5.940411433771998,5.883125,6.3625,5.58384,3.7652686047346133,5.4057568994897265,5.951141351487275,4.16625,4.3525,3.7679599999999995,5.01110402350964,4.095141397225713,2.6981422541347637,2.8625,2.6049999999999995,2.30712,0.25185962221021496,1.3002118127078974,1.001259934440284,2.021875,2.33875,1.82036,0.27217932635475856,1.7026859926011595,0.8351073081976389,3.40125,3.25,2.926,2.443805238907954,1.999033846134719,5.91875,5.915000000000001,5.6468799999999995,6.175382749014691,4.010408077096398,4.53985061004683,4.315,4.34,4.07968,3.9356561711996894,4.263705091959244,4.542583142609126,4.6674999999999995,3.795,3.4153599999999997,11.183207323281653,3.534376137910977,1.130123295810359,,,,,,4.221375000000001,4.1461250000000005,3.85388,3.623706640499696,3.8270263261080375,1.2085765314366028,4.293749999999999,4.5025,4.4276800000000005,4.276972085205296,4.2132209614152085,2.906623203868941,3.46375,3.52125,3.0174000000000003,3.8080569909091353,2.871105233819184,2.612103812884979,3.7649999999999997,3.8800000000000003,3.40112,6.234526831590145,3.125356168410077,2.5389875626473164,7.479999999999999,7.4674999999999985,7.28532,9.510666510630845,8.242130833614484,7.378730471919624,7.49625,6.1875,6.3764,7.462673219851292,8.134634236290793,4.945027692511022,2.2107967032967033,2.2107967032967037,1.9916848351648355,1.441840704692729,1.5155455290815765,6.29125,6.2924999999999995,5.48896,7.281604800377532,3.3751702194892372,3.888077285549154,5.838749999999999,5.5,5.035880000000001,4.75278596948427,5.310595289485334,2.7345392378461746,3.6989166666666673,3.698916666666667,3.62568,3.5299563364251587,3.498346143863161,2.8346509366601254,3.5601666666666665,3.5601666666666665,2.9965919999999997,0.7217184990017244,1.9500000000000013,5.281272607062619e-07,,,,,,9.06,8.684999999999999,8.31968,7.592947895249168,6.94480241239299,7.9058814854563835,4.38125,4.3775,4.11648,3.4742713423579104,3.798834002379804,2.7603241485132726,6.32,6.04875,5.5148,5.289573539392646,4.617712674729436,4.261738603664947,3.8643035714285716,3.8643035714285716,3.3961542857142852,5.8231852574378795,2.6340000000000003,-1.5714402296051627e-08,2.5957500000000007,2.5957500000000002,2.08688,0.5830304107013788,1.2141570927336345,1.8087930112669077e-07,3.42,4.26125,3.8045999999999998,4.768775307833428,3.664138587604425,4.170787131038302,4.16375,4.0425,3.4295999999999998,5.731810451012194,2.7769073935729227,0.25007512054864367,3.348697916666667,3.3486979166666666,2.9844700000000004,11.218016806502545,5.807564459505366,3.5176503856372747,4.223333333333334,3.9675000000000002,3.6505600000000005,1.1042930814946021,2.8034517842800173,3.9061890541621858,5.96375,6.2225,5.986000000000001,7.035703869245582,5.172569892966891,5.410902842309554,4.282628968253968,4.282628968253968,3.946668571428571,3.6289542154337244,2.9836321707031166,3.5255077552853095e-07,5.34125,5.0675,4.72256,9.337208586895063,3.965268399568139,5.392466611421231,4.896770833333333,4.96125,4.53376,3.9607695917387744,3.4868703564626022,4.496822144217079,4.128,4.128,3.8176319999999997,3.1671376404352807,3.1059175605275917,1.483600092073669e-06,6.5893125,6.589312499999998,6.013923999999999,11.540948178647911,5.617000000000002,7.473453475889081e-21
1997-02-28,POMRB,6.04,6.69,5.534999999999998,10.47,5.99,3.85,3.16,1.905,3.13,7.05,4.2,5.8,,4.496,3.61,3.18,3.43,8.57,10.0,2.156428571428572,7.03,6.395,3.6800000000000006,3.1966666666666668,0.75,9.75,4.38,6.605,4.145714285714286,2.858,4.18,4.09,3.09,4.426666666666667,5.03,5.65,6.39,4.7825,3.872,7.484,6.2124999999999995,6.0725,5.930032000000001,5.586982319220935,5.8651955195587275,5.889996273715238,6.48975,5.40975,5.5417056,6.357177438519328,5.160412530518552,5.206465279859376,5.048531593406594,5.048531593406594,4.909269626373625,5.289667880209476,5.534999999999999,5.534996586809876,10.153750000000002,9.7125,9.173376000000001,13.407435768294675,10.21184478834287,6.288488940513993,5.925000000000001,5.984999999999999,5.746304,3.812591463751248,6.830683225346506,7.169755874769001,4.44125,4.30625,3.8007759999999995,4.927459545924883,4.1765079699678545,3.8172595451244087,3.3825,2.8074999999999997,2.6482720000000004,0.6124827727366379,3.1363077790891873,2.2193975197564537,2.121875,2.19625,1.8542159999999999,0.32621993250854137,2.332781330982386,2.159929878876762,3.67625,3.3949999999999996,3.0076,2.845871377940917,2.277580426733381,6.451250000000001,5.952500000000001,6.208128,6.371672751125056,6.161849610612294,6.118863711646673,4.3075,4.35,4.127808,3.9985103880716366,4.083350430288561,3.019940410239966,5.375,4.445,4.369216,11.466421807452164,5.413022191795927,3.015898783418493,,,,,,4.4635625,4.1621250000000005,4.110728,3.8485249046065757,4.458509998570797,4.499755653824265,4.24375,4.315,4.100608,4.27640741640028,4.5032213346248895,4.0107192233439815,3.90375,3.435,3.08244,3.6672612061377747,3.780692550929622,3.38982406758309,4.01375,3.8225000000000007,3.4126719999999997,5.782628462195334,4.238001029113856,3.1519047485939606,7.903124999999999,7.708749999999999,7.799192,9.454305970412793,9.062226748877846,7.537718341909144,8.70375,7.4,7.8258399999999995,7.590782624772117,8.833225781589574,5.82889789367714,2.2107967032967037,2.2107967032967037,2.05758232967033,2.3614376233447945,1.7965769819167194,7.2749999999999995,6.254999999999999,6.105376,7.250188285840814,6.344002450655614,6.249177498121417,6.636875,5.6925,5.579528,5.364971247155964,7.069381870210686,5.031395740497939,3.6989166666666673,3.6989166666666673,3.6474080000000004,3.549795667353255,3.6659239195048716,3.6229008735271324,3.5601666666666665,3.560166666666666,3.0766218666666667,0.7273967286871317,3.1966666666666685,3.196661871977102,0.75,,0.75,0.75,0.0,9.376249999999999,9.022499999999999,8.891808000000001,7.612514472722974,8.729879831183657,8.395975488653106,4.7612499999999995,4.3975,4.221888,3.441788215463798,4.482265796065644,4.119508635057575,6.66875,6.16,5.95088,5.409011495887313,5.957383706119154,5.743285674223831,3.8643035714285716,3.864303571428571,3.6959782857142853,5.7258872289267,4.145714285714286,4.145708087719038,2.5957500000000002,2.5957500000000002,2.395328,0.6032137079678036,2.827354151492407,2.857999251463961,3.3225,3.705,3.9547599999999994,4.809414778202686,5.568686607702185,4.133333101210286,4.58375,4.105,3.6937599999999997,5.721611438058209,4.636823254705665,3.542385700852164,6.240963541666666,3.3486979166666666,3.026682,10.642430969030082,6.973624168489624,3.0217012390376,4.495,4.315833333333333,3.9610026666666673,1.6969144234382338,4.357114951435943,2.8453139545968,6.44125,5.942500000000001,5.6036,7.005924874680304,6.323491968567157,6.132292418018006,4.282628968253968,4.282628968253968,4.628001142857142,3.683808129214129,5.672216842222973,5.6500003227301105,5.5525,5.38,5.389536,9.299750191984105,5.641542675170754,5.043498374961059,5.5564583333333335,4.734374999999999,4.633256,3.9740914641427882,4.6596735754850425,4.926820810932227,4.128,4.128,3.8393791999999998,3.2093050686267866,3.8662450679582574,3.871999390771737,6.589312499999999,6.589312499999998,6.6019544,10.465227365726205,7.4840000000000035,7.4839963362455
1997-05-31,PREMON,6.91,8.618999999999998,8.355357142857143,13.3,9.92,6.779999999999999,5.42,4.2200000000000015,5.6,7.9,4.85,9.22,5.3,6.296,4.66,7.705,6.18,7.355,10.77,3.4721428571428574,11.41,10.19,4.2250000000000005,6.837999999999999,,11.92,5.64,10.64,6.619999999999999,5.508000000000001,4.65,8.36,5.136666666666667,6.266666666666668,8.57,5.2586111111111125,6.62,8.266666666666667,5.77,10.73875,6.43375,6.045,6.322019200000001,5.8754642514134146,6.978158450826366,7.075652297192195,7.8735,5.409749999999999,6.772623359999999,6.666005275672383,8.075093740955808,7.301315215762854,5.048531593406593,5.048531593406594,6.287704632967031,5.416198256916596,8.355357142857144,8.355351873631538,10.47875,9.835,10.8240256,13.559517564804016,13.0392068503542,14.043578128794032,6.64125,5.78125,7.415782399999999,5.130976039737288,9.22307588327444,9.755935978768141,5.21875,4.026250000000001,4.992465599999999,5.082041142399196,6.222813358393556,7.371714165526214,3.915,2.9174999999999995,3.7569632000000004,1.5769226190118508,5.24599174554043,4.843904488837117,2.630625,1.8475000000000006,2.8005296000000004,0.8454527197267653,3.988038694542146,4.758625166293362,4.11875,3.4074999999999998,4.04456,4.899581581949103,4.357833352391012,7.17875,5.885,6.884876800000001,6.676854254206255,8.816302280372204,7.096463222649104,4.475,4.28,4.4166848,4.3224624332459305,4.611792504525212,4.031574559413643,6.05375,4.89,6.3095296,13.026242403257887,8.333308790911245,7.44890769916085,5.3,,5.3,5.3,0.0,4.8525,4.280625000000001,4.9848368,4.66749730990652,6.034846469488555,5.568690832776763,4.2275,4.272500000000001,4.324364800000001,4.275842830093935,5.221132584929174,4.035880239203106,4.535625,3.4925,4.931464,4.240316253219814,6.747878323362717,6.017897150404226,4.58625,3.7075000000000005,4.5196032,7.10844198877246,5.350914881332408,5.579848432403082,8.741875,7.251249999999999,7.6215152,8.685853895627725,9.255072685241572,8.530899876628428,9.903749999999999,7.592500000000001,9.003504,7.80769346506864,9.774191375930542,8.223236756488882,2.2107967032967037,2.2107967032967037,2.623406540659341,3.6702554009219046,2.8641565770591404,8.87625,6.327499999999999,8.2272256,7.218907321903483,10.217492065821936,9.993812695092199,7.441249999999999,5.985,7.423716799999999,7.19823630025653,8.766171378901216,8.094365907926635,3.698916666666667,3.6989166666666673,3.8784448000000005,3.7933594852810737,4.250390134670081,4.128804427834725,3.5601666666666665,3.560166666666666,4.58117312,1.4732779562048108,6.838000000000001,6.837991685287874,,,,,,9.477916666666665,9.0975,10.103084800000001,7.685628027385781,11.219364358942984,10.591171847360162,5.415,4.365,4.789132799999999,3.8242518340272724,5.81495090370723,5.513129837224983,7.130625,6.48,7.826528,5.887317812439533,9.267096765623378,8.96838578589289,3.8643035714285716,3.864303571428571,4.865586971428571,6.548653418544977,6.619999999999999,6.619990421065622,2.5957500000000002,2.5957500000000002,3.6403968000000004,1.0436734634121094,5.500140386211676,5.5079981165886185,3.51625,3.135,4.232856,4.850400581189134,5.214177168075629,4.1970945350819875,5.345,4.2225,5.560255999999999,5.7127741133397745,7.049136147472632,6.976871370462907,9.133229166666666,3.3486979166666666,3.8706758666666667,10.387962492203902,8.992092165806373,3.8896851019226,5.085000000000001,4.130833333333333,4.8832682666666685,2.906821639518964,6.286084803829265,6.700099893591847,7.07375,5.985000000000001,6.79016,6.976271948428018,8.287988025675286,6.880834959642129,4.282628968253968,4.282628968253968,4.88024513015873,3.7083530144455943,5.278478129689875,5.258611030802738,6.09,5.3025,5.8817216,9.083019738509757,7.610301957608202,5.932961506967924,6.4392708333333335,5.059166666666666,6.086620266666667,4.70537428479246,6.31312442494537,6.029190199206472,4.127999999999999,4.128,4.611627519999999,3.9707309814747394,5.776309426846142,5.769997280435858,6.589312499999999,6.5893124999999975,8.25667264,11.045663023224309,10.738750000000003,10.738744742899033
