Date,Season,Gulha,Kalayat,Kaithal,Pundri,Rajound,Gulha_Trend,Gulha_SMA,Gulha_EWMA,Gulha_DES,Gulha_TES,Gulha_ARIMA,Kalayat_Trend,Kalayat_SMA,Kalayat_EWMA,Kalayat_DES,Kalayat_TES,Kalayat_ARIMA,Kaithal_Trend,Kaithal_SMA,Kaithal_EWMA,Kaithal_DES,Kaithal_TES,Kaithal_ARIMA,Pundri_Trend,Pundri_SMA,Pundri_EWMA,Pundri_DES,Pundri_TES,Pundri_ARIMA,Rajound_Trend,Rajound_SMA,Rajound_EWMA,Rajound_DES,Rajound_TES,Rajound_ARIMA
1996-02-29,POMRB,12.37,1.94,8.118,10.454999999999998,1.575,,,12.37,14.011245598454789,12.24147937479731,0.0,,,1.94,2.4614392871080653,2.5582188748952226,0.0,,,8.118,6.185573155903004,5.74420363531144,0.0,,,10.454999999999998,10.557071690259612,10.216160667463932,0.0,,,1.575,1.3428956509766743,1.3327583879102294,0.0
1996-05-31,PREMON,13.293333333333335,3.13,6.315,10.995,3.02,,,12.739333333333333,13.896238928580969,14.39082290236549,12.369737604966405,,,2.416,2.6873403507911218,2.6381726887878116,1.939999165508782,,,7.396800000000001,6.308552960202576,6.6652343339294635,8.117948967762992,,,10.671,10.775828799189911,10.579821242793482,10.454976840654549,,,2.153,1.8121828615199953,2.0043099590624474,1.5749980287887306
1996-08-31,MONSOON,24.43416666666667,3.4433333333333334,5.84,11.835,1.5,16.181458333333335,,17.41726666666667,17.268758024840366,19.786503190914395,12.900087374440979,2.9458333333333333,,2.8269333333333337,2.9421212908671106,2.770631822004249,2.6529686065182667,6.351062499999999,,6.77408,6.433977809252253,6.689049226175715,7.406438400083423,11.3533125,,11.136600000000001,11.132911105842872,12.06006398073072,10.759992495931872,2.153125,,1.8918000000000001,1.7542043129813993,1.6927980681340538,2.3621971691009396
1996-11-30,POMKH,14.865,2.4525,5.714,11.302,2.02,16.12229166666667,16.240625,16.39636,16.65626462999964,17.183433164067235,17.953263554234002,3.2123958333333333,2.7414583333333336,2.67716,2.8094393484808298,2.4249017960746677,2.9640397477366176,6.428000000000001,6.4967500000000005,6.350047999999999,6.561896317449437,6.655701890639904,6.816004874906472,11.187999999999999,11.146749999999999,11.202760000000001,11.299623693929806,11.760233770924511,11.257882719064742,2.3670833333333334,2.02875,1.9430800000000001,1.850896235225679,1.9809017930690107,1.9950924105857935
1997-02-28,POMRB,11.896666666666668,3.575,6.9525000000000015,12.1075,2.57,15.174895833333336,16.12229166666667,14.596482666666667,15.308950915301054,13.578856459640075,14.790400246330785,3.212847222222222,3.150208333333334,3.036296,3.0680528847208954,2.9420305025245725,2.564540375421596,6.640208333333334,6.205375,6.5910288,6.692358073682224,6.461614397659995,6.083762940786925,10.8208125,11.559875,11.564656,11.607889321683214,10.926766796895716,11.276948311446207,2.5141666666666667,2.2775000000000003,2.193848,2.072097882596194,2.019180063094507,1.8822793767413117
1997-05-31,PREMON,13.293333333333335,3.6275,8.096,8.020000000000001,3.736666666666667,14.132916666666668,16.12229166666667,14.075222933333334,14.801715098293501,14.901512774510746,14.310889355949085,3.068298611111111,3.274583333333334,3.2727776,3.264046760349848,3.4520231370623744,3.227068793093209,6.443875000000001,6.650625000000001,7.19301728,6.82541364131955,6.982608872013602,6.0390664878201115,10.872125,10.816125000000001,10.1467936,10.95903289340735,11.61349024886298,11.627428064754561,2.5383333333333336,2.456666666666667,2.810975466666667,2.554339552450003,2.7487563584189294,2.5356002924745575
1997-08-31,MONSOON,16.855,2.9494444444444436,5.756666666666668,11.8725,1.96,14.018125,14.227500000000003,15.187133760000002,15.551621551300373,21.790419554292093,18.835228875287314,2.756944444444444,3.151111111111112,3.1434443377777774,3.188276182117259,3.475751263762693,3.3694824271743067,6.272645833333334,6.629791666666667,6.618477034666667,6.9611145624826705,7.29903471014201,6.7007214006532605,10.690312500000001,10.825500000000002,10.83707616,11.286406192647394,11.718788122186602,10.117483349699928,2.3865624999999997,2.571666666666667,2.4705852800000003,2.436424956314869,2.4532770295679116,2.539359092220077
1997-11-30,POMKH,14.108333333333334,1.79,4.226666666666667,11.675,1.7533333333333332,13.997916666666667,14.038333333333336,14.755613589333334,15.223623625474376,14.676811869818437,14.302985638258946,2.4515277777777773,2.985486111111112,2.6020666026666666,2.7733627885811,2.7179169236783345,2.9576949496485967,6.019395833333333,6.257958333333333,5.661752887466667,7.0995134376547995,7.11498840159398,7.149452763648474,10.812624999999999,10.918750000000001,11.172245696000001,11.50288162990414,11.548875328073347,10.850040190135777,2.1179166666666664,2.505000000000001,2.1836845013333335,2.2915050562122277,2.7194615033330187,2.478455404913643
1998-02-28,POMRB,11.735,1.7466666666666668,7.069999999999999,10.28,1.6225,13.757916666666668,13.99791666666667,13.5473681536,14.259219425643499,11.715683196171904,13.179780653655241,2.2553472222222224,2.528402777777779,2.2599066282666667,2.4716939449703985,2.906630980859464,2.604197436639032,5.917291666666667,6.287333333333333,6.22505173248,7.240663941020087,6.49333750212581,6.283882569875241,11.0093125,10.461875000000001,10.815347417600002,11.369684715623047,10.915839129330049,11.194059985022216,1.9677083333333334,2.268125000000001,1.9592107008000001,2.146875168698629,2.6345256541471516,2.374314693645777
1998-05-31,PREMON,13.293333333333335,3.0125,5.9525000000000015,10.825999999999999,2.535,13.473125000000001,13.997916666666669,13.445754225493333,14.06926310311195,13.50960957366176,13.308432070780968,2.122291666666667,2.374652777777779,2.56094397696,2.6577458195394272,2.800384564121675,2.5260342105373677,6.361354166666667,5.751458333333333,6.116031039488,7.384620748623254,6.997393986422393,5.434442908566367,10.45525,11.163375,10.81960845056,11.383376989947813,10.979491232868506,10.813006393559501,1.8347916666666666,1.9677083333333343,2.18952642048,2.2845412629224473,3.149952103056088,2.4337218530248426
