Date,Season,Ekona,Gilaula,Jamunaha,Prayagpur,Sirsiya,Hariharpur Rani,Ekona_Trend,Ekona_SMA,Ekona_EWMA,Ekona_DES,Ekona_TES,Ekona_ARIMA,Gilaula_Trend,Gilaula_SMA,Gilaula_EWMA,Gilaula_DES,Gilaula_TES,Gilaula_ARIMA,Jamunaha_Trend,Jamunaha_SMA,Jamunaha_EWMA,Jamunaha_DES,Jamunaha_TES,Jamunaha_ARIMA,Prayagpur_Trend,Prayagpur_SMA,Prayagpur_EWMA,Prayagpur_DES,Prayagpur_TES,Prayagpur_ARIMA,Sirsiya_Trend,Sirsiya_SMA,Sirsiya_EWMA,Sirsiya_DES,Sirsiya_TES,Sirsiya_ARIMA,Hariharpur Rani_Trend,Hariharpur Rani_SMA,Hariharpur Rani_EWMA,Hariharpur Rani_DES,Hariharpur Rani_TES,Hariharpur Rani_ARIMA
1996-02-29,POMRB,3.1100000000000003,4.8125,3.6175,2.17,3.186666666666667,5.49,,,3.1100000000000003,2.58967517311629,3.009307160389639,0.0,,,4.8125,3.897443152182934,4.665533191888804,0.0,,,3.6175,5.170277343575645,3.3116658807829955,0.0,,,2.17,3.9977495006392747,2.0867420315350884,0.0,,,3.186666666666667,5.357337131293561,3.3206524900001497,0.0,,,5.49,6.553712883316323,5.489993988910367,0.0
1996-05-31,PREMON,3.9,5.766,4.565,3.21,4.54,6.1,,,3.426,2.5812044354715193,4.184370552081711,6.709946850869098e-07,,,5.193899999999999,3.9554252590831185,5.9943902204177295,8.294651000937671e-07,,,3.9965,5.970785284860169,4.386371253397641,3.6174973155063057,,,2.586,5.102985773717068,3.2138772947201275,3.242364315956037e-23,,,3.728,6.581813756158639,4.327933759421898,2.4871862818060255,,,5.734,7.065690324149594,6.1000221951380125,1.9570443827492349e-07
1996-08-31,MONSOON,1.64,3.185,1.5450000000000002,0.44,2.1,3.01,2.8012500000000005,,2.7116000000000002,2.5725041433101716,1.46808791845501,1.184467085683906e-06,4.49275,,4.39034,3.369781704111093,3.210463258033891,1.5171742190329757e-06,3.2768750000000004,,3.0159000000000002,4.7111319242947705,2.521073776742064,4.107872799879498,1.8715000000000002,,1.7275999999999998,4.081251831147156,1.028269559855958,4.948886164766183e-22,3.3275,,3.0768000000000004,5.419621348905293,2.074998016357598,3.4092129160653064,4.853749999999999,,4.6444,6.325167625116268,3.0100250560725472,1.0780904240126537e-07
1996-11-30,POMKH,2.74,4.505000000000001,3.5275000000000003,1.471,3.4966666666666666,5.0,2.7175000000000002,2.8475,2.7229600000000005,2.563959736284529,2.2865446037171506,8.292676552385266e-07,4.34075,4.567125000000001,4.436204,3.339724724912473,3.8912504327174595,1.39442539299909e-06,3.238541666666667,3.31375,3.2205400000000006,4.4821398348841175,2.9645497342880254,3.1565850771974504,1.9202500000000002,1.82275,1.62496,3.434674896763163,1.454601630161668,6.532946181458226e-22,3.2666666666666666,3.330833333333333,3.244746666666667,4.986997781854687,2.8627733521796004,2.7885058453812817,4.805,4.9,4.78664,6.2105724539796645,4.999954620965695,1.842729376889555e-08
1997-02-28,POMRB,2.74,4.2175,3.3225,2.56,3.16,5.12,2.5425,2.755,2.729776,2.5554447507994484,3.2369610987979383,3.110000336095659,4.22875,4.418375000000001,4.3487224,3.3067544632923624,4.90080359575693,4.8125006572772,3.332708333333333,3.24,3.261324,4.102025915185091,3.3306748211791013,3.4435851990537976,1.929,1.9202500000000002,1.9989759999999999,3.308347536637596,2.088261059858622,2.1699999129561407,3.13125,3.3241666666666667,3.2108480000000004,4.266355878055717,3.687016377029859,3.1318606679194323,4.859999999999999,4.807500000000001,4.9199839999999995,6.08078560492501,5.4899940304311725,5.489999255349322
1997-05-31,PREMON,3.6,5.145,4.553333333333334,3.21,4.08,6.08,2.193125,2.6799999999999997,3.0778656,2.5470575374272513,4.103984133308041,3.7493047445313663,3.8890625,4.2631250000000005,4.6672334399999995,3.6198736728892538,5.844274251132157,5.563143860347436,3.2727083333333336,3.2370833333333335,3.778127733333333,4.382380245505533,4.321710005974622,4.080107918328124,1.9377499999999999,1.9202500000000005,2.4833856,3.4640535641185073,3.2153963230436613,3.209999871239268,2.875,3.2091666666666665,3.5585088000000002,4.203362142491361,4.49891508721739,4.366885729966825,4.564374999999999,4.8025,5.3839904,6.241895523403002,6.005723125073207,6.0702731398273935
1997-08-31,MONSOON,0.54,2.91,2.31,0.51,1.4766666666666666,3.47,1.8331250000000001,2.4049999999999994,2.06271936,2.53834889878804,1.274509164076829,1.5052377860000086,3.4190625,4.194375000000001,3.964340064,3.2692904469941446,2.841777186752751,2.9303949897237884,2.989583333333334,3.4283333333333337,3.19087664,3.477103370232976,2.47053335799499,2.060472245322496,1.913375,1.9377500000000005,1.6940313599999999,2.2239544627921246,1.0297885881794917,0.439999982350554,2.57625,3.0533333333333332,2.725771946666667,2.7139001416727706,1.932307174123511,1.9767827815370285,4.11125,4.9175,4.61839424,5.484669535029722,2.918261171321566,3.0274748472563355
1997-11-30,POMKH,1.045,2.0625,2.2825,1.471,2.07,2.175,1.6781249999999999,1.9812499999999993,1.655631616,2.5297280590599893,1.6257819066689678,2.317054232532386,3.182140625,3.5837500000000007,3.2036040384,2.753865543507792,3.5660506014387874,4.358073669849152,2.8288802083333335,3.117083333333334,2.827525984,2.7819369572509975,3.131316568009244,3.5404436840431934,1.8890000000000002,1.9377500000000003,1.6048188159999999,1.7384632391581725,1.4561206584852018,1.4709999409946928,2.4410416666666666,2.6966666666666668,2.463463168,2.0785719399168316,2.4811464804062378,3.0705398734293294,3.9904166666666665,4.211250000000001,3.641036544,4.398620608729198,5.035714883004389,5.032434087543396
1998-02-28,POMRB,1.5550000000000002,2.9,2.3025,2.365,2.1966666666666668,4.32,1.611875,1.6849999999999992,1.6153789696,2.5211952883137694,2.0431360239320364,2.1193585196707216,2.8411562500000005,3.2543750000000005,3.0821624230399998,2.5973970455465123,3.592817154260639,3.6145377182507117,2.7327604166666664,2.862083333333334,2.6175155904,2.3306803064076167,3.121265116789011,3.1460068160083705,1.9365,1.8890000000000002,1.9088912896,1.8448104273840995,2.089780088182156,2.441829085806151,2.406041666666667,2.4558333333333335,2.3567445674666665,1.8292140735099183,2.7858814218707293,2.468320517120956,3.8233333333333333,4.01125,3.9126219264,4.1686726543208374,4.730145597818023,4.959774621152084
1998-05-31,PREMON,3.545,4.567125,4.287708333333333,3.21,3.961666666666667,5.913333333333332,1.573125,1.6712499999999992,2.3872273817600003,2.5129197121148015,2.9147076409231794,2.9561949375318832,2.529177083333333,3.1099062500000008,3.676147453824,3.011022187136618,4.531871902068114,4.440994289489935,2.7107812499999997,2.7956770833333335,3.2855926875733332,3.0411642832969603,3.8963120492877263,3.761871924888952,1.984,1.8890000000000005,2.42933477376,2.4202848384698723,3.216915351367195,3.2099999102541306,2.37125,2.42625,2.998713407146667,2.828277674845161,3.5668601992507925,3.585338092400599,3.8877083333333333,3.969583333333334,4.712906489173333,4.534309554695902,5.213725901740079,6.216229293450494
