Date,Season,Korha,Katihar,Azamnagar,Dhandkhora,Balrampur,Falka,Kadwa,Manshi,Samoli,Manihari,Korha_Trend,Korha_SMA,Korha_EWMA,Korha_DES,Korha_TES,Korha_ARIMA,Katihar_Trend,Katihar_SMA,Katihar_EWMA,Katihar_DES,Katihar_TES,Katihar_ARIMA,Azamnagar_SMA,Azamnagar_EWMA,Azamnagar_TES,Dhandkhora_Trend,Dhandkhora_SMA,Dhandkhora_EWMA,Dhandkhora_DES,Dhandkhora_TES,Dhandkhora_ARIMA,Balrampur_Trend,Balrampur_SMA,Balrampur_EWMA,Balrampur_DES,Balrampur_TES,Balrampur_ARIMA,Falka_Trend,Falka_SMA,Falka_EWMA,Falka_DES,Falka_TES,Falka_ARIMA,Kadwa_Trend,Kadwa_SMA,Kadwa_EWMA,Kadwa_DES,Kadwa_TES,Kadwa_ARIMA,Manshi_Trend,Manshi_SMA,Manshi_EWMA,Manshi_DES,Manshi_TES,Manshi_ARIMA,Samoli_Trend,Samoli_SMA,Samoli_EWMA,Samoli_DES,Samoli_TES,Samoli_ARIMA,Manihari_Trend,Manihari_SMA,Manihari_EWMA,Manihari_DES,Manihari_TES,Manihari_ARIMA
1996-02-29,POMRB,4.27,4.285,2.77,4.073333333333333,5.7860000000000005,3.6975,4.426666666666667,3.7680000000000002,5.1033333333333335,3.5825,,,4.27,5.1439480734896605,4.279999999999999,0.0,,,4.285,3.597090809199069,4.295,0.0,,2.77,2.770000275578491,,,4.073333333333333,3.807805298719504,4.083333333333333,0.0,,,5.7860000000000005,4.418647392331098,5.712266747618918,0.0,,,3.6975,3.4382922743833437,2.819718816580286,0.0,,,4.426666666666667,3.945252133329561,3.261616935914286,0.0,,,3.7680000000000002,5.586297143957339,3.778,0.0,,,5.1033333333333335,4.386819835454076,5.1034375,0.0,,,3.5825,7.278999108138896,3.620751972257946,0.0
1996-05-31,PREMON,4.77,3.3150000000000004,,3.93,6.8900000000000015,3.733333333333333,3.71,4.866666666666666,5.75,5.936666666666667,,,4.47,5.567268740698197,4.788171745152354,4.269996697469758,,,3.8970000000000002,3.2266162336368587,3.3338365650969535,4.28499319814852,,,,,,4.016,3.6890263357725064,3.948836565096953,4.073326543316317,,,6.227600000000001,4.6579151352363635,7.445732685227519,2.981039003377133,,,3.711833333333333,3.393049372047438,4.237139879688849,3.697496138454741,,,4.140000000000001,3.668347372219552,4.689605878621707,4.426661108357344,,,4.207466666666667,6.545621523763983,4.886112650046168,-2.65796522953606e-23,,,5.362,4.400841370055035,5.75020256232687,1.244351927546298,,,4.524166666666667,9.614095040809511,5.640732171430387,3.582490710249854
1996-08-31,MONSOON,2.96,1.95,,1.33,3.4939999999999998,1.4933333333333334,1.0750000000000002,2.9250000000000003,1.57,1.1700000000000002,3.7024999999999997,,3.8659999999999997,5.211198587548705,2.9846001795566335,4.5795582621285895,2.9243750000000004,,3.1182,2.721110625342533,1.976534250044122,3.8603594053201755,,,,3.014791666666667,,2.9415999999999998,3.298618452992584,1.3565342500441213,4.005524760638322,5.343,,5.1341600000000005,4.310466096928641,3.474473792961124,3.8695203443694135,2.8296875,,2.824433333333333,3.097642453468542,1.7144351673161042,3.718435302425153,2.8433333333333337,,2.9140000000000006,3.0056741192054024,1.4750132180377522,4.015970711131198,3.643666666666667,,3.6944800000000004,5.929639282818536,2.9533409427490582,-1.3398005100119892e-23,4.1537500000000005,,3.8452,3.7780671702720867,1.5702952181536372,1.5807786122204412,3.611979166666667,,3.1825,6.523844846886096,1.9869518780497226,4.557302359974622
1996-11-30,POMKH,2.84,2.665,3.22,3.37,5.08,2.6300000000000003,2.93,3.015,4.495,3.43,3.65125,3.71,3.4555999999999996,4.743054547808919,2.869400297126968,3.7245114729697315,2.510625,3.05375,2.9369199999999998,2.437965968544613,2.6981276440545354,3.267393555643751,,2.95,3.2199999441047065,2.9324999999999997,3.1758333333333333,3.11296,3.170360475962211,3.403127644054534,3.1851799056289476,5.55725,5.3125,5.112496,4.285306678263691,4.529982395067032,3.2543792775109384,2.787916666666667,2.888541666666667,2.74666,2.9552050677494894,2.3935286613987334,2.7682876566530137,2.7575,3.0354166666666664,2.9204000000000008,2.7589260817890926,2.5622754641306855,2.8950907213825277,3.643666666666667,3.643666666666667,3.422688,5.156130492961912,3.0516892395957043,2.1262943936441287e-22,4.130000000000001,4.229583333333333,4.105119999999999,3.690656941833705,4.495382179579123,1.4106126733818225,3.6908333333333334,3.5297916666666667,3.2815000000000003,5.252408349537019,2.8428859698920315,4.055427542611421
1997-02-28,POMRB,4.21,3.25,2.77,2.785,6.029999999999999,3.2266666666666666,2.89,3.7680000000000002,4.496666666666667,4.24,3.4275,3.6950000000000003,3.75736,4.722121409340875,4.301130582631785,4.023003680533856,2.25,2.795,3.0621519999999998,2.325257273660804,4.32155466812419,3.701245594881999,,2.878,2.769999915732609,2.9349999999999996,2.85375,2.981776,2.99722374465278,4.108835369878574,3.7822833564778944,5.74925,5.3735,5.4794976,4.440041985159547,5.735800335813588,5.400046454894406,2.7275,2.7708333333333335,2.9386626666666666,2.8972875756656067,2.930374837998349,3.512384837197199,2.8925,2.65125,2.9082400000000006,2.5645987751374126,3.400522397641843,4.131495550449185,3.643666666666667,3.6436666666666664,3.5608128,4.751738608046689,3.8124955201551427,3.7679997075112697,4.280833333333334,4.077916666666667,4.261738666666666,3.636503731849697,5.103774908927057,4.904953366896521,3.8209375000000003,3.694166666666667,3.6649000000000003,4.741622289361607,3.7143577953577034,3.2515290467498765
1997-05-31,PREMON,4.42,1.04,,4.56,8.36,3.87,4.56,4.866666666666666,6.166666666666668,5.91,3.17125,3.607500000000001,4.022416,4.74188949161406,4.791130699186063,4.564224787792525,2.370625,2.2262499999999994,2.2532911999999996,1.897712821555038,3.2340453361425645,3.1898592392845027,,,,2.7931250000000003,3.0112499999999995,3.6130655999999997,3.045294268263325,3.8177113224379413,3.6962240526764383,5.710249999999999,5.741,6.63169856,4.997634310898446,7.528531468217374,6.445495504091862,2.5666666666666664,2.805,3.3111976,2.9256553070226134,4.254183642785327,3.5003376930218733,2.8931249999999995,2.8637499999999996,3.568944,2.707901524798087,4.613419847732131,3.339187055076929,3.643666666666667,3.6436666666666664,4.083154346666666,4.920648189348375,4.918434409622842,4.866666288894598,4.304791666666667,4.182083333333334,5.023709866666667,3.879837106403468,5.716887495606347,5.354538147738001,3.8856249999999997,3.6875,4.56294,5.551264258486396,5.960880798308206,5.578659361993494
1997-08-31,MONSOON,1.52,2.14,,0.72,3.56,0.8733333333333334,1.305,2.9250000000000003,2.36,2.2375,3.035625,3.2475000000000005,3.0214496,3.7901448378311855,2.917942964705361,3.0899887917193922,2.5737499999999995,2.2737499999999997,2.2079747199999997,1.7358612427813658,1.6093081043330026,2.5362343281132054,,,,2.8081944444444447,2.8587499999999997,2.4558393599999997,2.674573992383868,1.2959918018211334,1.8577735536977333,5.6270625,5.757499999999999,5.403019136,4.6821404319158075,3.9301763218850705,4.145800752534453,2.483255208333333,2.65,2.3360518933333334,2.6146186255073234,1.7507366692828796,1.8337669292556664,2.9454861111111112,2.9212499999999997,2.6633664,2.3086213035894594,1.4570078186888205,1.6555976198691864,3.643666666666667,3.6436666666666664,3.619892608,4.059421605440998,2.983513871341118,2.9249997729486377,4.297916666666667,4.379583333333334,3.95822592,3.5167311560241545,1.5602062030192347,1.67498648656922,3.664375,3.954375,3.632764,3.6151408056235566,1.9830925522547886,1.9630817247462597
1997-11-30,POMKH,2.23,3.44,3.22,2.845,4.702,1.9633333333333327,2.705,3.015,3.896666666666667,2.88,3.02875,3.0950000000000006,2.70486976,3.1956554028541726,2.5380323167692187,2.525803767528739,2.58125,2.4674999999999994,2.700784832,1.8406533114694301,2.3574980428908225,2.608781347412205,2.995,3.0148,3.2199999336538507,2.9451388888888888,2.7275,2.611503616,2.5732344905915863,3.269472457777579,3.28840289615934,5.4845625,5.663,5.1226114816,4.601214174280794,4.880926126001633,4.728092453521606,2.6063020833333335,2.483333333333333,2.186964469333333,2.4526035161239883,2.3241741189563525,2.5213202612532317,3.100972222222222,2.8649999999999998,2.68001984,2.2107099919965907,2.621229087902739,3.022019705217974,3.643666666666667,3.6436666666666664,3.3779355647999996,3.4395588902762406,3.079742906717367,3.014999765962441,4.21375,4.23,3.9336022186666666,3.4405832263936285,4.529163426952804,4.533571593388771,3.3771875000000002,3.8168750000000005,3.3316583999999994,2.830904050081198,3.425986729934511,3.7610129952984184
1998-02-28,POMRB,3.735,4.1,2.77,3.4305555555555562,5.7425,3.2260416666666667,3.533888888888889,3.7680000000000002,5.04,3.0200000000000005,3.013125,2.9762500000000003,3.116921856,3.1928351470661025,3.861965426476211,3.9290358577586013,2.4587499999999998,2.6799999999999993,3.2604708992,2.078425234188817,3.8614343367914055,3.296918147647851,2.995,2.91688,2.769999908587896,3.0363888888888892,2.8888888888888893,2.9391243918222223,2.5548829448124186,3.508864872041848,3.3326448023980473,5.329,5.591125,5.37056688896,4.716123366010275,5.890791349711405,5.554927247427665,2.7640104166666664,2.483177083333333,2.6025953482666666,2.4531527843010648,2.764860777005327,3.2235377771190903,3.1615972222222224,3.025972222222222,3.0215674595555555,2.289230278881415,3.371439375411093,3.486750804307826,3.643666666666667,3.6436666666666664,3.5339613388799997,3.37598186646934,3.83846380909617,3.7679998797782948,3.8833333333333333,4.365833333333334,4.3761613312000005,3.572376249995565,4.976582777265516,4.579352291575717,3.0953125,3.5118750000000003,3.20699504,2.5686299709092295,3.966404137399496,3.877522621852136
1998-05-31,PREMON,4.84,0.25,,5.01,7.5074999999999985,4.855,5.16,4.866666666666666,4.95,4.8325,2.9412499999999997,3.0812500000000003,3.8061531135999997,3.5929619146740324,4.247147716418418,4.306061224418761,2.2874999999999996,2.482499999999999,2.0562825395199997,1.6578211936689091,2.671725942595426,2.2512813424678324,,,,2.8688888888888893,3.001388888888889,3.7674746350933335,2.727345129649721,3.9975806912024536,3.999776428026133,5.146249999999999,5.378,6.225340133375999,5.137058397535958,7.5645732237045955,7.201721725492452,2.7172395833333334,2.7294270833333334,3.5035572089600002,2.6529582865411374,4.115214585410844,3.6385029441703494,2.987847222222222,3.1759722222222218,3.876940475733333,2.675299183686052,4.630215328679344,4.023425458326138,3.643666666666667,3.6436666666666664,4.067043469994666,3.9447548055829786,4.942355196216962,4.8666665113909335,3.5012499999999998,4.0616666666666665,4.60569679872,3.699065139120958,5.8493738145757375,5.874871972772936,2.880625,3.2425000000000006,3.8571970239999995,3.835618397225218,5.681756564766252,5.233338693565447
