Date,Season,Deodrug,Sindhnur,Raichur,Lingsugur,Manvi,Deodrug_Trend,Deodrug_SMA,Deodrug_EWMA,Deodrug_DES,Deodrug_TES,Deodrug_ARIMA,Sindhnur_Trend,Sindhnur_SMA,Sindhnur_EWMA,Sindhnur_DES,Sindhnur_TES,Sindhnur_ARIMA,Raichur_Trend,Raichur_SMA,Raichur_EWMA,Raichur_DES,Raichur_TES,Raichur_ARIMA,Lingsugur_Trend,Lingsugur_SMA,Lingsugur_EWMA,Lingsugur_DES,Lingsugur_TES,Lingsugur_ARIMA,Manvi_Trend,Manvi_SMA,Manvi_EWMA,Manvi_DES,Manvi_TES,Manvi_ARIMA
1996-02-29,POMRB,5.4099999999999975,3.535714285714286,2.9450000000000003,4.5275,5.339,,,5.4099999999999975,5.225257621946351,4.5643616261604505,0.0,,,3.535714285714286,4.10557383824536,3.701284629869387,0.0,,,2.9450000000000003,3.7284702762213353,3.651390012115942,0.0,,,4.5275,4.673542155217102,4.2785249012975495,0.0,,,5.339,4.875824786787108,4.714485764305209,0.0
1996-05-31,PREMON,6.23,4.5385714285714265,5.13,5.0775,5.442,,,5.737999999999999,5.365676566651616,6.6449335637712394,5.409981962029728,,,3.936857142857142,4.199077336064224,4.986781460803138,1.241588574903662,,,3.819,3.8611879278878,4.451715314332157,1.1015110355413515,,,4.7475000000000005,4.771771494093859,5.499959320246608,3.3216987420449327,,,5.3802,4.885110613136709,6.457698338830772,3.405005828263801
1996-08-31,MONSOON,3.8975,4.0771428571428565,4.975,5.0825,5.6,4.548125,,5.001799999999999,5.057880557501567,5.32250174975524,5.840629701714277,4.108571428571428,,3.992971428571428,4.18192546508058,4.2212079431557585,1.7621436839726625,3.87,,4.2814,3.973739572808584,4.185242389477887,1.7518424976519371,4.445937499999999,,4.8815,4.845233694629168,4.949970455213207,4.085058680072483,4.978670454545454,,5.46812,4.894414126256193,5.949908433144357,3.826458842418103
1996-11-30,POMKH,3.4875,3.9657142857142853,2.61,3.7425,4.098181818181818,4.2625,4.75625,4.3960799999999995,4.734035185076183,3.5438017169876845,5.088735818000558,4.2280357142857135,4.029285714285714,3.982068571428571,4.145917867084443,3.110444160023612,2.167973406655465,3.773125,3.9149999999999996,3.61284,3.7449675730590615,3.0411349306871447,2.0287820610585974,4.255,4.6075,4.4259,4.545720665950949,3.84275923859606,4.362689680284385,4.911613636363636,5.1197954545454545,4.920144727272727,4.903735334419193,4.168274962592336,4.467153169691549
1997-02-28,POMRB,3.745,4.17,2.585,3.2350000000000003,4.21,4.4084375,4.340000000000001,4.135648,4.517853662749187,4.266885717384711,4.670354876225496,4.503071428571428,4.187857142857142,4.057241142857142,4.157833264682848,3.7921604282528834,3.4195707791521084,3.9081250000000005,3.8249999999999993,3.2017039999999994,3.5276752899765684,3.6515818608462847,2.631928659827044,4.3412500000000005,4.284375,3.9495400000000007,4.191878299402364,4.259211912339724,4.153205741806424,5.081590909090909,4.837545454545454,4.636086836363637,4.913074296027826,4.380209295757572,4.992600003536978
1997-05-31,PREMON,5.609999999999999,4.859999999999999,4.715,4.8425,6.034545454545454,4.956249999999999,4.1850000000000005,4.725388799999999,4.679658444391371,5.96024464143081,4.598523115059073,4.852214285714286,4.2682142857142855,4.378344685714286,4.3051773340581505,5.22950647242996,4.488880537492937,4.11875,3.7212499999999995,3.8070223999999997,3.633603610164175,4.464352011579341,4.422494484204061,4.7309375000000005,4.225625,4.306724000000001,4.356031052203787,5.0392306927376485,3.936886676608129,5.3975,4.985681818181818,5.195470283636364,4.922431071112403,5.747352158999599,4.630389408219898
1997-08-31,MONSOON,5.685,5.956,6.4700000000000015,6.007499999999999,6.367272727272727,5.6234375,4.631875,5.10923328,4.824491793518182,4.656129427986952,4.352243610568229,4.979,4.737928571428571,5.009406811428571,4.64221320958695,4.4859256959634735,3.9852476004361037,4.347500000000001,4.095000000000001,4.872213440000001,3.999569261265567,4.197400670006854,4.435217213347721,5.298541666666667,4.456875,4.987034400000001,4.7838957207337165,4.567502244582983,4.314360701220721,5.75,5.1775,5.6641912610909095,4.931805670759738,5.856101288079232,5.777091710576549
1997-11-30,POMKH,6.0825,4.88,2.8,5.935,5.8581818181818175,6.3149999999999995,5.280625,5.498539967999999,5.013864497707076,3.572240771998631,4.628974480280106,5.072749999999999,4.9665,4.957644086857142,4.697654457199671,3.8262133001405063,4.374684139109334,4.3881250000000005,4.142500000000001,4.043328064000001,3.8222904492169585,3.046644579825523,3.198588158625087,5.736770833333333,5.005,5.36622064,5.0790114013423615,3.9135920042348444,4.2755959852087075,5.797713068181818,5.617500000000001,5.741787483927273,4.941198116028499,4.481937893457126,4.663231245721854
1998-02-28,POMRB,6.4875,4.2700000000000005,4.225,5.583333333333332,5.2700000000000005,6.702812499999999,5.96625,5.8941239808,5.240728275861223,5.022043814757005,5.208784639267507,4.943,4.9915,4.682586452114285,4.620307266969872,4.56340258187378,4.248969979380718,3.6525,4.5525,4.1159968384,3.8597210654395804,3.6514615322932182,2.422440773131656,5.960520833333333,5.592083333333333,5.453065717333333,5.202992430083054,5.065629544086885,4.711596895390147,5.595653409090909,5.8825,5.553072490356364,4.95060843969391,5.3782908199016015,5.317399196856989
1998-05-31,PREMON,8.399999999999999,5.51,3.4,6.0,5.35625,6.252812499999999,6.66375,6.89647438848,5.7705666137016145,7.278116516224257,6.070414370199638,4.4755,5.154,5.013551871268572,4.805891538523366,5.813178267209373,4.628782119358845,3.1,4.22375,3.8295981030400004,3.778022169429302,4.483438243334499,5.346269139790005,5.668333333333333,5.881458333333333,5.6718394304,5.40395743966069,6.380232559250118,5.705139217770016,5.119289772727273,5.712926136363636,5.474343494213818,4.960036686129163,6.774734015614819,5.85597593168124
1998-08-31,MONSOON,5.9975,4.268,1.9,6.6400000000000015,5.429090909090909,5.3881250000000005,6.741875000000001,6.5368846330879995,5.766052976421779,6.390832838968287,6.3125687226037295,4.24325,4.732,4.7153311227611425,4.706716381819013,5.088132091391611,5.83714780617961,3.115625,3.081249999999999,3.0577588618240004,3.485222212493263,4.2316793327262525,4.442693160336699,5.068854166666667,6.039583333333333,6.059103658240001,5.720373429487875,5.844883768700253,5.975493443275171,4.6307670454545455,5.478380681818182,5.456242460164654,4.969482889261919,6.076342616786253,5.666003849750577
1998-11-30,POMKH,2.17,2.8280000000000003,2.95,2.965,2.9854545454545462,4.4624999999999995,5.763750000000001,4.7901307798528,5.070374436755435,4.904248777341499,6.222321695799166,4.069791666666666,4.219,3.9603986736566856,4.339618886515094,3.788449703975383,4.11236325149196,3.258333333333333,3.1187499999999986,3.0146553170944004,3.36026694959766,3.0387746916564122,1.2692192771422655,4.59625,5.297083333333333,4.821462194944,4.983366325837074,4.967392241955736,5.390060818887541,4.3249289772727275,4.760198863636363,4.467927294280611,4.978947044765431,4.154003865049452,4.695219914490374
1999-02-28,POMRB,3.4825,4.464,4.199999999999998,3.7575,4.2345454545454535,3.8019791666666665,5.0125,4.26707846791168,4.743267543591751,4.86907487351269,5.293307812489228,4.038583333333333,4.267500000000001,4.1618392041940115,4.371895230977624,3.9627854118975723,3.4043041947388937,3.689166666666666,3.1124999999999985,3.4887931902566396,3.42699322372754,3.65231352859865,3.7801089683060436,4.22625,4.840625,4.3958773169664,4.651127144087962,4.724372860926811,3.953474908693214,4.224501748251749,4.501335227272727,4.374574558386548,4.988429243360315,3.846139702621378,3.820104000739848
1999-05-31,PREMON,4.0,3.9283333333333332,4.566666666666666,4.044999999999999,3.945,3.8441666666666663,3.9125000000000005,4.160247080747007,4.57144824078617,6.317597969012116,5.481177528511877,4.300333333333333,3.8720833333333347,4.06843685584974,4.290813074766462,5.434607086015781,5.262822387033254,4.14,3.4041666666666646,3.9199425808206505,3.550410527360434,4.46768075896101,4.380596723382442,4.229583333333334,4.351875,4.25552639017984,4.482955287871214,5.524271167094135,4.274851316688434,4.437819784382285,4.148522727272727,4.202744735031929,4.997929495853948,5.477623798581233,5.128567921797365
1999-08-31,MONSOON,5.113333333333333,5.6000000000000005,4.18,5.6350000000000025,6.0369230769230775,4.044812500000001,3.691458333333334,4.541481581781538,4.6333421401165005,4.456428722231368,4.336004220479805,4.364458333333333,4.205083333333334,4.681062113509844,4.5596023151956055,4.373370683298852,3.569863027717659,4.359999999999999,3.974166666666665,4.02396554849239,3.6174567682666914,4.207864869834342,4.308058630404442,4.445604166666667,4.100625,4.807315834107905,4.778855233681878,4.6078842221566125,4.882406232976257,4.61314831002331,4.300480769230769,4.936416071788388,5.007447873086476,4.725220516595163,4.827254619077022
1999-11-30,POMKH,3.391666666666667,3.59,4.276666666666666,3.9966666666666666,4.0841666666666665,4.339625,3.9968750000000006,4.0815556157355894,4.372277657339434,3.2672182941463106,3.9560352455315844,4.343041666666666,4.3955833333333345,4.244637268105906,4.373795700739503,3.645630581846009,3.150135148610213,4.3427083333333325,4.305833333333331,4.1250459957621,3.6989314810982843,3.045817019614515,2.497947691376926,4.778708333333334,4.3585416666666665,4.4830561671314095,4.564014157965416,3.81082724829935,3.8024646675379845,4.812899184149185,4.575158799533799,4.595516309739699,5.016984347656199,3.7298750309202786,4.46674873292293
2000-02-29,POMRB,3.866,4.215,4.633333333333334,4.454,4.538461538461538,4.507958333333333,4.0927500000000006,3.995333369441354,4.246234401273039,4.041481492998067,4.173284631289137,4.13375,4.333333333333334,4.232782360863544,4.349582408021728,4.072806857824448,4.44403141681723,4.3225,4.414166666666665,4.328360930790593,3.8316370985137085,3.670592512224143,4.119857694520975,5.0050625,4.532666666666667,4.471433700278846,4.526862646853854,4.326470708829401,4.045940188146852,4.891181526806527,4.651137820512821,4.572694401228435,5.026538990877631,4.142631731382497,4.529908396128902
2000-05-31,PREMON,5.975,4.006,3.995,6.013333333333333,5.239090909090909,4.401458333333333,4.586500000000001,4.7872000216648125,4.525284430571239,5.832924410213868,4.7716151644347375,3.8710000000000004,4.35275,4.142069416518126,4.288427136553719,5.444304407359124,3.661309632314011,4.292083333333333,4.271249999999998,4.1950165584743555,3.8668563914119916,4.483050929017778,4.513090777366899,5.055541666666667,5.02475,5.08819355350064,4.910899547520971,5.505799703974722,4.783698622822094,4.7763483391608395,4.974660547785548,4.8392530043734245,5.036111841123072,5.777628949335375,4.981839018584916
2000-08-31,MONSOON,4.484999999999999,3.8480000000000003,4.59,5.4775,5.369090909090909,4.3715,4.4294166666666674,4.666320012998887,4.4822857229745185,4.668209154409379,4.637398871227383,3.8314464285714287,3.9147499999999997,4.024441649910876,4.207827897948667,4.402061201696155,5.300148335519337,4.1554166666666665,4.3737499999999985,4.353009935084613,3.9872664499233808,4.219812580170399,3.9806129627256874,5.244958333333333,4.9853749999999994,5.243916132100384,5.051607992033909,5.278240637656674,6.029050619984741,4.802301864801865,4.807702505827506,5.0511881662604186,5.045702924331144,5.495635224837513,5.840435750143994
2000-11-30,POMKH,3.168,3.24,3.623333333333333,4.558,3.8333333333333326,4.300625,4.373500000000001,4.066992007799333,4.209285413518764,3.241121393877547,3.845623372484272,3.9211428571428573,3.8272500000000003,3.7106649899465256,4.021772655880725,3.1767290498645915,2.8898491281420298,4.201666666666666,4.2104166666666645,4.061139294384101,3.96034932443542,3.0717821683039324,3.219290246356117,5.419791666666667,5.125708333333333,4.969549679260231,4.912402987707851,4.194164737982478,4.293130312031295,4.926550116550117,4.744994172494172,4.564046233089584,5.055312249724748,3.8196994907870048,4.007155309953812
2001-02-28,POMRB,3.85,4.248571428571428,4.193333333333333,5.408,4.9969230769230775,4.470375,4.369500000000001,3.9801952046795996,4.111104927308178,3.959442920382868,4.05166318415855,4.201535714285715,3.835642857142857,3.9258275653964865,4.073956204552104,3.6371308956322674,3.8725768367080886,4.360416666666667,4.100416666666664,4.114016909963794,4.015117367967751,3.691385437543818,3.786459664486141,5.4506875,5.364208333333333,5.144929807556139,5.034379401754389,4.771519595427932,4.30472166606412,5.097835081585082,4.859609557109557,4.737196970622982,5.06493989336896,4.071254122559413,4.397256185988802
2001-05-31,PREMON,5.424,4.69,4.805,6.457999999999998,5.7746153846153865,4.6537500000000005,4.231750000000002,4.557717122807761,4.316031558305412,5.769584590241999,4.849714487402419,4.317142857142858,4.006642857142857,4.231496539237892,4.203958418345944,5.139753853478211,3.8184911334020235,4.369583333333333,4.302916666666664,4.390410145978277,4.156247947125657,4.487707947953084,4.4085899703394755,5.3435,5.475375,5.670157884533683,5.400933387421419,6.127302621887486,5.540003860716725,5.093108974358975,4.993490675990677,5.152164336219943,5.074585884242258,5.9569755805342535,5.282763706259757
2001-08-31,MONSOON,6.394,5.4071428571428575,5.05,5.279999999999999,6.203846153846152,4.5665000000000004,4.709000000000001,5.292230273684657,4.657667015775653,4.466788865424405,4.416145067877036,4.118214285714286,4.396428571428572,4.701755066399878,4.451430907774626,4.373748933989593,3.8776382364429285,4.199583333333333,4.417916666666664,4.654246087586966,4.32731957636706,4.236007515604553,4.464478034370987,5.096,5.426,5.51409473072021,5.359410421381699,5.838434190894073,6.356682619895654,4.802307692307693,5.202179487179489,5.572837063270427,5.084250251951405,5.843528141016669,6.021234657817127
2001-11-30,POMKH,2.7260000000000004,2.605714285714285,3.236666666666667,3.898000000000001,2.960769230769232,4.62275,4.598500000000001,4.265738164210795,4.271659252482366,3.637264398447513,4.153241390947594,4.103928571428571,4.237857142857143,3.8633387541256408,4.090485632669114,3.5920115799603236,3.5944772186098675,4.051666666666667,4.321249999999997,4.087214319218846,4.2220000128339095,3.0914439936640083,3.335473924964699,4.883749999999999,5.261,4.867656838432126,4.964369192866623,4.491664923533133,4.359729868375171,4.585288461538462,4.984038461538463,4.528009930269949,5.093932975275379,4.3979796641625,4.4143866243077134
