Date,Season,Sonapur,Chamaria,Sonapur_Trend,Sonapur_SMA,Sonapur_EWMA,Sonapur_DES,Sonapur_TES,Sonapur_ARIMA,Chamaria_Trend,Chamaria_SMA,Chamaria_EWMA,Chamaria_DES,Chamaria_TES,Chamaria_ARIMA
1996-02-29,POMRB,2.8475,3.0511764705882354,,,2.8475,2.8190505027201254,2.867109375,0.0,,,3.0511764705882354,2.235004130835343,3.1341361369109046,0.0
1996-05-31,PREMON,2.76625,2.5673684210526315,,,2.8150000000000004,2.8114811088082634,2.8043823580332408,3.5284546316451444e-12,,,2.8576532507739936,1.9409814801706289,2.7236359365634772,3.0511753002690596
1996-08-31,MONSOON,1.36125,1.6536842105263154,2.260625,,2.2335000000000003,2.798878778297128,1.4168248174219813,6.177127698084084e-12,2.325214138286894,,2.376065634674922,1.6025404047061735,1.873811463504578,2.700470179572214
1996-11-30,POMKH,2.13875,2.1183333333333336,2.2590624999999998,2.2784375,2.1956,2.7891470795054043,2.210695305769702,6.893723377461115e-12,2.375248968008256,2.347640608875129,2.2729727141382865,1.4350473743212444,2.393159163015371,2.2924360054756523
1997-02-28,POMRB,2.705,2.871764705882353,2.3464062500000002,2.2428125,2.39936,2.7815146744210857,2.929594533149621,2.6873560966171404,2.5067892156862746,2.3027876676986585,2.512489510835913,1.4515767186040918,3.336967584690066,2.8853374786872648
1997-05-31,PREMON,2.89625,3.147058823529412,2.3871875,2.2753125,2.598116,2.7746202387715635,2.8501233377690802,2.610675610980708,2.622673718610251,2.447710268317854,2.766317235913313,1.5454303265173346,2.8429944506613367,2.5297039168887467
1997-08-31,MONSOON,1.93,2.126315789473684,2.4037499999999996,2.4175,2.3308695999999998,2.764277118846311,1.461562749371057,1.2846930593576544,2.7545711859305126,2.5658681630546964,2.5103166573374613,1.4853905837317423,2.0074679424471795,1.9971508863879204
1997-11-30,POMKH,1.89625,2.5727777777777776,2.35009375,2.356875,2.1570217599999997,2.753865616919137,2.2793087418015334,2.0184663219106587,2.7678085225318196,2.6794792741658076,2.5353011055135877,1.5309164248904221,2.535952495661093,2.2158166348408197
1998-02-28,POMRB,3.08,3.4725,2.2909375,2.450625,2.526213056,2.7477874091242804,2.941404863231901,2.7072742548077837,2.5943832236842104,2.829663097695219,2.910180663308153,1.7512549501288313,3.4323469818068766,2.905679643351672
1998-05-31,PREMON,2.092,2.6522222222222216,2.4401423611111115,2.2495625,2.3525278336,2.738179598504167,2.9530395337721758,2.750598455738527,2.408645833333333,2.705953947368421,2.8069972868737807,1.827803012309087,3.3210101591952363,2.887427872415346
1998-08-31,MONSOON,2.261,1.23375,2.5897222222222225,2.3323125000000005,2.31591670016,2.7292342987092635,1.6261029960267197,1.580280187404735,2.294166666666666,2.4828125,2.177698372124268,1.6602679938618576,2.2998516652181245,1.8525618554724268
1998-11-30,POMKH,2.7588888888888885,1.9794444444444441,2.875847222222222,2.5479722222222225,2.493105575651555,2.722138705052884,2.2272285172600066,1.972578081628735,2.5058558006535945,2.334479166666667,2.0983968010523384,1.645769850656829,2.6506986656921105,2.233533009055026
1999-02-28,POMRB,3.414,3.15,3.080722222222222,2.6314722222222224,2.8614633453909333,2.7174562399429067,3.0759753162468586,2.801035086717568,2.7674581290849667,2.253854166666667,2.519038080631403,1.8531229409562846,3.4477436547043503,3.1151266974128498
1999-05-31,PREMON,4.047,4.668235294117646,3.033722222222222,3.1202222222222225,3.33567800723456,2.7151005049147594,2.836827189604233,2.4574797468940144,2.726466503267974,2.757857434640523,3.3787169660259,2.346446265968112,2.9723773343976134,2.9239300239083525
1999-08-31,MONSOON,1.945,1.3105555555555553,3.0305833333333334,3.0412222222222223,2.779406804340736,2.705177565242371,2.020089434392739,2.0270158564270138,2.6759477124183,2.777058823529412,2.5514524018377625,2.204742138234963,2.0290800344794446,2.20628943398865
1999-11-30,POMKH,2.6988888888888893,1.574705882352941,2.907541666666667,3.0262222222222226,2.7471996381599975,2.6980320823413306,2.562233088672323,2.232966582948757,2.4710751633986923,2.675874183006536,2.160753794043834,2.111194317777416,2.5828580238234222,1.8743868445796448
