Date,Season,Bishungarh,Barhi,Barkagaon,Churchu,Keredari,Ichak,Hazaribag,Bishungarh_Trend,Bishungarh_SMA,Bishungarh_EWMA,Bishungarh_DES,Bishungarh_TES,Bishungarh_ARIMA,Barhi_Trend,Barhi_SMA,Barhi_EWMA,Barhi_DES,Barhi_TES,Barhi_ARIMA,Barkagaon_Trend,Barkagaon_SMA,Barkagaon_EWMA,Barkagaon_DES,Barkagaon_TES,Barkagaon_ARIMA,Churchu_Trend,Churchu_SMA,Churchu_EWMA,Churchu_DES,Churchu_TES,Churchu_ARIMA,Keredari_Trend,Keredari_SMA,Keredari_EWMA,Keredari_DES,Keredari_TES,Keredari_ARIMA,Ichak_Trend,Ichak_SMA,Ichak_EWMA,Ichak_DES,Ichak_TES,Ichak_ARIMA,Hazaribag_Trend,Hazaribag_SMA,Hazaribag_EWMA,Hazaribag_DES,Hazaribag_TES,Hazaribag_ARIMA
1996-02-29,POMRB,4.17,5.85,8.580833333333333,7.14,5.497999999999999,6.77,7.04,,,4.17,4.897009936008039,4.192563173900582,0.0,,,5.85,4.7933724497299535,4.854208410146926,0.0,,,8.580833333333333,10.501139786681765,8.590833264763083,0.0,,,7.14,8.51656309202922,5.9728996781533725,0.0,,,5.497999999999999,4.214452582907862,5.507966771831219,0.0,,,6.77,5.07720178297296,5.871648741262058,0.0,,,7.04,5.338070082845763,6.736368944377728,0.0
1996-05-31,PREMON,4.57,5.18,9.675,8.530000000000001,6.737666666666668,8.94,8.82,,,4.33,5.255172727402028,4.5540354947637685,1.0604049734979317e-07,,,5.582,4.825909523254074,7.070065083520162,5.849984962437326,,,9.0185,11.441555325367789,9.694445853894418,1.5820866383357114e-06,,,7.696000000000001,9.619025015544006,8.521040062994128,1.555618660153384,,,5.993866666666667,4.458518776279401,6.757111348417666,0.0,,,7.638,5.519012781198052,7.5088084487817435,9.664635921167988e-11,,,7.752000000000001,5.3862685123299485,9.123547657347714,4.0850757362053685
1996-08-31,MONSOON,1.1966666666666663,2.72,5.307857142857143,1.93,2.035,1.69,2.65,3.251666666666667,,3.076666666666666,4.6260018419515445,1.1733971350297079,1.612396867164593e-07,4.8525,,4.4372,4.858667445254781,3.2777395077596503,5.413419539542719,7.829494047619047,,7.534242857142857,10.527946725492743,5.336197884633374,1.9897469247038943e-06,6.10625,,5.389600000000001,7.680482632526373,3.7782006995329382,1.5952600698529382,4.557904761904762,,4.4103200000000005,3.6526971105085626,2.0633351189943885,0.0,5.4775,,5.2588,4.426830947939165,4.702940859030141,2.536190056550137e-10,6.15875,,5.7112,5.369680508790018,4.100744403829804,5.425584216769621
1996-11-30,POMKH,3.07,5.58,7.754285714285714,7.2,3.9609523809523814,5.97,6.08,3.2516666666666665,3.251666666666667,3.074,4.451075827009105,3.071289438501,4.250778471503154e-08,5.2924999999999995,4.8325,4.8943200000000004,4.891647738031709,3.470027801145787,4.100682209880431,7.829494047619047,7.829494047619049,7.62226,10.304956186525747,7.790974692247057,5.984782007440535e-07,6.08125,6.2,6.113760000000001,7.859180062525185,4.8748982224346324,1.2109670411761453,4.557904761904762,4.557904761904762,4.230572952380953,3.4357074115560704,3.997680570673237,0.0,5.0975,5.842499999999999,5.543279999999999,4.436805445187469,4.377056293903481,2.695552951374942e-10,6.2837499999999995,6.147499999999999,5.85872,5.389024466207133,4.003835045727072,3.4641776574142855
1997-02-28,POMRB,4.17,6.01,8.580833333333333,6.39,5.497999999999999,3.85,7.13,3.2516666666666665,3.2516666666666674,3.5124,4.535146524049457,4.196031025368295,4.16999992653725,5.76875,4.872499999999999,5.340592,4.924851900425389,5.2308039570445946,5.536484617113653,7.829494047619048,7.829494047619049,8.005689333333333,10.240865064982827,8.620592807476298,8.58083111041163,6.13,6.0125,6.2242560000000005,7.6091010685577425,6.197266552718574,6.861965078406705,4.557904761904762,4.557904761904762,4.737543771428571,3.655011098818086,5.542462478138862,5.497996784105592,4.94125,5.1125,4.865968,4.037922196278192,6.040960524792184,6.257695464250462,6.3525,6.169999999999999,6.367232,5.419167398396788,7.062078979160425,6.452615065639108
1997-05-31,PREMON,4.57,8.54,9.675,9.08,6.737666666666668,8.82,9.73,3.251666666666667,3.251666666666667,3.9354400000000003,4.692237697334544,4.556721494471024,4.569999854967417,5.71125,5.712499999999999,6.6203552,4.958281461202546,7.384072718552503,5.308721706994092,7.829494047619049,7.8294940476190495,8.6734136,10.450954195152958,9.717820580152265,9.67499613458255,5.80625,6.15,7.3665536,8.394253697568766,8.613149972167742,7.8798193719842144,4.557904761904762,4.557904761904762,5.53759292952381,4.202652682305498,6.78943326574206,6.737662725665476,4.50375,5.0825,6.447580800000001,4.778088914714293,7.10304532110592,8.263485590901348,5.9875,6.397499999999999,7.7123392,5.4761965025964905,9.33925813308758,7.990149542524864
1997-08-31,MONSOON,1.1966666666666663,3.17,5.307857142857143,1.77,2.035,0.56,2.29,3.251666666666667,3.251666666666667,2.8399306666666666,3.9518209938212507,1.1754775570127567,1.1966665672940124,4.96625,5.824999999999999,5.24021312,4.991937915904016,4.47192360253379,5.29499290885064,7.829494047619047,7.829494047619049,7.327191017142857,9.100059489858427,5.3537200949477235,5.307854754607778,5.35375,6.11,5.127932159999999,6.223450651022364,3.932462920609203,2.0809179917715688,4.557904761904762,4.557904761904762,4.1365557577142855,3.609967027567665,2.093508174409788,2.034998809686228,4.52625,4.799999999999999,4.0925484800000005,3.703194852920037,4.350372493420666,1.562113047961404,5.46375,6.307499999999999,5.54340352,5.455112834141687,4.640461195974215,3.4796498012520143
1997-11-30,POMKH,3.07,4.67,7.754285714285714,4.77,3.9609523809523814,3.6,3.52,3.2516666666666665,3.251666666666667,2.9319584,3.7246790728199946,3.0729008145617867,3.069999900258409,3.495,5.5975,5.012127872,5.025822834623947,4.44917087039132,5.176622391559915,7.829494047619047,7.829494047619049,7.498028895999999,8.658766016842208,7.803162808768576,7.754283198997433,5.067500000000001,5.5025,4.984759296,5.497807270261486,4.986503648845838,6.761786932539288,4.557904761904762,4.557904761904762,4.066314407009524,3.5485410454605937,4.025734323270482,3.960950064109055,4.785,4.2075,3.895529088,3.4601528518102724,3.879769149665427,5.518233666414013,5.095000000000001,5.667499999999999,4.734042112,5.447038710533262,4.123678124496342,5.211446005354835
1998-02-28,POMRB,4.17,0.96,8.580833333333333,5.2,5.497999999999999,6.4,5.5,3.2516666666666665,3.2516666666666674,3.42717504,3.796370767746402,4.197279105243642,4.169999944599759,2.7946875,4.335000000000001,3.3912767232,5.059937745441694,5.664056209963668,5.4515153473241185,7.829494047619048,7.829494047619049,7.931150670933333,8.546856980273423,8.630193774396384,8.580833935222465,4.91625,5.205,5.0708555776,5.11142544495469,5.963883833807242,5.99296614502418,4.557904761904762,4.557904761904762,4.638988644205714,3.8906020158551833,5.568430818500914,5.497998392052602,5.29,4.844999999999999,4.8973174528,3.867649483684329,5.195068171787746,5.015988170208343,4.904999999999999,5.259999999999999,5.0404252672,5.45969431865548,5.931311090482991,5.457115745927611
1998-05-31,PREMON,4.57,1.82,9.675,7.98,6.737666666666668,8.34,8.41,3.251666666666667,3.251666666666667,3.884305024,3.971919206285595,4.557688185867995,4.569999925484446,2.353125,2.655000000000001,2.76276603392,5.094284229452874,6.232872688749165,4.481880599638322,7.829494047619049,7.8294940476190495,8.62869040256,8.830146779805663,9.72494841263009,9.675,4.7475000000000005,4.93,6.23451334656,5.920911431943178,8.249919552210105,8.328765804965935,4.557904761904762,4.557904761904762,5.478459853190095,4.542623282999162,6.813354055082073,6.737664696165834,5.678749999999999,4.724999999999999,6.27439047168,4.658107789340129,6.889297804948576,8.509909151426594,4.914999999999999,4.929999999999999,6.38825516032,5.502614922470838,7.975511994687157,7.941321418275855
