Date,Season,Saraswati Vihar,Model Town,Sadar Bazar,Civil Lines,Kotwali,Saraswati Vihar_Trend,Saraswati Vihar_SMA,Saraswati Vihar_EWMA,Saraswati Vihar_DES,Saraswati Vihar_TES,Saraswati Vihar_ARIMA,Model Town_Trend,Model Town_SMA,Model Town_EWMA,Model Town_DES,Model Town_TES,Model Town_ARIMA,Sadar Bazar_Trend,Sadar Bazar_SMA,Sadar Bazar_EWMA,Sadar Bazar_DES,Sadar Bazar_TES,Sadar Bazar_ARIMA,Civil Lines_Trend,Civil Lines_SMA,Civil Lines_EWMA,Civil Lines_DES,Civil Lines_TES,Civil Lines_ARIMA,Kotwali_Trend,Kotwali_SMA,Kotwali_EWMA,Kotwali_DES,Kotwali_TES,Kotwali_ARIMA
1996-02-29,POMRB,6.246666666666666,3.25,3.026666666666667,2.075,5.8375,,,6.246666666666666,6.115229632858405,6.124281670377625,0.0,,,3.25,2.9932792792274974,3.063986695698715,0.0,,,3.026666666666667,4.488717555784345,3.0366666666666666,0.0,,,2.075,2.0513601520535203,2.0823633349898985,0.0,,,5.8375,5.961149257527955,6.193491196518158,0.0
1996-05-31,PREMON,6.39125,2.84,3.91,2.565,6.6325,,,6.304499999999999,6.222642008784195,6.558770530501194,6.246665890349562,,,3.086,2.9647816782738365,3.60433004376082,3.2499996348517373,,,3.38,5.260250201579568,3.9294459833795017,-4.3636661364610866e-23,,,2.271,2.1963146632541735,2.5111489492291215,2.0749993302608356,,,6.1555,6.266163877848544,6.063189069772126,5.673702992911452
1996-08-31,MONSOON,5.418571428571427,1.04,1.79,1.15,6.136666666666668,5.70813244047619,,5.95012857142857,5.83989675721167,5.5893581495260065,6.365796992788709,2.0237499999999997,,2.2676,2.0418931027604943,2.2047742402319277,2.9200261212169694,2.8841666666666668,,2.744,4.460153060647722,1.8183409427490584,-4.742871247704077e-23,2.0043749999999996,,1.8225999999999998,2.0263789320124665,1.5296115701325592,2.331957542780895,6.154791666666666,,6.147966666666667,6.165255617921236,5.777395215746723,6.212432923831175
1996-11-30,POMKH,5.10125,1.42,2.81,2.055,6.0175,5.520580357142857,5.789434523809524,5.610577142857142,5.487934825159224,5.579317121079157,5.598228891863775,1.92375,2.1375,1.9285599999999996,1.7613998272553633,1.5952815355161878,1.4214880727413337,2.8841666666666668,2.8841666666666668,2.7704000000000004,4.098358705131641,2.846689239595705,8.15934751376612e-24,2.0914583333333336,1.9612500000000002,1.91556,2.059257446982889,1.98900677404067,1.8764515440957994,6.197604166666666,6.156041666666667,6.0957799999999995,6.05570472891723,6.01677104251802,6.133852682036778
1997-02-28,POMRB,5.59625,2.34,3.026666666666667,2.42,5.8275,5.3781026785714285,5.6268303571428575,5.604846285714285,5.521111862103953,5.697492258016925,5.516900252592068,2.07125,1.9100000000000001,2.0931359999999994,2.082115377207083,1.8225940840385766,1.4820354956644881,2.8841666666666668,2.8841666666666668,2.872906666666667,3.8003302131565686,3.07116218682181,3.0266666553382233,2.2016666666666667,2.0475000000000003,2.117336,2.163013212518828,2.079405585801579,1.9674912347473372,6.508333333333333,6.153541666666667,5.988467999999999,5.906172249257666,6.554730359607544,6.036017741862109
1997-05-31,PREMON,5.5412500000000025,2.95,3.91,2.9166666666666665,6.985,5.350937500000001,5.414330357142858,5.579407771428572,5.514202228360402,5.994454885371635,5.7290289058148725,2.2937499999999997,1.9375,2.4358816,2.554042047126016,2.631805215837762,2.028471542660712,2.8841666666666668,2.8841666666666668,3.287744,3.956564213003492,3.961767742956177,3.9099999853653475,2.2660416666666663,2.135416666666667,2.4370682666666665,2.3591771576723892,2.609262461264907,2.300760015237807,6.8440625,6.241666666666667,6.3870808,6.417154687945116,6.230034164550588,5.892075666391542
1997-08-31,MONSOON,5.12875,2.11,1.79,1.6800000000000002,8.27,5.305000000000001,5.341875000000002,5.399144662857143,5.323368325633569,4.849352411522879,5.323464554492562,2.3562499999999997,2.205,2.30552896,2.371653109764968,2.1105310789188008,2.04466070503493,2.8841666666666668,2.884166666666667,2.6886464,3.011778066501412,1.8485138713411184,1.7899999933002486,2.3029166666666665,2.267916666666667,2.13424096,2.2719914438860935,1.7013746479150107,1.8778473963604592,7.149375,6.7749999999999995,7.1402484799999995,7.315889101343108,6.04145584141797,6.41351851243931
1997-11-30,POMKH,5.17375,2.13,2.81,2.04,6.57,5.294486607142858,5.360000000000001,5.308986797714286,5.240044905288985,5.116165616690207,5.152846244157752,2.36125,2.3825,2.2353173760000002,2.288416048102046,2.4456203407658106,2.248557641317511,2.8841666666666668,2.884166666666667,2.73718784,2.7756407728820682,2.8747429067173678,2.8099999894825136,2.3170833333333336,2.264166666666667,2.0965445760000003,2.264279728499369,2.2648269036636397,2.2032244319990273,7.486875,6.913125000000001,6.912149088,6.897928940232021,7.259649536976697,7.321139517442855
1998-02-28,POMRB,5.15625,2.13,3.026666666666667,2.7300000000000004,7.7175,5.253504464285714,5.250000000000001,5.247892078628571,5.18681599881184,5.563755581420665,5.393427599317155,2.3975,2.33,2.1931904256,2.245823217577879,2.5590722243514037,2.575313185439371,2.8841666666666668,2.884166666666667,2.8529793706666666,2.74341269186204,3.0971304757628375,3.0266666705130185,2.244375,2.3416666666666672,2.3499267456000004,2.398962732081499,2.2707512142562463,2.2911810672752746,7.4725,7.385625000000001,7.234289452800001,7.27243647700593,7.43610204779157,6.8926153695071735
1998-05-31,PREMON,5.897142857142858,3.2,3.91,2.72,7.795,5.042150297619047,5.338973214285715,5.507592390034286,5.493893826854292,5.672372466963882,5.230096964796453,2.34875,2.3925,2.5959142553600003,2.7639658269197245,2.6003800437646527,2.27154614863381,2.8841666666666668,2.884166666666667,3.2757876224,3.2104200609631537,3.985688529550297,3.9100000049689103,2.14875,2.292500000000001,2.49795604736,2.515063799218898,2.8350736160940815,2.7187466834849148,7.125937500000001,7.588125000000002,7.458573671680001,7.494917935820707,7.639559615706032,7.270844718861556
