Date,Season,Jatara,Palera,Baldeogarh,Niwari,Prithvipur,Tikamgarh,Jatara_Trend,Jatara_SMA,Jatara_EWMA,Jatara_DES,Jatara_TES,Jatara_ARIMA,Palera_Trend,Palera_SMA,Palera_EWMA,Palera_DES,Palera_TES,Palera_ARIMA,Baldeogarh_Trend,Baldeogarh_SMA,Baldeogarh_EWMA,Baldeogarh_DES,Baldeogarh_TES,Baldeogarh_ARIMA,Niwari_Trend,Niwari_SMA,Niwari_EWMA,Niwari_DES,Niwari_TES,Niwari_ARIMA,Prithvipur_Trend,Prithvipur_SMA,Prithvipur_EWMA,Prithvipur_DES,Prithvipur_TES,Prithvipur_ARIMA,Tikamgarh_Trend,Tikamgarh_SMA,Tikamgarh_EWMA,Tikamgarh_DES,Tikamgarh_TES,Tikamgarh_ARIMA
2008-11-30,POMKH,5.09,5.873333333333332,3.72,5.456666666666668,3.18,5.632499999999999,5.426875,6.031249999999998,5.52361551107337,5.904435895960686,5.797313330299811,4.506126168650992,6.2366666666666655,6.95583333333333,6.504975920137568,7.207244263662287,5.855294519462056,5.0441441340394135,4.31125,6.930000000000002,5.765336656333393,6.637722961927109,7.614422076834138,6.2979791938620036,7.279166666666667,10.413750000000002,8.65138178600307,10.643275825482428,9.423780986690947,7.035052387955447,4.535833333333333,6.140833333333335,5.100450990542791,6.298145595163957,5.808999554424732,4.5638657609782545,7.2238541666666665,8.335000000000004,7.295934675290479,10.325457886363676,8.405684224131653,5.082823149065149
2009-02-28,POMRB,5.5725,6.56,2.25,6.5,3.74,8.546666666666667,5.448020833333333,5.638749999999998,5.543169306644022,5.805804493917276,6.34438986480186,5.8996583183404585,6.413749999999999,6.29583333333333,6.526985552082541,7.079574375171583,6.641433210584907,6.769317356343619,3.80125,4.742500000000002,4.359201993800036,5.497115659570816,5.555559335298566,4.323257273025546,6.790625000000001,8.219583333333336,7.790829071601841,9.806028002397591,8.455324200584146,8.577778732785525,4.249583333333333,4.909166666666669,4.5562705943256745,6.027629821854907,5.602187028561966,4.649903042733492,7.296458333333333,7.460416666666671,7.796227471840954,10.096502421058185,9.795682150594718,7.51680914335854
2009-05-31,PREMON,7.494999999999999,8.126666666666667,6.65,8.803333333333336,7.113333333333332,10.5,5.906875,5.214999999999998,6.323901583986412,6.145060555141828,7.989601589751497,7.825925243535979,6.8308333333333335,6.177499999999997,7.166857997916192,7.319985582058614,7.760274579314178,7.373057878846572,3.66875,3.880000000000003,5.275521196280021,5.793696258363957,7.11729721954293,6.5790002356726,7.5166666666666675,6.338750000000003,8.19583077629444,9.619701914642691,10.069971875415407,10.427688820074017,4.421666666666666,4.162500000000003,5.579095689928738,6.176398898546301,6.528807091904311,6.345956317753248,8.014895833333334,6.987291666666671,8.877736483104572,10.176661683270165,11.478167366240834,10.490412441562583
2009-08-31,MONSOON,4.566666666666666,6.04,2.27,8.21,3.313333333333333,5.743333333333332,6.229479166666668,5.6810416666666645,5.621007617058513,5.779185834807333,4.664588121667129,4.597516937126658,7.097083333333333,6.649999999999997,6.716114798749715,7.054975292506321,5.154869013005343,5.3528738213587355,3.8375000000000004,3.7225000000000033,4.073312717768013,4.87495525812295,2.350497390979953,1.2839968863534965,7.824583333333333,7.242500000000003,8.201498465776664,9.34835451974577,4.530609846448252,6.095275157921116,4.6899999999999995,4.33666666666667,4.672790747290576,5.870233517856819,2.567622671334606,2.9799484173467823,8.326666666666666,7.605625000000004,7.6239752231960765,9.508118831739926,6.171783628941709,5.553282582948862
2009-11-30,POMKH,6.896666666666667,7.32,3.29,7.65,3.86,8.906666666666666,6.225208333333334,6.132708333333332,6.131271236901775,5.995058582926911,5.398481591776327,5.051261899657625,7.149166666666666,7.011666666666664,6.95766887924983,7.12533758195664,6.757905383687728,6.481050768612432,3.931250000000001,3.6150000000000033,3.7599876306608078,4.457292575088566,4.565521749116581,4.513376699456021,8.165416666666667,7.790833333333336,7.980899079465999,9.016395700497505,7.749042256980384,8.880804039897486,4.737916666666666,4.5066666666666695,4.347674448374345,5.661252635141622,4.3513099930367165,4.855353020093334,8.107291666666667,8.42416666666667,8.137051800584313,9.358073915851543,7.3511929833481835,6.395089408283553
2010-02-28,POMRB,6.346666666666668,7.243333333333332,4.03,6.77,5.206666666666667,7.7666666666666675,6.162083333333333,6.326249999999998,6.217429408807732,6.04709979054335,6.523685812280977,6.8459602551983725,7.303333333333333,7.182499999999998,7.071934660883231,7.163866157493727,7.9152985474965405,7.7798418831167515,3.74375,4.060000000000003,3.8679925783964846,4.3392979521756745,3.5700442619717165,3.728058177180219,8.475,7.858333333333336,7.4965394476795995,8.56977177981916,8.788763784258025,9.60055847503942,4.491458333333333,4.873333333333337,4.691271335691274,5.630909718031022,5.190337379154251,4.9807551117560775,8.329166666666667,8.22916666666667,7.988897747017255,9.044006937440644,9.625959431247848,9.273596273250611
2010-05-31,PREMON,6.6866666666666665,7.86,5.62,11.26,6.03,9.525,6.017083333333334,6.124166666666666,6.405124311951306,6.1624271207933505,8.324831103792018,8.402000558230373,7.825833333333333,7.115833333333333,7.387160796529939,7.328138998586635,8.63117087184698,7.954395525138015,4.036250000000001,3.8025000000000033,4.56879554703789,4.665118554619184,6.660741901493372,6.958152052004968,8.62125,8.472500000000002,9.001923668607759,9.1482793343978,10.370475672774326,10.39878953420975,4.464583333333334,4.602500000000004,5.226762801414765,5.69892524425753,7.035999839755635,7.310492707844517,8.822083333333333,7.985416666666669,8.603338648210354,9.025448809810605,11.183705261427523,10.089329755147158
2010-08-31,MONSOON,4.87,7.54,1.8,8.23,2.425,8.493333333333334,6.055833333333334,6.199999999999999,5.791074587170784,5.860095511258297,4.700055304807764,4.479025162740632,8.330416666666666,7.490833333333333,7.448296477917963,7.387438393098481,5.249511594444785,5.267377282263383,4.53875,3.685000000000003,3.4612773282227343,3.9144971887221867,1.6610990691166205,1.7522279831846577,9.25625,8.477500000000001,8.693154201164656,8.978017879264755,5.95052389527765,7.665414742516896,4.670833333333333,4.380416666666671,4.106057680848859,5.343501014552262,2.296668915986951,2.3769074152974845,9.211041666666668,8.67291666666667,8.559336522259546,8.858550808106958,5.738221017648199,5.0675240481903625
2010-11-30,POMKH,5.433333333333334,10.0,6.1,8.8,4.533333333333333,10.1,6.586666666666666,5.834166666666666,5.6479780856358035,5.743143701888593,5.504164576148652,5.28990741262027,8.5925,8.160833333333333,8.468977886750778,7.968704981509307,7.811540084009009,7.6504955025297035,5.362500000000001,4.387500000000003,4.51676639693364,4.474728060901072,3.9652085053823134,3.8463161484087247,10.384166666666667,8.765000000000002,8.735892520698794,8.961245196219284,8.442166061813829,8.782412903311414,5.13125,4.548750000000004,4.276967941842649,5.270899316537852,3.778310414211534,4.2366996753776585,9.693645833333335,8.971250000000003,9.175601913355727,8.959532085047298,7.568343836763273,8.00164501322871
2011-02-28,POMRB,8.120000000000001,8.6,5.24,10.7,6.183333333333334,9.685,7.0017708333333335,6.277499999999999,6.6367868513814825,6.23394215732212,6.218082272486241,6.354627781177207,8.356666666666666,8.5,8.521386732050466,8.120338000869742,10.078737403782888,9.633123951167095,5.992500000000001,4.690000000000003,4.806059838160184,4.667645480606478,4.35446367791885,4.439939120307351,10.61875,9.747500000000002,9.521535512419277,9.342859445846628,9.719082979601128,10.0283896303419,5.498125,4.79291666666667,5.039514098438923,5.39672708635349,5.2270917734107964,5.412308088656572,9.210416666666667,9.450833333333337,9.379361148013437,9.002923532834028,10.042639918991991,9.767114602006991
