Date,Season,Anklav,Umreth,Sojitra,Anand,Petlad,Tarapur,Cambay,Borsad,Anklav_Trend,Anklav_SMA,Anklav_EWMA,Anklav_DES,Anklav_TES,Anklav_ARIMA,Umreth_Trend,Umreth_SMA,Umreth_EWMA,Umreth_DES,Umreth_TES,Umreth_ARIMA,Sojitra_Trend,Sojitra_SMA,Sojitra_EWMA,Sojitra_DES,Sojitra_TES,Sojitra_ARIMA,Anand_Trend,Anand_SMA,Anand_EWMA,Anand_DES,Anand_TES,Anand_ARIMA,Petlad_Trend,Petlad_SMA,Petlad_EWMA,Petlad_DES,Petlad_TES,Petlad_ARIMA,Tarapur_Trend,Tarapur_SMA,Tarapur_EWMA,Tarapur_TES,Tarapur_ARIMA,Cambay_Trend,Cambay_SMA,Cambay_EWMA,Cambay_DES,Cambay_TES,Cambay_ARIMA,Borsad_Trend,Borsad_SMA,Borsad_EWMA,Borsad_DES,Borsad_TES,Borsad_ARIMA
2005-05-31,PREMON,26.85,5.32,5.75,17.06,12.214,4.0,8.216000000000001,16.456,24.24375,25.038437499999997,26.020652269536996,26.1962092731893,26.09616682114967,25.40006303683101,3.3875,4.835833333333334,5.041326061986636,4.339564230310079,4.857403237114705,4.635477704487061,5.5809375,6.048124999999999,6.2312099987870795,5.919124852309415,6.5896830659079635,6.510661108142268,16.843333333333334,16.611250000000005,16.675718891615876,16.919705871383268,17.85524131897447,16.05469167928449,10.73625,12.057,12.514292338292599,12.051223784185062,15.096988362238932,12.850083686319682,1.73,2.181874999999999,2.5905255801397855,2.5574117123759614,2.5858821455111096,6.656874999999999,7.715958333333334,8.057419435249042,7.836170545037854,8.575202108847954,8.12226004513657,17.609354166666666,17.583718750000006,17.063612146533004,17.027352658177854,18.342396766549907,17.177682065083925
2005-08-31,MONSOON,21.85,0.59,4.989999999999998,16.996666666666666,8.286,1.26,5.188,17.9575,23.067500000000003,24.819999999999997,24.352391361722198,24.110997426586806,24.543988236229122,24.143369208991267,2.7674999999999996,3.855000000000001,3.2607956371919817,2.287037175802522,4.788763006562318,4.338281667883207,5.1499999999999995,5.811874999999999,5.734725999272247,5.405595789046937,3.736992600543993,3.27621907805102,16.12,16.98958333333334,16.80409800163619,17.02741264823274,16.58258853157885,16.77074926974616,9.2365625,11.510625000000001,10.822975402975558,10.003387354482618,9.384282290142096,10.351807768530614,2.015,1.8074999999999988,2.0583153480838714,1.2828609984072175,2.0137108171346902,5.928000000000001,7.042250000000001,6.909651661149425,6.6479820795473,7.761818566358558,7.432371928957469,17.234125,17.73820833333334,17.4211672879198,17.398473516971663,16.540044764492105,17.42903854399327
2005-11-30,POMKH,20.42,2.17,4.96,14.215,6.8575,2.2,4.602,16.9725,21.815000000000005,23.667499999999997,22.77943481703332,22.34433730800379,24.56540278740514,23.76660806043096,2.3875,2.920000000000001,2.8244773823151887,1.8369330453266601,2.1805375462971077,2.619696193186866,4.8149999999999995,5.349999999999999,5.424835599563348,5.141021032828768,5.713079573824408,3.4515294621137667,15.215104166666665,16.69708333333334,15.768458800981714,15.903057700506297,16.435516541941364,16.832836558318643,8.1315,9.961875000000001,9.236785241785334,8.29332712590752,11.312937762841708,10.615170119406201,2.32125,1.652499999999999,2.114989208850323,1.8521069169453819,1.8922192615599398,5.256,6.2715000000000005,5.986590996689655,5.724341680727296,5.9835812272632625,6.321368573655703,17.027,17.480500000000006,17.24170037275188,17.19638370828809,16.83571580907375,17.720031583334233
2006-02-28,POMRB,20.75,2.38,4.1,13.9,6.6875,2.05,4.332,16.565,20.305000000000003,22.467499999999998,21.967660890219992,21.608077960138914,22.708247667834492,22.42754038298789,2.1362499999999995,2.6150000000000007,2.6466864293891135,1.7844761489561092,2.5779017588015742,1.6886392408746385,4.51625,4.949999999999998,4.894901359738009,4.576272243094235,6.430425167534741,5.3635042212492205,13.821041666666666,15.542916666666674,15.021075280589029,15.118978667454114,16.169475546934294,13.961988637687028,7.354749999999999,8.51125,8.2170711450712,7.375182223830901,9.082492086276766,8.58601337363069,2.2112499999999997,2.377499999999999,2.0889935253101934,2.1642877083498844,1.8382179926256832,4.6665,5.5845,5.324754598013794,5.084373261594599,5.96576133398287,5.69811495138206,16.2458125,16.987750000000005,16.97102022365113,16.907799670267064,17.96064890247853,17.44641165434449
2006-05-31,PREMON,21.63000000000001,3.5,4.67,14.4375,9.175999999999998,3.55,5.587999999999999,16.77,18.992500000000003,21.1625,21.832596534132,21.667535401085917,22.115853932647504,21.918231846979136,2.09125,2.1600000000000006,2.9880118576334684,2.5347396746537827,3.0627468986347504,2.9588781870243244,4.1575,4.679999999999998,4.804940815842805,4.591206921653569,5.086215241125089,4.11496832537861,11.662916666666668,14.887291666666673,14.787645168353418,14.895184099458175,16.1415328197277,15.649301798637095,6.7599374999999995,7.751750000000001,8.60064268704272,8.16810869937283,9.301937257009257,7.559124550955318,2.13875,2.264999999999999,2.673396115186116,3.341695018006006,3.8123426899732555,4.638375,4.9275,5.4300527588082765,5.247849712781086,5.894756700643234,5.265081749178501,14.777062500000001,17.066250000000004,16.89061213419068,16.828041487272415,17.712874570030454,16.5764069089955
2006-08-31,MONSOON,14.990000000000002,0.4,3.68,8.466666666666667,5.11,0.83,3.1,11.393999999999998,18.114375000000003,19.447500000000005,19.0955579204792,18.421979845266446,19.89289868466011,20.633471221261427,2.0949999999999998,2.1125000000000007,1.952807114580081,1.4071575443082944,2.029510480103057,1.6434980520808105,3.8850000000000002,4.352499999999998,4.354964489505683,4.096231233860908,2.77701154988875,3.4973312134912042,10.252291666666665,12.754791666666673,12.259253767678716,12.218848328459982,14.463936478390373,14.501122423610484,6.4568125,6.957750000000001,7.204385612225632,6.52785305493376,5.585791706922156,6.298381065740067,2.2074999999999996,2.157499999999999,1.9360376691116696,1.4816433867545036,2.1035309675095406,5.195374999999999,4.405500000000001,4.498031655284966,4.294676500886916,5.105006052446617,5.1033152127031345,13.864791666666667,15.425375000000006,14.691967280514408,14.511596264394681,16.324213338689788,16.903682340754525
2006-11-30,POMKH,16.78,2.0,3.4,5.48,5.275,2.05,6.465,11.786,17.38125,18.537500000000005,18.169334752287522,17.653386584564714,18.71910392417155,17.056705818637504,1.9200000000000002,2.0700000000000007,1.9716842687480485,1.5315556838190756,1.6013270398605215,1.706244608288164,3.6987500000000004,3.9624999999999977,3.9729786937034097,3.7138403501613095,4.2627460552618714,4.132565350129759,9.618229166666666,10.571041666666673,9.54755226060723,9.39828877702331,11.460066180328607,11.292221453178918,6.0510625000000005,6.562125,6.43263136733538,5.810708245675448,6.240553237332444,5.018741435361114,2.24125,2.119999999999999,1.9816226014670018,1.752616888194467,1.814651330445872,5.516833333333333,4.871250000000001,5.28481899317098,5.166599293481046,3.5830864308345935,3.567041611074037,13.339895833333332,14.128750000000007,13.529580368308643,13.341976381900706,13.83672579474038,14.316420186671444
2007-02-28,POMRB,17.365000000000002,2.58,3.48,11.35,5.845,2.75,6.925,14.453333333333333,17.3425,17.691250000000004,17.847600851372512,17.550852206436353,18.055745024180165,16.887762590968638,1.7225,2.120000000000001,2.215010561248829,2.045237073439644,2.1714957957838643,1.7527182168984319,3.5175,3.807499999999998,3.775787216222046,3.5687457878356996,4.685245903919979,3.053152537852955,9.690416666666666,9.933541666666674,10.268531356364338,10.272434175962621,9.518827529723412,9.9606968082125,5.510208333333334,6.3515,6.197578820401228,5.745319110793625,6.446248145001614,5.016831612954939,2.2550000000000003,2.294999999999999,2.2889735608802013,2.040837512236511,1.753185841277816,5.627083333333333,5.519500000000001,5.940891395902588,5.856997608376317,5.486478250400681,5.832345056751901,13.363458333333332,13.600833333333341,13.89908155431852,13.794327947908624,14.002537104620655,13.113835046649895
2007-05-31,PREMON,19.15,1.9,3.8,11.915,6.7725,3.12,5.566666666666666,14.682499999999996,17.46375,17.071250000000003,18.368560510823507,18.379293507634802,18.149178530777583,17.277464666990394,1.6725,1.720000000000001,2.0890063367492973,2.0308283788903365,3.0987506246153766,3.0962099521750064,3.39625,3.5899999999999976,3.7854723297332273,3.6606279980474947,4.242451168291343,3.5025364472499594,11.679479166666667,9.302916666666674,10.927118813818602,11.018573936234839,11.318070662801833,10.756206231336906,5.0625,5.750625,6.427547292240737,6.175762685645156,8.472839457241674,6.587240832018615,2.33375,2.187499999999999,2.621384136528121,3.608860852149295,4.034421884726887,5.755625,5.514166666666668,5.791201504208219,5.67922613754431,6.7999027139004316,5.254669197339897,13.324708333333334,13.07895833333334,14.212448932591112,14.151843868877846,14.564343418209347,13.67146613764307
2007-08-31,MONSOON,17.16,0.42,3.1,11.566666666666668,3.186666666666666,1.37,4.003333333333333,13.67,17.136875,17.613750000000003,17.885136306494104,17.819134536234063,16.730641715864106,16.17540516368154,1.6199999999999999,1.725000000000001,1.4214038020495783,1.1897686230389837,0.7998522439364599,0.5632557062258137,3.425,3.4449999999999976,3.5112833978399367,3.350133102188087,2.115208500850096,3.133068115707506,13.327291666666667,10.077916666666674,11.18293795495783,11.301139355999775,10.665747766062307,12.145304829363825,4.843020833333333,5.269791666666667,5.131195042011109,4.59818728462044,3.9235573030525774,4.6114924102503725,2.33875,2.3224999999999993,2.1208304819168724,1.4180980838846504,1.8371891621210974,5.448124999999999,5.740000000000001,5.0760542358582645,4.920437257476884,5.59266287999515,5.59006457668267,12.691354166666667,13.64795833333334,13.995469359554667,13.930298098875502,13.640895190409552,12.930615842629496
