Date,Season,Sukrauli,Dudhahi,Tamkuhi,Khadda,Ramkola,Padrauna,Vishunpura,Kaptanganj,Motichak,Nebua Naurangiya,Fazilnagar,Kasiya,Sukrauli_Trend,Sukrauli_SMA,Sukrauli_EWMA,Sukrauli_DES,Sukrauli_TES,Sukrauli_ARIMA,Dudhahi_Trend,Dudhahi_SMA,Dudhahi_EWMA,Dudhahi_DES,Dudhahi_TES,Dudhahi_ARIMA,Tamkuhi_Trend,Tamkuhi_SMA,Tamkuhi_EWMA,Tamkuhi_DES,Tamkuhi_TES,Tamkuhi_ARIMA,Khadda_Trend,Khadda_SMA,Khadda_EWMA,Khadda_DES,Khadda_TES,Khadda_ARIMA,Ramkola_Trend,Ramkola_SMA,Ramkola_EWMA,Ramkola_DES,Ramkola_TES,Ramkola_ARIMA,Padrauna_Trend,Padrauna_SMA,Padrauna_EWMA,Padrauna_DES,Padrauna_TES,Padrauna_ARIMA,Vishunpura_Trend,Vishunpura_SMA,Vishunpura_EWMA,Vishunpura_DES,Vishunpura_TES,Vishunpura_ARIMA,Kaptanganj_Trend,Kaptanganj_SMA,Kaptanganj_EWMA,Kaptanganj_DES,Kaptanganj_TES,Kaptanganj_ARIMA,Motichak_Trend,Motichak_SMA,Motichak_EWMA,Motichak_DES,Motichak_TES,Motichak_ARIMA,Nebua Naurangiya_Trend,Nebua Naurangiya_SMA,Nebua Naurangiya_EWMA,Nebua Naurangiya_DES,Nebua Naurangiya_TES,Nebua Naurangiya_ARIMA,Fazilnagar_Trend,Fazilnagar_SMA,Fazilnagar_EWMA,Fazilnagar_DES,Fazilnagar_TES,Fazilnagar_ARIMA,Kasiya_Trend,Kasiya_SMA,Kasiya_EWMA,Kasiya_DES,Kasiya_TES,Kasiya_ARIMA
1996-02-29,POMRB,1.36,3.4,2.34,2.02,3.06,3.57,2.7,3.9,1.6949999999999998,2.74,1.56,1.59,,,1.36,5.172414431875681,1.423125,0.0,,,3.4,7.178714098265054,3.4225,0.0,,,2.34,2.87358049407242,2.376084848600975,0.0,,,2.02,1.564111305789492,1.952890254285697,0.0,,,3.06,3.7202094285738796,3.1303856400342314,0.0,,,3.57,5.060272185270085,3.571875,0.0,,,2.7,2.2149658620979333,2.7,0.0,,,3.9,3.2536542078277453,3.5178853283878793,0.0,,,1.6949999999999998,3.8441812707804615,1.7705553085924404,0.0,,,2.74,4.9410400528688925,2.6290076440896177,0.0,,,1.56,2.7149464207610436,1.2284570597775744,0.0,,,1.59,3.0268756103398093,1.59,0.0
1996-05-31,PREMON,3.77,5.78,3.97,2.81,3.42,4.43,3.73,3.51,2.925,4.0,2.19,2.4,,,2.324,8.634457759574204,3.888905817174515,0.4472305349556125,,,4.352,9.61448610658895,5.820886426592797,1.44758273251506e-08,,,2.992,2.508950966160918,3.646164772263287,9.196990621292876e-08,,,2.3360000000000003,1.5948463003335605,3.151768935295599,2.0199985622417747,,,3.2039999999999997,4.053624761595829,3.6382686485858793,2.2602713365052215e-07,,,3.9139999999999997,5.842037124808928,4.4336461218836565,3.5699938489401064,,,3.112,2.5139461332394246,3.7300000000000004,1.568945286708814e-07,,,3.7439999999999998,3.2477361071989237,4.482062229764028,3.525781141459631,,,2.187,5.287085441385556,2.907145914895205,0.7117800856544975,,,3.244,6.2543267337590915,4.091217348145571,2.7660425953188785e-07,,,1.8119999999999998,3.408962211837765,2.883249683490982,1.5599985888512988,,,1.914,3.913726865259934,2.4,9.883779742565407e-23
1996-08-31,MONSOON,2.0,3.01,0.35,0.82,1.65,2.7,1.8119999999999998,2.26,0.6749999999999999,1.15,0.01,0.8483333333333333,2.6012500000000003,,2.1944,7.0472586360381815,2.1674974534035187,1.2251687414324797,3.7425,,3.8152,8.095001411741226,3.065350404002424,2.4608906391123785e-08,2.2275,,1.9351999999999998,1.6389751655200089,0.978845817264411,1.7300882217139008e-07,1.886875,,1.7296000000000002,1.2231433067597433,0.6928125646152248,2.5135685742847387,2.9012499999999997,,2.5824,3.8290053025615944,1.326734256924922,4.125582425101216e-07,3.5112499999999995,,3.4284,5.515711240797951,2.7053139267654496,4.000044713690455,2.6855,,2.592,2.1785814019185437,1.8120000000000003,3.3536687001076155e-07,3.09625,,3.1504,3.0284820849837124,2.187274070903399,3.362763066454645,1.7218749999999998,,1.5821999999999998,4.324632568410345,0.6956232470703245,1.2807013034267687,2.6075,,2.4064,5.294510710459595,1.1392050719990867,4.0380181080936016e-07,1.30125,,1.0912,2.8128042798804023,0.07447038242244508,1.925693994154908,1.5295833333333333,,1.4877333333333331,3.4831995662203084,0.8483333333333333,-5.299460452602528e-23
1996-11-30,POMKH,2.61,2.84,2.13,1.83,3.35,3.325,2.48,3.095,1.515,2.48,1.28,1.28,2.7562499999999996,2.435,2.36064,5.194448054063219,2.8191182530942505,0.3652968523314467,3.7275,3.7575,3.4251199999999997,5.977308258344156,2.906150668535678,5.579034578730267e-09,2.23625,2.1975,2.01312,1.3787914249961453,1.8947595283590426,1.2849866814029926e-08,1.9056249999999997,1.87,1.7697600000000002,1.1795886785926764,1.5528528237400963,1.548728216816471,2.99125,2.87,2.88944,4.001581054203893,3.243706462243354,3.9577240634450127e-07,3.51375,3.5062499999999996,3.38704,5.268949644575255,3.331879232424196,3.5665310104150696,2.66925,2.6805,2.5472,2.1409859345110664,2.4800000000000004,4.1949847472093323e-07,3.0175,3.19125,3.12824,2.9869527268138496,2.894525600005534,2.802346095528633,1.7231249999999998,1.7024999999999997,1.5553199999999998,3.5937131074218267,1.4764639953418608,0.7393872672295242,2.59125,2.5925000000000002,2.43584,4.7819743109867385,2.378563468705519,-2.220904026986186e-08,1.33625,1.26,1.16672,2.65215300754826,0.7839757975585864,1.0225806511614906,1.5295833333333333,1.5295833333333335,1.4046399999999999,3.055066606615139,1.28,-7.115648799379615e-22
1997-02-28,POMRB,2.69,3.28,2.58,2.155,3.31,3.61,2.74,3.14,1.85,2.86,1.89,1.59,2.7325,2.7675,2.4923840000000004,3.6413979388659117,1.5874289741128913,1.3907422683646173,3.7275,3.7274999999999996,3.3670719999999994,4.503716676259555,3.4605701267109916,3.399999985314044,2.32875,2.2575,2.239872,1.3253719783417586,2.3603420110082247,2.339999909921779,1.9475,1.90375,1.9238560000000002,1.2536873614879687,1.9744675758009325,1.9904566980436573,3.05,2.9325,3.057664,4.107075687423109,3.174856088363572,3.060000065922749,3.52375,3.5162499999999994,3.4762239999999998,5.02010774579252,3.5781457291080376,3.5469864697374285,2.639,2.6905,2.62432,2.226763542516561,2.7000000000000006,2.6455359195422106,2.9995833333333337,3.00125,3.132944,2.961742747165399,3.3588651890763743,3.6080194210710914,1.7193749999999999,1.7412499999999995,1.6731919999999998,2.989630608185971,1.773801384642121,1.6143275617868182,2.5712499999999996,2.6225,2.605504,4.326019675359709,2.6677823062358486,2.739999215252463,1.3675,1.3424999999999998,1.456032,2.6676477761326924,1.2883207267688508,1.4337552579871349,1.529583333333333,1.5295833333333335,1.478784,2.689218663697196,1.59,1.5899999046341957
1997-05-31,PREMON,3.68,5.78,3.8,2.825,3.89,4.41,3.56,3.64,2.78,3.75,2.14,2.4,2.7037500000000003,2.745,2.9674304000000005,3.575523292135433,4.167961783977131,4.006547245203725,3.7875,3.727499999999999,4.3322432,5.206585560652789,5.81480314883565,5.720012851397896,2.35875,2.2149999999999994,2.8639232000000003,1.592637798908476,3.686277900772299,4.038893823708175,1.9549999999999998,1.9075000000000002,2.2843136,1.5140985146561965,3.1922192051360394,2.728167348062951,3.0716666666666668,3.0500000000000003,3.3905984,4.315707071644483,3.681851670117875,3.466698834036011,3.5250000000000004,3.5112499999999995,3.8497344,5.0453555968413175,4.441550004745675,4.102937931390663,2.6300000000000003,2.648,2.9985920000000004,2.6124697226989957,3.732216066481995,3.6547588771628066,2.9116666666666666,3.0337500000000004,3.3357664000000002,3.029617032193179,3.967756192220712,2.9871528376947776,1.64875,1.7049999999999994,2.1159152,2.9956733806820433,2.9402603530429516,2.78212047723615,2.54875,2.56,3.0633023999999995,4.289462306286728,4.146403979979487,4.019917301698908,1.3537499999999998,1.33,1.7296192000000001,2.7121371829176093,3.022870730649891,2.1213430208669175,1.5295833333333333,1.5295833333333335,1.8472704,2.720927098369388,2.4,2.399999856051616
1997-08-31,MONSOON,1.9,3.01,1.26,1.14,1.65,2.8,1.74,1.9866666666666664,0.79,1.24,0.31,0.8483333333333333,2.6637500000000003,2.72,2.5404582400000004,2.143358498257726,2.397555198492545,1.7747685661175332,3.8775,3.7274999999999987,3.80334592,3.844319585175103,3.043455232674037,3.0499770930089016,2.19625,2.4424999999999994,2.22235392,1.3333801974658444,0.9730688166809491,0.29193997722792675,1.865,1.9875000000000003,1.8265881599999998,1.3564101681226417,0.7290280412834313,1.02121192537397,3.1055208333333333,3.0500000000000003,2.69435904,3.8803996325273324,1.6370688591610452,1.7541450994298633,3.476875,3.53625,3.42984064,4.33090626739586,2.7115406925833403,3.006657095804909,2.62125,2.6300000000000003,2.4951552,2.3387866430603004,1.804785813491303,1.7754485541304967,2.8066666666666666,2.965416666666667,2.7961265066666665,2.804020448079341,2.0538674015388336,2.5901958168919017,1.495,1.7337499999999995,1.58554912,1.8555780418674273,0.6936810198284462,0.6585695469130848,2.4412499999999997,2.5825,2.3339814399999996,2.9826150703213896,1.1327272789091012,1.1039268443363008,1.24375,1.405,1.1617715199999998,1.9313580889500797,0.15810607663140375,0.39887354299372224,1.5295833333333333,1.5295833333333335,1.4476955733333332,1.9398701031280647,0.8483333333333333,0.8483332824515782
1997-11-30,POMKH,2.48,3.32,1.46,1.57,3.523333333333333,3.235,2.48,2.665,0.8350000000000001,2.21,0.87,1.28,2.555,2.6875000000000004,2.516274944,2.02479105490914,3.0024601335774324,2.2581130409593033,3.9075,3.8474999999999984,3.610007552,3.21667055169088,2.8736071783359907,2.8549998014916427,2.09125,2.2749999999999995,1.917412352,1.1898813090647202,2.088994420785414,2.370466409551448,1.7837500000000002,1.9225000000000003,1.723952896,1.3336064299405297,1.6362885816609065,1.880638895076625,3.098958333333333,3.0933333333333337,3.0259487573333335,3.916783166207383,3.41599065282586,3.404109146929357,3.438125,3.51375,3.351904384,3.879448659175315,3.3431034890331293,3.398359406545549,2.61375,2.6300000000000003,2.4890931199999997,2.350541528567349,2.468830322254993,2.4299737340086525,2.7229166666666664,2.8579166666666667,2.743675904,2.7297581789193726,2.678397405850908,2.9188397944089006,1.6668749999999999,1.5637499999999995,1.285329472,1.155223189467246,1.497538456544608,1.446710524228319,2.355,2.5149999999999997,2.284388864,2.4523437436812197,2.3915794771386025,2.4891319373583447,1.2225,1.3025,1.045062912,1.4915661264595053,0.9314927550945151,1.336566963971821,1.5295833333333333,1.5295833333333335,1.380617344,1.545782055468687,1.28,1.2799999232275288
1998-02-28,POMRB,2.5,3.52,1.95,1.6949999999999998,3.4075,3.315,2.67,2.73,1.3,2.27,1.42,1.59,2.4565625,2.6400000000000006,2.5097649663999997,2.1482558441180397,2.0784768537213596,1.9573438726904315,3.9074999999999998,3.9074999999999984,3.5740045312,3.0695172568937643,3.447637137906682,3.605606822768379,1.995625,2.1174999999999993,1.9304474111999999,1.2015551096539718,2.365822155809666,2.3219189799385243,1.70796875,1.8075000000000006,1.7123717375999998,1.3576529008959952,2.0007573947306376,2.001727236190531,3.057291666666667,3.1177083333333337,3.1785692544,3.8986503756004205,3.3565089438463187,3.297390544761968,3.39421875,3.4400000000000004,3.3371426304,3.551038502702052,3.588066030966207,3.572250761370504,2.6175,2.6125000000000003,2.561455872,2.4340826103120228,2.693113955703544,2.690950524786874,2.5720833333333335,2.7554166666666666,2.7382055424000002,2.67973173539844,3.016300750361565,3.0353821588650636,1.88890625,1.4262499999999996,1.2911976832,1.0072349269388174,1.6568896553080847,1.526066514868127,2.3121875,2.3674999999999997,2.2786333184,2.1461377551720644,2.6236135706904062,2.764003083729702,1.2415625,1.185,1.1950377471999998,1.366111441268417,1.2712315704860202,1.584720843217807,1.529583333333333,1.5295833333333335,1.4643704064,1.4286048152533515,1.59,1.5899999870348107
1998-05-31,PREMON,3.0,5.78,3.59,2.635,3.74,4.395,3.57,3.38,4.705,3.65,2.44,2.4,2.4831250000000002,2.4700000000000006,2.70585897984,2.795071786754277,4.156720876213582,3.838069737704434,3.8975,3.907499999999998,4.45640271872,4.764544580387352,5.937429590662977,5.720101730203632,1.9625,2.0649999999999995,2.59426844672,1.6123630030074914,3.5529648824766307,3.7091514268364865,1.6859375,1.7600000000000005,2.08142304256,1.6319666087694589,3.1375929056187535,2.629291656561838,3.0502083333333334,3.080208333333333,3.40314155264,3.9485027941823088,3.867811074884973,3.7882331043269564,3.3265625000000005,3.4362500000000002,3.76028557824,3.7494770116188354,4.427849507637463,4.213807330856198,2.63875,2.615,2.9648735231999996,2.8327847904439274,3.698980100183835,3.586703744024208,2.381875,2.6904166666666667,2.9949233254400003,2.7520907303648983,3.5853253527629776,2.993068402981856,1.9971875000000001,1.9074999999999998,2.65671860992,3.5058231548576733,2.738107748534386,2.575794254175686,2.3556250000000003,2.3425,2.8271799910399995,2.660681194593164,3.9919474155229153,3.791206923115082,1.2956249999999998,1.2599999999999998,1.69302264832,1.7101520685904374,2.872060271442206,1.924633882850316,1.5295833333333333,1.5295833333333335,1.83862224384,1.7846383603904377,2.4,2.3999999804299033
