Date,Season,Shri Dutt Ganj,Balrampur,Rehra Bazar,Tulsipur,Pachperwa,Gesari,Gaindas Buzurg,Haraya Satgharwa,Shri Dutt Ganj_Trend,Shri Dutt Ganj_SMA,Shri Dutt Ganj_EWMA,Shri Dutt Ganj_DES,Shri Dutt Ganj_TES,Shri Dutt Ganj_ARIMA,Balrampur_Trend,Balrampur_SMA,Balrampur_EWMA,Balrampur_DES,Balrampur_TES,Balrampur_ARIMA,Rehra Bazar_Trend,Rehra Bazar_SMA,Rehra Bazar_EWMA,Rehra Bazar_DES,Rehra Bazar_TES,Rehra Bazar_ARIMA,Tulsipur_Trend,Tulsipur_SMA,Tulsipur_EWMA,Tulsipur_DES,Tulsipur_TES,Tulsipur_ARIMA,Pachperwa_Trend,Pachperwa_SMA,Pachperwa_EWMA,Pachperwa_DES,Pachperwa_TES,Pachperwa_ARIMA,Gesari_Trend,Gesari_SMA,Gesari_EWMA,Gesari_DES,Gesari_TES,Gesari_ARIMA,Gaindas Buzurg_Trend,Gaindas Buzurg_SMA,Gaindas Buzurg_EWMA,Gaindas Buzurg_DES,Gaindas Buzurg_TES,Gaindas Buzurg_ARIMA,Haraya Satgharwa_Trend,Haraya Satgharwa_SMA,Haraya Satgharwa_EWMA,Haraya Satgharwa_DES,Haraya Satgharwa_TES,Haraya Satgharwa_ARIMA
1996-02-29,POMRB,2.67,5.7860000000000005,4.675,4.32,2.99,4.59,3.29,10.15,,,2.67,2.072531738263179,2.6971411299104955,0.0,,,5.7860000000000005,4.418647395400555,5.712218305846389,0.0,,,4.675,4.562471113891183,4.675164916240592,0.0,,,4.32,6.088789857068029,4.160184450738191,0.0,,,2.99,4.447047040701838,2.5722883963546233,0.0,,,4.59,6.396911657504524,4.384292157251407,0.0,,,3.29,2.4201452974239683,3.07661752748817,0.0,,,10.15,9.523455893453326,9.173414987967718,0.0
1996-05-31,PREMON,3.96,6.8900000000000015,5.08,5.403333333333332,3.82,5.7,4.25,8.49,,,3.186,2.186354776565668,3.6606644815257168,1.493915640296294,,,6.227600000000001,4.6579151285238165,7.445692256249388,2.981634845167779,,,4.837,4.7210493427710105,5.074608996481147,1.892485731825205e-08,,,4.753333333333333,6.9926545857747895,5.36519369198069,6.051227158681591e-07,,,3.322,5.236228479139609,3.485656001246938,2.9899977879496453,,,5.034000000000001,7.313705653882092,5.569132561639771,1.85005705869243,,,3.6740000000000004,2.4637286936676324,4.279296300859663,2.2450354007873674,,,9.486,9.192517702526164,9.876991898519433,10.149987030717755
1996-08-31,MONSOON,0.26,3.4939999999999998,4.243333333333333,2.876666666666667,0.52,2.94,0.89,10.11,2.36,,2.0156,1.4499617311502444,1.1631023629344062,2.293861807782608,5.343,,5.1341600000000005,4.310466037880786,3.474367670885199,3.87085328625406,4.602083333333333,,4.5995333333333335,4.542690627520601,4.254424380584296,2.3683492187991097e-08,3.8362499999999997,,4.002666666666666,6.037088460521445,2.8168419122642856,1.0442942372219326e-06,2.343125,,2.2012,4.202689597748548,1.6690162733307843,3.496452728856314,4.3253125,,4.196400000000001,6.240882287122636,3.2821817682583183,2.54677368261352,2.8831249999999997,,2.5604,1.7881039030908454,1.368821658492837,2.905072043695255,9.275,,9.7356,9.477856493279164,8.737315865826455,9.270073777026878
1996-11-30,POMKH,2.56,5.08,4.41,3.205,2.2,4.265,2.76,9.4,2.325,2.3625,2.2333600000000002,1.475502871020724,1.6155565080617298,1.095507842169709,5.55725,5.3125,5.112496,4.285306602884759,4.529993236737349,3.2579244581011846,4.602083333333333,4.602083333333333,4.523720000000001,4.455958700029759,4.406132330400723,8.761346481300885e-09,3.63125,3.95125,3.6835999999999998,5.154579671832798,3.746977966242574,7.522925735795141e-07,2.364375,2.3825000000000003,2.20072,3.8142715900568476,2.1543225686027814,1.9723582361383607,4.2803125,4.373749999999999,4.22384,5.774292847870175,3.8277568358890925,2.3488957413836733,2.930833333333333,2.7975,2.64024,1.7374716444899374,2.276436890936687,0.9166894955460311,8.995000000000001,9.5375,9.60136,9.44872434405045,9.72720671735833,9.603426245696358
1997-02-28,POMRB,2.65,6.029999999999999,4.675,3.4,2.675,4.2025,3.975,8.05,2.4475,2.3575,2.400016,1.5739780981406406,2.8559620335394236,2.6212632137819787,5.74925,5.3735,5.4794976,4.440041905743944,5.735802762931383,5.406089161481502,4.602083333333334,4.602083333333333,4.584232,4.493015133774032,4.673233974633816,4.674999977790241,3.3854166666666665,3.7212499999999995,3.5701599999999996,4.438403874934163,4.039352843624453,4.319999917107663,2.8449999999999998,2.3037500000000004,2.390432,3.580672371298933,2.520113545979476,2.711208673595468,4.3228124999999995,4.2768749999999995,4.215304,5.240465112212282,4.496941372065645,4.452238950824007,2.8722916666666665,2.96875,3.174144,2.057937858145464,3.1260387833457264,3.3631905600850422,8.326250000000002,9.012500000000001,8.980816,9.002467959837137,9.407324254094865,9.644374561378362
1997-05-31,PREMON,3.7,8.36,5.08,4.683333333333334,4.305,5.7275,3.9466666666666663,8.35,2.4724999999999997,2.2924999999999995,2.9200096,1.992840921072504,3.730285979135301,3.8291391423651815,5.710249999999999,5.741,6.63169856,4.9976342450519295,7.52853060360591,6.453994119237146,4.602083333333333,4.602083333333333,4.7825392,4.692067234024221,5.074544851781327,5.079999957041206,3.2708333333333335,3.54125,4.0154293333333335,4.4919687207897,4.904582093059931,5.089569085419486,3.178125,2.4250000000000003,3.1562592,4.02819364148556,3.3944446655635234,3.2456627660115958,4.2334375,4.2837499999999995,4.8201824,5.536076342645051,5.551252052631246,5.3370323596182,2.7079166666666663,2.8929166666666664,3.4831530666666666,2.384643790792486,4.495065569545186,4.3151555656440195,7.7524999999999995,8.977500000000001,8.7284896,8.792097916545739,9.343090078910548,8.847743349366722
1997-08-31,MONSOON,1.5,3.56,4.243333333333333,1.63,3.88,3.2525000000000004,0.7250000000000001,4.9,2.24125,2.6024999999999996,2.35200576,1.7920723354981987,1.0683021124167833,0.23284730956214084,5.6270625,5.757499999999999,5.403019136,4.682140309403075,3.9301140497803515,4.1456337052578744,4.602083333333333,4.602083333333333,4.566856853333333,4.5439738878431974,4.254422249736579,4.243333306964823,3.3120833333333333,3.229583333333333,3.0612576000000002,3.1148485965579744,2.245946936818669,2.596248966676625,3.010625,3.2650000000000006,3.44575552,4.194614174640524,1.663387557463671,1.577545505934487,4.0259375,4.3618749999999995,4.193109440000001,4.526903445773425,3.2761447349805843,2.924721014731701,2.2972916666666663,2.851666666666666,2.37989184,1.8778971488038945,1.44872784630563,0.7957347654223867,8.08625,7.675000000000001,7.19709376,7.558733648533756,8.333000139464064,9.008489609863634
1997-11-30,POMKH,1.52,4.702,4.41,3.535,1.505,3.2375,1.61,10.02,2.10125,2.3424999999999994,2.019203456,1.6358081547918095,2.1865810925795697,3.0278797032968945,5.4845625,5.663,5.1226114816,4.601214028223594,4.880964839320949,4.733489907783541,4.602083333333333,4.602083333333333,4.504114112,4.4779195681771204,4.406132259615265,4.409999992717506,3.30375,3.3120833333333333,3.2507545600000003,3.016937511909846,2.8887671986709527,2.818104492274433,2.6824999999999997,3.0912500000000005,2.669453312,3.2990518447311805,2.648578723295929,3.1353710632555627,3.8481250000000005,4.1049999999999995,3.810865664,3.7559414704200527,3.904852096123885,4.260727518334136,1.9902083333333334,2.564166666666666,2.071935104,1.6807338370981206,2.2922445574847163,2.481147015864102,8.6075,7.83,8.326256256,8.332392345147824,7.741913652503857,7.641419070607286
1998-02-28,POMRB,1.84,5.7425,4.675,3.4,2.03,3.57,1.84,10.1,1.965,2.1399999999999992,1.9475220736,1.6020779457341263,2.6233756207412604,2.33265437085955,5.329,5.591125,5.37056688896,4.716123214869521,5.890806315442774,5.558996268000328,4.602083333333334,4.602083333333333,4.5724684672,4.527614487658913,4.673233972282366,4.675000026710499,3.305,3.3120833333333333,3.3104527360000002,2.9642058519941066,3.686330029409056,3.7140638812397246,2.0125,2.9300000000000006,2.4136719872,2.7486176796465016,2.8377337117606474,2.597339535680609,3.7334375,3.9468749999999995,3.7145193984,3.395164327954588,4.285757634212503,3.892218869559272,2.125625,2.030416666666666,1.9791610624000002,1.5931012288259978,2.836723299601573,3.2198026114077205,8.95625,8.342500000000001,9.0357537536,8.886618386662507,8.279122304912976,8.290468610755607
1998-05-31,PREMON,3.39,7.5074999999999985,5.08,4.616666666666666,2.325,4.9375,3.625,10.47,1.9325,2.062499999999999,2.52451324416,2.0296864727452535,3.2096742291604254,3.4506262034533526,5.146249999999999,5.378,6.225340133375999,5.137058257306727,7.564576768547385,7.207359447631164,4.602083333333333,4.602083333333333,4.7754810803200005,4.73308717386235,5.074544851703213,5.080000007598278,3.2081250000000003,3.295416666666666,3.832938308266667,3.6074414180698886,4.701652913785205,4.861990373501098,1.615,2.4350000000000005,2.37820319232,2.4416886930806627,3.569090280868561,3.5299087098168327,3.5896874999999997,3.7493749999999997,4.20371163904,3.874262524427861,5.230112538546864,5.290333381509898,2.2993749999999995,1.9499999999999995,2.63749663744,2.0140333999216673,3.7226849196414946,3.3394043796316937,8.845625,8.8725,9.60945225216,9.382398960583659,9.260455206694225,8.56092597600409
