Date,Season,Limkheda,Devgad Baria,Dhanpur,Garbada,Jhalod,Dohad,Fatepura,Limkheda_Trend,Limkheda_SMA,Limkheda_EWMA,Limkheda_DES,Limkheda_TES,Limkheda_ARIMA,Devgad Baria_Trend,Devgad Baria_SMA,Devgad Baria_EWMA,Devgad Baria_DES,Devgad Baria_TES,Devgad Baria_ARIMA,Dhanpur_Trend,Dhanpur_SMA,Dhanpur_EWMA,Dhanpur_DES,Dhanpur_TES,Dhanpur_ARIMA,Garbada_Trend,Garbada_SMA,Garbada_EWMA,Garbada_DES,Garbada_TES,Garbada_ARIMA,Jhalod_Trend,Jhalod_SMA,Jhalod_EWMA,Jhalod_DES,Jhalod_TES,Jhalod_ARIMA,Dohad_Trend,Dohad_SMA,Dohad_EWMA,Dohad_DES,Dohad_TES,Dohad_ARIMA,Fatepura_Trend,Fatepura_SMA,Fatepura_EWMA,Fatepura_DES,Fatepura_TES,Fatepura_ARIMA
1996-02-29,POMRB,5.17,8.295,6.5200000000000005,6.04,3.533333333333333,5.025,6.6,,,5.17,4.917978691741246,4.9715950966993665,0.0,,,8.295,7.868856565943355,8.206635838085115,0.0,,,6.5200000000000005,6.021012963786557,6.739670003384229,0.0,,,6.04,5.617284419117581,5.7266824257661355,0.0,,,3.533333333333333,12.082241300737863,4.19210395736154,0.0,,,5.025,4.296252360424962,4.532964704109628,0.0,,,6.6,8.259350607695266,6.3314628981112016,0.0
1996-05-31,PREMON,7.505000000000001,10.6575,8.576666666666666,7.92,9.125,5.9700000000000015,7.54,,,6.104000000000001,5.634350493448287,7.198246889955749,4.430476961718952,,,9.24,8.478260007745524,10.16832612830579,7.435221815058262,,,7.342666666666666,6.433659036077812,7.2724299184175845,3.7347705045466246,,,6.792,6.3035956890720595,6.89092874314689,4.687709487151264,,,5.77,19.534851604017536,6.557649377244852,2.8200123195354645,,,5.4030000000000005,4.299929099023816,5.407587084036097,2.1978207587788443,,,6.975999999999999,9.084694857578995,7.519399558206925,6.5999463392883255
1996-08-31,MONSOON,0.75,5.525,4.166666666666667,3.75,1.75,3.35,4.3,4.29,,3.9624000000000006,4.156866768526571,2.6135881244262977,5.748510164587719,7.4740625,,7.754,7.779307509678841,6.358910726546506,9.03363041759242,5.860833333333333,,6.072266666666667,6.048556768530208,4.939898918491682,5.177096960389023,4.848125,,5.5752,5.343639128350698,5.674551386373041,6.107436439725401,4.2491666666666665,,4.162,12.092291703301825,3.3444912132814864,5.7951148679530995,4.213125000000001,,4.5818,4.28795763079373,3.5178347665877445,3.508898685778041,6.0375,,5.905599999999999,8.488161039896768,4.405056961644307,6.917476012692666
1996-11-30,POMKH,4.215,6.2875000000000005,4.763333333333334,3.175,2.99,3.08,5.9,4.0600000000000005,4.41,4.06344,4.1390742899834185,2.933236624226992,4.620298845144943,7.0784375000000015,7.69125,7.1674,7.415096185183937,7.199794128871544,7.429998790889906,5.539583333333333,6.006666666666668,5.5486933333333335,5.82634343098773,5.518793399951434,3.9986246627987603,4.144375,5.22125,4.615119999999999,4.528550449494374,4.981101434024872,4.953565978699791,3.7247916666666665,4.349583333333333,3.6932,6.677078599563546,3.5914197269393506,4.041272386146835,3.9456250000000006,4.35625,3.9810800000000004,4.2744653136310715,4.181894180763678,3.4226781345998676,5.92875,6.085000000000001,5.903359999999999,8.289284306958766,5.914979823510984,6.680817931381837
1997-02-28,POMRB,4.21,6.557499999999999,5.3533333333333335,3.055,2.73,3.88,6.22,3.9787500000000002,4.17,4.122064,4.12517687698898,4.966703782902611,3.9248165758606373,6.6674999999999995,7.256874999999999,6.923439999999999,7.196343060338061,7.6594281458290014,7.673663153669445,5.037916666666667,5.715000000000001,5.4705493333333335,5.738731372662269,6.5593887680630925,5.984659705130243,3.548125,4.4750000000000005,3.991072,3.9604688114862707,4.745031296104793,4.868268019996001,3.2270833333333333,4.14875,3.30792,3.446633131891682,4.082075986739437,3.3637691559537615,3.57625,4.07,3.9406480000000004,4.26584297065854,4.539004940607387,4.047946270790618,5.6325,5.99,6.030016,8.08094600008075,6.496159198795875,6.3344356246541045
1997-05-31,PREMON,6.625,9.23,7.173333333333333,5.275,5.7333333333333325,4.975,7.05,4.04,3.9499999999999997,5.1232384,4.822654366387661,6.710363854647014,6.096989787092763,6.435312499999999,6.899999999999999,7.846063999999999,7.636113036282266,9.101065410820313,9.103359264319643,4.675833333333333,5.364166666666668,6.151662933333334,5.966548628302882,7.030381448122215,7.365495571703022,3.224375,3.813750000000001,4.5046432,4.340296381911808,5.147945405567508,5.3356257879511855,3.242083333333333,3.3008333333333333,4.278085333333333,4.576257919017121,6.166201794034178,6.525183131983951,3.26875,3.82125,4.3543888,4.263813263065294,5.114682250971806,4.583903254585511,5.358750000000001,5.867500000000001,6.4380096,8.076678878071187,7.64153461308011,7.1960528923771205
1997-08-31,MONSOON,0.98,3.665,1.5566666666666666,1.625,1.16,1.39,2.42,4.03875,4.007499999999999,3.46594304,3.6570107796016114,1.9274143076075374,1.6375686479484088,6.4728125,6.434999999999999,6.1736384,6.7082595334698,4.96098101626662,5.406978878710051,4.894583333333333,4.711666666666667,4.313664426666667,5.228028872340833,3.8739994054386324,3.5987861539043253,3.134375,3.2825000000000006,3.35278592,3.357040281651168,3.139580222522743,2.903574846046679,3.486458333333333,3.1533333333333333,3.0308512,1.8689197380239495,1.735224559906317,1.970724011209831,3.081875,3.3312500000000003,3.16863328,4.240424246166896,2.9552462907628723,2.8968375059339633,5.336250000000001,5.3975,4.83080576,6.482882492099648,4.505621442117757,4.631112505299633
1997-11-30,POMKH,4.475,6.289999999999999,4.476666666666667,2.71,3.7,2.58,5.59,3.9437499999999996,4.072499999999999,3.869565824,3.865914862483663,2.710365440278593,4.079532271647032,5.954375,6.435624999999998,6.22018304,6.591718058303078,5.571911257449454,5.541923690680383,4.686666666666667,4.640000000000001,4.378865322666666,5.095379915354444,3.8968280548058503,3.377023942511869,2.625,3.1662500000000007,3.095671552,3.085877966620171,2.638258207982421,2.279276591556588,3.686666666666667,3.330833333333333,3.2985107200000003,2.798527374415731,2.3958836490767426,2.624735699705468,2.6697916666666663,3.2062500000000003,2.933179968,4.224303974618928,3.141211648929275,2.457414235192424,5.625,5.32,5.134483456,6.089507147786958,6.031007090866817,5.79313699949536
1998-02-28,POMRB,3.94,6.855,7.3900000000000015,2.8,3.975,2.885,6.35,4.404166666666667,4.004999999999999,3.8977394944,3.8552304708246505,4.988017148596747,4.252158185399196,5.974625,6.51,6.474109824000001,6.630614195792767,6.7869907883985725,6.638265130471883,4.622708333333334,5.149166666666668,5.5833191936,5.466381436110482,5.3338560643521475,5.295122618109394,2.558125,3.102500000000001,2.9774029312,2.9406409547892434,3.223736530687174,2.8752503786257986,4.19125,3.642083333333333,3.569106432,3.793080660229996,3.6600161484274056,2.8859068034718964,2.5679166666666666,2.9575000000000005,2.9139079808,4.210121925315962,3.6925097711828663,3.4718355167611756,6.32125,5.352500000000001,5.6206900736000005,6.019710010172564,6.567351953369806,5.887008466302567
1998-05-31,PREMON,6.135,4.784999999999998,3.473333333333333,1.455,6.0900000000000025,2.6733333333333333,9.23,5.013958333333333,3.8824999999999985,4.792643696640001,4.490530190643816,6.584362107383444,6.2639788498033715,6.5992500000000005,5.398749999999999,5.7984658944,6.189564445805118,8.934709104176445,9.069330774726653,4.980729166666666,4.224166666666668,4.739324849493333,5.128122443149346,7.248648566111696,8.076656384690624,2.94625,2.147500000000001,2.36844175872,2.3936847684103495,4.419077818741323,4.512671494440587,4.449062500000001,3.7312500000000006,4.577463859200002,6.71778375138794,6.420818293591382,6.505031017898087,2.7158333333333333,2.382083333333334,2.8176781218133335,4.194783243175202,4.287254466955895,4.371579009641922,6.7875,5.897500000000001,7.06441404416,6.958127898776444,7.658589470808172,7.029664165728911
