Date,Season,Chennai,Chennai_Trend,Chennai_SMA,Chennai_EWMA,Chennai_DES,Chennai_TES,Chennai_ARIMA
1996-02-29,POMRB,3.736666666666667,,,3.736666666666667,3.6125361084587073,3.5730298725971865,0.0
1996-05-31,PREMON,5.8706666666666685,,,4.590266666666667,4.145717515533068,4.359198515116674,1.305323295433377
1996-08-31,MONSOON,3.256666666666667,3.3970476190476195,,4.056826666666667,3.9359895353737424,4.365283219252463,2.1857635989890865
1996-11-30,POMKH,1.9646666666666663,2.811428571428572,3.7071666666666667,3.2199626666666665,3.470771811920419,2.7146040794534105,1.9125333200468888
1997-02-28,POMRB,1.2557142857142856,2.601595238095238,3.086928571428572,2.434263314285714,2.9480017773877525,3.595377772451568,3.2761406616717887
1997-05-31,PREMON,3.666666666666667,2.578285714285714,2.5359285714285713,2.927224655238095,3.117752082183768,3.5877307329485286,4.38201869413133
1997-08-31,MONSOON,3.781999999999999,2.7038452380952385,2.6672619047619044,3.2691347931428565,3.27466248163333,3.1395485046486566,2.3437588594787604
1997-11-30,POMKH,1.2528571428571431,2.9770476190476187,2.4893095238095237,2.462623733028571,2.7975050670836086,2.0441464474283313,2.0007685554771495
1998-02-28,POMRB,2.9720000000000004,3.068410714285714,2.9183809523809523,2.666374239817143,2.83879273423174,2.9118071389874625,0.934151372675312
1998-05-31,PREMON,4.135999999999999,3.275416666666666,3.0357142857142856,3.2542245438902855,3.145110746970494,3.6651729184667547,3.742636035534618
1998-08-31,MONSOON,4.043571428571428,3.5572261904761904,3.101107142857143,3.569963297762743,3.3573106550370317,3.341262373100366,3.55218165415377
1998-11-30,POMKH,2.647333333333333,3.6707261904761896,3.44972619047619,3.2009113119909793,3.189827901058906,2.2648416064071233,1.3332979571943464
1999-02-28,POMRB,3.832,3.6277220695970684,3.6647261904761894,3.4533467871945875,3.341529531824064,3.504717248450455,3.045850927239633
1999-05-31,PREMON,4.183999999999998,3.5795200320512817,3.676726190476189,3.745608072316752,3.5405190697701725,4.342779276815742,3.947487580271439
1999-08-31,MONSOON,3.6515384615384616,3.698040865384615,3.578717948717947,3.707980228005436,3.566848160488026,3.8192157355260044,3.6612475668995907
1999-11-30,POMKH,2.65375,3.982837740384615,3.5803221153846136,3.2862881368032615,3.3514236415254532,2.466915643940423,2.323555699582566
2000-02-29,POMRB,4.77375,4.364098557692308,3.8157596153846134,3.881272882081957,3.6872950514920104,3.644746835907775,3.3964615103786695
2000-05-31,PREMON,5.520625,4.811919642857142,4.149915865384614,4.537013729249174,4.120200046798876,4.737040544328915,4.0558323384745805
2000-08-31,MONSOON,5.365,5.118303571428571,4.578281249999999,4.868208237549505,4.41419077136017,4.512307756486664,3.7462617611004565
2000-11-30,POMKH,4.522857142857143,5.291932520604396,5.0455580357142855,4.73006779967256,4.4399944385379735,3.4835746499179896,2.991862079878598
2001-02-28,POMRB,5.355714285714286,5.380486388611389,5.191049107142857,4.98032639408925,4.656313080684046,4.931723671655225,4.80290187730791
2001-05-31,PREMON,6.327692307692307,5.2618381618381616,5.392815934065934,5.519272759530473,5.0510210901912505,5.800452503528364,5.1242337298082905
2001-08-31,MONSOON,5.266363636363637,5.010766733266734,5.368156843156843,5.418109110263739,5.102028764995858,5.494430864352792,5.099919079239923
2001-11-30,POMKH,3.672307692307693,4.729635780885781,5.15551948051948,4.719788543081321,4.7647023463791385,4.122980656063617,4.081084425002635
2002-02-28,POMRB,4.197692307692308,4.503176406926407,4.866013986013986,4.510950048925715,4.63101701496412,5.09865339674416,4.507964515636155
2002-05-31,PREMON,5.236666666666666,4.240806776556776,4.593257575757575,4.801236696022095,4.774146652102428,5.547229900941002,5.277103575875584
2002-08-31,MONSOON,4.545714285714286,4.251844322344322,4.413095238095238,4.699027731898972,4.7203867288479655,4.975534504821002,4.4398484749463965
2002-11-30,POMKH,2.294,4.435854853479854,4.068518315018315,3.7370166391393833,4.147773006193831,3.540106878611578,3.1496168431518927
2003-02-28,POMRB,5.664300366300367,4.507967948717949,4.4351703296703295,4.507930130003777,4.505909001944322,4.263541435775407,3.3089604326820288
2003-05-31,PREMON,5.2421428571428565,4.99374027014652,4.436539377289376,4.801615220859409,4.67986021442678,5.442010978046687,5.140955204830701
2003-08-31,MONSOON,5.1171428571428565,5.494463141025641,4.579396520146519,4.927826275372788,4.783246596568528,4.905417849757006,4.128168264578026
2003-11-30,POMKH,5.60875,5.834715029761905,5.408084020146519,5.200195765223673,4.97828042793635,3.673429125951642,2.3579512533497033
2004-02-29,POMRB,6.355333333333332,6.281355654761905,5.58084226190476,5.662250792467537,5.303520453052326,5.405718777591815,6.013252089512216
2004-05-31,PREMON,7.273125,6.50280248917749,6.088587797619046,6.306600475480522,5.768650166038679,6.441126985068157,4.964416038231044
2004-08-31,MONSOON,6.659285714285714,6.580622492091242,6.47412351190476,6.447674571002599,5.979093050186062,6.231746507477022,5.2714130814908895
2004-11-30,POMKH,5.838181818181818,6.632966642732268,6.531481466450215,6.2038774698742865,5.946034900601386,5.068194118387043,5.526532087342039
2005-02-28,POMRB,6.74846153846154,6.625009053446553,6.6297635177322665,6.421711097309188,6.13566117300949,6.430947699743953,5.761811516865812
2005-05-31,PREMON,7.29875,6.133210227272728,6.636169767732266,6.772526658385513,6.410432347165179,7.265911931066183,6.633133198748988
2005-08-31,MONSOON,6.57,5.18974358974359,6.613848339160837,6.691515995031308,6.4483204597927966,6.803111716960055,6.0343286153321
2005-11-30,POMKH,1.9930769230769232,4.336967147435898,5.652572115384613,4.8121403662495545,5.396831573088083,5.4300618626034165,5.267583449789244
2006-02-28,POMRB,3.045833333333334,3.655248397435898,4.7269150641025615,4.105617553083066,4.842037408305381,5.458752215291398,4.789206953418142
2006-05-31,PREMON,4.179166666666666,3.3201762820512823,3.9470192307692282,4.135037198516506,4.685725733772764,5.4278753291882715,5.348007351611354
2006-08-31,MONSOON,4.235833333333334,3.2319791666666666,3.3634775641025616,4.175355652443237,4.579684628701209,4.558686836186176,4.941367311228105
2006-11-30,POMKH,1.6466666666666667,3.2631490384615383,3.2768749999999973,3.1638800581326088,3.887470044674789,3.1571791745380264,1.257196016262187
2007-02-28,POMRB,2.686666666666666,3.2279647435897436,3.18708333333333,2.9729947015462317,3.604140481469781,3.796768682618225,2.5805825486583513
2007-05-31,PREMON,4.787692307692309,3.1469041375291376,3.339214743589741,3.6988737440046626,3.883655153769107,4.179024997902978,3.593204884621307
2007-08-31,MONSOON,3.3458333333333328,3.1489685314685314,3.1167147435897404,3.557657579736131,3.756829743917692,3.898824644095567,4.0087132800817145
2007-11-30,POMKH,1.8881818181818184,2.9713403263403264,3.1770935314685285,2.889867275114406,3.3158434415574614,2.4243385218331155,1.3180522740065492
2008-02-29,POMRB,2.461666666666667,2.9092329545454545,3.120843531468529,2.7185870317353107,3.1143193525574286,3.3729037142099667,2.4480510847722963
2008-05-31,PREMON,3.5916666666666663,3.1314810606060606,2.8218371212121185,3.0678188857078528,3.2271096356097475,3.8182216333075387,4.13854811286334
2008-08-31,MONSOON,4.045,3.2683472222222223,2.996628787878785,3.4586913314247116,3.4202928291296057,3.2731659019439387,2.6945066177201435
2008-11-30,POMKH,2.967,3.468448232323232,3.2663333333333306,3.2620147988548274,3.3134055137479725,2.2187920584709406,1.9960449110923006
2009-02-28,POMRB,2.4777777777777783,3.8034103535353534,3.270361111111108,2.948319990424008,3.116260051074669,3.5746391117565492,2.5386602253231305
2009-05-31,PREMON,5.176363636363637,4.004035353535354,3.6665353535353504,3.8395374487998595,3.6026778945794313,3.9610941486562607,3.185777457040699
2009-08-31,MONSOON,5.1400000000000015,4.151535353535354,3.940285353535351,4.359722469279916,3.965703986548883,3.8732519890586365,4.133942362611169
2009-11-30,POMKH,3.4770000000000003,4.1292398989898995,4.067785353535351,4.00663348156795,3.8504762166549655,2.975819135970375,3.0775871312773697
2010-02-28,POMRB,3.1477777777777773,3.8235515873015875,4.2352853535353505,3.6630912000518805,3.6847286783108744,4.2533320119650915,2.4196512511466817
2010-05-31,PREMON,4.327999999999999,3.5902559523809523,4.023194444444441,3.929054720031128,3.836706805804413,4.6370304636664885,4.749794053307625
2010-08-31,MONSOON,3.542857142857143,3.4756309523809525,3.6239087301587274,3.774575689161534,3.7674721652889622,4.0658211208402335,4.355800957811889
2010-11-30,POMKH,3.2077777777777787,3.3280337301587304,3.556603174603172,3.547856524608032,3.6354794950228246,2.600856895662971,2.6933210937997294
2011-02-28,POMRB,2.5,3.293343253968254,3.3946587301587274,3.1287139147648193,3.3675617097106705,3.9119007408395996,2.763165379171287
2011-05-31,PREMON,3.795,3.1786805555555557,3.2614087301587276,3.3952283488588915,3.4685791095065697,4.198454370173472,3.631583142363464
2011-08-31,MONSOON,3.7983333333333333,3.1239583333333334,3.325277777777775,3.556470342648668,3.546540554742412,3.597302483770424,3.0552694642504137
2011-11-30,POMKH,2.035,3.299236111111111,3.0320833333333304,2.9478822055892007,3.1898462516054833,2.361922560652383,2.987307681164581
2012-02-29,POMRB,3.235,3.4096031746031743,3.21583333333333,3.0627293233535204,3.200614958525057,3.3768375014727936,1.9053932569819634
2012-05-31,PREMON,4.462222222222222,3.6126091269841263,3.3826388888888856,3.6225264829010007,3.4985416267577163,4.066137906455071,3.59371436826852
