Date,Season,Gondiya,Tirora,Goregaon,Deori,Amgaon,Sadak-arjuni,Arjuni Morgaon,Salekasa,Gondiya_Trend,Gondiya_SMA,Gondiya_EWMA,Gondiya_DES,Gondiya_TES,Gondiya_ARIMA,Tirora_Trend,Tirora_SMA,Tirora_EWMA,Tirora_DES,Tirora_TES,Tirora_ARIMA,Goregaon_Trend,Goregaon_SMA,Goregaon_EWMA,Goregaon_DES,Goregaon_TES,Goregaon_ARIMA,Deori_Trend,Deori_SMA,Deori_EWMA,Deori_DES,Deori_TES,Deori_ARIMA,Amgaon_Trend,Amgaon_SMA,Amgaon_EWMA,Amgaon_DES,Amgaon_TES,Amgaon_ARIMA,Sadak-arjuni_Trend,Sadak-arjuni_SMA,Sadak-arjuni_EWMA,Sadak-arjuni_DES,Sadak-arjuni_TES,Sadak-arjuni_ARIMA,Arjuni Morgaon_Trend,Arjuni Morgaon_SMA,Arjuni Morgaon_EWMA,Arjuni Morgaon_DES,Arjuni Morgaon_TES,Arjuni Morgaon_ARIMA,Salekasa_Trend,Salekasa_SMA,Salekasa_EWMA,Salekasa_DES,Salekasa_TES,Salekasa_ARIMA
2001-02-28,POMRB,6.23,3.6019999999999994,6.279999999999999,7.285,2.3,6.669999999999999,7.015,5.495416666666666,5.091666666666667,4.8353125,4.984063766897519,4.87010686054438,5.400993274342317,5.59452255600353,3.3843749999999995,3.606125000000001,3.283081342787963,3.689439449331236,3.8059528461256122,3.5373385981953964,4.922499999999999,4.807499999999999,4.891771440112582,5.660493003091388,4.029242675482758,4.501342573169567,6.255625,6.140625000000003,6.042045436721357,6.706068954222847,6.3813475578484145,6.183833473597849,2.63,2.1525,1.9539071398180305,2.1204378930343477,2.409170999080674,2.0300555187215643,6.374375,6.0652083333333335,5.909377037980541,6.147743106361576,6.373377255295134,6.6968098791126955,6.325,6.102500000000002,6.064729572749111,5.101136131766879,6.483029378591648,6.556684363192289,5.179070512820513,5.179070512820513,4.829543105709385,4.874605734698568,5.495749805982574,5.495416710422611
2001-05-31,PREMON,8.295,5.837999999999999,7.285,9.53625,5.72,10.373333333333333,10.546666666666667,9.591153846153846,5.144166666666667,4.9937499999999995,6.308438260138511,6.229044001693963,7.643605106239429,7.556973445918948,3.3226249999999995,3.4493750000000007,4.305048805672778,5.14775211751293,6.032857945145322,5.871684488582413,4.9731250000000005,4.778749999999999,5.84906286406755,7.258539102498014,7.918120611437163,8.34660940662307,6.0554861111111125,6.324375000000002,7.4397272620328145,9.089396206637833,9.572951700528677,9.944201255170823,2.5637499999999998,2.6674999999999995,3.460344283890818,3.93966761859002,4.317366675755307,4.610688219572764,5.977187499999999,6.507708333333333,7.694959556121658,7.79522470474114,9.616444222573362,9.875141490733034,6.209791666666667,6.349166666666669,7.857504410316134,5.991159609637805,10.04822491630831,9.885289891945447,5.179070512820513,5.179070512820513,6.734187401887169,7.934333976762644,9.594162091187313,9.591153875588825
2001-08-31,MONSOON,1.5499999999999998,0.8375,2.05,2.32625,0.85,1.6833333333333331,1.8666666666666665,1.81625,5.090625,5.189583333333333,4.405062956083107,5.113420848874917,1.8547517108657665,1.9897261151514871,3.3484374999999997,3.319375000000001,2.9180292834036665,3.180204421758684,1.2996564713516074,2.0295801802567404,4.705625,5.066249999999999,4.32943771844053,5.058001449109514,2.1787917627731312,1.5367619905634915,5.810694444444445,6.186875000000002,5.3943363572196885,6.235959108045777,3.973178738976204,3.486521794256812,2.4974999999999996,2.5924999999999994,2.4162065703344906,3.304698938651239,0.8821304403873187,0.9404695294527361,5.567083333333333,6.241041666666667,5.290309067006328,6.449789910401248,4.307229404303987,3.792056323441191,6.0825000000000005,6.300833333333336,5.461169312856347,5.41038752942835,3.2158495227017774,3.5205538974422703,5.179070512820513,5.179070512820513,4.767012441132301,5.349837507834381,1.8137133752831822,1.8162500198011775
2001-11-30,POMKH,4.32,3.0260000000000002,3.905,4.5488888888888885,1.27,4.126666666666667,5.046666666666666,3.8134615384615382,5.067500000000001,5.09875,4.3710377736498645,4.964252340975073,3.823441031620254,3.9545854543530186,3.45125,3.325875000000001,2.9612175700422,2.946989836298424,2.369133064919154,2.196735147957333,4.7175,4.879999999999999,4.159662631064318,4.381267211465543,3.8425270434522307,3.814234723088086,5.739947916666667,5.924097222222224,5.0561573698873685,5.25570557500377,4.563976004879256,4.386088572541536,2.4075,2.5349999999999993,1.9577239422006942,2.785938929624265,1.105268135849743,1.2124097304828843,5.505416666666667,5.713333333333334,4.824852106870464,5.9038784670760505,4.34143501402397,3.695243805715224,6.089166666666666,6.118750000000002,5.295368254380474,5.365542150233472,4.8530347991996425,4.885634387501656,5.179070512820513,5.179070512820513,4.385592080063995,4.456452742776525,3.8131742832077515,3.8134615517819785
2002-02-28,POMRB,6.165,3.7825,4.885,6.377777777777778,2.0,5.5,6.724999999999999,5.495416666666666,4.988125,5.0825,5.088622664189918,5.433953915335491,5.455348577835651,5.707734853990659,3.6010625000000003,3.3710000000000004,3.2897305420253202,3.2774331689979586,3.767044507426649,3.5597444754456955,4.883125,4.531249999999998,4.449797578638591,4.490945077224445,4.815439220669657,4.913909185837496,5.97529513888889,5.697291666666669,5.584805533043532,5.65457393694431,6.0171459778743515,5.900618324782318,2.3350000000000004,2.459999999999999,1.9746343653204166,2.5810262456497775,2.449019967737325,2.024927832501194,5.890416666666668,5.420833333333334,5.094911264122279,5.812348029367734,5.753458436756713,5.438080345130097,6.18425,6.0462500000000015,5.8672209526282835,5.599535357198557,6.453209938414527,6.57128599990285,5.179070512820513,5.179070512820513,4.829521914705063,4.829085036840265,5.495538715591445,5.495416675627455
2002-05-31,PREMON,8.175,6.48,8.775,9.8775,5.3,11.050000000000002,10.89,9.591153846153846,4.911875,5.0525,6.323173598513952,6.555751652918243,7.697960409240519,7.7684580569970585,3.6481250000000003,3.5315000000000007,4.565838325215193,5.392123537018374,6.05224297854579,5.9274995822815155,4.893125,4.903749999999998,6.179878547183154,7.1952213852071765,7.662919866066149,7.401569229580665,6.178482142857144,5.782604166666669,7.3018833198261195,8.308606916746808,8.937970659770519,9.299911057793334,2.36875,2.3549999999999995,3.30478061919225,3.865816442339809,4.581043707584644,4.25940401651395,6.279166666666668,5.590000000000002,7.476946758473368,7.534618394134331,8.76966236631834,9.292408314123794,6.2180833333333325,6.132083333333334,7.87633257157697,6.533561167949235,9.956406719046111,9.897165269169417,5.179070512820513,5.179070512820513,6.734174687284576,7.922596103963695,9.592901496999627,9.591153852181856
2002-08-31,MONSOON,1.035,1.394,1.885,3.8677777777777793,0.69,4.086666666666666,2.2840000000000003,1.81625,4.623125,4.92375,4.207904159108371,5.117966123198162,1.909107013147778,1.8280679039124332,3.6840625,3.6706250000000007,3.2971029951291153,3.754748446531142,1.484460586365267,1.9775444556648676,5.0443750000000005,4.862499999999998,4.461927128309892,4.92706781277701,2.3456801764233677,2.3036544263625904,6.204880952380953,6.167986111111114,5.928241103006783,6.515593226659391,3.8249992895411538,3.2506857156386064,2.5225,2.3149999999999995,2.2588683715153497,2.954038146602517,0.8843978865093411,0.9638595100438246,6.450833333333334,6.190833333333335,6.120834721750688,6.858051244154376,4.088744190013452,3.677293978847942,6.267458333333334,6.236416666666667,5.639399542946181,5.99428748193005,3.227724137884145,3.255300161862456,5.179070512820513,5.179070512820513,4.767004812370745,5.356094780331726,1.8148792040730077,1.8162500040551017
2002-11-30,POMKH,4.225,2.846,4.15,4.632857142857144,1.7,4.833333333333333,4.9,3.8134615384615382,4.3774999999999995,4.9,4.214742495465023,4.838196138588712,3.877796331554149,3.9507309421742107,3.73525,3.6256250000000003,3.1166617970774695,3.2674976683157384,2.652690977536741,2.585633698025471,5.229375,4.923749999999998,4.337156276985935,4.442171954874902,3.9946277989205226,3.7869613716636827,6.115560515873017,6.188978174603178,5.410087518946928,5.494462379149668,5.258375962638834,5.096096723417922,2.83,2.4224999999999994,2.03532102290921,2.5276959398607293,1.130744280544182,1.278742031316285,6.226666666666667,6.3675000000000015,5.605834166383746,6.4079129485458575,5.204233327941277,5.230250671985284,6.255791666666668,6.19975,5.343639725767709,5.887484109672778,4.96152668904872,5.0058717472994125,5.9826762820512815,5.179070512820513,4.385587502807062,4.470076438161944,3.8132590414803835,3.813461541189445
2003-02-28,POMRB,3.95,4.25,5.85,6.505,2.8,6.166666666666668,7.2666666666666675,5.495416666666666,4.575,4.34625,4.108845497279013,4.504234450017603,5.50970387715358,5.824048148059739,3.7634375,3.7425,3.569997078246482,3.757121952517057,3.927442315333721,3.5452635856563406,5.516249999999999,5.164999999999999,4.942293766191561,5.135509366748214,4.985503008584029,4.995649971352654,6.0846775793650805,6.2207837301587325,5.848052511368158,5.8690095267223406,6.407151675604495,6.24099271013111,3.15375,2.6224999999999996,2.341192613745526,2.610442421298186,2.4006647910767454,2.0995955143583513,5.859583333333333,6.5341666666666685,5.830167166496914,6.388458063147655,6.551865346379271,5.873021882829426,6.3873750000000005,6.335166666666667,6.1128505021272925,6.170444704722002,6.500899770762117,6.622666894675914,6.786750801282051,5.179070512820513,4.829519168350904,4.844818387162114,5.495445589499713,5.495416668501756
2003-05-31,PREMON,8.425,6.4220000000000015,9.29,9.035714285714286,6.96,8.589999999999998,10.255,16.02,4.67875,4.40875,5.835307298367408,5.74196588078525,7.75231569919922,7.3954290614546,3.801875000000001,3.7280000000000006,4.71079824694789,5.606022765924477,6.294233047320731,6.214983119323167,5.660625,5.293749999999999,6.681376259714936,8.029414485321022,8.210580288569528,8.30249340645972,6.170625,6.010337301587304,7.123117221106609,7.823406666519931,9.196938305550582,9.530574574045566,3.1637500000000003,3.0374999999999996,4.188715568247316,4.6401989843213745,4.76589225535492,5.090677968071344,5.654999999999999,5.919166666666667,6.934100299898148,7.133726360335839,9.513737311505434,10.108480091296906,6.651041666666668,6.176416666666666,7.769710301276376,6.9484580621169085,10.121806920655084,10.173661988490645,7.074286858974359,6.7862820512820505,9.305711501010542,13.299100448737718,9.592165414638524,9.591153847388329
