Date,Season,Darya Ganj,Preet Vihar,Vivek Vihar,Seelam Pur,Gandhi Nagar,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA,Preet Vihar_Trend,Preet Vihar_SMA,Preet Vihar_EWMA,Preet Vihar_DES,Preet Vihar_TES,Preet Vihar_ARIMA,Vivek Vihar_Trend,Vivek Vihar_SMA,Vivek Vihar_EWMA,Vivek Vihar_DES,Vivek Vihar_TES,Vivek Vihar_ARIMA,Seelam Pur_Trend,Seelam Pur_SMA,Seelam Pur_EWMA,Seelam Pur_DES,Seelam Pur_TES,Seelam Pur_ARIMA,Gandhi Nagar_Trend,Gandhi Nagar_SMA,Gandhi Nagar_EWMA,Gandhi Nagar_DES,Gandhi Nagar_TES,Gandhi Nagar_ARIMA
1996-02-29,POMRB,4.94,3.55,8.55451388888889,3.2,4.507277777777778,,,4.94,5.171854772143582,4.986875,0.0,,,3.55,3.6793186327179543,3.6786148884201286,0.0,,,8.55451388888889,8.648082873053147,8.564513887097883,0.0,,,3.2,3.299311094119154,3.2918595968008812,0.0,,,4.507277777777778,4.5580687279545264,4.50733004124162,0.0
1996-05-31,PREMON,5.15,4.25,9.023541666666668,3.71,5.100214285714285,,,5.024,5.154564956726931,5.241153047091414,-7.944024186672072e-14,,,3.83,4.048845751623308,3.9424271897359096,3.54999835526453,,,8.742125000000001,8.944883039437398,9.036893748999603,8.554512753588769,,,3.404,3.3903100262434847,3.793640276865306,3.1999651176194055,,,4.7444523809523815,4.8043874968188724,5.1111286251371695,4.358457140098658
1996-08-31,MONSOON,4.32,3.75,8.949236111111112,2.93,4.232777777777779,4.751250000000001,,4.7424,5.137326353834513,4.45284816913621,-1.3439015448320702e-13,3.96625,,3.798,3.92147825122916,3.7384702069255042,3.9500853868758052,9.003361378205128,,8.824969444444445,8.996634627078858,8.963379013170506,8.920837558738276,3.17,,3.2144,3.382598427358271,2.8179905128299487,3.455863029123939,4.548079365079365,,4.53978253968254,4.51478507873549,4.180306651543543,4.861573563470261
1996-11-30,POMKH,4.65,4.0,9.486153846153844,2.51,4.352047619047618,4.7162500000000005,4.765000000000001,4.70544,5.120148194646926,4.821980810604867,-1.9766153850310908e-13,4.06625,3.8875,3.8788,4.010124169421167,3.8212135216872696,3.978231059663984,9.00336137820513,9.003361378205128,9.089443205128205,9.371153293866305,9.50011746222875,8.84518589368695,3.3412499999999996,3.0875,2.93264,3.3274865643616898,2.601651624838324,3.278539139401332,4.548079365079365,4.548079365079365,4.464688571428571,4.422545066887236,4.408955571735358,4.196338131101723
1997-02-28,POMRB,4.83,4.18,8.55451388888889,3.86,4.507277777777778,4.7675,4.7375,4.755264,5.1030290607461435,5.126373490858814,3.7591015774855934,4.14375,4.045,3.9992799999999997,4.1523856251780655,4.29169596777159,3.847969693610054,9.003361378205128,9.003361378205128,8.87547147863248,8.879528890683313,8.564263593867002,9.14508288031164,3.4875,3.2525000000000004,3.303584,3.432835963344831,3.5503339186516962,3.1496900145559703,4.5480793650793645,4.548079365079365,4.481724253968254,4.449500424632261,4.508296530703146,4.323168114168747
1997-05-31,PREMON,4.98,4.42,9.023541666666668,4.42,5.100214285714285,4.896250000000001,4.695,4.845158400000001,5.0859685111665245,5.344628344330724,3.9189014421155477,4.2250000000000005,4.0875,4.167568,4.352534520975271,4.565823961940497,4.224687284474163,9.003361378205128,9.003361378205128,8.934699553846155,9.023753717887962,9.03386433488474,8.876761386349106,3.6637500000000003,3.4299999999999997,3.7501504,3.5917441125431564,4.0787592072717285,3.528525449672838,4.5480793650793645,4.548079365079365,4.7291202666666665,4.748323575234365,5.111444807080323,4.778257932409424
1997-08-31,MONSOON,4.9,4.2,8.949236111111112,3.39,4.232777777777779,4.967500000000001,4.84,4.867095040000001,5.068964485236449,4.51950427708982,3.287311500959061,4.2525,4.2,4.1805408,4.312826751164254,4.085424899644667,4.2735219838419845,9.003361378205128,9.003361378205128,8.940514176752139,9.02351166727573,8.960370051346201,8.963524092248656,3.8525,3.545,3.6060902400000003,3.616374484874513,3.247251392010355,3.114347764148949,4.548079365079365,4.548079365079365,4.530583271111111,4.48583405705374,4.180410088799465,4.41212636004007
1997-11-30,POMKH,5.1,4.2,9.486153846153844,3.46,4.352047619047618,5.03,4.952500000000001,4.960257024000001,5.052019063188048,4.895865077380794,3.5384255739489894,4.25375,4.25,4.18832448,4.295557411823098,4.230996317336361,4.31293152989666,9.00336137820513,9.003361378205128,9.15877004451282,9.38031227796452,9.49757346685219,9.288416403271954,3.9212499999999997,3.7825,3.547654144,3.646537270130346,2.9062517969846167,2.8741838185315842,4.548079365079365,4.548079365079365,4.459169010285715,4.40759495935411,4.4089894106846605,4.221794711286441
1998-02-28,POMRB,4.95,4.2,8.55451388888889,4.42,4.507277777777778,5.04,4.9825,4.956154214400001,5.035129211578388,5.160918919457933,3.6753968864889504,4.2525,4.255,4.192994688000001,4.288046789023092,4.5735713853569235,4.224449212325767,9.003361378205128,9.003361378205128,8.917067582263249,8.882650030105545,8.563461920718378,8.83649500221917,3.80125,3.9225000000000003,3.8965924864000003,3.783772103215549,4.138464585972777,3.7675872312460355,4.5480793650793645,4.548079365079365,4.47841251728254,4.441780292413476,4.508307600932321,4.365736229985336
1998-05-31,PREMON,5.36,4.41,9.023541666666668,4.41,5.100214285714285,4.952500000000001,5.0775,5.117692528640001,5.018299283483673,5.351365297291785,3.789539646938918,4.27125,4.2524999999999995,4.279796812800001,4.405773454109348,4.688030432955019,4.337569281174361,9.003361378205128,9.003361378205128,8.959657216024617,9.024817319613716,9.031967612608405,8.914680577515394,3.58375,3.9200000000000004,4.10195549184,3.9059415540286033,4.684962882743644,4.171622110210494,4.5480793650793645,4.548079365079365,4.727133224655238,4.744336952305837,5.1114484286423,4.834259746902543
