Date,Season,Muktsar,Kot Bhai,Lambi,Malout,Muktsar_Trend,Muktsar_SMA,Muktsar_EWMA,Muktsar_DES,Muktsar_TES,Muktsar_ARIMA,Kot Bhai_Trend,Kot Bhai_SMA,Kot Bhai_EWMA,Kot Bhai_DES,Kot Bhai_TES,Kot Bhai_ARIMA,Lambi_Trend,Lambi_SMA,Lambi_EWMA,Lambi_TES,Lambi_ARIMA,Malout_Trend,Malout_SMA,Malout_EWMA,Malout_DES,Malout_TES,Malout_ARIMA
1996-02-29,POMRB,1.8071428571428567,3.856611904761905,7.156666666666667,1.45,,,1.8071428571428567,1.843871855389177,1.7381778544845907,0.0,,,3.856611904761905,3.7851701799617734,3.866598327567964,0.0,,,7.156666666666667,7.063081769639814,0.0,,,1.45,1.48026686194512,0.7951690327773548,0.0
1996-05-31,PREMON,2.197142857142857,4.534843434343434,6.926666666666668,0.7999999999999999,,,1.963142857142857,1.9606859333490212,2.0052889417820348,1.7489100831868103,,,4.1279045165945165,3.9033944148052164,4.554268958215927,1.345387181595674,,,7.0646666666666675,7.198914511119928,7.156665925814615,,,1.19,1.2442074003286425,1.315336009288965,1.4499997958015831
1996-08-31,MONSOON,1.7042857142857142,4.9154437229437224,6.6466666666666665,0.335,1.9180357142857143,,1.8596,1.880833920189482,1.954843412071773,1.9375814960496103,4.369419763966192,,4.442920199134199,4.105481076690791,4.943769211302512,1.2668174547150481,6.689583333333334,,6.897466666666667,7.118608406831298,6.983898124079434,0.5890624999999999,,0.848,0.9320524905479244,1.2772622891602619,1.0115407384490616
1996-11-30,POMKH,1.9785714285714284,4.170779993815708,6.503333333333334,0.405,1.895892857142857,1.9217857142857142,1.9071885714285712,1.915200763745582,1.9728604142637742,1.9732985919373869,4.369419763966192,4.369419763966192,4.334064117006802,4.02187184253666,4.207460156817887,2.5228982122004555,6.43125,6.8083333333333345,6.739813333333334,6.746623757893014,6.736119813112456,0.4543750000000001,0.7475,0.6708,0.7501398583418156,0.6523528035620236,0.7668040266597449
1997-02-28,POMRB,1.7771428571428571,3.856611904761905,6.206666666666668,0.1825,1.7667142857142855,1.9142857142857141,1.8551702857142855,1.87348920221193,1.7794428315797035,1.7903167335344161,4.369419763966192,4.369419763966192,4.143083232108843,3.8704771818432206,3.9010971285589324,3.7289031126843164,6.0720833333333335,6.570833333333335,6.526554666666668,6.401668515283024,6.565351866849484,0.5759027777777778,0.4306250000000001,0.47547999999999996,0.5553756628413389,0.435612299086628,0.5896314613566849
1997-05-31,PREMON,2.05,4.534843434343434,5.81,0.99,1.5658571428571428,1.8774999999999995,1.9331021714285712,1.9332781002675843,2.022684199358104,1.8728578425701492,4.369419763966192,4.369419763966192,4.29978731300268,3.9752673702597816,4.5865939571667464,4.323076190648582,5.660416666666667,6.291666666666668,6.2399328,6.322885150632883,6.302256458136438,0.6736805555555555,0.47812500000000013,0.681288,0.6993473032141192,0.5736108469270877,0.44474023479073926
1997-08-31,MONSOON,0.818,4.9154437229437224,4.89,1.117222222222222,1.430964285714286,1.655928571428571,1.4870613028571427,1.5760846817714647,1.9171277468732986,1.8616495332882566,4.369419763966192,4.369419763966192,4.546049876979097,4.168236674396442,4.973945321123284,4.721005164893725,4.950833333333334,5.852500000000001,5.699959679999999,6.062899938267958,5.9411894820436935,0.7639930555555555,0.6736805555555556,0.8556616888888888,0.8370162510353332,0.9277157431621832,0.7718719244271393
1997-11-30,POMKH,1.258,4.170779993815708,4.966666666666666,0.405,1.3559345238095237,1.4757857142857138,1.3954367817142854,1.4757422015274493,1.6509219808464985,1.5357812256254888,4.369419763966192,4.369419763966192,4.395941923713742,4.077600210830944,4.235516932974826,4.040997921969599,4.139583333333333,5.468333333333334,5.406642474666666,5.170862618620109,5.170149130630768,0.9311805555555557,0.6736805555555556,0.6753970133333334,0.6875723418514866,0.7791865605824577,0.7931431818682885
1998-02-28,POMRB,1.4185714285714286,3.856611904761905,2.066666666666667,0.905,1.4886324404761904,1.3861428571428567,1.4046906404571429,1.459489372547909,1.3239849867792635,0.9812373489237824,4.369419763966192,4.369419763966192,4.180209916133007,3.920468121811794,3.9270684426691855,3.7848588848008275,3.6624999999999996,4.433333333333334,4.070652151466666,4.851272519734201,5.020896130210239,1.0871527777777779,0.8543055555555557,0.767238208,0.7577273983413839,0.509059618087291,0.6217210735049741
1998-05-31,PREMON,1.808333333333333,4.534843434343434,3.46,1.605,1.7505386904761904,1.32572619047619,1.5661477176076188,1.574299650283782,1.5996778007534438,1.3049366008058203,4.369419763966192,4.369419763966192,4.3220633234171775,4.021208372951699,4.610517674580486,4.430276590009276,3.2089583333333334,3.845833333333334,3.8263912908799993,2.856458905672813,2.8539889603534756,1.2102083333333333,1.0080555555555555,1.1023429247999998,1.039873215523312,0.9202552385575609,0.8469238546487767
1998-08-31,MONSOON,2.12125,4.9154437229437224,3.4233333333333333,1.75,1.9462172619047617,1.65153869047619,1.7881886305645713,1.7532428658647023,1.5548598583414943,1.5540325984847576,4.369419763966192,4.369419763966192,4.559415483227795,4.211540646430537,4.995862984260105,4.813858651617388,3.0991666666666666,3.479166666666667,3.665168107861333,3.4133034580796027,3.2984939258704937,1.1985416666666668,1.16625,1.3614057548799998,1.2745023340014783,1.3873154728633257,1.1304065348153751
