Date,Season,Dhaulpur,Bari,Baseri,Rajakhera,Dhaulpur_Trend,Dhaulpur_SMA,Dhaulpur_EWMA,Dhaulpur_DES,Dhaulpur_TES,Dhaulpur_ARIMA,Bari_Trend,Bari_SMA,Bari_EWMA,Bari_DES,Bari_TES,Bari_ARIMA,Baseri_Trend,Baseri_SMA,Baseri_EWMA,Baseri_DES,Baseri_TES,Baseri_ARIMA,Rajakhera_Trend,Rajakhera_SMA,Rajakhera_EWMA,Rajakhera_DES,Rajakhera_TES,Rajakhera_ARIMA
1996-02-29,POMRB,16.208904761904765,2.79,8.000833333333334,24.95615384615385,,,16.208904761904765,15.885848958188893,16.083623406495875,0.0,,,2.79,2.9416116689922425,2.8601370938460455,0.0,,,8.000833333333334,8.070673286437845,7.990055697246747,0.0,,,24.95615384615385,24.782111161959183,24.992810360347566,0.0
1996-05-31,PREMON,15.773287698412695,3.87,8.706124999999998,24.08089393939393,,,16.034657936507937,15.805068196073893,15.809221610530086,16.035227396855507,,,3.222,3.2587245684400186,4.070678463066696,2.7899952074802883,,,8.28295,8.202850377431915,8.640990874206608,8.000824044989336,,,24.606049883449884,24.446990372892905,24.374842587295923,37.43422672836078
1996-08-31,MONSOON,14.899819444444445,2.34,7.547777777777778,23.89631944444444,15.520872023809524,,15.58072253968254,15.479442832037481,15.099158594299436,15.842672621722052,2.9375000000000004,,2.8691999999999998,2.956488036500495,1.6215065040869883,3.413272069078797,7.970127480158729,,7.988881111111111,7.996896224184361,7.5914023101990376,8.479091260872059,24.74965133130758,,24.32215770784771,24.160974941428524,23.65006571112571,23.205773934871946
1996-11-30,POMKH,15.201476190476189,2.37,7.625773809523808,26.06523809523809,15.520872023809524,15.520872023809524,15.429024,15.348699311229176,15.318785378364545,15.447011557768844,3.0475000000000003,2.8425000000000002,2.66952,2.765192622755514,2.63300467200289,2.8927284822837693,7.97012748015873,7.970127480158729,7.84363819047619,7.866086148494176,7.7735777177533745,7.8128884551895545,24.749651331307575,24.74965133130758,25.019389862803862,24.936061076821336,25.284141529892835,23.34361968091846
1997-02-28,POMRB,16.208904761904765,3.55,8.000833333333334,24.95615384615385,15.520872023809524,15.520872023809524,15.740976304761906,15.570227502304794,16.01154954482304,15.38095574890864,3.02625,3.0325000000000006,3.021712,3.0337846173836787,3.15459856749765,2.5927087292395297,7.97012748015873,7.97012748015873,7.906516247619048,7.868152575396241,7.956251815984532,7.897889787629981,24.749651331307575,24.74965133130758,24.99409545614386,24.933445418130454,25.336056126050142,25.989065542416572
1997-05-31,PREMON,15.773287698412695,3.99,8.706124999999998,24.08089393939393,15.520872023809524,15.520872023809526,15.75390086222222,15.587942237584102,15.760001339247173,15.693224544944183,3.0387499999999994,3.062500000000001,3.4090271999999997,3.360410011150469,4.57709219926055,3.454137879102841,7.970127480158729,7.97012748015873,8.226359748571427,8.054159043536545,8.617079091724158,8.098497813916898,24.74965133130758,24.74965133130758,24.62881484944389,24.54961394577571,24.562987688297795,24.78977446719489
1997-08-31,MONSOON,14.899819444444445,2.05,7.547777777777778,23.89631944444444,15.520872023809524,15.520872023809524,15.41226829511111,15.33007503409087,15.06554536685561,15.614347331148572,3.07,2.990000000000001,2.8654163199999996,2.926903321642383,1.951992233197204,3.131958698806477,7.970127480158729,7.970127480158731,7.954926960253967,7.8877265858699745,7.574487881437053,8.16174474999359,24.74965133130758,24.74965133130758,24.335816687444108,24.23237570186941,23.752356192680843,24.703844939781217
1997-11-30,POMKH,15.201476190476189,2.76,7.625773809523808,26.06523809523809,15.520872023809524,15.520872023809524,15.327951453257143,15.245944489932818,15.295830424445334,15.397907282047461,3.0675,3.0875000000000012,2.8232497919999995,2.8763771400380196,2.6809931481646037,2.654664181855037,7.97012748015873,7.970127480158732,7.823265699961904,7.7859334615993205,7.761612992808497,7.768632060002084,24.749651331307575,24.74965133130758,25.0275852505617,24.987637404460248,25.33896269896924,24.68111524894506
1998-02-28,POMRB,16.208904761904765,3.41,8.000833333333334,24.95615384615385,15.520872023809524,15.520872023809524,15.680332776716192,15.499539218452469,15.995873278379609,15.348969280776236,3.15,3.052500000000001,3.0579498752,3.06087296407023,3.358299433992217,3.0587245173326822,7.97012748015873,7.970127480158732,7.894292753310476,7.809304224191086,7.9477883529246345,7.899372780160972,24.749651331307575,24.74965133130758,24.999012688798558,24.972099064315167,25.364682571187462,25.21354758697266
1998-05-31,PREMON,15.773287698412695,4.11,8.706124999999998,24.08089393939393,15.520872023809524,15.520872023809526,15.717514745394793,15.53931353665361,15.749295792615698,15.67058942503006,3.175,3.082500000000001,3.47876992512,3.4187330123915243,4.6243115442326115,3.639359477809456,7.970127480158729,7.970127480158732,8.219025651986286,8.010952401641829,8.611092309136481,8.092089021437006,24.74965133130758,24.74965133130758,24.631765189036706,24.5796174034352,24.57720720985284,24.634714363848982
1998-08-31,MONSOON,14.899819444444445,2.59,7.547777777777778,23.89631944444444,15.520872023809524,15.520872023809524,15.390436625014654,15.29662181631114,15.05823439589883,15.57252292846395,3.0925000000000002,3.217500000000001,3.123261955072,3.147000447764176,2.032347449938554,2.9163880666148168,7.970127480158729,7.970127480158731,7.950526502302882,7.856004135442941,7.570253023259198,8.14974282558276,24.74965133130758,24.74965133130758,24.3375868911998,24.25648093936608,23.758697003563505,24.56490198284153
1998-11-30,POMKH,15.201476190476189,2.42,7.625773809523808,26.06523809523809,15.520872023809524,15.520872023809524,15.314852451199268,15.22293096585333,15.29083765778233,15.389245018484724,3.0374999999999996,3.132500000000001,2.8419571730432,2.9089024490723627,2.9706173003801912,2.969360360034991,7.97012748015873,7.970127480158732,7.820625425191253,7.762642740150803,7.7586173898241055,7.7635806825093026,24.749651331307575,24.74965133130758,25.028647372815115,25.007850866785432,25.341037243702942,24.70302427095196
