Date,Season,Narsingarh,Khilchipur,Rajgarh,Sarangpur,Jirapur,Biaoraa,Narsingarh_Trend,Narsingarh_SMA,Narsingarh_EWMA,Narsingarh_DES,Narsingarh_TES,Narsingarh_ARIMA,Khilchipur_Trend,Khilchipur_SMA,Khilchipur_EWMA,Khilchipur_DES,Khilchipur_TES,Khilchipur_ARIMA,Rajgarh_Trend,Rajgarh_SMA,Rajgarh_EWMA,Rajgarh_DES,Rajgarh_TES,Rajgarh_ARIMA,Sarangpur_Trend,Sarangpur_SMA,Sarangpur_EWMA,Sarangpur_DES,Sarangpur_TES,Sarangpur_ARIMA,Jirapur_Trend,Jirapur_SMA,Jirapur_EWMA,Jirapur_DES,Jirapur_TES,Jirapur_ARIMA,Biaoraa_Trend,Biaoraa_SMA,Biaoraa_EWMA,Biaoraa_DES,Biaoraa_TES,Biaoraa_ARIMA
2006-11-30,POMKH,6.9925,2.55,20.255,4.232,8.7975,6.853333333333333,8.681249999999999,8.588750000000005,7.678448888863519,7.8631830230252175,7.878945859792323,6.093109133983406,2.8825000000000003,3.1725000000000003,2.8339170800375744,2.695269660491774,3.554330314917665,3.7309449540187534,20.768973214285715,21.198494047619054,20.716637915534996,20.632417244780644,21.094206203178384,20.786225954219173,5.2055,5.4455,4.730119593179305,4.563927713732501,4.68493055624038,4.435261575088322,10.263333333333334,8.567499999999999,8.104226702732916,7.846410295833917,9.17972233998761,7.577112938702993,7.421666666666666,7.109583333333336,6.388873497077703,6.880009077996305,6.975909864506629,5.638449699627467
2007-02-28,POMRB,11.1425,3.2,20.82,5.98,15.095,10.38,9.215937499999999,8.700625000000004,9.06406933331811,8.914335002930239,9.681517317758821,9.19130476842454,3.2874999999999996,2.6025,2.980350248022545,2.6401652969618934,3.4777906912073355,4.63363319456641,21.103184523809524,20.78616071428572,20.757982749321,20.700116177509763,21.59162678500111,22.355507839610535,5.3929374999999995,5.243,5.230071755907583,4.891820466769254,6.14904207856858,6.474658492937155,11.235729166666667,9.923124999999999,10.900536021639748,9.821619421519438,12.453968669937028,10.246829181700667,7.913124999999999,7.362916666666669,7.985324098246622,7.630384444751567,7.710870109282924,7.754911523958647
2007-05-31,PREMON,12.724999999999998,5.75,22.985,8.8775,14.996666666666668,11.273333333333332,10.091874999999998,8.661875000000004,10.528441599990867,10.567479555136636,12.206327473818716,12.532514957328916,3.515,3.1625,4.088210148813527,3.8865712615958365,6.410566089542577,5.8154580730139775,21.537886904761905,20.75178571428572,21.6487896495926,21.345185318626893,23.530025615816065,23.614130055985907,5.827875000000001,5.167999999999999,6.68904305354455,6.491879328139231,9.3624127348406,9.2704217211206,12.107291666666669,10.603541666666667,12.538988279650518,11.67941607219692,15.390429232161837,12.624211651142424,8.678333333333333,7.4804166666666685,9.300527792281306,8.58448698484092,10.454763357381685,11.060371862714764
2007-08-31,MONSOON,8.22,2.15,21.758333333333336,3.382,8.5825,4.876666666666666,10.582812500000001,9.770000000000003,9.60506495999452,10.035634596968885,6.22044796706011,6.520000896550598,3.52125,3.4125,3.312926089288116,3.267037152212523,1.5785244187653231,2.2667493428450163,21.720421245421246,21.45458333333334,21.692607123088894,21.475529828446927,18.675002865652445,19.443548686090942,6.2569375,5.617875,5.36622583212673,5.537848988176621,2.7877858213930518,3.0794075636621603,12.133854166666667,11.867916666666668,10.956392967790311,11.36658534302882,7.496156151568853,7.045548178515033,8.940833333333334,8.345833333333335,7.530983342035451,7.859043206292467,4.760463862161069,4.44762985056674
2007-11-30,POMKH,9.5675,3.37,20.921428571428574,5.912000000000001,10.7125,9.513333333333334,10.847187499999999,10.413750000000004,9.590038975996713,10.051604215387755,9.029203481109995,8.768356749109493,3.34375,3.6174999999999997,3.3357556535728694,3.291277858033433,3.293511308942643,3.5312019861476722,21.589652014652017,21.621190476190485,21.384135702424764,21.33972413984704,21.72541334461881,21.375471330365823,6.4181875,6.037875,5.584535499276038,5.723084074924412,4.645719278976567,5.108223463892173,12.225208333333335,12.346666666666668,10.858835780674188,11.612621565272807,9.425159739099065,9.006830581731231,9.007083333333332,9.010833333333336,8.323923338554604,8.317242627762496,7.880452532241826,7.615022087127587
2008-02-29,POMRB,12.495,2.43,21.61384615384615,7.7325,13.3925,9.82,10.923437499999999,10.751875000000004,10.752023385598028,11.26921392672373,11.31275929570533,10.86676643088618,3.20125,3.425,2.9734533921437216,2.8933618001396186,3.4225549492360123,4.299018206747001,20.844283424908426,21.81965201465202,21.47601988299332,21.431795145715242,22.23566752192178,22.888576250851827,6.74825,6.476,6.443721299565622,6.658283224029263,6.5646802201256,7.068960508395557,12.9928125,11.921041666666667,11.872301468404512,12.583449324553833,12.699406079393626,12.104544179096239,8.978750000000002,8.870833333333335,8.922354003132762,8.817663340476955,9.504154004572735,9.771449885598184
2008-05-31,PREMON,13.4875,5.1,21.145,8.415,17.43,12.363333333333333,11.018437500000001,10.942500000000006,11.846214031358816,12.707630913314576,13.74346785959833,13.340092171678245,3.19375,3.2624999999999993,3.8240720352862327,3.843576918287785,6.219374587776601,5.587498303231554,19.85296703296703,21.35965201465202,21.34361192979599,21.369535923589556,24.228650795282594,24.263345038265484,7.363625,6.360375000000001,7.232232779739373,7.7528893240299235,10.131742622954642,9.903959715822426,14.2203125,12.529375000000002,14.095380881042708,14.687181901147293,15.635866629548396,13.218155944843923,8.644166666666667,9.143333333333336,10.298745735212991,9.927859294239443,11.392658903628961,10.938155289619765
2008-08-31,MONSOON,8.0675,1.66,17.635384615384613,6.484999999999999,12.29,3.56,11.00875,10.904375000000007,10.334728418815288,11.500781744403788,7.496074476538503,7.108880963516847,3.8162499999999997,3.1399999999999992,2.9584432211717395,3.038777011827775,1.3000626635302266,2.1247765055062446,19.311346153846152,20.328914835164838,19.86032100403144,20.35828528762003,18.448631852738437,19.38981147809122,7.550812499999999,7.136125000000001,6.933339667843624,7.7739125201261094,3.231212130288675,2.9316240072668314,15.902812499999998,13.45625,13.373228528625624,14.93392578315056,7.7415935625123105,7.383955319969676,8.424583333333333,8.81416666666667,7.603247441127795,8.708135986580107,5.60765531830951,5.208732667068217
2008-11-30,POMKH,10.48,3.8,17.11384615384615,7.7319999999999975,16.825,8.153333333333332,10.9103125,11.132500000000006,10.392837051289174,11.334199144090821,9.822703176194278,8.740088037413747,4.42875,3.2474999999999987,3.295065932703044,3.337232257092906,2.974812730906365,3.367917971291405,19.211208791208794,19.377019230769232,18.761731063957324,19.481048867929207,20.07925040274054,19.739008223454235,7.720874999999999,7.591125,7.2528038007061735,8.201069122791704,5.792785427668827,6.3879378310658055,16.31583333333333,14.984375000000002,14.753937117175374,16.404072554516457,9.670597171494567,10.88398858501934,8.155416666666667,8.474166666666669,7.82328179801001,8.665359019660162,8.512710153098087,7.606057509562872
2009-02-28,POMRB,11.505,6.98,21.08846153846154,7.41,20.74,9.423333333333334,11.143854166666667,10.885000000000007,10.837702230773505,11.564180318713673,12.146432770677333,11.527483124592926,4.8774999999999995,4.384999999999999,4.7690395596218265,5.236541756661691,3.246266799368123,3.7393134870403943,19.611071428571428,19.24567307692308,19.69242325375901,19.938683526011754,19.801950434069266,20.402790379389266,8.223749999999999,7.5105,7.3156822804237045,8.321639727076096,7.88978357414577,7.833567258283196,15.717916666666664,16.821250000000003,17.148362270305224,18.88088187015212,12.944843548143313,15.081455408653646,8.465833333333332,8.375000000000002,8.463302412139338,8.92886733391499,9.456587500262064,9.231209182466618
