Date,Season,Sangat,Maur,Nathana,Rampura,Phul (west),Talwandi Sabo,Bathinda,Sangat_Trend,Sangat_SMA,Sangat_EWMA,Sangat_DES,Sangat_TES,Sangat_ARIMA,Maur_Trend,Maur_SMA,Maur_EWMA,Maur_DES,Maur_TES,Maur_ARIMA,Nathana_Trend,Nathana_SMA,Nathana_EWMA,Nathana_DES,Nathana_TES,Nathana_ARIMA,Rampura_Trend,Rampura_SMA,Rampura_EWMA,Rampura_DES,Rampura_TES,Rampura_ARIMA,Phul (west)_Trend,Phul (west)_SMA,Phul (west)_EWMA,Phul (west)_DES,Phul (west)_TES,Phul (west)_ARIMA,Talwandi Sabo_Trend,Talwandi Sabo_SMA,Talwandi Sabo_EWMA,Talwandi Sabo_DES,Talwandi Sabo_TES,Talwandi Sabo_ARIMA,Bathinda_Trend,Bathinda_SMA,Bathinda_EWMA,Bathinda_DES,Bathinda_TES,Bathinda_ARIMA
1996-02-29,POMRB,9.9625,5.24,7.76,10.306666666666667,6.663333333333334,9.006666666666668,6.783749999999999,,,9.9625,9.47213394741141,9.9725,0.0,,,5.24,5.291397619308524,5.18354698463406,0.0,,,7.76,7.6121489159143065,7.244059260895228,0.0,,,10.306666666666667,9.57888646983522,9.530575989872013,0.0,,,6.663333333333334,6.781613435789025,6.339583593533403,0.0,,,9.006666666666668,9.043825595571105,9.016666666666667,0.0,,,6.783749999999999,6.468076783822605,6.324999890705392,0.0
1996-05-31,PREMON,9.678,5.425,8.025,11.24,6.916666666666668,8.34,5.8725,,,9.848700000000001,9.264699401005888,9.695451523545707,0.0,,,5.314,5.376703792895105,5.526841019664072,5.239995249432971,,,7.866,7.79265642288077,7.50458473761163,7.7599905121651505,,,10.68,9.938537033430892,9.667434958864071,10.306607711895415,,,6.764666666666668,6.914268901843148,7.204331446474681,6.663328086095531,,,8.740000000000002,8.835102599468707,8.357451523545706,9.006662678279476,,,6.419249999999998,6.416536323471037,6.587881691290667,6.7837478464362375
1996-08-31,MONSOON,14.626,5.205,7.91,10.146666666666668,6.6066666666666665,13.165,7.6814285714285715,10.6983125,,11.759620000000002,10.379025774503768,14.648560830564527,0.0,5.331250000000001,,5.2704,5.379510737130527,5.290612738722961,5.35791200277937,7.836250000000001,,7.8835999999999995,7.920316546796258,8.756379994655362,7.902872674597044,10.498750000000001,,10.466666666666667,10.06074867688124,9.401818476245758,10.767558946723495,6.788333333333334,,6.701466666666668,6.916634786559263,7.011900964898933,6.808468173357347,9.443645833333333,,10.510000000000002,10.078951061278719,13.187560830564527,8.653750588972272,6.8302008928571425,,6.924121428571428,6.692688331688631,6.907178429345972,6.2060260974195085
1996-11-30,POMKH,9.194,5.35,7.805,10.3,6.753333333333334,7.892499999999999,6.9,10.458,10.865125,10.733372000000001,10.064354342280962,9.219594567992042,0.0,5.415,5.305,5.30224,5.421133588761057,5.368937990137523,5.248520787729753,7.824999999999999,7.875,7.85216,8.006172552281004,8.543745720741043,7.905825864584959,10.019416666666668,10.498333333333335,10.4,10.189193055962798,10.375778810451457,10.574186452508151,6.982083333333334,6.735,6.722213333333334,6.962094759044362,6.868099406296482,6.712079783446672,9.1703125,9.601041666666667,9.463000000000001,9.441782618637692,7.918094567992042,10.4378332129069,6.985982142857143,6.809419642857142,6.914472857142856,6.784605822910999,6.755490845420926,7.082755665604749
1997-02-28,POMRB,8.628,5.45,7.45,10.31,7.09,7.7475,6.95,9.6575,10.531500000000001,9.8912232,9.63778635444508,9.984092080676163,9.9625,5.50375,5.3575,5.361344000000001,5.479065949818151,5.551516263018424,5.279966155567633,7.935625,7.797500000000001,7.691296,8.010699432278571,7.472316766859154,7.825111710145359,9.028333333333334,10.49916666666667,10.364,10.29915705002348,10.54080357160036,10.501336255361805,7.189583333333333,6.841666666666667,6.869328,7.095074967326764,7.187804847923488,6.693455939582226,8.4275,9.28625,8.776800000000001,8.947022852829294,9.028258747342832,9.566739791752726,6.911339285714286,6.850982142857143,6.928683714285714,6.869890850671777,6.7723628314050845,6.844259257923669
1997-05-31,PREMON,9.09,5.885,8.245000000000001,7.402000000000001,8.040000000000001,7.4125,6.9525,8.8665,10.384500000000003,9.57073392,9.377648932222401,9.356722353115146,9.678,5.539375,5.472499999999999,5.5708064,5.64039656409267,5.771053658813058,5.4649202280337805,7.9875,7.852500000000001,7.9127776,8.16320236243961,7.554143712861112,7.799372384111877,8.5015,9.539666666666669,9.179200000000002,9.910316911319955,10.495192917794078,10.450851930647897,7.28625,7.1225,7.3375968,7.473679071735862,7.745459009581758,7.041678005014416,7.7696875,9.054375,8.23108,8.498669041992141,8.037920875737491,8.987567229221103,6.592410714285714,7.120982142857144,6.938210228571428,6.941281017558741,6.962256727043867,6.914592089742558
1997-08-31,MONSOON,8.809999999999997,5.455,8.575,6.055999999999999,7.1433333333333335,8.15,6.004285714285714,8.818166666666666,8.930500000000002,9.266440352,9.092888969637615,14.18060487703585,14.626000000000001,5.547499999999999,5.535,5.52448384,5.641903033180722,5.611840394798339,5.488054298864493,7.9625,8.01875,8.177666559999999,8.350987448308164,8.840333782023805,7.90619081795231,7.963750000000001,8.517000000000001,7.92992,9.359538061193557,9.384046632824273,9.848713057043003,7.316770833333333,7.256666666666667,7.259891413333333,7.476876046634211,7.699022363100731,7.337462924567346,7.804062500000001,7.800625,8.198648,8.39276363876967,12.65072879924844,8.503888507793771,6.32453125,6.701696428571428,6.564640422857142,6.8334406816070805,7.464761279405718,6.92088453714774
1997-11-30,POMKH,8.681999999999999,5.385,7.555,10.176,6.9899999999999975,7.645,6.025714285714287,8.832583333333332,8.802500000000002,9.0326642112,8.827908974757067,7.313045872900609,9.194000000000003,5.548750000000001,5.543749999999999,5.468690304,5.623916587222291,5.697891873571955,5.4841942041911755,7.9139583333333325,7.956250000000001,7.9285999359999995,8.315316968126336,8.794044830620074,8.090708867400583,7.8793750000000005,8.486,8.828351999999999,9.577377697058525,9.61991596762316,9.034065087008294,7.293333333333333,7.315833333333333,7.151934847999999,7.433405185960845,7.592688909661817,7.330733008461817,8.014895833333334,7.73875,7.9771887999999995,8.171768660560115,6.1517965433896995,8.397145719694144,6.157232142857143,6.483124999999999,6.349069968,6.747506709321962,6.732851579736294,6.487865184481788
1998-02-28,POMRB,8.753333333333332,5.48,7.5,6.1320000000000014,7.0975,8.27,5.68125,8.852270833333332,8.833833333333335,8.920931860053333,8.634345711630948,7.421586960314154,8.628,5.5668750000000005,5.55125,5.4732141824,5.636586540400607,5.747729441868248,5.483206995519388,7.720208333333334,7.968750000000001,7.757159961599999,8.275545667869173,7.559591141893299,7.784787083304437,8.884416666666667,7.441500000000001,7.7498112,9.09137974645645,9.89944706821629,9.028897856181718,7.340729166666666,7.317708333333333,7.1301609088,7.43439466779984,7.766459624493386,7.369362338423863,8.143333333333333,7.869374999999999,8.09431328,8.195016709998425,6.703313011775483,8.172286486936464,6.182276785714286,6.165937499999999,6.0819419808,6.6152666751301,6.528602869728312,6.3750257820505185
1998-05-31,PREMON,9.080000000000002,5.865,7.8066666666666675,10.905,7.844999999999999,8.576666666666668,6.882857142857143,8.899208333333334,8.831333333333333,8.984559116032,8.571564420040518,7.803275246705825,9.09,5.631875,5.546250000000001,5.629928509439999,5.75094439689747,6.012849217817384,5.761909981254292,7.610625000000001,7.859166666666668,7.776962643626667,8.30006094330487,7.615000866366351,7.985434200196861,9.512916666666667,8.317250000000001,9.01188672,9.47198133093106,9.212925012017603,8.385095374473062,7.509375,7.268958333333332,7.416096545279999,7.658169376067491,8.260979779002454,7.683498190014552,8.223958333333334,8.160416666666665,8.287254634666667,8.30002848185804,6.565772713094561,8.201370103778263,6.246354166666666,6.148526785714285,6.402308045622856,6.7171747888855275,6.452369299895267,6.104319676968284
