Date,Season,Dongargaon,Rajnandgaon,Mohla,Dongargarh,Khairagarh,Manpur,Chhuikhadan,Chhuriya,Amba Chauki,Dongargaon_Trend,Dongargaon_SMA,Dongargaon_EWMA,Dongargaon_DES,Dongargaon_TES,Dongargaon_ARIMA,Rajnandgaon_Trend,Rajnandgaon_SMA,Rajnandgaon_EWMA,Rajnandgaon_DES,Rajnandgaon_TES,Rajnandgaon_ARIMA,Mohla_Trend,Mohla_SMA,Mohla_EWMA,Mohla_DES,Mohla_TES,Mohla_ARIMA,Dongargarh_Trend,Dongargarh_SMA,Dongargarh_EWMA,Dongargarh_DES,Dongargarh_TES,Dongargarh_ARIMA,Khairagarh_Trend,Khairagarh_SMA,Khairagarh_EWMA,Khairagarh_DES,Khairagarh_TES,Khairagarh_ARIMA,Manpur_Trend,Manpur_SMA,Manpur_EWMA,Manpur_DES,Manpur_TES,Manpur_ARIMA,Chhuikhadan_Trend,Chhuikhadan_SMA,Chhuikhadan_EWMA,Chhuikhadan_DES,Chhuikhadan_TES,Chhuikhadan_ARIMA,Chhuriya_Trend,Chhuriya_SMA,Chhuriya_EWMA,Chhuriya_DES,Chhuriya_TES,Chhuriya_ARIMA,Amba Chauki_Trend,Amba Chauki_SMA,Amba Chauki_EWMA,Amba Chauki_DES,Amba Chauki_TES,Amba Chauki_ARIMA
1996-02-29,POMRB,5.315,4.66,7.42,5.069999999999999,3.9525,6.21,5.14,5.896666666666667,7.333333333333332,,,5.315,9.034883630999202,5.096576513974645,0.0,,,4.66,1.093401855766103,4.6699942491897195,0.0,,,7.42,10.533470992324503,7.074590995062952,0.0,,,5.069999999999999,3.9100114405210102,4.260879071998653,0.0,,,3.9525,5.867638047638715,3.90230020122974,0.0,,,6.21,5.826404618791425,6.009670787761428,0.0,,,5.14,8.120349757738278,5.1499999999999995,0.0,,,5.896666666666667,10.563763906217991,6.517142678312835,0.0,,,7.333333333333332,11.425284542372996,7.343333236205889,0.0
1996-05-31,PREMON,7.48,10.576666666666666,11.35,7.1433333333333335,5.044,7.91125,6.91,8.573333333333334,9.635,,,6.181000000000001,11.173815925081138,7.957729257573561,5.314985366678235,,,7.026666666666667,2.48463280922145,10.596061875158622,-1.128692099816632e-08,,,8.992,14.314988454401922,9.650017520027713,3.6942826511474913,,,5.899333333333333,3.9524791868999403,7.758728321409313,4.3122474453818925e-06,,,4.3891,6.9036532356684095,5.293258230488762,1.0744562707836448e-06,,,6.8905,6.118952815231982,7.87878824952276,6.209990788267484,,,5.848,9.756998254206154,6.928836565096954,5.1399868872042465,,,6.967333333333334,13.337032665249254,9.580266785417873,-2.34547554866946e-07,,,8.254,13.710910629930341,9.654445824222492,6.538827993056069e-07
1996-08-31,MONSOON,2.705,1.1966666666666663,3.045,2.956666666666667,2.7880000000000003,3.914285714285714,4.555,4.266666666666667,2.79125,4.9225,,4.7906,9.540620876536977,2.8570327742787676,6.7259775865029505,4.6987499999999995,,4.6946666666666665,1.8979826536595463,1.2250231864055472,4.497420219680175e-08,6.286875,,6.6132,11.237334585083428,5.334501710551564,5.911692009553459,4.202916666666667,,4.722266666666666,3.9666746697806894,1.6247582254981596,7.088313645324023e-06,3.7070625000000006,,3.74866,6.489095789295402,2.439723051888455,1.5517023441394893e-06,5.678705357142857,,5.7000142857142855,5.622464009342177,4.732985355368868,7.206937291556592,5.0304166666666665,,5.3308,9.246731981467175,4.581534250044123,6.226453417449536,6.105416666666667,,5.887066666666668,12.308908818443687,3.3442305841136672,-2.034645357489898e-07,5.769895833333333,,6.0689,11.927716283892273,2.819590723258787,-1.1313865567542763e-07
1996-11-30,POMKH,3.94,2.4266666666666667,3.99,2.42,2.87,4.86142857142857,3.7433333333333336,5.056666666666668,3.3200000000000003,5.07625,4.86,4.45036,8.151916473383823,3.6843275247027023,4.15285600098832,4.520833333333333,4.715,3.7874666666666665,1.7079311590357127,2.4633624166372194,1.3023521416793125e-07,5.71125,6.45125,5.5639199999999995,8.655456013563096,5.1791838817913085,3.7130175219814827,4.129583333333334,4.3975,3.8013599999999994,3.9772333991862276,2.9380744474496985,2.484679834516723e-06,3.8546875000000003,3.6636249999999997,3.397196,5.846328068113341,2.77915437197793,5.874918323253735e-07,5.540825892857143,5.724241071428571,5.364579999999999,5.360596626359256,4.791419590585752,5.55319142534381,4.902083333333334,5.087083333333333,4.695813333333334,7.82618245422611,3.77646097738787,5.1229506795847515,6.606666666666667,5.948333333333334,5.5549066666666675,10.918597183894015,4.418697513378615,-1.9154919241845108e-07,5.769895833333333,5.769895833333333,4.969340000000001,9.933438760760382,3.3566889598158465,-1.528078157542438e-06
1997-02-28,POMRB,5.815,4.53,6.105,3.513333333333333,4.3,5.845714285714287,4.6866666666666665,7.153333333333332,7.333333333333332,5.150625000000001,4.985,4.996216,7.639523999701543,5.0475795001177595,5.107446680208982,4.459999999999999,4.6825,4.08448,2.027400641441069,4.701336661233527,4.4202928774967845,5.4818750000000005,6.1225000000000005,5.780352,7.620860946570401,6.58526459409845,7.101932033280978,4.11875,4.008333333333333,3.686149333333333,3.995143961288012,4.583882927467973,5.069995475690186,4.079750000000001,3.7504999999999997,3.7583176,5.704676958293923,4.040562288951803,3.952498719948696,5.4513839285714285,5.633169642857142,5.557033714285714,5.327473698578187,5.844939480967978,5.839318113225193,4.701458333333333,4.97375,4.692154666666667,6.836626286618953,5.1749757207557705,4.9735735652335435,6.8725000000000005,6.2625,6.194277333333334,10.29344148878033,6.546699782768053,5.657068993329974,5.769895833333332,5.769895833333333,5.9149373333333335,9.572110224029307,7.370461281103187,7.33333107762895
1997-05-31,PREMON,8.21,9.283333333333333,8.06,8.113333333333333,5.8775,7.172499999999999,6.336666666666666,11.326666666666668,9.635,5.07125,5.1675,6.2817296,8.308357018367579,8.081533026380288,7.378220354838231,4.63375,4.359166666666667,6.164021333333333,3.4636476784560006,10.615235310799743,10.032610373221488,5.737500000000001,5.300000000000001,6.6922112,7.884248438944057,8.87880627206774,10.418836556204301,3.9541666666666666,4.250833333333333,5.457022933333333,4.044024432991642,7.683301268665865,6.5411464407430655,4.1890625,3.958875,4.60599056,6.15040082457341,5.405046836975936,5.141512009959259,5.336763392857143,5.448482142857142,6.203220228571428,5.575265655649047,7.60615213753225,7.322568931479196,4.54,4.830416666666666,5.349959466666666,6.751422345589268,6.893927972095328,6.400647938381599,6.769166666666667,6.950833333333333,8.247233066666668,11.684568689466957,9.711163405018485,8.224975393421403,5.769895833333332,5.769895833333333,7.4029624,10.082527949369608,9.672849085361012,9.634997528110503
1997-08-31,MONSOON,2.5700000000000003,2.0033333333333334,4.5,1.9,3.755,3.9375,3.523333333333333,3.64,2.79125,4.73625,5.133750000000001,4.79703776,5.941528561706274,3.1716411938818263,3.4789883640395605,4.6225000000000005,4.560833333333334,4.499746133333334,3.204182663758164,1.1679431238971363,1.1351109772079406,5.767500000000001,5.66375,5.81532672,6.1372552257009305,3.7033763452451343,1.8396382121327244,3.799583333333333,3.9866666666666655,4.034213759999999,4.050967200978781,1.770928758710046,3.465494816823246,3.97375,4.200625,4.265594336,5.536571903511833,2.7312854482355866,3.017996475877386,5.110245535714286,5.454285714285714,5.296932137142857,5.186202056735323,4.1514877591799575,4.196425423920109,4.288749999999999,4.5725,4.619309013333333,5.278544906192872,4.474867038635173,4.6022102258145985,6.362083333333333,6.7941666666666665,6.404339840000001,8.65422975343687,3.6916983015635836,4.093300340433149,5.769895833333333,5.769895833333333,5.55827744,7.588153899279916,2.8300834296409896,2.7912492664191215
1997-11-30,POMKH,3.44,3.01,4.58,2.16,2.7775,3.92125,3.483333333333333,4.8566666666666665,3.3200000000000003,4.47375,5.008750000000001,4.2542226560000005,4.5399510681285795,3.8574184409123973,3.808382914779799,4.159583333333334,4.706666666666668,3.90384768,3.176400235178722,2.4471572062241407,2.3018406465067436,5.803750000000001,5.811249999999999,5.321196032,4.997907971896934,4.601661270524447,4.749334015347132,3.143333333333333,3.9216666666666655,3.2845282559999998,4.0596518488051,2.8292814046851347,2.255469595231234,3.6196875,4.177499999999999,3.6703566016,4.550660047253005,3.103181745025421,3.1056796796957244,4.93515625,5.219241071428572,4.746659282285714,4.836471405213511,4.583943846870717,4.95353342837173,4.032916666666666,4.5075,4.164918741333333,4.179475717567878,3.5475006149022583,3.6811436091613725,5.692083333333334,6.744166666666666,5.785270570666667,6.770933410699333,4.68571739698152,4.851200494872052,5.769895833333333,5.769895833333333,4.662966464,5.7450234169454895,3.360061188609487,3.3199992152319293
1998-02-28,POMRB,3.635,3.856666666666667,5.755,2.536666666666666,2.67,4.97375,2.936666666666666,4.096666666666667,7.333333333333332,4.825625,4.46375,4.0065335936,3.7014230096421867,5.008810179848056,5.3012542465978365,3.875416666666667,4.538333333333334,3.884975274666667,3.339021780832953,4.67387708704176,4.406799507582336,5.949375,5.723749999999999,5.494717619199999,4.9376315743110375,6.406334033810895,6.752141830481797,2.65125,3.677499999999999,2.985383620266666,4.07086197939637,4.443038775431509,4.074307928729134,3.38225,3.7699999999999987,3.27021396096,3.7004871847990297,4.346205278303942,4.13455634069271,4.805,5.00125,4.837495569371429,4.734942953391013,5.308990540794813,5.513833349626983,3.8666666666666663,4.07,3.673617911466666,3.2328439455191864,4.752210042077088,4.6946281664071625,5.38875,5.9799999999999995,5.109829009066667,5.110082097756391,6.775151334719889,6.39081410122522,5.769895833333332,5.769895833333333,5.731113211733334,5.90935457957923,7.372906290859128,7.333333226856724
1998-05-31,PREMON,8.29,6.253333333333334,8.7,3.84,4.675,6.6437500000000025,6.039999999999999,9.023333333333332,9.635,5.115,4.48375,5.719920156160001,5.5428207273888725,7.368795854044015,6.7483600384198414,3.8583333333333334,3.780833333333334,4.832318498133334,4.050588131322561,10.185210065915138,9.341519899991404,5.951874999999999,5.883749999999999,6.77683057152,6.722649308093433,8.641472629658889,9.123859001728691,2.58625,2.609166666666666,3.3272301721599997,4.090838027289731,7.365289086549998,6.971803946789208,3.3271041666666665,3.4693749999999985,3.832128376576,3.8470599931305487,5.530409367566628,5.082011011704464,4.689739583333335,4.8690625,5.559997341622858,4.986374823781512,6.869725074469213,6.79691787674458,3.7516666666666665,3.9958333333333336,4.6201707468799995,4.143542013002914,6.268504187296949,5.704262838656947,5.287916666666666,5.404166666666665,6.675230738773333,6.388246977560104,9.66831702423307,9.746336456263613,5.769895833333332,5.769895833333333,7.29266792704,7.124773719387014,9.67420100467201,9.634999951907913
