Date,Season,Jaithari,Pushparajgarh,Anuppur,Jaithari_Trend,Jaithari_SMA,Jaithari_EWMA,Jaithari_DES,Jaithari_TES,Jaithari_ARIMA,Pushparajgarh_Trend,Pushparajgarh_SMA,Pushparajgarh_EWMA,Pushparajgarh_DES,Pushparajgarh_TES,Pushparajgarh_ARIMA,Anuppur_Trend,Anuppur_SMA,Anuppur_EWMA,Anuppur_DES,Anuppur_TES,Anuppur_ARIMA
1996-02-29,POMRB,6.29,2.523333333333333,5.87,,,6.29,10.747562346957988,6.3,0.0,,,2.523333333333333,8.111585128359899,2.898789716566043,0.0,,,5.87,9.488048164328223,5.794489652260426,0.0
1996-05-31,PREMON,9.056666666666667,5.900000000000001,8.65,,,7.3966666666666665,13.286009097546442,9.076112650046168,2.1911552813188786,,,3.8740000000000006,12.63694983859102,5.685690890837879,2.5233267490368454,,,6.982,12.151151159250185,8.500534390577794,5.869981490178076
1996-08-31,MONSOON,3.251666666666667,0.6833333333333332,2.625,5.7960416666666665,,5.738666666666667,10.389586669316879,3.2800076094157253,3.432419045405485,3.1000000000000005,,2.5977333333333337,8.517611772524981,0.7216633287785488,4.593099457944401,5.216875,,5.239199999999999,9.714906036476501,3.2731837323185298,7.708671177252259
1996-11-30,POMKH,4.476666666666667,3.266666666666667,3.765,5.706666666666667,5.768750000000001,5.233866666666667,8.14430951667666,4.513355906262372,2.7055785005503594,3.1566666666666667,3.0933333333333337,2.865306666666667,6.404546972282243,2.630055328816088,2.138814360583754,5.223125,5.2275,4.64952,7.7092800202814535,3.8179419383139916,4.3362718092019445
1997-02-28,POMRB,6.508333333333333,2.5766666666666667,5.785,5.709583333333334,5.823333333333334,5.7436533333333335,7.412385201609485,6.332391256997249,6.110312766737907,3.2879166666666664,3.106666666666667,2.749850666666667,4.077251266674743,3.0367941044530675,2.5989583658321047,5.336875,5.20625,5.103712,6.998376462521287,5.605602286476751,5.592982095975839
1997-05-31,PREMON,8.123333333333333,6.3,8.785,5.794999999999999,5.590000000000002,6.695525333333333,7.797531255638701,9.116555072207282,8.844905907041792,3.37875,3.206666666666666,4.1699104,5.6094054216817435,5.990342353166528,5.620402342943786,5.4487499999999995,5.24,6.5762272,8.085838567264165,8.365223835927342,8.318579238289564
1997-08-31,MONSOON,4.208333333333333,1.3333333333333333,3.4,5.48,5.8291666666666675,5.700648533333333,5.837534529140505,3.2648819814068584,2.940906000108318,3.459166666666667,3.369166666666666,3.0352795733333333,2.8325123208915595,0.9658020276385972,1.1583145496007905,5.266249999999999,5.43375,5.30573632,5.923904404743964,3.1418998107988627,3.140599160274661
1997-11-30,POMKH,4.203333333333333,3.3433333333333337,3.885,5.138958333333333,5.760833333333334,5.101722453333333,4.5445235595138875,4.5478675787750635,4.643962716429275,3.5475000000000003,3.388333333333333,3.1585010773333333,2.746037659458568,3.157449837070958,3.4136185719113143,4.94,5.463749999999999,4.737441792,4.603034234071205,4.147220741124287,4.210742264774485
1998-02-28,POMRB,4.261666666666667,3.143333333333333,4.205,5.088125,5.199166666666668,4.765700138666666,3.8624579334593094,6.394860165919051,6.242260723334844,3.6320833333333336,3.53,3.1524339797333334,2.7214313151399185,3.1423428824675548,2.6754451259854877,4.908125000000001,5.068749999999999,4.5244650752,3.9471542111860196,5.879091578336592,5.772529805738347
1998-05-31,PREMON,7.6416666666666675,6.44,7.755000000000001,5.274375,5.078750000000001,5.9160867498666665,5.585603156248783,8.804349399345746,7.7604202944870995,3.6995833333333334,3.5649999999999995,4.467460387840001,5.9393763490867775,6.418623629957277,6.215671603760699,5.128125,4.8112499999999985,5.816679045120001,5.594187477621192,7.896115367431959,7.689987478746037
