Date,Season,Kurud,Dhamtari,Magarlod,Sihawa (nagri),Kurud_Trend,Kurud_SMA,Kurud_EWMA,Kurud_DES,Kurud_TES,Kurud_ARIMA,Dhamtari_Trend,Dhamtari_SMA,Dhamtari_EWMA,Dhamtari_DES,Dhamtari_TES,Dhamtari_ARIMA,Magarlod_Trend,Magarlod_SMA,Magarlod_EWMA,Magarlod_DES,Magarlod_TES,Magarlod_ARIMA,Sihawa (nagri)_Trend,Sihawa (nagri)_SMA,Sihawa (nagri)_EWMA,Sihawa (nagri)_DES,Sihawa (nagri)_TES,Sihawa (nagri)_ARIMA
1997-08-31,MONSOON,1.3,2.21,1.01,1.93625,2.375,2.151250000000001,2.4321088,2.5327337025191836,0.9834727143338728,-0.5543421001728037,2.32125,2.1925,2.28359552,2.374000384474272,0.32174245014769554,1.6711666953407323,3.81,3.985,3.39162752,4.861751355757589,0.8067724373042768,1.156885977926411,4.6104513888888885,4.751701388888888,4.27931536,5.150620696631518,2.949083332741499,2.536454925074182
1997-11-30,POMKH,1.7049999999999998,1.95,3.45,3.6322222222222216,2.4212499999999997,2.372500000000001,2.14126528,1.5059953104094967,2.0204122163219282,1.0526992676581295,2.4050000000000002,2.3674999999999997,2.150157312,2.3580709448031234,1.733401847377761,2.112209728969408,3.34875,4.0225,3.414976512,3.9773120571572482,3.337987216782543,3.3285151385985627,4.229548611111111,4.790590277777777,4.0204781048888885,4.046328187978213,3.6770030700238423,3.1158959390269207
1998-02-28,POMRB,1.64,2.49,3.37,4.2377777777777785,2.4987500000000002,2.3775000000000013,1.940759168,1.3175816353119434,3.0880636582525005,1.7322687590433232,2.588125,2.275,2.2860943872000004,2.4248397483270927,3.7103392455947075,2.7133057893200547,3.0675,3.5975,3.3969859072000004,3.367324190312284,4.760433519878129,4.4942128930078145,4.255364583333333,4.430312499999999,4.107397974044445,3.732635732520536,4.843392174293326,4.877208726221764
1998-05-31,PREMON,5.215,3.49,4.57,6.308888888888887,2.519375,2.465000000000001,3.2504555008,8.963925702389176,5.960854464651557,7.139767951906985,2.636875,2.535,2.7676566323200005,2.6322994517798257,3.862392762333725,2.2235242918018345,3.00375,3.1000000000000005,3.8661915443200003,3.584040630548061,6.111645820982621,5.897099305085899,4.441527777777777,4.0287847222222215,4.987994339982222,4.8902473145341565,6.808947118200285,6.820260100209573
1998-08-31,MONSOON,1.5699999999999998,2.635,0.75,3.748888888888889,2.864375,2.532500000000001,2.57827330048,4.15368246965297,0.9848849498665373,0.42113378175371613,2.635,2.6412500000000003,2.714593979392,2.685244442620862,0.7573509280004211,2.500372126308135,3.1450000000000005,3.0350000000000006,2.6197149265920006,2.1326105452592006,0.7176736140305886,0.753373575398959,4.426388888888889,4.481944444444443,4.49235215954489,4.2911600506749,1.9708683586725555,1.6562375543532584
1998-11-30,POMKH,1.6,1.915,3.2,3.3088888888888888,3.5243749999999996,2.506250000000001,2.1869639802879997,1.7882650379798928,2.0216977159038936,1.3865102318943086,2.5149999999999997,2.6325000000000003,2.3947563876352,2.6238233925538843,2.1665164198822917,2.1675714236899526,3.37125,2.972500000000001,2.8518289559552006,2.264883372441503,3.2192366558841146,3.315968082319865,4.546666666666666,4.40111111111111,4.018966851282489,3.620228807721165,3.9817496303128177,4.124288365853397
1999-02-28,POMRB,4.505,2.51,4.75,4.44,3.759375,3.222500000000001,3.1141783881727996,5.443634243610092,3.0891219227227573,1.6611851728115148,2.230625,2.6375,2.44085383258112,2.6591988334478103,4.033406603772768,2.706676277116535,3.40625,3.317500000000001,3.6110973735731204,3.2765755205179414,4.40501659984975,3.9904895416897603,4.576111111111111,4.451666666666665,4.187380110769493,3.850848714243806,4.859409054052635,4.664520342344895
1999-05-31,PREMON,7.63,2.51,5.0,7.068888888888887,3.7387499999999996,3.826250000000001,4.9205070329036795,12.342027690352447,5.962053993572398,7.219739826594499,2.040625,2.3925,2.468512299548672,2.689997814551202,4.114213206871952,2.6726851456292766,3.2775,3.4250000000000007,4.166658424143872,4.317438051970566,5.896435463590399,5.609095554594903,4.566388888888889,4.641666666666666,5.339983622017251,5.8044078041185605,6.910562995132413,6.827983872591755
1999-08-31,MONSOON,1.035,1.34,0.6,3.224444444444445,3.618125,3.692500000000001,3.366304219742208,3.5263977156235913,0.9863518163925529,1.2286030057449775,2.009375,2.06875,2.017107379729203,2.542097846629938,0.7195875474794224,2.129388125012329,3.13875,3.3875000000000006,2.7399950544863234,2.8734973053443444,0.7980211662654302,0.8390136870095803,4.615190972222222,4.5105555555555545,4.493767950988129,4.846083842672933,2.375144836214422,2.4505883711286502
1999-11-30,POMKH,1.97,1.69,2.32,3.755555555555555,3.0768749999999994,3.7850000000000006,2.8077825318453247,1.590944638229809,2.0229625324424543,1.166651687621754,2.485,2.0125,1.8862644278375216,2.465596475253462,1.8331942256660532,1.6192369344041788,2.95125,3.1675000000000004,2.571997032691794,2.5342020854952128,3.27027729783362,3.224140953994519,4.508611111111111,4.622222222222222,4.1984829928151,4.326143687046138,3.959091098301993,3.747561431203539
