Date,Season,Dhariawad,Peepalkhoont,Pratapgarh,Arnod,Chhoti Sadri,Dhariawad_Trend,Dhariawad_SMA,Dhariawad_EWMA,Dhariawad_DES,Dhariawad_TES,Dhariawad_ARIMA,Peepalkhoont_Trend,Peepalkhoont_SMA,Peepalkhoont_EWMA,Peepalkhoont_DES,Peepalkhoont_TES,Peepalkhoont_ARIMA,Pratapgarh_Trend,Pratapgarh_SMA,Pratapgarh_EWMA,Pratapgarh_DES,Pratapgarh_TES,Pratapgarh_ARIMA,Arnod_Trend,Arnod_SMA,Arnod_EWMA,Arnod_DES,Arnod_TES,Arnod_ARIMA,Chhoti Sadri_Trend,Chhoti Sadri_SMA,Chhoti Sadri_EWMA,Chhoti Sadri_DES,Chhoti Sadri_TES,Chhoti Sadri_ARIMA
1996-02-29,POMRB,5.333333333333333,4.411666666666666,5.99688775510204,5.1030952380952375,7.309230769230767,,,5.333333333333333,5.289529073493692,5.184652672721078,0.0,,,4.411666666666666,4.794622344378125,4.421699392069905,0.0,,,5.99688775510204,12.672690728341228,6.006887755102039,0.0,,,5.1030952380952375,7.642491557345664,5.113085039685771,0.0,,,7.309230769230767,7.261343703711298,7.31018917355491,0.0
1996-05-31,PREMON,5.2,7.423461538461537,9.897507326007325,8.710000000000003,10.845,,,5.279999999999999,5.276645175084662,5.657713551983701,1.593175850178762,,,5.616384615384614,4.7907965920085385,7.442869727519527,5.841581725724177e-09,,,7.557135583464154,16.97475736326179,9.916953309386827,2.0597524682140866,,,6.545857142857144,11.161126785133279,8.729391999326868,-1.3240537789339556e-09,,,8.72353846153846,7.652590745462903,10.734115492144493,7.3090590652079985
1996-08-31,MONSOON,1.9666666666666668,3.2869444444444444,3.109171626984127,2.7511805555555555,3.452083333333333,3.814166666666667,,3.9546666666666663,5.254467672511797,2.629740061217961,1.7965131903471603,4.63795405982906,,4.684608547008547,4.78691896231923,3.3152889053173085,6.993669023945836e-08,5.885055367499563,,5.777950000872144,14.052765358425228,3.1375125697331865,3.0520969594077196,5.121961805555556,,5.027986507936508,10.764590329141056,2.7795247864825328,-5.370838033795398e-09,6.676757097069597,,6.61495641025641,7.080838411532104,3.5684388080327745,8.574110760435445
1996-11-30,POMKH,3.786666666666666,3.4297435897435897,4.536654761904762,3.9235714285714303,5.100714285714285,3.6287499999999997,4.071666666666666,3.8874666666666666,5.237651356829846,4.51187382728343,1.7480818220713619,4.63795405982906,4.63795405982906,4.182662564102564,4.7830464052789265,3.466445505430524,1.10680620639008e-07,5.885055367499563,5.8850553674995645,5.281431905285191,11.154697757510883,4.573344001500468,0.9760607981137999,5.121961805555556,5.121961805555557,4.586220476190477,10.334548605970765,3.9602727272004357,-7.107672854145734e-09,6.676757097069597,6.676757097069597,6.00925956043956,6.786996984513651,5.20972823342799,8.328927203044561
1997-02-28,POMRB,3.273333333333333,4.411666666666666,5.99688775510204,5.1030952380952375,7.309230769230767,3.8341666666666665,3.5566666666666666,3.6418133333333333,5.219426633613681,5.220442579559324,4.881916041595271,4.63795405982906,4.63795405982906,4.274264205128205,4.77919007579602,4.4561940158946065,3.810013646154594,5.885055367499564,5.8850553674995645,5.567614245211931,9.156739420360957,6.041383275257184,5.837295062702865,5.121961805555556,5.121961805555557,4.792970380952381,10.015944509950222,5.147583476207108,4.37539928668751,6.676757097069597,6.676757097069597,6.529248043956043,6.803905457283986,7.274808924069818,5.20318605211673
1997-05-31,PREMON,5.776666666666666,7.423461538461537,9.897507326007325,8.710000000000003,10.845,4.119999999999999,3.7008333333333336,4.495754666666667,5.208530857314484,5.464778860904478,4.218265698050878,4.637954059829059,4.63795405982906,5.533943138461538,4.775376954874565,7.4751905969066375,6.411066806242953,5.885055367499564,5.885055367499565,7.299571477530089,9.790213770053837,9.949275068963503,9.357841286650435,5.121961805555556,5.121961805555557,6.359782228571429,11.093101719126508,8.761716637423767,7.467963268048811,6.676757097069596,6.676757097069597,8.255548826373627,7.2547848788871185,10.709578330556818,7.2918727200812725
1997-08-31,MONSOON,3.033333333333333,3.2869444444444444,3.109171626984127,2.7511805555555555,3.452083333333333,4.3308333333333335,3.9675,3.910786133333333,5.189754678703847,2.433670171226568,2.1502455955007655,4.63795405982906,4.63795405982906,4.635143660854701,4.7715119462970605,3.34546093322818,2.838678475623544,5.885055367499563,5.885055367499565,5.6234115373117035,6.341315363595706,3.167685498325247,3.1327913149137494,5.121961805555556,5.121961805555557,4.91634155936508,8.908643795514987,2.8097005335330154,2.3588651349290792,6.676757097069597,6.676757097069597,6.334162629157509,6.734891152600277,3.551421621677619,5.6305055219645
1997-11-30,POMKH,5.006666666666667,3.4297435897435897,4.536654761904762,3.9235714285714303,5.100714285714285,4.362500000000001,4.2725,4.349138346666667,5.176774366690326,4.3676458061131616,3.9951291393104214,4.63795405982906,4.63795405982906,4.1529836324102565,4.76765200004069,3.4944982605254653,2.962003003942387,5.885055367499563,5.8850553674995645,5.188708827148927,4.8168791096183154,4.601397668622131,4.27856707384054,5.121961805555556,5.121961805555557,4.51923350704762,7.406005060551219,3.9883291471782014,3.36407431699269,6.676757097069597,6.676757097069597,5.84078329178022,6.486147962369716,5.197926353637969,6.6782876773294495
1998-02-28,POMRB,3.74,4.411666666666666,5.99688775510204,5.1030952380952375,7.309230769230767,4.403333333333333,4.389166666666666,4.105483008,5.160194232200864,4.935749387650769,4.307904852044405,4.63795405982906,4.63795405982906,4.256456846112821,4.763808271022294,4.482161376941116,4.088535345492897,5.885055367499564,5.8850553674995645,5.511980398330172,4.7849846198629855,6.067351564198211,5.890249111688926,5.121961805555556,5.121961805555557,4.7527781994666665,6.620029089527636,5.173554445675313,4.790817442453691,6.676757097069597,6.676757097069597,6.428162282760439,6.542275593805873,7.266624000682886,5.988987871779981
1998-05-31,PREMON,5.563333333333333,7.423461538461537,9.897507326007325,8.710000000000003,10.845,4.4054166666666665,4.3358333333333325,4.688623138133333,5.148969726929555,5.614207454759233,5.0912331476365615,4.637954059829059,4.63795405982906,5.523258723052308,4.760007740254369,7.49911044592813,6.8797321189892,5.885055367499564,5.885055367499565,7.266191169401033,7.430667880568331,9.973195855557623,9.630197444176243,5.121961805555556,5.121961805555557,6.335666919680001,7.546790119733313,8.785640026055368,8.177001991712748,6.676757097069596,6.676757097069597,8.194897369656264,7.0272615019594475,10.703901864430922,9.006529354838174
