Date,Season,Aheri,Etapalli,Dhanora,Gadchiroli,Chamorshi,Armori,Kurkheda,Sironcha,Mulchera,Bhamaragad,Desaiganj,Korchi,Aheri_Trend,Aheri_SMA,Aheri_EWMA,Aheri_DES,Aheri_TES,Aheri_ARIMA,Etapalli_Trend,Etapalli_SMA,Etapalli_EWMA,Etapalli_DES,Etapalli_TES,Etapalli_ARIMA,Dhanora_Trend,Dhanora_SMA,Dhanora_EWMA,Dhanora_DES,Dhanora_TES,Dhanora_ARIMA,Gadchiroli_Trend,Gadchiroli_SMA,Gadchiroli_EWMA,Gadchiroli_DES,Gadchiroli_TES,Gadchiroli_ARIMA,Chamorshi_Trend,Chamorshi_SMA,Chamorshi_EWMA,Chamorshi_DES,Chamorshi_TES,Chamorshi_ARIMA,Armori_Trend,Armori_SMA,Armori_EWMA,Armori_DES,Armori_TES,Armori_ARIMA,Kurkheda_Trend,Kurkheda_SMA,Kurkheda_EWMA,Kurkheda_DES,Kurkheda_TES,Kurkheda_ARIMA,Sironcha_Trend,Sironcha_SMA,Sironcha_EWMA,Sironcha_DES,Sironcha_TES,Sironcha_ARIMA,Mulchera_Trend,Mulchera_SMA,Mulchera_EWMA,Mulchera_DES,Mulchera_TES,Mulchera_ARIMA,Bhamaragad_Trend,Bhamaragad_SMA,Bhamaragad_EWMA,Bhamaragad_DES,Bhamaragad_TES,Bhamaragad_ARIMA,Desaiganj_Trend,Desaiganj_SMA,Desaiganj_EWMA,Desaiganj_DES,Desaiganj_TES,Desaiganj_ARIMA,Korchi_Trend,Korchi_SMA,Korchi_EWMA,Korchi_DES,Korchi_TES,Korchi_ARIMA
1996-02-29,POMRB,6.257999999999999,6.2333333333333325,4.5942857142857125,5.9300000000000015,4.3740000000000006,6.64,5.167999999999998,8.206666666666665,3.86,7.525,2.45,6.053333333333334,,,6.257999999999999,5.7835452248291785,6.646796229454404,0.0,,,6.2333333333333325,11.783950252099139,6.263072992155205,0.0,,,4.5942857142857125,2.495350714031655,4.650649275557896,0.0,,,5.9300000000000015,10.191197223180383,5.93779125506798,0.0,,,4.3740000000000006,3.7048643078789136,5.07352846482173,0.0,,,6.64,4.589649639470368,5.765016176987826,0.0,,,5.167999999999998,3.033568537860719,5.282039149770752,0.0,,,8.206666666666665,10.259725944676426,8.216666666666665,0.0,,,3.86,9.234905924358596,4.545524433140856,0.0,,,7.525,11.050102961455687,6.459734651414209,0.0,,,2.45,5.30382887372765,2.711666666666667,0.0,,,6.053333333333334,10.76270417828896,6.124375000000001,0.0
1996-05-31,PREMON,8.797,9.368571428571428,7.009999999999999,8.4025,7.646666666666667,8.11,7.045999999999999,9.37,7.123333333333334,9.54,4.0,8.76,,,7.2736,7.024936224706065,8.869745861826813,3.5536989363707128e-06,,,7.487428571428571,15.194966618571355,9.427708224075548,3.65342874876756e-06,,,5.560571428571427,2.1378534968418443,7.318662988431811,1.3222659098022551e-06,,,6.9190000000000005,12.658248682281254,8.937624269598285,2.11972399604475e-06,,,5.683066666666667,4.014877700109646,7.559718743075054,1.9630351741270164e-06,,,7.228,4.7353630536359494,8.059495378445519,2.307869218074397e-06,,,5.919199999999999,3.026393657078064,7.021188983794669,0.0,,,8.671999999999999,11.280189041660261,9.388836565096952,8.206633960848244,,,5.165333333333334,12.93491733670632,6.979321666594815,2.5970886791722384e-06,,,8.331,12.943295791385271,8.928628904053861,7.673128393332732e-07,,,3.0700000000000003,7.211902796413269,4.4754939981532775,2.449991508064039,,,7.136,13.547876873667603,8.89381809787627,0.0
1996-08-31,MONSOON,4.909,3.072,2.124,2.675,4.013333333333333,1.4,0.9500000000000002,6.05,3.69,1.7333333333333332,1.1666666666666667,3.1166666666666667,6.4658750000000005,,6.32776,6.558900267482223,4.404565929194478,4.995506058562973e-06,5.853238095238095,,5.721257142857143,13.343672523262295,2.998813333472382,5.4910259108816095e-06,4.228232142857142,,4.185942857142856,1.402744857362092,1.5700270439820687,2.2986188248155873e-06,5.578749999999999,,5.2214,10.648633514406306,2.2469731395789685,3.854328529282751e-06,5.245500000000001,,5.015173333333333,3.510840726431551,2.498549912895922,4.277345444676842e-06,4.5575,,4.896799999999999,3.556489688196326,2.3050459003557764,3.3507583262358216e-06,4.419249999999999,,3.93152,2.231992081924112,1.2882338836738851,0.0,7.3211458333333335,,7.623199999999999,10.78538506076745,6.07653425004412,8.839687192925256,4.8254166666666665,,4.575200000000001,11.284011154633127,2.0168448901982656,5.525634322277671e-06,5.593333333333333,,5.691933333333333,10.516931609597242,2.904480770142206,1.0627412615986586e-06,2.4475,,2.308666666666667,6.605009514168928,1.8103713650652349,3.363997796650973,6.027916666666667,,5.528266666666667,11.744664674757697,3.3051704013551153,0.0
1996-11-30,POMKH,5.5360000000000005,4.524285714285714,2.9842857142857144,4.842499999999999,3.9283333333333332,2.9,3.918,6.359999999999999,3.48,4.2625,1.593333333333333,5.633333333333333,6.6221250000000005,6.375,6.011056,6.325048148077891,5.432214045617785,1.0107984447211596e-06,5.951928571428571,5.799547619047619,5.242468571428571,11.428576920682469,4.573694134023961,3.6284168804297424e-07,4.327071428571428,4.1781428571428565,3.7052799999999992,1.1308521536371328,3.133408525992131,5.697980848791847e-07,5.7540625,5.4625,5.069839999999999,9.343724609668982,4.22025191620188,1.4113113008925852e-06,5.588333333333333,4.990583333333333,4.580437333333333,3.1713235582678845,4.015591277899078,3.080435386500116e-06,4.2387500000000005,4.762499999999999,4.0980799999999995,2.9670003888170577,3.422552608975166,6.377260853541482e-07,4.559749999999999,4.270499999999999,3.926112,2.0725340221007507,3.6383972089507233,0.0,7.0275,7.496666666666666,7.11792,10.179470488303199,6.393127644054534,7.722484872081529,5.2075000000000005,4.538333333333333,4.13712,8.45399475642087,3.5502540586684326,3.081354784552395e-06,5.241458333333333,5.765208333333333,5.12016,8.986879132406552,5.183503960363249,3.423714698645451e-08,2.996666666666666,2.3025,2.0225333333333335,5.656005579923792,2.362641108155672,2.177973334538751,6.3533333333333335,5.890833333333333,5.570293333333334,10.67707116584729,5.868677637970756,0.0
1997-02-28,POMRB,6.984999999999999,6.662857142857143,4.995,6.859999999999999,6.413333333333332,5.0,6.358,6.8025,6.156666666666666,6.15,3.61,7.15,6.812625000000001,6.55675,6.4006336,6.651446852014071,6.694222583141775,6.2579943190085405,6.0331785714285715,5.906928571428571,5.810624,10.331359614405669,6.259381264929303,6.233329954579645,4.345165178571428,4.278321428571429,4.221168,1.3228714488893578,4.683837049102295,4.594284278743031,5.734999999999999,5.695,5.785903999999999,8.921011559042212,6.106113933228837,5.929999277201797,5.77875,5.500416666666666,5.313595733333333,3.608125111186941,5.400024952265716,4.373999350134476,4.1875,4.352499999999999,4.458848,2.9923813030309208,5.92990863070305,6.639998283363252,4.566750000000001,4.568,4.8988672,2.3649470728587603,5.252108136490482,5.1679992598861455,6.9375,7.145625000000001,6.991752,9.604450936347172,8.24532559794875,8.215419201053736,5.274583333333333,5.1125,4.944938666666667,7.706684851158879,5.026586718256209,3.8599990219677465,5.082291666666666,5.421458333333334,5.532096000000001,8.244594757939973,6.361174516406048,7.52499858354146,3.309583333333333,2.5925000000000002,2.65752,5.540606317883699,3.26458357886507,2.3715986543495178,6.460416666666667,6.164999999999999,6.202176000000001,10.074249922393268,6.309284753044542,6.053331097697218
1997-05-31,PREMON,9.320000000000002,9.728571428571428,7.399999999999999,8.875,8.35,7.2,6.979999999999999,8.425,7.883333333333333,8.1,7.233333333333332,10.266666666666667,7.048875,6.687500000000001,7.56838016,7.855774091473742,9.136903228621975,9.001159068765471,6.13425,5.996928571428571,7.377802971428571,10.712061724720844,9.53803100052983,9.52814473174765,4.403973214285714,4.375821428571429,5.4927008,1.9676603199074558,7.4668653344652025,7.152198116384512,5.6484375,5.813125,7.0215423999999995,9.417574767917328,9.358642693057197,8.773042905611554,5.904791666666666,5.67625,6.528157439999999,4.61088412762404,8.572439762977154,8.29063839548805,4.2,4.124999999999999,5.555308800000001,3.580336992523882,7.627645225068256,7.592749528570505,4.5285,4.551499999999999,5.73132032,2.7776038211867395,7.028885932772265,7.0459989909361065,7.0112499999999995,6.9093750000000025,7.565051200000001,9.52612834920837,9.24981408931358,8.488104246830627,5.345,5.302499999999999,6.120296533333334,8.192828876579608,8.257270573508098,8.151969343117875,5.191145833333334,5.061458333333334,6.5592576000000005,8.339941920205865,8.527297268941219,9.292704241014446,3.2837499999999995,3.400833333333333,4.487845333333333,7.255893344366664,5.052033535442542,3.980492355203217,6.277083333333334,6.541666666666666,7.827972266666667,10.92703715139975,9.161318427629237,8.759996764729232
1997-08-31,MONSOON,5.91,3.362,1.87875,2.05,4.833333333333333,1.9,1.072,6.275,3.466666666666667,1.9,0.4366666666666667,2.466666666666667,7.180625000000001,6.937750000000001,6.905028096000001,7.521312654474055,4.754446576606183,5.006200719960048,6.117107142857143,6.069428571428571,5.771481782857143,7.691499703099727,3.2234508204348375,3.158383422205805,4.37921875,4.3145089285714295,4.04712048,1.6370042531240938,1.7938980911657105,2.2472445489094,5.435625000000001,5.656875,5.03292544,6.336943303743857,2.6850712044043985,2.8642896645328513,5.711458333333333,5.88125,5.850227797333333,4.609263785135618,3.3873190157528494,4.308702225158168,4.138333333333334,4.249999999999999,4.09318528,2.9898211893334197,1.4942366571547798,1.1532188070220748,4.2147499999999996,4.581999999999999,3.867592192,2.267340603372894,1.2011018288986688,0.9499998639496597,7.140937500000001,6.965625000000002,7.049030720000001,8.677016415641303,5.826883989961296,6.850418015107682,5.2716666666666665,5.246666666666665,5.058844586666667,5.451236550658617,3.067460927202488,3.8487946285592414,5.174479166666667,5.103125,4.69555456,5.920772765046903,2.256777027974656,1.4873350412376825,3.20625,3.2183333333333333,2.867373866666666,4.871326014442821,2.807610542722294,2.202660215644877,6.081250000000001,6.379166666666666,5.683450026666668,7.527942901435639,3.7055849889813004,3.1166655156095255
1997-11-30,POMKH,6.425,5.042857142857144,3.7,4.775,4.116666666666666,2.5,3.49,6.7250000000000005,4.266666666666667,4.966666666666667,2.1166666666666667,4.816666666666666,7.285500000000001,7.16,6.7130168576,7.340547365667313,5.992625391974309,5.713263288664364,6.000571428571428,6.199071428571429,5.480031926857143,6.151728104940652,4.777058558601376,4.558511481164074,4.230625,4.493437500000001,3.908272288,1.722096860780012,3.2104717785948615,2.8327387502048054,5.173125000000001,5.640000000000001,4.929755264,5.26445941455037,4.305654226289949,4.413244200299562,5.353958333333334,5.928333333333333,5.156803345066667,4.424741042012712,4.876808981275512,4.033713651014634,3.9954166666666664,4.1499999999999995,3.455911168,2.6452228600078764,2.9803221912000426,3.211168541703389,4.01725,4.475,3.7165553152,2.225865590480279,3.712745974342721,3.9179994388997543,7.3171875,7.056875000000002,6.9194184320000005,8.04212591388438,6.172911917424647,6.585573116587499,5.002708333333334,5.443333333333332,4.741973418666666,4.258811991694252,4.041721186143501,2.939050813102048,4.9729166666666655,5.279166666666668,4.803999402666666,5.191172786796313,4.728968856281698,4.380637716035598,2.73,3.3491666666666666,2.567090986666666,3.6563571973342,3.052030348501713,1.482829378879869,5.890416666666668,6.175,5.336736682666667,5.98555756348947,6.151423513578149,5.633331252812939
1998-02-28,POMRB,7.15,6.007142857142857,4.08125,5.2250000000000005,4.678333333333333,4.906666666666666,4.276,7.475,4.783333333333333,5.3125,2.466666666666667,6.400000000000001,7.15475,7.20125,6.887810114560001,7.412364142957633,7.360878658850011,6.788145104796801,5.950750000000001,6.035142857142858,5.690876298971428,5.568514481597155,6.700135966917824,6.676859303976202,4.318549107142857,4.265000000000001,3.9774633728,1.9102531674796628,4.960761190983035,5.042772165276388,5.09625,5.231250000000001,5.047853158400001,4.792142130049216,6.140789036277882,6.461490253236861,4.965416666666667,5.494583333333333,4.965415340373333,4.420950747908232,5.991660789523876,5.606227944755883,3.9370833333333333,4.126666666666666,4.036213367466667,2.91888893221324,5.373801884153048,5.347803699464456,4.14225,3.9544999999999995,3.94033318912,2.3466182494187042,5.54152769059921,6.179792959118243,7.315625,7.225000000000001,7.1416510592,7.737722117078829,8.072526949261263,7.608574543770577,4.670000000000001,5.099999999999998,4.7585173845333335,4.033859575467259,5.647619827143856,5.544802131632945,4.882291666666667,5.069791666666667,5.007399641599999,4.842166850689633,6.181483439802136,6.747015843331766,2.4774999999999996,3.0633333333333335,2.5269212586666665,2.91632997706372,4.084326753892704,3.0903296711421326,5.8975,5.987500000000001,5.762042009600001,5.68017113235531,6.752522412757133,6.6239110024413055
1998-05-31,PREMON,9.994000000000002,9.452000000000002,7.125,8.41,7.225,6.15,7.482000000000001,9.1625,7.105,7.3249999999999975,4.566666666666666,9.49,6.686750000000002,7.36975,8.130286068736002,8.572026095626216,9.641355549350681,9.167269264967608,5.822642857142858,5.966000000000001,7.195325779382857,6.996031085379709,9.596651028517382,9.297444451412943,4.293191964285714,4.196250000000001,5.23647802368,2.7061177436670847,7.371177235095082,6.94410107493934,4.843125,5.115000000000001,6.392711895040001,6.163872753593684,8.839382707308593,8.358671201300913,4.503125,5.213333333333333,5.869249204223999,5.142136139538277,8.231940941497575,7.784902421618203,4.034583333333333,3.8641666666666667,4.881728020480001,3.501665235444478,7.31169727086181,7.299149095530131,4.11,4.08,5.356999913472,3.0228184278688515,7.014231289970271,6.989881245653801,7.21125,7.409375000000002,7.94999063552,8.054599328586558,9.16137862921818,8.437967435176015,4.24875,4.905416666666665,5.6971104307200005,5.751252132252196,8.002956633818869,7.338682699216851,4.700208333333332,4.876041666666666,5.934439784959999,5.475895060451883,8.191573934195084,8.382337664458467,2.5375,2.3966666666666674,3.3428194218666665,3.439238634760255,5.7833168236931,5.246275041072132,6.078749999999999,5.793333333333335,7.253225205760001,7.151935953721738,9.528416768247439,9.543893861950735
