Date,Season,Doiwala,Sahaspur,Raipur,Vikashnagar,Doiwala_Trend,Doiwala_SMA,Doiwala_EWMA,Doiwala_DES,Doiwala_TES,Doiwala_ARIMA,Sahaspur_Trend,Sahaspur_SMA,Sahaspur_EWMA,Sahaspur_DES,Sahaspur_TES,Sahaspur_ARIMA,Raipur_Trend,Raipur_SMA,Raipur_EWMA,Raipur_DES,Raipur_TES,Raipur_ARIMA,Vikashnagar_Trend,Vikashnagar_SMA,Vikashnagar_EWMA,Vikashnagar_DES,Vikashnagar_TES,Vikashnagar_ARIMA
1996-02-29,POMRB,11.840902777777776,10.080563492063492,10.04,7.272083333333334,,,11.840902777777776,9.95340124036382,11.838439418369616,0.0,,,10.080563492063492,7.958132223584741,10.080563492063492,0.0,,,10.04,9.95532756970608,9.564172500161904,0.0,,,7.272083333333334,8.709637653668413,7.246834665415455,0.0
1996-05-31,PREMON,14.75369047619047,12.417074786324784,10.264,8.09576923076923,,,13.006017857142854,10.743702083536322,14.897354785023866,8.096503469017467e-06,,,11.015168009768008,8.638465553795013,12.417074786324786,2.721593194338782,,,10.1296,10.043739234655378,11.418926480043327,7.018811805628073,,,7.601557692307692,9.403136169657616,7.983718446990556,7.2720686516507165
1996-08-31,MONSOON,7.802291666666666,7.5716819291819295,8.651999999999997,4.895416666666668,10.978644307081804,,10.924527380952378,9.5125991351188,7.69937942641047,1.0088186923733166e-05,9.815906288156288,,9.637773577533576,8.098116309296854,7.571681929181931,2.8234321101243127,9.097571428571428,,9.538559999999999,9.776157525360265,8.388589607770689,8.965185517113127,6.67013548951049,,6.519101282051282,8.738734236125547,4.905127060072753,7.70313669548271
1996-11-30,POMKH,9.517692307692307,9.194304945054943,8.195714285714287,6.417272727272729,10.978644307081804,10.978644307081806,10.36179335164835,9.030920516442333,9.49813418748828,1.2924035779962872e-06,9.815906288156288,9.815906288156288,9.460386124542122,8.061578981826028,9.194304945054945,3.3726695464453638,9.177785714285713,9.287928571428571,9.001421714285714,9.468407497955225,8.549018231911948,8.898369967001129,6.67013548951049,6.67013548951049,6.4783698601398605,8.484983289975135,6.344011028132666,6.663716022468596
1997-02-28,POMRB,11.840902777777776,10.080563492063492,8.517142857142856,7.272083333333334,10.978644307081804,10.978644307081806,10.953437122100121,9.400347496036039,11.836089472208046,11.840885874037568,9.815906288156288,9.815906288156288,9.70845707155067,8.271572407927437,10.080563492063494,9.810177275563307,9.611440476190475,8.907214285714286,8.807710171428571,9.291724362757863,9.54720016877008,9.3796784245728,6.67013548951049,6.670135489510489,6.79585524941725,8.440239536023842,7.299511272237682,7.111957842402713
1997-05-31,PREMON,14.75369047619047,12.417074786324784,12.428571428571427,8.09576923076923,10.978644307081804,10.978644307081806,12.473538463736261,10.717002786294092,14.895299663919458,14.753664594120455,9.815906288156286,9.815906288156288,10.791904157460316,9.037362390733618,12.417074786324786,11.966140073257154,10.007559523809523,9.448357142857144,10.256054674285714,9.971002313854012,10.9620944939666,9.220481498198357,6.670135489510491,6.670135489510489,7.3158208419580415,8.605814620390088,8.029924038745907,7.743222887800139
1997-08-31,MONSOON,7.802291666666666,7.5716819291819295,9.956666666666667,4.895416666666668,10.978644307081804,10.978644307081806,10.605039744908423,9.839785244036632,7.697582141509711,7.802277256600723,9.815906288156288,9.815906288156288,9.503815266148962,8.543896025669264,7.571681929181931,7.383266139970972,10.493630952380952,9.77452380952381,10.136299471238095,9.99178725018402,8.697453372111264,8.763988977552835,6.67013548951049,6.670135489510489,6.347659171841491,7.62872926352827,4.945656563361891,5.386312475514934
1997-11-30,POMKH,9.517692307692307,9.194304945054943,10.060000000000002,6.417272727272729,10.978644307081804,10.978644307081806,10.170100770021977,9.583982611744503,9.496562390571997,9.517676930285356,9.815906288156288,9.815906288156288,9.380011137711355,8.531627203726906,9.194304945054945,8.902100939883214,10.666488095238096,10.240595238095239,10.105779682742858,10.029914111876117,9.148749875001595,9.16554802435014,6.67013548951049,6.67013548951049,6.375504594013986,7.228905037995941,6.379561717442342,6.4644441556055785
1998-02-28,POMRB,11.840902777777776,10.080563492063492,10.541428571428574,7.272083333333334,10.978644307081804,10.978644307081806,10.838421573124297,10.095749397750799,11.83471487347582,11.840893793352691,9.815906288156288,9.815906288156288,9.66023207945221,8.751369923814961,10.080563492063494,9.928856581392017,10.791934523809525,10.746666666666668,10.280039238217144,10.16099531365713,10.516300247514133,9.834650357134077,6.67013548951049,6.670135489510489,6.734136089741725,7.16298161445781,7.330694765935514,7.172786668404838
1998-05-31,PREMON,14.75369047619047,12.417074786324784,11.787142857142856,8.09576923076923,10.978644307081804,10.978644307081806,12.404529134350767,11.50356258871268,14.894097522818997,14.753677752558545,9.815906288156286,9.815906288156288,10.762969162201241,9.52147073686883,12.417074786324786,12.192307325245404,10.973184523809524,10.586309523809526,10.882880685787429,10.525883929315585,12.239407781147365,11.833036616256225,6.670135489510491,6.670135489510489,7.2787893461527275,7.39546864241287,8.057276821436906,7.873269600198073
1998-08-31,MONSOON,7.802291666666666,7.5716819291819295,11.601666666666668,4.895416666666668,10.978644307081804,10.978644307081806,10.563634147277126,10.633828429569574,7.696530821446965,7.802284431636355,9.815906288156288,9.815906288156288,9.486454268993516,9.014602022527587,7.571681929181931,7.473812545874924,11.47529761904762,10.997559523809525,11.170395078139125,10.776351978194516,9.414314010502702,9.81013753493471,6.67013548951049,6.670135489510489,6.325440274358304,6.568297367541261,4.969649215634622,5.1956885011612375
