Date,Season,Nohar,Bhadra,Hanumangarh,Nohar_Trend,Nohar_SMA,Nohar_EWMA,Nohar_DES,Nohar_TES,Nohar_ARIMA,Bhadra_Trend,Bhadra_SMA,Bhadra_EWMA,Bhadra_DES,Bhadra_TES,Bhadra_ARIMA,Hanumangarh_Trend,Hanumangarh_SMA,Hanumangarh_EWMA,Hanumangarh_DES,Hanumangarh_TES,Hanumangarh_ARIMA
1999-05-31,PREMON,38.9725,17.21,25.23,40.318124999999995,41.40875,40.607277994934265,40.999976929715615,40.29436990671104,39.58139856939556,18.188125000000003,18.39,18.329662614966274,17.41255593782916,18.884698990712117,18.959333401496902,23.640625,23.833750000000006,23.605532427497472,22.837525244714467,21.184177142136342,20.563666776868754
1999-08-31,MONSOON,38.745,17.02,25.23,40.11927083333333,41.19,39.86236679696056,40.028506091503985,40.1743264346423,40.52276316943496,17.5,18.30125,17.805797568979763,17.34810291606467,16.870929305471474,17.056153419401653,24.349375000000002,23.650000000000006,24.255319456498484,23.188120101399903,23.904955677530747,24.517803995585126
1999-11-30,POMKH,39.785,16.77,24.885,40.74010416666666,39.44625,39.831420078176336,39.740317174728425,39.873660471795716,41.29688773563004,17.020625,18.075,17.39147854138786,17.28388846237961,18.179876794071983,17.876718975507853,24.999375,23.63125000000001,24.50719167389909,23.38028971330056,24.322878887429965,24.22987659565697
2000-02-29,POMRB,45.66666666666666,16.700000000000006,24.925,40.74104166666667,40.792291666666664,42.16551871357247,42.407064934599354,39.91794106879953,41.68348089511422,17.069375,16.925,17.11488712483272,17.219911699890726,18.09681506586716,18.228980679193786,24.831875,25.06750000000001,24.674315004339455,23.55109096065898,23.287209372980374,22.044654353029813
2000-05-31,PREMON,38.555,17.975,24.685,40.66572916666666,40.687916666666666,40.72131122814348,41.12502086976016,40.61214296275005,42.84838554596986,17.085000000000004,17.11625,17.45893227489963,17.156171795027596,17.953525564040113,17.400304432520628,24.684375,24.93125000000001,24.678589002603672,23.630401210970966,23.05540597446389,26.53794569521564
2000-08-31,MONSOON,39.17,16.645,24.435,39.53333333333333,40.79416666666667,40.100786736886086,40.27207457670999,40.43015007940345,40.80868222156456,17.138749999999998,17.0225,17.13335936493978,17.092667781455788,16.283968799968033,16.974710147468226,24.556874999999998,24.73250000000001,24.581153401562204,23.63559914719584,24.90842537983209,24.90004452809688
2000-11-30,POMKH,38.7575,17.27,24.5,39.40708333333335,40.53729166666667,39.56347204213165,39.39113991758692,40.441339403599834,40.76656217244428,16.9775,17.1475,17.188015618963867,17.02939885324663,17.629421140295882,17.387239352809473,23.07125,24.636250000000008,24.548692040937322,23.66645094143638,24.828009399690472,24.829387208963013
2001-02-28,POMRB,37.63500000000001,16.63,24.29,40.100104166666675,38.52937500000001,38.79208322527899,38.21801117644591,40.47175382335102,39.990653114972346,16.819374999999997,17.13,16.96480937137832,16.96636409671149,17.760337998695988,17.933253899350632,21.756875,24.47750000000001,24.445215224562393,23.643731553631877,23.743607302286037,25.7564227627098
2001-05-31,PREMON,45.57666666666668,16.755,13.435,39.593229166666674,40.28479166666668,41.50591660183407,41.21674709953751,37.563363127231,38.78428539534267,16.808125,16.824999999999996,16.88088562282699,16.90356267136014,17.668972242469824,17.278365971358102,21.843125,21.66500000000001,20.041129134737435,20.76946947566236,23.252466334016425,23.682960017407662
2001-08-31,MONSOON,37.6925,16.6,25.17,39.19166666666668,39.91541666666667,39.980549961100444,39.91923456697794,40.53022962818843,39.83252762937313,16.751875000000002,16.813749999999995,16.768531373696195,16.840993703873554,15.798715319479804,16.410789790162227,21.659375,21.84875000000001,22.09267748084246,21.666076264222337,21.628549026885423,21.13678161293337
