Date,Season,Delhi Cantonment,Vasant Vihar,Hauz Khas,Najafgarh,Delhi Cantonment_Trend,Delhi Cantonment_SMA,Delhi Cantonment_EWMA,Delhi Cantonment_DES,Delhi Cantonment_TES,Delhi Cantonment_ARIMA,Vasant Vihar_Trend,Vasant Vihar_SMA,Vasant Vihar_EWMA,Vasant Vihar_DES,Vasant Vihar_TES,Vasant Vihar_ARIMA,Hauz Khas_Trend,Hauz Khas_SMA,Hauz Khas_EWMA,Hauz Khas_DES,Hauz Khas_TES,Hauz Khas_ARIMA,Najafgarh_Trend,Najafgarh_SMA,Najafgarh_EWMA,Najafgarh_DES,Najafgarh_TES,Najafgarh_ARIMA
2002-02-28,POMRB,13.453333333333333,27.6,24.34666666666667,12.28,14.226666666666667,13.308333333333334,13.014908253642885,13.164922794919331,13.006973930853468,12.842194847458792,28.1375,26.9225,26.62602045782458,27.11184414420889,25.264361675249972,26.369455181937557,26.43697916666667,22.74479166666666,22.974696619054207,23.733297345171287,23.877718791519516,22.013919979817743,12.549107142857144,11.915,11.969278226286628,10.968451966004112,9.974120806594648,10.905757647771154
2002-05-31,PREMON,16.665,28.83,26.38000000000001,12.37142857142857,14.705416666666668,14.032083333333336,14.47494495218573,14.790332539637085,14.753861824200492,13.128140509789441,28.9825,27.629999999999995,27.507612274694747,27.996555469419718,29.534160921697822,26.939022708145995,30.676666666666673,23.558541666666663,24.33681797143253,25.6177737234048,25.203378494685346,23.95264657437016,12.158857142857142,12.296357142857142,12.130138364343406,11.44630578698967,12.68253101760099,9.450452074577344
2002-08-31,MONSOON,14.653333333333334,30.35,44.31,11.956,15.189583333333335,14.421250000000004,14.546300304644772,14.807290517122956,14.221743973644614,14.783002137512742,29.64625,28.644999999999996,28.644567364816847,29.169676539334354,28.494460389990465,27.814276695183597,33.30083333333334,29.315416666666664,32.32609078285952,38.423803918109364,25.1136755407587,25.047958066337245,11.536482142857142,12.801857142857141,12.060483018606043,11.803919912735129,10.594411846701284,10.136436195929884
2002-11-30,POMKH,15.186666666666667,30.5,33.115,9.456,15.117708333333333,14.989583333333337,14.80244684945353,15.056969404308797,14.83644813749134,14.722331384562787,30.259999999999998,29.319999999999997,29.386740418890106,29.889322549560248,29.029456449083334,28.98795653900061,35.765,32.03791666666667,32.64165446971571,34.94863000949633,37.48262247848797,38.80240748698006,11.427428571428571,11.515857142857142,11.018689811163625,11.65002154887673,10.93761083830499,9.845875861168624
2003-02-28,POMRB,15.053333333333335,30.21,34.45,12.445,14.404791666666668,15.389583333333338,14.902801443005451,15.137786200169755,15.07619657293324,14.939589277583027,30.5875,29.972499999999997,29.71604425133406,30.159610736519543,28.579420912804533,29.687817967011892,35.32208333333334,34.563750000000006,33.36499268182943,34.73323991745629,36.592973015940686,31.662313385208634,11.291166666666665,11.557107142857141,11.589213886698175,12.019275665425097,10.904094808109399,9.061053118249715
2003-05-31,PREMON,14.489999999999998,31.13,35.99,11.334,13.538541666666667,14.845833333333337,14.73768086580327,14.927471657881737,16.650197850198012,14.992808998005565,31.06625,30.547499999999996,30.28162655080044,30.722169018837917,32.521209297799516,29.9295141038725,31.819166666666668,36.96625,34.41499560909766,35.71118120152757,36.08815193546438,33.00218215093408,11.691333333333333,11.29775,11.487128332018905,12.14032958759442,13.540017766873017,10.528534167478156
2003-08-31,MONSOON,11.125,30.67,31.156666666666666,11.903333333333334,12.694166666666666,13.963750000000005,13.292608519481963,13.286429466955175,14.617982934102791,14.757549633256563,32.0175,30.627499999999998,30.436975930480262,30.828918345600858,31.16187699942452,30.485168617279065,27.88479166666667,33.67791666666667,33.11166403212526,32.73949940428088,35.105065000083236,37.198185645459176,11.773083333333334,11.284583333333334,11.653610332544677,12.329853108395124,11.226877957407272,9.6684388304303
2003-11-30,POMKH,11.785,34.01,18.245,12.71,12.419374999999999,13.113333333333337,12.689565111689177,12.648530698354921,13.786665609224274,13.057915532576255,34.72,31.504999999999995,31.866185558288155,32.384886749355246,30.604797239583643,30.570719303346564,24.01604166666667,29.960416666666667,27.164998419275157,22.995671364107984,31.253777066800126,29.777003935002135,11.332895833333334,12.098083333333335,12.076166199526806,12.631903320476116,11.473456198461397,10.263120313533026
2004-02-29,POMRB,11.7,34.31,17.845000000000006,9.845,12.978124999999999,12.275000000000004,12.293739067013504,12.246515020028077,13.159854646971324,12.462330925377735,36.92452380952381,32.529999999999994,32.843711334972895,33.38466656849414,31.05481264955825,32.16261792384031,21.229270833333338,25.809166666666666,23.436999051565095,19.573414435646118,24.30825222288768,21.81175574778445,10.729791666666667,11.448083333333335,11.183699719716085,12.361655800322072,11.764285135443053,10.440126821837111
2004-05-31,PREMON,15.645,48.65,21.645,10.4125,13.767499999999998,12.563750000000006,13.634243440208103,13.799683863578679,14.2043917435253,12.105643813682692,37.81404761904762,36.91,39.166226800983736,40.3662162669234,35.752408671084766,33.15655091920119,20.6321875,22.222916666666663,22.720199430939054,21.05193485447901,20.77570235660349,21.101815967909438,10.018625,11.217708333333334,10.87521983182965,12.173718755383288,13.979295596831898,9.354953061249702
