Date,Season,Bangalore North,Anekal,Bangalore East,Bangalore South,Bangalore North_Trend,Bangalore North_SMA,Bangalore North_EWMA,Bangalore North_DES,Bangalore North_TES,Bangalore North_ARIMA,Anekal_Trend,Anekal_SMA,Anekal_EWMA,Anekal_DES,Anekal_TES,Anekal_ARIMA,Bangalore East_Trend,Bangalore East_SMA,Bangalore East_EWMA,Bangalore East_DES,Bangalore East_TES,Bangalore East_ARIMA,Bangalore South_Trend,Bangalore South_SMA,Bangalore South_EWMA,Bangalore South_DES,Bangalore South_TES,Bangalore South_ARIMA
1996-02-29,POMRB,8.285714285714286,8.425,23.19739583333333,9.578,,,8.285714285714286,6.231945697297508,8.239673640505885,0.0,,,8.425,7.123720921919473,7.079169810178295,0.0,,,23.19739583333333,19.135230517768882,22.716424988007372,0.0,,,9.578,8.343178235529496,7.852285728179496,0.0
1996-05-31,PREMON,12.14,9.28,20.758888888888887,10.47,,,9.827428571428573,7.551766649654743,7.792404586776253,8.28564307950277,,,8.767,7.548479622095714,7.163471436227662,8.424784549750397,,,22.22199305555555,17.586262495419085,19.98412153511603,23.19659166561838,,,9.9348,8.939178913132919,8.600288672420804,9.577979866357756
1996-08-31,MONSOON,7.395714285714287,4.75,19.442444444444444,3.525,8.688789682539682,,8.85474285714286,7.553599115388171,9.883305083068741,10.230233610344364,6.770104166666666,,7.1602,7.026253183383536,7.842380984858184,8.708836943191711,21.127133272058824,,21.110173611111108,16.30779771997437,19.93610572751228,21.955277889896873,7.425,,7.37088,7.294614025431211,8.910232341594806,10.18901794390173
1996-11-30,POMKH,6.637142857142857,5.996666666666667,21.10980392156862,6.938,8.53387400793651,8.614642857142858,7.967702857142858,7.348412559034333,7.506021291813643,9.257148602128645,6.326458333333334,7.112916666666666,6.6947866666666656,6.815535876665439,5.985575048742616,8.166847560041054,21.12713327205882,21.12713327205882,21.110025735294116,15.91566919707046,20.236402179769836,21.0669021808052,6.589125,7.62775,7.197728,7.157994707762102,6.539587832564415,6.087332229671795
1997-02-28,POMRB,8.878888888888888,5.682499999999999,23.19739583333333,7.956,8.730704365079363,8.762936507936509,8.33217726984127,7.7464618847834,8.4693199553458,8.561436670889194,6.570625000000001,6.427291666666666,6.289871999999999,6.571760075494783,7.278326459974685,6.638388234470764,21.12713327205882,21.12713327205882,21.944973774509805,16.360218625506153,23.067306787728636,21.293671823163294,6.11725,7.22225,7.5010368,7.364624775642184,7.43052673887644,7.739638627881847
1997-05-31,PREMON,10.3075,8.473333333333334,20.758888888888887,5.405,9.281798115079365,8.304811507936508,9.122306361904762,8.502023958691401,8.060354869660847,8.631609914159826,6.8760416666666675,6.225624999999999,7.163256533333334,6.910390189040387,6.802996069342536,7.0570869016659685,21.12713327205882,21.12713327205882,21.470539820261436,16.401080223253167,20.260123293662833,21.441632539466095,6.302250000000001,5.9559999999999995,6.66262208,6.751961613438624,7.814713088652187,7.683813348026975
1997-08-31,MONSOON,10.80285714285714,7.5100000000000025,19.442444444444444,4.815,9.355106646825396,9.156597222222222,9.794526674285713,9.334914083494155,9.929936742075078,8.955206582007687,6.751145833333334,6.915625,7.301953920000002,7.018027967144744,7.3970204778463975,6.491196673486645,21.127133272058824,21.12713327205882,20.65930166993464,16.30162075892136,20.153207243696475,21.16105069641687,6.27975,6.2785,5.923573248,6.14860984319159,6.827479270746062,6.5151675415116195
1997-11-30,POMKH,7.63875,5.68,21.10980392156862,7.127999999999999,8.727485119047618,9.40699900793651,8.932216004571428,9.223735126032377,7.906740700460807,9.277553302254082,6.479583333333334,6.836458333333334,6.653172352,6.75254031977737,6.15001458921579,7.6313340647739425,20.66102216094771,21.12713327205882,20.83950257058823,16.77880691028635,20.407173078396138,21.008559313404103,6.2059999999999995,6.326,6.405343948800001,6.413331501002308,5.479182378465536,6.166186962898728
1998-02-28,POMRB,8.46375,5.0,23.19739583333333,7.586,7.6566488095238086,9.303214285714287,8.744829602742856,9.281638458846771,8.933353238891275,9.012770726238848,6.026666666666666,6.6658333333333335,5.9919034112,6.389460970418247,7.351238514750876,6.680633184644046,20.1949110498366,21.12713327205882,21.78265987568627,17.86769316380761,23.201634268854527,21.584544178254028,5.7531875,6.2335,6.8776063692800005,6.734298060227419,6.749143706093085,6.982220260816012
1998-05-31,PREMON,5.701666666666667,6.9833333333333325,17.03,5.1850000000000005,6.767590773809523,8.151755952380954,7.52756442831238,8.55941010202979,8.43175221845427,8.929095134703175,5.50625,6.293333333333333,6.3884753800533325,6.46488595856563,6.7321956443943565,6.763733895808329,19.25618555964052,20.1949110498366,19.881595925411766,17.399061937218228,20.365784576298065,21.18510728322867,4.697187500000001,6.1785,6.200563821568,6.246073280451638,7.2277163610083095,7.063939287945725
