Date,Season,Udaipurwati,Alsisar,Surajgarh,Buhana,Jhunjhunun,Nawalgarh,Chirawa,Khetri,Udaipurwati_Trend,Udaipurwati_SMA,Udaipurwati_EWMA,Udaipurwati_DES,Udaipurwati_TES,Udaipurwati_ARIMA,Alsisar_Trend,Alsisar_SMA,Alsisar_EWMA,Alsisar_DES,Alsisar_TES,Alsisar_ARIMA,Surajgarh_Trend,Surajgarh_SMA,Surajgarh_EWMA,Surajgarh_DES,Surajgarh_TES,Surajgarh_ARIMA,Buhana_Trend,Buhana_SMA,Buhana_EWMA,Buhana_DES,Buhana_TES,Buhana_ARIMA,Jhunjhunun_Trend,Jhunjhunun_SMA,Jhunjhunun_EWMA,Jhunjhunun_DES,Jhunjhunun_TES,Jhunjhunun_ARIMA,Nawalgarh_Trend,Nawalgarh_SMA,Nawalgarh_EWMA,Nawalgarh_DES,Nawalgarh_TES,Nawalgarh_ARIMA,Chirawa_Trend,Chirawa_SMA,Chirawa_EWMA,Chirawa_DES,Chirawa_TES,Chirawa_ARIMA,Khetri_Trend,Khetri_SMA,Khetri_EWMA,Khetri_DES,Khetri_TES,Khetri_ARIMA
2007-05-31,PREMON,30.825,40.25,60.68833333333333,61.67,47.345,49.9525,38.74,21.73,32.2625,30.066250000000004,30.99773330445356,30.614613751346056,30.112604837606604,32.35639107915692,40.3975,40.18875000000001,40.273358021083766,40.5747734390088,41.17574401066065,40.380986632888764,60.79700892857143,59.71815476190477,59.77579075995425,60.071303116992105,59.03344553350198,59.30569751829545,64.30854166666667,59.279375,59.59476307155727,59.80947354292283,60.340870202031155,59.424263773046704,48.10239583333333,47.961875,47.98281326124777,48.261573837233065,50.041123876380446,47.793090952815874,49.95458333333333,49.11895833333325,49.36795130473273,49.52846999031264,48.76656422905847,49.064370428280924,45.464999999999996,42.89375000000003,43.272252708958305,42.16035357644904,45.68304197456191,45.62728222733913,24.8590625,26.487083333333334,25.72835806415792,25.71382419632436,29.212812667432864,28.42672970672718
2007-08-31,MONSOON,31.325,40.225,61.905,71.56,47.655,50.375,49.55,23.0,31.856875,32.0725,31.128639982672137,30.883774043853517,30.829525965161857,34.141994054631745,40.46000000000001,40.29125000000001,40.254014812650254,40.57558674989648,40.13862221681751,40.10686026151121,61.384077380952384,60.45252976190476,60.627474455972546,61.15614870621911,63.45002864520631,62.15823372428721,67.81229166666667,62.6225,64.38085784293436,65.44085144305528,60.21379690432991,60.41203480196067,47.935625,48.047291666666666,47.85168795674866,48.191914421056175,50.034332732044106,47.812255499679026,50.29718750000001,49.67354166666658,49.770770782839634,49.93587129807476,50.449915765647376,49.45938956988643,48.131249999999994,43.57500000000003,45.78335162537498,46.279945858027055,42.85477388174517,41.76656522815923,23.3846875,25.096249999999998,24.63701483849475,24.24332807719066,25.48441968975499,25.902598763094673
2007-11-30,POMKH,31.42,40.825,61.81833333333334,71.73333333333333,47.8375,50.49500000000001,53.58,23.29,31.416249999999998,32.45249999999999,31.245183989603284,31.098373901680844,31.085920895848236,31.01872169393982,40.223125,40.50375000000002,40.482408887590154,40.779909808465334,39.83736326199187,40.166107469724956,61.872083333333336,61.1414880952381,61.10381800691687,61.540469607062875,60.64463148596357,60.70923912129099,71.699375,65.99458333333334,67.32184803909395,68.40150044694317,66.99526872802849,70.13591537320946,48.0628125,48.1575,47.8460127740492,48.16033928941328,49.81942881997361,47.82748633469105,50.571875000000006,50.235624999999914,50.060462469703786,50.2184600627203,49.93605193691799,49.86663155086048,50.85187500000001,47.355000000000025,48.902010975225,50.36279384430416,46.05784982223926,46.12962716518444,22.322499999999998,24.621874999999996,24.09820890309685,23.30105509910925,24.28671967891488,21.379041264319028
2008-02-29,POMRB,31.475,40.365,62.09499999999999,73.55666666666666,48.01750000000001,50.6125,53.76000000000001,20.57,31.63875,31.26124999999999,31.337110393761968,31.260199248427714,31.08939074732373,31.361807121848567,40.070625,40.41625000000002,40.435445332554096,40.74671694474645,40.152959488444246,40.46338001108827,62.30223214285714,61.626666666666665,61.50029080415011,61.87599142742751,60.07284700449362,61.89805189255122,74.14166666666665,69.63000000000001,69.81577549012303,70.8026970812921,68.66824076099674,70.24776793414075,48.498437499999994,47.713750000000005,47.914607664429525,48.16073115989672,50.78329770602243,48.78381108821972,51.079375,50.358749999999915,50.28127748182227,50.42939221238803,49.85495240076508,50.14611505562728,53.42250000000001,48.90750000000003,50.845206585135,52.34499635286424,50.43671869652523,50.30598876968243,21.5125,22.147499999999994,22.686925341858107,21.626015972004627,22.130228545263208,23.375095796586436
2008-05-31,PREMON,32.065,38.705,62.65166666666667,78.225,50.1375,51.6575,54.295,23.13,31.868125,31.57124999999999,31.62826623625718,31.608693977409192,30.899354076794978,31.441309386333383,40.08625,40.030000000000015,39.743267199532454,40.04018300660337,41.37572070228694,40.341829468819164,62.68779761904762,62.11749999999999,61.960841149156735,62.37231254743636,61.23134130206826,61.90498003489523,75.00333333333333,73.76875,73.17946529407382,74.30544686643957,73.5192607433234,73.65701157517591,48.6684375,48.411875,48.80376459865772,48.48152034907951,50.041123876380446,47.72035419224117,51.5209375,50.78499999999991,50.83176648909336,51.003635361234316,50.050637994716155,50.35355210788897,54.22187500000001,52.79625000000003,52.225123951081,53.549600212422554,52.205709197443895,52.24216031486932,19.868750000000002,22.49749999999999,22.864155205114862,21.45769374889829,22.290580339625816,21.745752491515493
2008-08-31,MONSOON,31.865,40.55,63.38285714285714,74.54333333333334,48.3475,52.73,54.56,15.12,32.281875,31.706249999999986,31.72295974175431,31.75028357521465,31.86884954184629,31.703591598848988,40.09625,40.11125000000002,40.065960319719466,40.14772600132564,39.90480738370926,39.99803728218586,63.088005952380946,62.48696428571427,62.529647546636895,63.04568008695286,64.85772203516025,63.30171390445523,75.95,74.51458333333333,73.72501250977763,74.29915466207171,77.96202004255397,80.71049738505408,48.815,48.585,48.62125875919463,48.48339188512715,50.034332732044106,48.120509133916386,51.84437499999999,51.37374999999991,51.59105989345601,51.79526525615151,51.92526984567024,50.93351745691232,54.573125000000005,54.04875000000003,53.1590743706486,54.24910927348665,54.35126488695348,53.39289478564722,19.03625,20.527499999999993,19.76649312306892,18.389953401527137,21.060580276893614,21.440104740106076
2008-11-30,POMKH,32.715,40.625,63.425,75.64333333333333,48.505,51.67249999999999,54.965,18.02,32.583749999999995,32.02999999999999,32.11977584505259,32.19197251023928,31.983338042236028,31.98751132242407,40.459375,40.061250000000015,40.28957619183168,40.28868777820226,39.74246669619386,40.24273313365997,63.71696428571428,62.888630952380936,62.88778852798214,63.34266796510769,62.83107702659585,63.3033905517533,77.37479166666668,75.49208333333333,74.49234083919991,74.83232487593769,74.64117464450085,73.22023489211719,48.819375,48.751875,48.57475525551678,48.50878886664419,49.81942881997361,48.21924050545004,52.86302083333333,51.668124999999904,51.623635936073605,51.7824212763389,51.81114101638852,51.732550632562784,54.862500000000004,54.395000000000024,53.88144462238916,54.791219433300874,53.982432659129955,54.04712424687029,18.57,19.209999999999994,19.06789587384135,17.305784093753786,18.107719380504253,18.64710629842352
2009-02-28,POMRB,33.489999999999995,40.645,63.69,77.22,48.5225,52.0225,55.185,19.18,32.845,32.53374999999999,32.66786550703155,32.796902875269964,32.21413264153818,32.1943268796977,40.826875,40.131250000000016,40.43174571509901,40.425584769072294,40.03193479199747,40.221625884796836,64.37583333333333,63.287380952380936,63.20867311678928,63.63125693063601,62.17194709009585,63.76150504482735,79.40916666666666,76.40791666666665,75.58340450351994,75.87344909894787,74.24210002829243,75.18582027798281,48.86,48.878125,48.55385315331007,48.53300374366573,50.78329770602243,48.32369929396752,53.68916666666667,52.020624999999896,51.78318156164416,51.927546228166435,51.413038054566805,51.7058415237985,55.133750000000006,54.75125000000002,54.4028667734335,55.160543797921946,54.76015735026302,54.56164629000312,19.06,18.862499999999997,19.112737524304812,17.11180142582708,15.744086580850965,16.829261043959136
2009-05-31,PREMON,32.465,41.33,66.08833333333334,85.96,49.6675,58.39666666666667,55.185,20.79,33.246875,32.63374999999999,32.58671930421893,32.759554221718815,32.47457812048582,33.01526862560672,40.0875,40.78750000000002,40.791047429059404,40.81018834522801,41.354388520566644,39.947817714495855,64.79449404761905,64.1465476190476,64.3605372034069,65.300224998313,62.93817687172333,63.96471409298482,81.51416666666665,78.34166666666664,79.73404270211196,80.66699859112698,77.9645287077029,78.52200605049455,48.920625,48.76062499999999,48.99931189198604,48.72664605920693,50.041123876380446,49.19165432829795,53.86666666666666,53.70541666666656,54.428575603653165,54.78485362260209,51.54142950524155,51.84668376510469,55.448750000000004,54.97375000000001,54.71572006406011,55.331036672869764,54.933068138076294,54.91107182321763,20.3575,18.277499999999996,19.783642514582887,17.771414205137805,17.46304849614067,17.44493583890509
2009-08-31,MONSOON,33.555,40.865,65.21714285714286,83.08333333333333,49.14250000000001,52.6,55.84,21.38,33.688125,33.05624999999999,32.97403158253136,33.18162862951538,33.0363958849243,33.092870527423365,39.346250000000005,40.86625000000002,40.820628457435646,40.94440706760413,40.5413387010095,40.63512220589926,65.23032738095237,64.60511904761903,64.70317946490128,65.40283951158214,67.11734848235685,66.02889400366267,83.54416666666665,80.47666666666663,81.07375895460052,81.71249524576731,82.10885133153327,85.64716628024848,48.978750000000005,48.959374999999994,49.056587135191634,48.811747750109255,50.034332732044106,48.532455866787494,53.80197916666666,53.67291666666656,53.697145362191904,53.876538742170816,55.80106558552811,54.75996208135041,55.75,55.29375,55.165432038436066,55.764238794415064,56.0668475986654,55.06462428901612,19.512500000000003,19.842499999999994,20.42218550874973,18.668678646531518,17.131729956060653,18.541777387126658
