Date,Season,Badnagar,Ghatiya,Tarana,Ujjain,Mahidpur,Khacharod,Badnagar_Trend,Badnagar_SMA,Badnagar_EWMA,Badnagar_DES,Badnagar_TES,Badnagar_ARIMA,Ghatiya_Trend,Ghatiya_SMA,Ghatiya_EWMA,Ghatiya_DES,Ghatiya_TES,Ghatiya_ARIMA,Tarana_Trend,Tarana_SMA,Tarana_EWMA,Tarana_DES,Tarana_TES,Tarana_ARIMA,Ujjain_Trend,Ujjain_SMA,Ujjain_EWMA,Ujjain_DES,Ujjain_TES,Ujjain_ARIMA,Mahidpur_Trend,Mahidpur_SMA,Mahidpur_EWMA,Mahidpur_DES,Mahidpur_TES,Mahidpur_ARIMA,Khacharod_Trend,Khacharod_SMA,Khacharod_EWMA,Khacharod_DES,Khacharod_TES,Khacharod_ARIMA
1999-05-31,PREMON,13.5075,8.305,44.21,9.713333333333333,8.448333333333332,10.03,7.59775,6.523416666666669,8.363900305711104,6.670157117107735,9.29841064999064,8.032857184786764,6.016249999999999,5.498750000000002,6.37420272431104,6.150596064861441,9.696279260128488,8.885363900831244,14.350000000000001,13.9125,20.68275064059085,17.580969906552493,13.254240881136216,3.731225040169219,7.6383333333333345,6.68642857142857,7.725483794053023,6.934824327985039,10.575064881159447,10.607119713673251,5.03485863095238,4.549479166666667,5.701299264626005,5.395440030681162,7.723120747569734,8.574151412746346,6.052083333333332,5.842083333333331,7.103119798575104,8.94749438986371,9.260304138673325,10.427758331172484
1999-08-31,MONSOON,6.1175000000000015,6.05,3.555,7.744285714285715,3.6533333333333338,3.6666666666666665,8.29375,7.253625000000003,7.465340183426663,6.5348891269856155,6.147947667859096,7.665554869264776,6.6274999999999995,5.676250000000002,6.244521634586624,6.2984715075560365,3.5300448338308223,3.0275627791716735,14.4715625,14.265625,13.83165038435451,16.20710802627739,5.65410106664717,1.0013473185995043,7.872500000000001,7.323333333333332,7.7330045621461,7.070912371164788,4.715439213244504,4.862997435203938,6.05657738095238,4.766979166666667,4.882112892108937,5.009894658119198,1.6183471835194663,2.0556739960288546,6.245208333333333,5.864999999999998,5.7285385458117295,6.685623418249611,3.078081035887257,3.7093801163696254
1999-11-30,POMKH,5.545,5.58,3.045,6.235714285714287,5.484285714285713,4.543333333333333,9.21,7.941875000000003,6.697204110055997,6.31099212326955,6.0426975773474965,5.050285245977284,6.938750000000001,6.356250000000003,5.9787129807519745,6.295207250407743,5.586400282096202,5.662136307642908,12.682890624999999,14.434375000000001,9.516990230612706,14.350620706326666,6.730794926641916,1.166313263395807,7.719062500000001,7.953333333333333,7.1340884515733745,6.923228719833338,5.843411480762643,5.606631376315469,7.058333333333333,5.302738095238095,5.122982020979648,5.216882050437822,3.934068990050309,4.386702906184524,6.2787500000000005,6.239166666666665,5.2544564608203705,5.67588199572795,4.909077821572366,3.1591281336685606
2000-02-29,POMRB,9.4125,7.66,7.225,7.473333333333334,9.655714285714286,6.7650000000000015,10.487187500000001,8.645625000000004,7.783322466033598,6.921501729864993,8.391717724130636,6.546248096605124,7.1725,6.8987500000000015,6.651227788451185,6.774641179656657,6.871310505721603,6.408457326783684,11.25203125,14.508750000000001,8.600194138367623,13.423061482168308,10.032352591744543,2.793105639636775,7.601130952380953,7.791666666666667,7.269786404277358,7.014583896145075,8.429471122315974,8.323705379503807,7.559375,6.810416666666667,6.936074926873503,6.794132977358673,6.526884380941375,5.698226613848188,6.854166666666666,6.251249999999999,5.858673876492223,6.471863692557476,7.021434220502756,5.572725193558533
2000-05-31,PREMON,18.0225,8.625,29.603125,9.1325,10.431666666666667,10.25,12.125625000000001,9.774375000000004,11.87899347962016,9.159879946675703,12.667329013529425,11.195367193919058,7.668749999999999,6.978750000000002,7.440736673070711,7.448668555285407,9.583821375672219,9.153834944939819,12.44203125,10.85703125,17.001366483020576,18.518412124210876,16.456562853608066,22.0283127788057,7.937839285714286,7.646458333333333,8.014871842566414,7.376338355577437,11.241929409132345,9.654495019559992,7.972589285714285,7.30625,8.334311622790768,8.550268800056168,11.287728862128663,12.288025923613402,8.090416666666668,6.306249999999999,7.615204325895334,9.44905893133726,9.810695720825988,10.33133346999201
2000-08-31,MONSOON,11.82,7.6,6.715,7.381666666666668,5.678333333333334,8.05,13.927812499999998,11.200000000000005,11.855396087772096,9.670775534395963,9.591017427454181,10.004284901279139,7.952812499999999,7.366250000000002,7.504442003842427,7.804151429827648,4.075061472016948,4.13007503845929,14.052578124999998,11.64703125,12.886819889812346,17.14422426720641,6.351864667480726,1.159359283655324,8.626125,7.555803571428571,7.7615897722065155,7.37348863806253,5.371726150063907,5.766904083728701,7.973464285714286,7.812500000000001,7.271920307007794,8.49038048594259,4.4252675707554685,3.701737184038655,9.190625,7.402083333333331,7.789122595537201,9.663055911625188,3.438883204923748,3.82024017572705
2000-11-30,POMKH,12.949999999999998,8.0,9.405,9.292,6.765,10.05,15.560729166666665,13.051250000000003,12.293237652663258,10.306081556290797,10.594252412052398,8.622769043259984,8.00625,7.971250000000001,7.7026652023054565,8.192480620798603,5.706739649664078,6.011467290527374,18.077734375,13.23703125,11.494091933887407,16.257811636104375,7.774829883562838,0.8318950443406318,10.1618125,8.319875,8.373753863323909,7.700662595317744,5.744654419282962,5.822588643459106,7.941791666666667,8.132678571428572,7.069152184204675,8.6262298305114,6.366322375524278,5.878274673587892,9.56625,8.778749999999999,8.69347355732232,10.953400521799212,7.578138929022636,6.2138465412213115
2001-02-28,POMRB,16.425,7.512499999999998,13.749375,9.923333333333332,8.382,10.06,17.05739583333333,14.804375000000002,13.945942591597955,11.517833394719647,14.600330497889034,11.719978493507606,7.911875,7.934375,7.626599121383274,8.387926137011396,7.1253045271714335,7.343557232009052,21.12140625,14.868124999999997,12.396205160332446,16.37018645156638,11.823986936361626,5.640065343892641,11.924322916666666,8.932374999999999,8.993585651327678,8.080136584274477,9.447423080752237,9.284045861481868,7.910613095238095,7.81425,7.594291310522805,9.155473463276241,8.407363303361855,7.459175977363146,9.6675,9.6025,9.240084134393392,11.533615755295674,11.318805495911374,9.217535552333246
2001-05-31,PREMON,24.07333333333333,9.2,55.28,18.968,11.452,9.96,18.395958333333333,16.317083333333336,17.996898888292108,14.036959425824532,19.819197986646703,17.109753716138385,7.720624999999999,8.078125,8.255959472829964,8.935473312988705,9.5440605179377,8.961455678427937,21.50434375,21.287343749999998,29.549723096199468,28.254641090522192,18.913776070060546,27.925018108769258,12.997927083333334,11.391249999999998,12.983351390796606,9.954154009621565,12.697257333298596,10.87663583798204,7.735642857142857,8.069333333333335,9.137374786313682,10.572907733569489,11.656836381651145,11.037055912109938,9.568125,9.53,9.528050480636036,11.559617721773012,13.532873825176697,12.36819032956097
2001-08-31,MONSOON,17.7425,6.27,5.3875,11.64625,4.4085714285714275,9.15,19.760458333333332,17.79770833333334,17.895139332975265,14.744296363264104,15.793697776249097,14.155659022128162,7.8190625,7.745624999999999,7.461575683697978,8.678872338652628,4.789016133371344,5.369083405179463,24.365171874999998,20.955468749999998,19.88483385771968,25.997606258699037,12.07452541626639,4.308878517415377,14.168041666666667,12.457395833333331,12.448510834477965,10.240952977054105,10.781877237892992,11.611425822237333,7.545571428571428,7.751892857142858,7.24585344321678,9.429708564144864,5.106418141309783,4.813136652239223,9.98,9.805,9.376830288381623,10.795443062051724,4.858743292679438,4.476261506665256
2001-11-30,POMKH,17.736,7.8,13.795999999999998,13.61625,6.635,8.155000000000001,20.528791666666667,18.99420833333334,17.83148359978516,15.30378179584634,16.667868485028034,13.256955816418252,7.942499999999999,7.695624999999998,7.596945410218787,8.746981911965646,6.2136497115480775,6.3456833008131435,21.098375,22.053218749999996,17.449300314631806,25.444152875641315,12.506006336225514,5.420269895113118,14.98475,13.538458333333331,12.915606500686778,10.817955952093733,10.883862576558542,9.717827438167326,7.601187499999999,7.719392857142857,7.001512065930068,8.951278986772902,6.112668661802951,5.280098764384965,11.040000000000001,9.33125,8.888098173028974,9.522883787544599,8.814452916960114,7.643838138743666
2002-02-28,POMRB,22.555,8.5,32.245,14.96,6.991428571428571,15.25,21.444312500000002,20.526708333333342,19.720890159871097,16.729267343290978,19.9449970775902,15.680613350394538,8.13375,7.942499999999998,7.958167246131272,8.93678550975578,7.31180682916302,7.366964469768388,15.452437499999997,26.677124999999993,23.367580188779083,29.53349654454608,16.50732340030008,6.905839480932216,15.214635416666669,14.797625,13.733363900412067,11.526927232185923,13.85912975883845,11.984004479101712,8.105803571428572,7.3717500000000005,6.997478668129469,8.555588366157957,8.212959823944107,7.572320259422879,11.236250000000002,10.62875,11.432858903817385,13.565408737079915,10.758269886811547,8.137014195063301
2002-05-31,PREMON,24.09,9.2,10.65,20.465,13.2875,13.250000000000002,22.948875,20.53087500000001,21.468534095922656,18.172224218640935,25.865239031903805,22.397786229221538,8.335,7.942499999999998,8.454900347678763,9.247177571497259,9.607639780673043,9.246724644615888,14.444499999999998,15.519624999999994,18.28054811326745,27.289391196040146,25.539574226008416,18.862307258517784,15.102864583333334,15.171875,16.42601834024724,13.062846570118014,18.108441073983975,17.30836496193074,8.514523809523808,7.830625000000001,9.513487200877682,10.211218649353874,10.889273963679045,10.248168489375203,11.239375,11.45125,12.159715342290433,14.621502803869019,16.272182189489993,15.185865742923216
