Date,Season,Rapar,Nakhatrana,Bhuj,Abdasa,Mundra,Mandvi,Gandhidham,Bhachau,Lakhpat,Anjar,Rapar_Trend,Rapar_SMA,Rapar_EWMA,Rapar_DES,Rapar_TES,Rapar_ARIMA,Nakhatrana_Trend,Nakhatrana_SMA,Nakhatrana_EWMA,Nakhatrana_DES,Nakhatrana_TES,Nakhatrana_ARIMA,Bhuj_Trend,Bhuj_SMA,Bhuj_EWMA,Bhuj_DES,Bhuj_TES,Bhuj_ARIMA,Abdasa_Trend,Abdasa_SMA,Abdasa_EWMA,Abdasa_DES,Abdasa_TES,Abdasa_ARIMA,Mundra_Trend,Mundra_SMA,Mundra_EWMA,Mundra_DES,Mundra_TES,Mundra_ARIMA,Mandvi_Trend,Mandvi_SMA,Mandvi_EWMA,Mandvi_DES,Mandvi_TES,Mandvi_ARIMA,Gandhidham_Trend,Gandhidham_SMA,Gandhidham_EWMA,Gandhidham_DES,Gandhidham_TES,Gandhidham_ARIMA,Bhachau_Trend,Bhachau_SMA,Bhachau_EWMA,Bhachau_DES,Bhachau_TES,Bhachau_ARIMA,Lakhpat_Trend,Lakhpat_SMA,Lakhpat_EWMA,Lakhpat_DES,Lakhpat_TES,Lakhpat_ARIMA,Anjar_Trend,Anjar_SMA,Anjar_EWMA,Anjar_DES,Anjar_TES,Anjar_ARIMA
2007-11-30,POMKH,10.278181818181816,14.015,11.699166666666667,7.026666666666666,7.19,11.315714285714282,5.12,18.130000000000006,6.98875,43.05,11.318045454545453,11.302545454545456,11.19604744512534,12.174196147247336,12.004969553967664,12.141074666161398,13.440937500000002,13.764375000000006,13.780400987216652,13.808848968670697,13.543661683670322,13.613608342767094,12.025814393939395,12.959829545454545,12.609063678196453,12.323111422185812,12.260183535257456,12.119412584766758,7.025,7.1166666666666725,7.130807215781658,8.117644351141152,8.24639885537374,7.6551109451491195,6.373541666666666,6.374166666666669,6.661076385836509,6.686976712767016,6.2574200847029395,6.125927112459063,9.803313041125541,9.983030844155836,10.310442825489439,9.976375917886022,9.608011451165801,9.543905857325,4.6587499999999995,6.230000000000001,5.2430133785349105,5.271496179769977,5.205195658255972,1.7047081494550755,16.182250000000003,16.95750000000001,16.743980769481244,16.07554074289386,15.907239791766518,14.604786718302465,7.514501488095239,7.2741666666666704,7.178055805976285,7.035376465427786,7.6468897279404295,7.474748010712154,35.345,35.072500000000005,35.91453249842153,34.58662490421422,35.92876998336248,30.757805401429074
2008-02-29,POMRB,13.108,13.3175,9.980833333333333,7.221111111111113,6.3425,8.195,4.97,11.51,7.894285714285713,31.58,11.181420454545455,11.661045454545457,11.960828467075205,12.335422032976007,13.055194163218314,11.534330583061244,13.543125000000002,13.553750000000008,13.59524059232999,13.627593449939933,14.670892291151905,13.735917085188516,12.161316287878787,12.042083333333332,11.557771540251204,11.597726408062877,12.125048453535806,12.93073531035191,7.323055555555556,7.036666666666673,7.16692877391344,7.98192481382205,7.68070334787572,8.072375244276927,6.931145833333333,6.30229166666667,6.5336458315019055,6.534325269816321,6.69182138794716,7.781767882229085,9.603066829004328,9.677280844155838,9.464265695293664,9.341853652763845,9.628825091600667,10.144628221000067,4.64875,5.3100000000000005,5.133808027120946,5.180153919261567,5.987608083998714,4.364052862604995,16.465437500000004,14.927500000000009,14.650388461688745,14.799790360983433,15.240946817357354,16.830578124646784,7.972306547619048,7.345863095238098,7.464547769300056,7.342664893336791,7.413487061577999,7.349334140581586,38.68,33.115,34.18071949905292,34.72078520932811,36.53815722749734,32.252735265095396
2008-05-31,PREMON,9.05,13.56,10.43818181818182,8.150000000000002,7.939999999999999,9.099166666666667,3.94,21.608000000000004,8.812857142857146,46.16,11.820522727272726,10.975045454545459,10.796497080245123,11.881067969361276,12.584952461804658,12.377038038027122,13.493750000000002,13.328125000000009,13.581144355397996,13.599147634447776,13.69435666729168,13.55431668618688,12.756107954545456,12.009545454545453,11.10993565142345,11.218754878534922,12.996676914930049,11.316112689770987,7.745225694444445,7.013333333333341,7.5601572643480655,8.014507913006812,8.912254838588556,8.391528725625202,7.614583333333332,6.444791666666671,7.096187498901143,6.9616624719722155,7.200203868863718,6.730894126470617,9.68209686147186,9.929345238095232,9.318226083842866,9.215393597401967,10.706957938712355,9.483616988385332,6.0625,4.0075,4.656284816272567,4.958047923568025,6.267801133622909,4.236199751395863,14.502937500000002,17.437000000000012,17.433433077013248,16.700973877664733,16.900503843191512,14.525144846924592,8.715200892857144,7.6831398809523845,8.003871518722892,7.908690268180357,8.224711816595171,7.489961230375286,38.209999999999994,37.575,38.97243169943175,35.53220348659751,31.55423870900053,31.534994346856074
2008-08-31,MONSOON,13.115,14.14,17.134166666666665,8.133333333333333,8.1975,8.497272727272726,7.13,10.7275,9.35,38.35,12.2955,11.387795454545458,11.723898248147073,12.085505833802639,10.770571371901466,11.082827233880643,13.300625,13.75812500000001,13.804686613238797,13.790042955650213,13.192352913252465,13.530162670873583,13.83700539044289,12.313087121212117,13.519628057520737,12.897669050873173,11.047932952871106,12.732712820750736,8.012891865079366,7.632777777777785,7.789427691942173,8.039324937896453,7.120043264921674,7.410993038046411,7.936041666666665,7.417500000000004,7.536712499340686,7.330331300629049,6.590379606562873,7.301591534193976,10.912934149184151,9.276788419913412,8.98984474121481,8.933565962669702,8.651118197693526,9.353271121259942,6.9887500000000005,5.29,5.64577088976354,5.2164380199105995,4.135436540605529,3.3582750544264988,13.376166666666668,15.49387500000001,14.751059846207948,15.070257061956308,13.32054124203393,16.83008392765637,9.384464285714285,8.261473214285717,8.542322911233736,8.466253334485186,7.304454768193279,7.831340191826474,37.24375,39.785000000000004,38.72345901965905,35.96642006798912,34.874673433096895,32.393921333056035
2008-11-30,POMKH,13.739999999999998,11.9,15.243333333333334,7.92625,8.766666666666666,14.55818181818182,11.3,10.2025,10.618571428571428,30.45,12.826777777777776,12.253250000000003,12.530338948888243,12.351754430464544,11.603960845588649,12.037005936305547,13.385625,13.229375000000012,13.04281196794328,13.104591690114447,13.65780621912724,13.729845173861623,15.100677447552446,13.199128787878784,14.209110167845775,13.53287687967564,12.53074812661102,12.80870983883308,8.53639136904762,7.857673611111118,7.8441566151653035,8.027477554859766,8.02985497046697,7.839408181784339,7.806666666666665,7.81166666666667,8.028694166271078,7.763210814828072,7.375271031931538,7.9625566281569435,12.027525495337995,10.087405303030298,11.217179572001616,10.734358225640348,9.073479697116179,9.0630493510624,7.562499999999999,6.835,7.907462533858125,6.020889648983824,5.0916492818541945,6.0772845528073445,12.016520833333333,13.512000000000008,12.931635907724768,13.666725576743993,15.738741053278973,16.22343742951833,9.692678571428571,9.168928571428573,9.372822318168812,9.327229415978305,8.413270475533068,8.223236865797826,35.745,36.635000000000005,35.41407541179543,36.01640880597369,38.9710330843495,33.664966069020224
2009-02-28,POMRB,13.445999999999998,13.8875,15.083846153846155,8.462857142857144,7.3375,14.79923076923077,6.2,10.423333333333334,9.618571428571428,36.45,13.127055555555556,12.337750000000003,12.896603369332944,12.536764450871475,13.357506635034024,12.812439899078543,13.060937500000001,13.371875000000012,13.380687180765968,13.382891423493056,13.957675799318924,13.025437696748725,15.1929712995338,14.474881993006989,14.559004562245928,13.93479042280391,13.47246857088636,12.75386162190987,8.449099702380952,8.168110119047626,8.091636826242041,8.1023782976214,7.673460354604528,7.840201597519734,7.178229166666666,8.06041666666667,7.752216499762647,7.577456504754691,7.984708833114208,7.900441439944092,12.304116404428907,11.73846299533799,12.650000050893278,12.014333584198592,10.451318268904862,10.92614522049367,7.82,7.1425,7.224477520314875,5.989960191126766,7.512918382060869,9.631601044421178,10.897708333333334,13.240333333333341,11.928314877968194,12.657505007521134,14.62378156167475,14.113581821476455,9.469285714285714,9.600000000000001,9.471121962329859,9.411341999845328,8.932762058461538,8.841363218485457,32.1875,37.852500000000006,35.828445247077255,36.336673085421396,36.86261929167442,32.68365030996226
2009-05-31,PREMON,12.962222222222225,13.67,15.444545454545455,11.09625,5.91,11.411666666666667,7.3,11.8175,9.554285714285713,29.3,12.656430555555554,13.31580555555556,12.922850910488656,12.62452543162435,12.893762712339859,12.074686186785863,12.931875,13.39937500000001,13.49641230845958,13.482381894139198,13.457414054532515,13.319526774613607,14.285511363636365,15.726472902097896,14.913220919165738,14.323271267070213,15.579503982427891,13.713535166373537,7.763839285714285,8.904672619047624,9.293482095745226,8.582049200752323,9.139227544304932,8.834368807293815,6.643645833333334,7.552916666666672,7.015329899857589,6.981896293507405,8.379448357875704,7.620807905884739,11.469476252913754,12.31658799533799,12.154666697202632,11.756358789230676,13.606751497592862,12.23929458149327,7.090000000000001,7.982499999999999,7.254686512188925,6.117891986797185,7.716211823086322,5.2845952633107345,11.199895833333334,10.79270833333334,11.883988926780916,12.285157196208205,16.351731580352393,15.930326326993372,8.854999999999999,9.785357142857142,9.5043874631122,9.433988134077612,9.797890982404112,9.041925128978262,31.675000000000004,33.63750000000001,33.21706714824635,36.30776975125832,35.23231853444308,33.89080729130758
2009-08-31,MONSOON,11.605,11.4325,12.866153846153848,4.48875,5.199999999999998,8.3975,5.83,11.5675,6.821428571428571,26.75,12.549899305555556,12.93830555555556,12.395710546293193,12.501531708942517,11.735470034573122,12.81281891735305,13.0603125,12.72250000000001,12.67084738507575,12.739403973936875,13.084180235298916,13.423544130126523,13.785238927738929,14.659469696969692,14.094394089960982,13.84795104544469,14.427985427440126,15.517550320553175,7.2755133928571425,7.993526785714289,7.371589257447135,7.940999588158366,7.856946337890785,8.262335163691116,6.5121875,6.803541666666671,6.289197939914553,6.351913075967914,6.545309190491826,6.923842013166061,10.559903846153848,12.29164481351981,10.651800018321579,10.595303148649032,11.33990509736275,11.958691673598722,6.5975,7.6575,6.684811907313355,6.0205788481397695,6.081630310253314,6.222184745511026,11.389479166666668,11.002708333333342,11.757393356068551,11.938335088515231,12.216926523070732,13.271395768210391,8.395714285714286,9.153214285714284,8.43120390643875,8.298883086416739,8.658938906196218,9.174141974499113,32.2475,30.73750000000001,30.63024028894781,36.14558771629963,35.682811595657284,33.12105582171137
2009-11-30,POMKH,11.485,13.575,12.251666666666667,6.088749999999999,7.4875000000000025,7.980833333333334,6.76,11.78,8.232857142857144,37.95,12.957621527777778,12.37455555555556,12.031426327775915,12.37872331922488,12.11824427290297,12.34086616187739,13.005937499999998,13.141250000000012,13.03250843104545,13.036805908579103,12.584876842259025,12.660019011145263,13.535856643356642,13.911553030303027,13.357303120643255,13.333896473308155,13.394959889013952,14.567560601001276,6.558593749999999,7.534151785714289,6.85845355446828,7.653967802235779,7.945123200613895,6.878938326993114,6.9556249999999995,6.483750000000006,6.768518763948732,6.690935993911783,6.203859644773905,6.714782962101138,10.322973484848486,10.647307692307688,9.583413344326281,9.684319848650212,10.760374711450638,10.75128829669472,6.6450000000000005,6.5225,6.714887144388014,6.068216303391872,6.192525323189494,4.969224255661545,11.428437500000001,11.397083333333342,11.76643601364113,11.741878547180605,14.655978656849538,13.023097133317819,8.247440476190476,8.556785714285713,8.351865201006106,8.228248942067381,8.746769535980304,8.56701419478914,33.80625,32.61250000000001,33.55814417336869,36.499049787093504,37.16602468813933,32.18676851551244
2010-02-28,POMRB,14.84875,13.24,14.073333333333332,6.393749999999999,7.565,14.100000000000005,6.8,10.3625,8.33,33.53,13.03078125,12.72524305555556,13.15835579666555,12.764620901844596,13.36757495155692,12.168925213190231,13.140104166666667,12.979375000000012,13.11550505862727,13.106150483868277,13.904657709495057,12.974418077893494,13.265352564102564,13.658924825174822,13.643715205719285,13.500636715842289,13.068284267267867,14.063585898485423,6.07515625,7.016875000000002,6.672572132680967,7.460370666075189,7.2600420807356105,7.88266827895739,7.690208333333334,6.540625000000006,7.087111258369239,6.941463423061895,6.7721892002179125,7.491975433368796,10.306163315850817,10.472499999999998,11.390048006595771,11.084667364977552,9.168981992241225,9.81198005807282,6.06,6.6725,6.748932286632808,6.1143394550435755,7.144894887674072,5.761913545158155,10.7815625,11.381875000000008,11.204861608184679,11.202383165507955,13.654571258828796,13.227726698234143,8.584017857142857,8.234642857142855,8.343119120603664,8.228206028129732,8.551289055921412,8.48078353501174,37.503125000000004,31.88250000000001,33.54688650402122,36.63356366699727,36.78747508272343,32.95402686787211
