Date,Season,Ghatshila,Chakulia,Dhalbhumgarh,Musabani,Baharagora,Golmuri Cum Jugsalai,Potka,Ghatshila_Trend,Ghatshila_SMA,Ghatshila_EWMA,Ghatshila_DES,Ghatshila_TES,Ghatshila_ARIMA,Chakulia_Trend,Chakulia_SMA,Chakulia_EWMA,Chakulia_DES,Chakulia_TES,Chakulia_ARIMA,Dhalbhumgarh_Trend,Dhalbhumgarh_SMA,Dhalbhumgarh_EWMA,Dhalbhumgarh_DES,Dhalbhumgarh_TES,Dhalbhumgarh_ARIMA,Musabani_Trend,Musabani_SMA,Musabani_EWMA,Musabani_DES,Musabani_TES,Musabani_ARIMA,Baharagora_Trend,Baharagora_SMA,Baharagora_EWMA,Baharagora_DES,Baharagora_TES,Baharagora_ARIMA,Golmuri Cum Jugsalai_Trend,Golmuri Cum Jugsalai_SMA,Golmuri Cum Jugsalai_EWMA,Golmuri Cum Jugsalai_DES,Golmuri Cum Jugsalai_TES,Golmuri Cum Jugsalai_ARIMA,Potka_Trend,Potka_SMA,Potka_EWMA,Potka_DES,Potka_TES,Potka_ARIMA
2003-02-28,POMRB,4.17,11.8,10.2,4.18,10.9,7.0,5.066666666666666,5.136875,5.102692307692308,4.129432395577936,5.496439624154235,3.9739268280306566,3.8818172528697437,12.158749999999998,12.187499999999995,11.349131087279925,10.406427672188947,11.295328597010538,10.126080165360834,7.2524999999999995,7.815000000000001,7.43663508662639,5.293865141661573,7.444637261811056,5.906313327078017,3.0275,2.8755769230769217,2.915082315597755,2.970414812553287,2.633282270726571,2.052925119783118,7.3475,6.817499999999999,7.360360899249155,6.824413837328807,7.2907710163556905,7.247454578680376,5.643750000000001,6.027499999999997,5.562421642684294,5.879948246231946,5.873058830723531,4.986673226481106,4.565416666666666,4.665000000000001,4.2945273212879425,4.746464020670692,4.159879853371064,4.324194640987435
2003-05-31,PREMON,11.7,13.75,10.4,5.18,10.466666666666667,9.35,7.983333333333332,5.144374999999999,5.142500000000002,7.157659437346761,6.824479180458272,11.647198252599296,11.540766468975903,12.17,12.081249999999994,12.309478652367954,10.873357857951005,13.35871822307069,12.899120816759986,7.066250000000001,7.750000000000001,8.621981051975833,5.831484744743187,10.507783638828352,10.745308994821428,2.9918750000000003,3.057499999999999,3.8210493893586532,4.006329940649127,4.588987844391703,4.400240325546712,7.402916666666666,7.281666666666666,8.602883206216159,7.712901414636293,9.372055164062443,8.697544568477719,5.79625,5.762499999999997,7.077452985610576,7.635183728500171,10.743170230672506,10.699068286772611,4.605416666666666,4.700833333333333,5.770049726106098,5.531308608637054,7.308353987425835,7.161328130704011
2003-08-31,MONSOON,1.915,12.509999999999998,2.17,0.79,3.356666666666667,2.2,1.6966666666666668,5.08125,5.131250000000001,5.060595662408057,6.070477627373978,2.0502894547935773,1.9351938495985004,12.29125,12.236249999999993,12.389687191420771,11.096587327354147,8.395788229563983,8.005021085851777,7.077500000000001,6.755000000000001,6.0411886311855,5.487539971516069,3.585615056010459,3.361865241828773,2.8393749999999995,2.997499999999999,2.608629633615192,3.215003471943955,1.1287828978883372,1.0056732295839446,7.002916666666667,7.413333333333334,6.504396590396363,7.237797610444587,2.690549088077044,2.974490254427506,6.16125,5.524999999999997,5.126471791366345,5.811467063482065,2.2260450704960784,1.7829704319357784,4.752916666666667,4.429999999999999,4.140696502330326,4.950338534489331,1.9372760054391196,2.1664560702103666
2003-11-30,POMKH,2.845,10.355,6.74,1.795,4.846666666666667,5.72,4.376666666666666,5.07375,5.157500000000001,4.174357397444834,5.514876712147917,3.00000662089111,2.9012362731287133,12.6425,12.103749999999993,11.575812314852463,10.980667710599397,11.412891368205214,10.478739160806409,6.4037500000000005,7.377500000000001,6.3207131787113,5.631720818309295,4.921457088643857,4.647473222743598,2.746875,2.986249999999999,2.2831777801691153,2.8360174401647167,1.8855615025119077,1.871062308610643,6.61125,7.3925,5.841304620904484,7.007515267844079,4.8815260061093415,4.454724867851764,6.42625,6.067499999999996,5.363883074819807,5.769537664608074,3.7111117873619386,3.5257057456339336,4.6475,4.780833333333332,4.235084568064861,4.923176783701001,3.5739870092791306,3.044801188590297
2004-02-29,POMRB,3.56,13.3,7.8,3.005,7.783333333333334,7.75,4.843333333333333,5.148125,5.005000000000001,3.9286144384669006,5.126330018717911,3.987057055689764,3.8545349411485095,12.5125,12.478749999999994,12.265487388911477,11.301094695930956,12.134333254139927,10.035188144516496,6.2975,6.777500000000001,6.91242790722678,5.88314840258616,8.238068536477265,7.362753783722463,2.79625,2.692499999999999,2.571906668101469,2.9298928790420438,2.7862049246464125,2.15776455362378,6.314166666666667,6.613333333333333,6.618116105876024,7.2961465588670045,7.956590631245644,7.951807561288456,6.641249999999999,6.2549999999999955,6.318329844891884,6.661666900624475,6.615110225372226,6.379393048687444,4.596041666666666,4.724999999999999,4.47838407417225,4.980987884628231,4.382382407010758,4.735134107621884
2004-05-31,PREMON,12.25,15.06,7.41,5.615,10.45,10.72,7.363333333333334,5.140625000000001,5.142500000000001,7.25716866308014,6.557107040857985,11.625676968319485,11.525692309890315,12.433125,12.806249999999995,13.383292433346888,11.826393061829078,14.330061864421676,13.857560780824858,6.307499999999999,6.030000000000001,7.111456744336068,6.0855083982126255,10.562456517724094,9.979232435578147,2.786875,2.8012499999999996,3.7891440008608814,4.015934975764178,4.656397824043458,4.446210085603585,5.875,6.609166666666667,8.150869663525615,8.054867121396144,9.619791566200036,8.350998271144872,6.5649999999999995,6.597499999999995,8.07899790693513,8.859296662176222,11.48829126687933,10.81451257727305,4.5053125000000005,4.569999999999999,5.632363777836684,5.558010484423605,7.487693862681897,7.168656724975277
2004-08-31,MONSOON,1.96,10.16,4.31,0.75,0.9966666666666666,2.55,1.905,5.203749999999999,5.153750000000001,5.138301197848084,5.813565466638057,2.058571602149232,1.9427045398725016,12.36375,12.218749999999995,12.093975460008133,11.577998134163439,9.43493482745194,9.204680031186358,5.890000000000001,6.565000000000001,5.990874046601641,5.9522719786647365,2.935942843903482,2.287001483259276,2.929375,2.79125,2.573486400516529,3.131067693660089,1.2235389904422536,1.0028136024040004,5.774583333333333,6.019166666666667,5.289188464782035,7.03934764076413,2.909060669226796,3.1118601738543745,6.430000000000001,6.684999999999995,5.867398744161079,6.868328509654124,3.212485908955477,2.527294991348775,4.4240625,4.622083333333333,4.14141826670201,4.960736077461492,1.980653800695435,2.002083782375668
2004-11-30,POMKH,2.74,12.07,4.68,1.76,3.693333333333333,4.76,3.4424999999999994,5.21125,5.127500000000001,4.17898071870885,5.248218865723209,3.010063308758504,2.8701680664004914,12.06,12.647499999999994,12.08438527600488,11.637444853122107,11.773491251687087,9.349303432611148,6.16,6.050000000000001,5.466524427960984,5.857863507338738,4.9171389161655865,5.628193978158009,3.0218749999999996,2.7824999999999998,2.2480918403099177,2.698164874441468,1.9741146293534704,1.8565054411485953,5.995416666666666,5.730833333333333,4.650846412202554,6.521147177606555,4.815031290944976,4.02573861207097,6.255,6.444999999999995,5.424439246496647,6.06487044060542,4.451767787163719,4.058800653944738,4.613229166666667,4.388541666666667,3.8618509600212056,4.691160799502629,3.7388170787347716,3.2848764989209753
2005-02-28,POMRB,4.17,11.03,6.52,4.18,8.133333333333333,7.63,5.1275,5.13125,5.280000000000002,4.17538843122531,5.000646593483912,3.9905562099177687,3.9580924367218544,12.879999999999999,12.079999999999995,11.662631165602928,11.540144530980095,12.766099852460075,11.88289410037981,6.2725,5.73,5.887914656776591,5.957242170824229,7.758195363183611,6.814214688434875,2.9774999999999996,3.07625,3.0208551041859506,3.2084010563780865,2.8687582783146133,2.702005428876052,6.515416666666666,5.8183333333333325,6.043841180654866,6.816992875234017,7.769966205778675,7.681574669792142,6.324999999999999,6.414999999999996,6.306663547897988,6.669131364151438,6.698995887749142,6.1497678262020745,4.988437500000001,4.459583333333334,4.3681105760127235,4.77773867711521,4.453300014443847,4.554655347886579
2005-05-31,PREMON,11.7,14.9,10.85,5.18,11.866666666666665,9.44,8.592500000000001,5.14625,5.142500000000002,7.185233058735186,6.327224657344924,11.662407667146088,11.48546912343054,13.885,12.039999999999994,12.957578699361758,12.00835027889834,14.380860914011276,12.650438713868756,5.9887500000000005,6.590000000000001,7.872748794065954,6.511737263784019,9.897484504038577,9.185432153868614,2.99625,2.9675,3.8845130625115702,4.0514305139093345,4.817461377033564,4.686494854272514,7.140416666666667,6.1724999999999985,8.372971375059585,7.7921514870061666,9.492480948409014,8.804669779532224,6.7725,6.094999999999995,7.559998128738792,8.038633302360987,11.493439043353492,10.758080451642462,5.241874999999999,4.766875000000001,6.057866345607635,5.591798173519966,7.508713812701503,7.284412333147895
2005-08-31,MONSOON,1.87,16.88,1.77,0.83,3.74,4.39,3.6775,5.0200000000000005,5.120000000000002,5.059139835241112,5.583883944701064,2.063929594107752,1.9345515161510112,14.345,13.719999999999995,14.526547219617054,12.6915840913211,9.443529446407563,9.92525016379959,5.82625,5.955000000000001,5.431649276439573,6.090283193602778,3.220602209415256,3.641155634503588,2.7112499999999997,2.9875,2.6627078375069417,3.151509965202077,1.3497296553771578,0.9330583488304878,7.149583333333333,6.858333333333332,6.519782825035751,7.244259617123072,2.9524079032955184,3.1430937490405455,6.84875,6.554999999999995,6.291998877243276,6.853051113027122,2.721327002753128,1.9408978938640589,5.095,5.210000000000001,5.105719807364581,5.339847450190968,2.074227016812815,2.2105339715323664
2005-11-30,POMKH,2.95,13.39,4.95,1.83,5.95,6.5,3.6975,5.005000000000001,5.172500000000001,4.215483901144667,5.0842083227592925,3.0097011949916617,2.878786500675615,14.84,14.049999999999995,14.071928331770234,12.779422229322334,13.125787578085204,12.500883442116788,5.63,6.022500000000001,5.2389895658637435,6.010123803485474,4.548350427142247,4.723254940052586,2.52625,3.005,2.329624702504165,2.7114771489315364,2.101321442224294,1.8262823443090883,7.118333333333332,7.4224999999999985,6.29186969502145,7.094115771907902,5.156811560520149,4.6764080848897525,7.14,6.989999999999997,6.375199326345966,6.733920018880969,4.860870910002172,5.079141118342795,4.706770833333334,5.273750000000001,4.542431884418749,5.083819663526521,3.906016683140069,3.6044951303977615
2006-02-28,POMRB,2.95,13.39,4.95,1.83,5.95,6.5,3.6975,5.063750000000001,4.8675000000000015,3.7092903406868003,4.6177430970889635,4.001209319920638,3.8424133076761224,14.27625,14.639999999999993,13.799156999062141,12.85466077611516,14.111930077280144,11.136253915301621,5.5337499999999995,5.630000000000001,5.123393739518246,5.929402563659392,7.537182200200766,6.844837010719541,2.585,2.4175,2.129774821502499,2.3480338059360535,2.996011905290785,2.9833511250340505,6.97375,6.876666666666665,6.155121817012871,6.939148231761515,8.323401402129324,8.368730323560102,7.11125,6.707499999999997,6.42511959580758,6.629504269541055,7.622073377621232,7.213929226309084,4.113854166666667,4.916250000000001,4.20445913065125,4.830526441791881,4.736018106934808,4.6108606196437805
2006-05-31,PREMON,12.8,16.5,10.85,6.05,13.8,12.9,6.916666666666668,4.91625,5.142500000000003,7.345574204412081,6.2198930927674,11.604765012686748,11.63188241845609,13.545000000000002,15.039999999999994,14.879494199437286,13.362341669141282,15.92973976742332,14.30398228110829,5.19375,5.630000000000001,7.414036243710948,6.4731122596868245,9.36440095605881,8.945595259777392,2.5354166666666664,2.635,3.6978648929014994,3.643266545545466,4.775267342237682,4.975292952306715,6.427083333333333,7.359999999999998,9.213073090207722,8.229309184356445,9.743417498558216,8.868444803686577,6.1625,7.572499999999998,9.015071757484549,9.596012213076012,11.623645782801153,10.007666001856455,3.583854166666667,4.497291666666667,5.289342145057417,5.2539167803202265,7.748394433452979,7.157957300655516
2006-08-31,MONSOON,1.24,10.77,1.0,0.43,0.65,0.7,0.61,4.95125,4.985000000000002,4.903344522647249,5.387906537754419,2.066888491744697,1.9481628355472889,13.81625,13.512499999999996,13.23569651966237,12.98056542008861,11.002643350164005,11.581679826367289,5.4625,5.437500000000001,4.848421746226569,5.962258458174774,2.810840534266976,3.3619371197823353,2.6686458333333336,2.5349999999999997,2.3907189357408996,2.7069296201695923,1.3644642611724955,0.8641277567108795,6.592083333333334,6.587499999999997,5.787843854124633,7.07910675124073,3.3893019956214703,3.794029881539174,5.6175,6.649999999999998,5.689043054490729,6.532094480840775,4.137454849547473,4.030867121343713,3.5344791666666664,3.730416666666667,3.4176052870344504,4.367368945776357,2.2664591312629216,2.107293832907003
2006-11-30,POMKH,2.4,13.65,3.0,1.8333333333333333,4.666666666666667,2.6,2.525,5.4175,4.847500000000002,3.902006713588349,4.819971771146549,2.9773029191453952,2.8387820542345565,13.99625,13.577499999999997,13.401417911797424,13.064006770422894,13.149455347690093,10.042382047799817,5.9262500000000005,4.950000000000001,4.109053047735941,5.673118626020544,4.055252350284665,4.512913829863425,2.605208333333333,2.535833333333333,2.167764694777873,2.3898108549879744,2.084112911946435,1.7975920405639672,6.141250000000001,6.266666666666664,5.339372979141446,6.677314384626681,5.2038733829064245,4.241313273542435,5.266249999999999,5.674999999999998,4.453425832694437,4.811287188217285,4.305081270092125,3.514637762493532,3.7620833333333334,3.4372916666666673,3.06056317222067,3.9267746508714474,3.7256153638881395,3.073142401141807
2007-02-28,POMRB,3.78,15.3,9.05,2.8925,8.553333333333333,6.04,4.475,5.8625,5.055000000000002,3.853204028153009,4.563820741759412,3.9379788166005225,4.033831874052853,13.186250000000001,14.054999999999996,14.160850747078454,13.37063585067055,14.182914318395234,12.792180781547442,5.952500000000001,5.975000000000001,6.085431828641565,6.027850176530351,6.707048988505877,5.959361325633298,2.5989583333333335,2.801458333333333,2.457658816866724,2.506300073435878,2.9755157247842607,3.24823261680644,5.575833333333333,6.917499999999998,6.6249571208182,6.990663712233035,8.223412887902985,7.733087912911039,5.0225,5.559999999999998,5.0880554996166625,4.95451124618022,5.774794942451193,5.279263723218467,4.0334375,3.6316666666666673,3.626337903332402,3.9225785049709003,4.402933489099905,4.390007343865419
2007-05-31,PREMON,15.7,16.03,10.46,4.48,7.59,10.55,7.960000000000001,5.9809375,5.780000000000002,8.591922416891805,6.8443276829022075,11.587754608926671,11.493482510883913,11.65375,13.937499999999996,14.908510448247073,13.737320744981057,16.368916432468964,15.031824380033836,6.03375,5.877500000000001,7.835259097184939,6.523618421481757,9.6747893296826,10.429646409481107,2.786458333333333,2.4089583333333335,3.2665952901200344,3.2168831029744616,4.825875658573466,5.140768826757523,5.859583333333333,5.3649999999999975,7.01097427249092,7.120071934259817,9.94223072451173,10.31370379348989,4.985,4.972499999999998,7.272833299769998,7.27803938298694,10.312115511057835,10.257972605313604,4.219687500000001,3.892500000000001,5.359802741999442,4.657584483309959,7.485510194598955,7.305404503908261
2007-08-31,MONSOON,1.9,4.76,1.6,1.95,2.3366666666666664,1.1,1.7375,5.994375,5.945000000000002,5.915153450135082,6.173160393081188,2.21026653777648,2.0237456308326807,10.861249999999998,12.434999999999995,10.849106268948244,12.445216867041129,11.259792232975078,11.05949919731926,5.946250000000001,6.027500000000002,5.341155458310963,6.069950167593303,2.959203247681777,2.9092690463407243,2.7348958333333333,2.7889583333333334,2.7399571740720203,2.8947633965953528,1.3017617676168056,0.8099998094134443,5.94875,5.786666666666664,5.1412512301612185,6.301876465336034,2.879740617150456,1.8887196290886932,4.8425,5.072499999999999,4.803699979861999,5.03350300427709,2.4248816152666253,2.4174002386846976,4.2790625,4.174375000000001,3.910881645199665,4.08991095012769,1.9791050826169636,2.1145846902378316
2007-11-30,POMKH,2.6875,7.4,3.05,1.8133333333333332,5.25,1.9,2.8875,4.564375,6.016875000000002,4.6240920700810495,5.648073325356699,3.1563919865902044,2.921647308094576,11.05,10.872499999999995,9.469463761368946,11.714704300374127,12.151847860335502,8.413611378001304,5.70125,6.040000000000002,4.424693274986578,5.778340968022583,4.308095420796393,4.468467273475497,2.6333333333333333,2.783958333333333,2.3693076377765454,2.5504958640270528,2.1251472150530555,1.794506300561059,6.239999999999999,5.932499999999997,5.1847507380967315,6.043641838549015,4.937063995771309,4.715846080365063,4.69125,4.897499999999998,3.6422199879171995,3.588769689123221,3.4083552365555945,3.591888166634191,4.096875,4.2650000000000015,3.5015289871197988,3.7923334328863167,3.5582310640263524,3.1999009368745526
2008-02-29,POMRB,3.6,15.21,8.3,2.5,8.683333333333334,5.6,4.5875,3.1318750000000004,5.9718750000000025,4.21445524204863,5.312127226186394,4.131611493007642,3.8246711115403387,11.201875000000001,10.849999999999994,11.765678256821367,12.202051963469854,12.13371653263111,11.681161130969363,5.63125,5.852500000000002,5.974815964991947,6.045981299861645,6.912966986120643,6.408616157883959,2.466145833333333,2.685833333333333,2.4215845826659272,2.501137984682299,3.012146181599347,2.944334949071229,6.582916666666667,5.964999999999998,6.584183776191372,6.423679288191554,8.050570900360242,8.015488164687419,4.632499999999999,4.787499999999998,4.425331992750319,4.076319894286973,4.954041843063186,5.049460737326105,3.8871875,4.293125000000002,3.9359173922718798,3.868470443606217,4.396395825235731,4.432535736391387
2008-05-31,PREMON,4.44,17.63,9.25,4.06,9.79,9.78,6.39,3.1209374999999997,3.156875000000003,4.304673145229178,5.15519134878074,11.76991030146205,11.200601123712273,11.76375,11.249999999999993,14.11140695409282,12.964390393151183,14.711972915443283,15.839557068678873,6.008750000000001,5.5500000000000025,7.284889578995168,6.407032808590599,9.659568248107172,10.195173567726323,2.363541666666667,2.5808333333333326,3.0769507495995563,3.0438499802611956,4.832096306497504,5.334214360844043,6.5841666666666665,6.514999999999998,7.8665102657148225,7.002684546693066,9.802862262497142,9.938702751253782,4.888749999999999,4.594999999999998,6.567199195650192,6.601042168206794,9.63840410687709,10.084554920102008,3.7953124999999996,3.9006250000000016,4.917550435363127,4.326037677383969,7.526915997025718,7.386081104180943
2008-08-31,MONSOON,1.7,4.375,2.25,1.0325,2.8800000000000003,1.4,1.63,3.165,3.1068750000000027,3.262803887137507,4.461861455292871,1.7658265705366858,1.8641396268137096,12.58,11.153749999999993,10.21684417245569,11.728286542327771,10.254926830204226,10.078745477169985,6.45875,5.712500000000002,5.270933747397101,6.0192942723175085,2.667585748226074,2.3601998271621056,2.4456249999999997,2.351458333333333,2.2591704497597336,2.4167552340960112,1.2759281528216828,0.776186380220198,6.467499999999999,6.650833333333331,5.871906159428893,6.317552365969533,2.9989456461171375,2.5302727830262954,5.25375,4.669999999999997,4.500319517390115,4.893267411689549,1.7139848567490956,1.8637059637011761,3.7771874999999997,3.873750000000001,3.6025302612178765,3.793381210333062,1.8551716451601719,1.7683395789657788
2008-11-30,POMKH,2.8,12.28,5.42,1.91,4.716666666666666,3.65,2.26,4.515,3.1350000000000025,3.077682332282504,4.043551701592057,2.7015416444450184,2.836625002949751,12.42625,12.373749999999994,11.042106503473414,11.796104767362232,11.271086747619934,7.831103808950942,6.86875,6.305000000000002,5.33056024843826,5.973005683321555,4.2343087647228845,4.450612100505076,2.9956250000000004,2.375625,2.11950226985584,2.1939494715035845,2.032872552228901,1.7978943459322954,6.4937499999999995,6.517499999999997,5.409810362324002,5.990487774013838,5.103148487321629,4.98664344642233,5.79,5.107499999999997,4.160191710434068,4.384586424934732,3.087853128195572,3.4884082361510393,3.8278125,3.716875000000001,3.0655181567307257,3.4265532354593087,3.384887652593168,3.2061808779823306
2009-02-28,POMRB,3.84,16.86,9.53,3.06,8.283333333333333,6.77,5.07,5.835000000000001,3.1950000000000025,3.3826093993695023,3.8779137597627704,3.684927292491889,3.847510526250331,13.331875,12.786249999999994,13.369263902084048,12.506932906739266,12.406327046845892,14.576952292478794,7.68125,6.612500000000002,7.010336149062956,6.360529557543517,7.404518287208779,7.380162229840389,3.4403125,2.515625,2.495701361913504,2.4302226500985498,2.9251639719635616,2.823133510339709,6.595,6.417499999999998,6.559219550727734,6.325343265600575,8.139347814429387,8.045223601273463,6.4799999999999995,5.399999999999997,5.204115026260441,5.379663926431521,5.4331396362818865,5.9651837909750345,4.036875,3.837500000000001,3.867310894038435,3.6644778883859126,4.283512142671672,4.3183721114216524
2009-05-31,PREMON,15.0,14.75,11.3,7.9,10.4,12.9,6.3125,5.8100000000000005,5.835000000000002,8.029565639621701,6.088165025764565,11.338901683910336,13.206805733967014,14.525,12.066249999999997,13.92155834125043,12.815083677339308,15.260352884605656,15.960236070445422,8.36,7.125000000000002,8.726201689437774,6.926756076360209,10.321949954411565,10.435280359872918,3.3787499999999997,3.475625,4.657420817148102,4.644186477291375,4.7832536800095635,5.08165624248203,6.655416666666666,6.5699999999999985,8.09553173043664,7.044459617844327,9.837614017625217,9.864017699701703,6.85,6.179999999999996,8.282469015756265,9.450019397642896,10.384318983755415,10.580431288407832,4.3234375,3.818125,4.845386536423062,4.163314427428299,7.3008606046525735,7.406877271499247
2009-08-31,MONSOON,1.7,14.5,6.7,0.75,3.08,3.8,3.38,5.767500000000001,5.835000000000002,5.497739383773021,5.465306372080549,1.924678550015186,1.8962856256062455,13.491874999999999,14.597499999999997,14.152935004750258,13.043403196092429,10.116905106013919,7.7220905089620295,8.52875,8.237500000000002,7.915721013662665,6.989452610691921,3.650974724724035,2.994971220957286,3.3074999999999997,3.405,3.0944524902888615,3.824313251772472,1.4947335862598812,1.0569404541029632,6.647916666666667,6.619999999999998,6.089319038261984,6.414559813982203,3.097280350777239,2.791688773941038,7.036250000000001,6.779999999999997,6.489481409453759,8.44685738794586,3.3767392855708813,3.3107822641377993,4.260625,4.255625,4.2592319218538375,4.036385257093011,1.7286122356255276,1.7167235386241262
2009-11-30,POMKH,2.6,11.7,6.4,1.7,5.0,4.21,2.8025,5.31875,5.785000000000002,4.338643630263812,5.019934003666688,2.8622715571436657,2.8083332694373038,12.2125,14.452499999999997,13.171761002850154,12.839918637935218,13.187841784979975,13.442242415052354,8.575,8.482500000000002,7.309432608197599,7.012688211418704,6.019652681933122,5.970448359841091,2.7,3.3524999999999996,2.536671494173317,3.3475274135492286,2.229043561236912,1.803097997929679,6.65625,6.690833333333332,5.653591422957191,6.149578917361379,5.212720391573987,5.04959723550539,7.1525,6.919999999999997,5.577688845672256,7.4249359520868845,5.035321822261793,4.657825320845772,4.184687500000001,4.391250000000001,3.6765391531123024,3.7939819449871983,3.263282992896317,3.4603203734267636
2010-02-28,POMRB,3.7,9.175,9.9,2.7,7.939999999999999,7.7,4.025,5.137500000000001,5.750000000000002,4.083186178158288,4.804085025550745,3.835899941952188,3.792789844380753,11.506250000000001,12.531249999999996,11.573056601710093,12.30576118924524,13.823202578157638,12.827809230775195,8.94375,8.575000000000001,8.34565956491856,7.401522036174772,9.003556467352125,8.03101137041711,2.16875,3.2624999999999997,2.6020028965039903,3.248841230489227,3.10319510795168,2.7238867128239894,7.26375,6.604999999999999,6.568154853774314,6.427870221034552,8.268125799316381,8.201080494561388,8.290000000000001,7.152499999999997,6.426613307403354,7.975810571418574,6.844786694405879,6.350908952161489,4.37375,4.130000000000001,3.8159234918673817,3.8153691606146314,4.400804076768726,4.42626014063962
2010-05-31,PREMON,11.55,12.2,11.3,3.4,10.81,12.9,6.75,5.5125,4.887500000000003,7.069911706894972,6.236288097083606,11.483327363063948,10.954899801478886,11.059375,11.893749999999997,11.823833961026056,12.279344333696374,14.854926677611513,13.364100004317352,9.637500000000001,8.575000000000003,9.527395738951135,7.927654487345732,11.636666288922354,10.725003728476949,2.2625,2.1374999999999997,2.9212017379023942,3.396205411093094,4.93217410345404,4.940325465209321,8.262916666666667,6.7075,8.264892912264589,7.228033447359273,9.914208913928364,9.913269475038705,10.407499999999999,7.152499999999998,9.015967984442012,10.902683476810866,11.609960466003974,11.376344590819711,4.8340625,4.239375000000001,4.989554095120429,4.4099747055748715,7.169665730191957,7.09347491991347
2010-08-31,MONSOON,3.7,11.4,9.65,1.0,7.53,12.9,4.455,5.925000000000001,5.387500000000003,5.721947024136983,5.977527675513473,1.8779952913371278,1.8818849510886158,11.280000000000001,11.118749999999997,11.654300376615634,12.142701397267977,9.282110189518583,9.052431789723428,10.025,9.312500000000002,9.576437443370681,8.261690600420074,4.661548704961448,3.585100721509048,2.2875,2.1999999999999997,2.1527210427414367,2.644953354623521,1.324727686272786,1.094377611781385,9.007916666666667,7.82,7.970935747358753,7.402130704964208,3.2107269542711263,3.000912074998837,11.3253125,9.427499999999998,10.569580790665206,13.368149836012911,4.129054608861542,3.4137896729038264,5.35375,4.508125000000001,4.775732457072257,4.501141530975982,1.9063216129025493,1.9973712908174899
2010-11-30,POMKH,3.6,11.225,9.0,2.2,8.543333333333333,12.05,5.41,6.237500000000001,5.637500000000003,4.87316821448219,5.672827628454646,2.927433398743098,2.8381900962062465,11.51625,10.999999999999996,11.48258022596938,12.0007178057021,11.89952636635413,11.781613583078652,10.068750000000001,9.962500000000002,9.345862466022409,8.510695190797863,7.478887397502747,6.999613028395576,2.2300000000000004,2.325,2.171632625644862,2.4314574525181896,2.0745916798194886,1.8167989218660523,9.248333333333333,8.705833333333334,8.199894781748586,7.741323331133918,5.805491979039719,6.1792634840556975,11.263125,11.387499999999998,11.161748474399124,14.771305355713645,9.011400019455108,9.027058907368707,5.673125000000001,5.16,5.029439474243354,4.777746683926758,3.2694564638842323,3.583010947551058
2011-02-28,POMRB,6.0,11.415,10.4,2.4,10.356666666666667,7.2025,5.575,5.9624999999999995,6.212500000000003,5.323900928689314,5.850741387745579,3.956995070769584,3.8180463626293633,10.57125,11.559999999999995,11.455548135581628,11.906179127438639,12.697722401131633,12.326766333510513,9.05875,10.087500000000002,9.767517479613446,8.894379504864414,10.726692252418012,9.166680214987082,2.16625,2.25,2.2629795753869173,2.338429529021353,2.9825020945015623,2.768619072577794,8.555000000000001,9.310000000000002,9.06260353571582,8.39083793903836,9.187026880007197,9.130366027227232,10.1025,11.263124999999997,9.578049084639474,13.197761746220603,12.313059213269735,10.310236952802285,5.389375,5.547499999999999,5.247663684546012,5.067103958699441,4.563621164539553,4.858886020187354
2011-05-31,PREMON,11.75,11.85,11.15,3.24,10.316666666666668,12.9,7.755000000000001,5.485,6.262500000000002,7.894340557213589,7.225849412093263,11.73187647768621,11.774265552026439,9.309999999999999,11.472499999999997,11.613328881348977,11.887197014483842,14.403254921248962,13.869303621486633,7.34375,10.05,10.320510487768068,9.341373057872811,13.076845669775029,11.056531838134998,2.0250000000000004,2.21,2.6537877452321506,2.5796538212501,4.789748539558088,5.488942413535042,7.46125,9.18666666666667,9.564228788096159,8.99882233393655,10.99866000631081,10.78669568954279,8.049375,11.263124999999997,10.906829450783684,14.09547286615718,14.774332357654142,11.360299124092036,4.626875000000001,5.79875,6.250598210727608,5.799736921491668,7.415504646003983,7.27124044074089
2011-08-31,MONSOON,1.3,4.19,1.72,0.65,2.476666666666667,3.615,1.1800000000000002,4.95,5.662500000000002,5.256604334328154,6.35805691176293,2.136785181376462,1.5547444746977024,8.306875,9.669999999999996,8.643997328809387,10.77924082190086,8.850794305714246,9.054334691356587,6.4375,8.0675,6.8803062926608405,8.759830834028163,5.733860980543573,4.4890287037154595,1.9975,2.1225,1.8522726471392903,1.897151845290081,1.1711083365214212,1.0127294136809832,6.708333333333334,7.923333333333336,6.729203939524362,8.11872126043223,4.120783446745519,3.7696791281352953,7.1490625,8.941874999999998,7.990097670470211,10.462985134059455,6.071388897951828,4.878109942490466,4.0946875,4.98,4.222358926436565,5.097740389019929,2.5213177264212696,2.3727610167554256
