Date,Season,Dataganj,Sahaswan,Usawan,Asafpur,Rajpura,Islamnagar,Samrer,Qadar Chowk,Mion,Dahgavan,Salarpur,Ambiapur,Wazirganj,Gunnaur,Ujhani,Dataganj_Trend,Dataganj_SMA,Dataganj_EWMA,Dataganj_DES,Dataganj_TES,Dataganj_ARIMA,Sahaswan_Trend,Sahaswan_SMA,Sahaswan_EWMA,Sahaswan_DES,Sahaswan_TES,Sahaswan_ARIMA,Usawan_Trend,Usawan_SMA,Usawan_EWMA,Usawan_DES,Usawan_TES,Usawan_ARIMA,Asafpur_Trend,Asafpur_SMA,Asafpur_EWMA,Asafpur_DES,Asafpur_TES,Asafpur_ARIMA,Rajpura_Trend,Rajpura_SMA,Rajpura_EWMA,Rajpura_DES,Rajpura_TES,Rajpura_ARIMA,Islamnagar_Trend,Islamnagar_SMA,Islamnagar_EWMA,Islamnagar_DES,Islamnagar_TES,Islamnagar_ARIMA,Samrer_Trend,Samrer_SMA,Samrer_EWMA,Samrer_DES,Samrer_TES,Samrer_ARIMA,Qadar Chowk_Trend,Qadar Chowk_SMA,Qadar Chowk_EWMA,Qadar Chowk_DES,Qadar Chowk_TES,Qadar Chowk_ARIMA,Mion_Trend,Mion_SMA,Mion_EWMA,Mion_DES,Mion_TES,Mion_ARIMA,Dahgavan_Trend,Dahgavan_SMA,Dahgavan_EWMA,Dahgavan_DES,Dahgavan_TES,Dahgavan_ARIMA,Salarpur_Trend,Salarpur_SMA,Salarpur_EWMA,Salarpur_DES,Salarpur_TES,Salarpur_ARIMA,Ambiapur_Trend,Ambiapur_SMA,Ambiapur_EWMA,Ambiapur_DES,Ambiapur_TES,Ambiapur_ARIMA,Wazirganj_Trend,Wazirganj_SMA,Wazirganj_EWMA,Wazirganj_DES,Wazirganj_TES,Wazirganj_ARIMA,Gunnaur_Trend,Gunnaur_SMA,Gunnaur_EWMA,Gunnaur_DES,Gunnaur_TES,Gunnaur_ARIMA,Ujhani_Trend,Ujhani_SMA,Ujhani_EWMA,Ujhani_DES,Ujhani_TES,Ujhani_ARIMA
2003-02-28,POMRB,5.11,8.98,10.0,8.14,9.76,10.55,4.15,6.4499999999999975,11.232500000000002,4.97,8.306875,9.79,2.54,4.75,3.23,5.22,5.172499999999999,5.033692777007563,4.826359194778445,5.368636626877321,4.972978902603033,8.517916666666666,8.912500000000001,8.694644603308099,8.780477853431512,9.397398595457833,9.391324483363839,9.515,9.514999999999997,9.530770043421853,9.247096521642312,9.548222372301986,9.056529755440668,7.895625000000001,7.787083333333332,7.725018319826693,7.940716990044144,7.677986317664951,7.622763748810116,10.424750000000001,10.201208333333334,9.784524225470115,9.942025734442264,10.365474762124032,9.755903127968276,9.3625,9.234999999999998,9.341259793439768,9.240362857283612,9.170807736016002,9.039280490465119,4.4262500000000005,4.949999999999996,4.519125799817854,4.493827039802188,5.169978294692311,5.00999599791703,6.579374999999999,6.632499999999999,6.420338041110526,6.352064780055598,6.766947025473275,6.322217754488407,11.084583333333335,11.084583333333333,11.038052470034367,10.956786401478752,11.431500635493077,11.254698260052153,4.513333333333334,4.6725,4.625063320001627,4.575195971292824,4.566202124350887,4.654583028373123,9.964635416666667,10.057552083333333,9.543009591252842,9.969337286082638,9.795749183182428,9.49726782299038,9.3925,9.5425,9.418609407015154,9.367796560905964,9.30388306778866,9.58018514631451,2.9533333333333336,2.796666666666666,2.6512115560098586,2.812410194121432,3.379806810235025,3.1762615868221595,4.741666666666666,4.767500000000002,4.6640105529300495,4.5894328697508175,4.772338671129983,4.690807070486435,2.948125,3.0587500000000007,3.0666222873656572,2.856165481988158,2.601821504350317,3.075707903738073
2003-05-31,PREMON,6.5,8.306666666666667,10.0,9.3925,12.135000000000002,9.79,4.25,6.675,12.14,4.233333333333333,12.5,8.97,4.3966666666666665,4.786666666666666,3.39,4.82375,5.4075,5.620215666204538,5.367491730433286,5.720259407135195,5.125040279347777,8.074166666666668,8.701666666666668,8.539453428651527,8.642532913115627,9.4019668392878,9.022078286822579,9.515,9.514999999999997,9.71846202605311,9.449579260753758,10.544641714794233,10.91224823838114,7.914375000000001,7.868124999999997,8.392010991896015,8.21422494951062,8.797328804287579,8.482504499432325,10.135708333333335,10.739125000000001,10.72471453528207,10.712196973833676,10.99559306840912,9.757463395241627,9.3625,9.327499999999997,9.52075587606386,9.426850441565165,9.837790594128714,9.960332334653277,4.3675,4.457499999999996,4.411475479890712,4.3936864419816555,5.2617663671481205,4.685932093540161,6.510624999999999,6.5725,6.522202824666316,6.511487942554086,6.693006442247811,6.637124567887608,11.084583333333335,11.084583333333333,11.47883148202062,11.540929090458603,11.67967976718939,11.248990191382166,4.273333333333333,4.575833333333334,4.46837132533431,4.445465653139744,5.273483362140603,4.675242014588,9.59109375,10.213802083333333,10.725805754751704,10.557597331936828,11.445212703738235,11.84377514411619,9.395,9.3675,9.239165644209093,9.231090464435805,9.93605569316247,9.473259250599243,2.947916666666666,2.9383333333333326,3.349393600272582,3.44970170781695,4.2107641891659275,4.024212807081563,4.611666666666666,4.804166666666668,4.713072998424696,4.665226323656492,5.220305326974604,5.099287877458154,2.805,3.0325000000000006,3.1959733724193944,2.976041631240178,3.2829435475229496,3.1061795447717495
2003-08-31,MONSOON,3.75,7.380000000000001,8.06,6.98,8.5825,9.34,5.56,7.15,9.7725,4.09,8.06,9.97,1.8466666666666665,4.43,2.26,4.4325,5.0325,4.872129399722723,4.734697967965912,4.875204181364191,6.03393099748891,8.000416666666668,8.334166666666668,8.075672057190916,8.198638113116132,8.095313957013454,7.932421622392011,9.515,9.514999999999997,9.055077215631865,9.05386529442649,8.947092107169837,8.323308873954467,7.905625000000001,7.923124999999997,7.827206595137609,8.069873518295172,7.396586267513726,7.4643722762388025,10.226041666666667,10.110375000000001,9.867828721169243,10.197464099894292,11.101493524696384,10.66293286728662,9.3275,9.397499999999997,9.448453525638316,9.38946378219544,9.200684899123361,9.272749185648857,4.75875,4.394999999999996,4.870885287934427,4.739809617148678,3.815993518273089,3.7380615807147892,6.819999999999999,6.58625,6.773321694799789,6.7472152866947335,6.476202649186253,6.03941923453552,11.084583333333335,11.084583333333333,10.796298889212373,10.4807151357423,10.140600688994878,10.980109981536147,4.0008333333333335,4.450833333333334,4.317022795200586,4.310868910744989,4.299215245963056,4.008402948086002,9.46671875,9.71546875,9.659483452851022,9.777377895587565,10.327180062870339,9.861633669240907,9.32375,9.4175,9.531499386525457,9.492639323654577,9.173517434173224,9.312561885133718,2.905,2.9683333333333324,2.7483028268302157,2.932148904322388,2.20535643453657,2.1702414211359367,4.454166666666667,4.679166666666668,4.599843799054818,4.621184177954668,4.340757725471574,4.383700641105718,2.9775,2.8637500000000005,2.8215840234516367,2.6349343162209378,2.2264750536831444,3.0875707714139646
2003-11-30,POMKH,3.1,6.59,10.0,7.11,10.166666666666666,7.63,3.4,5.465,11.193333333333333,3.09,9.0,8.76,2.9266666666666663,4.21,2.105,3.8575,4.615,4.163277639833634,4.090467411261293,4.755415233043929,4.122619165170519,8.266458333333333,7.814166666666669,7.481403234314549,7.6185039471342035,7.909286255193719,8.074167642235246,9.515,9.514999999999997,9.433046329379119,9.310444802145135,8.871365265788139,9.334412158934992,8.0346875,7.905624999999997,7.540323957082565,7.96751675893653,7.94931896820319,7.647342685990493,10.028385416666666,10.161041666666668,9.987363899368212,10.305012403561275,9.442660885904584,9.870613436243197,9.4225,9.327499999999997,8.72107211538299,8.764146013802687,8.702173951257334,8.440398768679284,5.296250000000001,4.339999999999995,4.282531172760656,4.29196297542816,4.334568477170304,4.164314871736563,7.101875000000001,6.435,6.249993016879873,6.617625077645111,6.604905354423029,6.16522486383043,11.084583333333335,11.084583333333333,10.955112666860757,10.802458073152245,11.538843683157587,11.051187451387637,3.887916666666667,4.095833333333333,3.826213677120352,3.8589787792310686,3.8617239360236,4.1751042608224305,9.46671875,9.46671875,9.395690071710613,9.379225112614163,9.498607507772611,8.914256075023832,9.356250000000001,9.3725,9.222899631915274,9.238642313992424,9.19162896509876,9.097416844771491,3.1174999999999997,2.927499999999999,2.819648362764796,2.989427826856124,2.6666637486922307,2.454550727571238,4.480208333333334,4.544166666666668,4.443906279432891,4.528041412109969,4.50317650912846,4.728110750345071,4.010416666666667,2.7462500000000007,2.534950414070982,2.3674234635667792,2.2582626873324854,2.691037621703064
2004-02-29,POMRB,3.65,10.47,10.0,8.14,10.28,10.55,7.5,9.53,11.232500000000002,4.21,8.306875,9.4,2.36,4.03,5.08,3.3775,4.25,3.95796658390018,3.869074016501303,4.438015874435243,3.9878520613806234,8.541875000000001,8.186666666666667,8.67684194058873,8.76144624131573,7.833404182842718,8.005687149244807,9.515,9.514999999999997,9.659827797627472,9.495192637217507,9.632075923486072,9.828345149046134,8.458333333333334,7.905624999999997,7.780194374249539,8.041395815985673,7.957657227448063,7.894382322256376,10.003166666666665,10.291041666666668,10.104418339620928,10.415523573222947,10.745755351175438,9.98336339841507,9.668750000000001,9.327499999999997,9.452643269229794,9.385535867415026,9.759049574321518,9.410310705780724,5.3237499999999995,5.177499999999995,5.569518703656394,5.284003329552017,4.6942607663992435,4.7178841964562945,6.933125,7.205,7.561995810127923,7.301869221517069,7.056253790217245,6.417304020333501,11.084583333333335,11.084583333333333,11.066067600116455,10.968425834471486,11.43317733954994,11.207454943579808,3.84,3.9058333333333337,3.979728206272211,3.984070325327718,3.730305602883978,3.668555164279555,9.46671875,9.46671875,8.960164043026367,8.8581075995212,8.68692933147788,9.205144491292637,9.39375,9.275,9.293739779149165,9.297823109643364,9.39072705893769,9.69574052794122,3.3491666666666666,2.8824999999999985,2.6357890176588774,2.8192695354877424,3.3818464176899967,3.0115100350435196,4.60625,4.3641666666666685,4.2783437676597345,4.410334911113325,4.606881298577546,4.5374032173155925,4.909583333333333,3.208750000000001,3.5529702484425894,3.3061547008349965,2.2266837078420254,2.616065776530732
2004-05-31,PREMON,3.36,8.945,10.0,10.425,10.03375,10.55,5.2,5.85,12.14,4.09,12.5,9.62,6.276666666666667,5.715,9.803333333333333,3.44,3.465,3.7187799503401084,3.6229712428736285,4.554228546574811,4.775072198430475,8.8675,8.346250000000001,8.784105164353239,8.877803899258,8.961602383821933,9.16352268955974,9.515,9.514999999999997,9.795896678576483,9.628218703357424,10.581202538659257,10.314611500201991,9.039843750000001,8.163749999999997,8.838116624549723,8.46101840910078,9.051200621990045,8.751368415425043,10.275395833333334,9.765729166666667,10.076151003772555,10.42052586732273,11.419317833492512,10.096335533728892,9.82,9.517499999999997,9.891585961537878,9.78804230272479,9.742589028563383,10.181533525062743,5.3675,5.414999999999995,5.421711222193837,5.2303276432434975,6.275004876893816,5.62999070573254,6.984374999999999,6.99875,6.877197486076754,7.199996779351603,7.658010697579785,7.329727410517034,11.084583333333335,11.084583333333333,11.495640560069873,11.550161908728827,11.680215101871834,11.487775950771036,3.9537499999999994,3.87,4.0238369237633265,4.019146186671877,4.47790128342678,4.180457794301649,9.46671875,9.46671875,10.376098425815819,9.705211004568147,11.377627490704555,11.23333190605085,9.405,9.4375,9.424243867489498,9.413370781230196,9.466921911227933,9.27187340586975,3.246666666666667,3.3524999999999987,4.092140077261994,4.14296359729532,4.100390787831855,3.9752542101305712,4.58875,4.596250000000002,4.853006260595841,4.793068418886378,4.831981695633994,4.68655487091151,5.1102083333333335,4.812083333333334,6.053115482398887,5.678809999850248,3.772740077759713,3.5904078656925913
2004-08-31,MONSOON,3.05,8.945,8.06,9.336666666666668,10.482,10.55,4.83,6.625,9.7725,3.85,8.06,9.62,1.82,4.51,3.04,3.73625,3.29,3.451267970204065,3.3540311042130857,2.8313673031948587,3.2136830579916262,8.904375,8.7375,8.848463098611944,8.949732906729317,8.29565094298524,9.021886255959997,9.515,9.514999999999997,9.10153800714589,9.18249306588419,8.96303292148384,8.033781833541951,9.435833333333335,8.752916666666664,9.037536641396501,8.647617536270074,7.57675296336313,7.738116746493765,10.3433125,10.240604166666667,10.238490602263532,10.558244087008616,10.740105846005505,10.072500237115692,9.82,9.819999999999997,10.154951576922727,10.048766596055215,9.526066289752093,9.983379562038484,5.1899999999999995,5.2324999999999955,5.1850267333163025,5.076936380513723,4.804619821928948,5.722613995357202,6.75,6.8675000000000015,6.776318491646053,7.23158333031165,7.073211660009276,6.519463428303719,11.084583333333335,11.084583333333333,10.806384336041924,10.4884650653307,10.140771609509216,10.75144458722907,4.145,3.8100000000000005,3.954302154257996,3.9532937854157493,3.850092411798353,4.085942477677478,9.46671875,9.46671875,9.44965905548949,9.167106606763442,9.204917916643168,8.400744205809797,9.5025,9.35,9.502546320493698,9.488464383443894,9.608073823785345,9.778920339933558,3.2271875,3.3458333333333323,3.1832840463571963,3.375667679233682,3.3240774348999804,3.4085663525194674,4.68125,4.616250000000003,4.715803756357504,4.736315252067005,4.48158802602004,4.526154146208766,4.9558333333333335,5.007083333333334,4.847869289439332,4.641790995600424,5.050408951342366,5.700385304283099
2004-11-30,POMKH,4.3,7.63,10.0,9.405416666666666,10.445,7.63,4.48,6.4,11.193333333333333,4.24,9.0,9.2,2.1333333333333333,3.99,2.93,4.15,3.5900000000000003,3.7907607821224394,3.6278447239916782,3.3091703202732234,3.1881441916244837,8.811250000000001,8.997500000000002,8.361077859167166,8.485290754737273,8.493207472971685,8.403877558865174,9.515,9.514999999999997,9.460922804287534,9.40306210630277,8.878315602775542,9.88995649453679,9.544895833333333,9.326770833333331,9.184688651504567,8.816911692085267,8.469554999954209,8.366511135259696,10.60721875,10.310187500000001,10.321094361358119,10.645248204920879,9.784270748042847,10.228455579026857,9.82,9.819999999999997,9.144970946153636,9.191210639743536,9.036048275018732,9.03341282229427,4.9625,5.502499999999996,4.903016039989781,4.862183826852707,4.6543113616531935,4.247383739621506,6.5425,7.101250000000001,6.6257910949876315,7.1952238003813465,6.924820767300846,6.319494103078787,11.084583333333335,11.084583333333333,10.961163934958488,10.809619403526636,11.538898254310295,11.007705400116953,4.1925,4.097500000000001,4.068581292554798,4.054705809848941,3.5236822438392927,3.6525255279620117,9.46671875,9.46671875,9.269795433293694,8.983326388502999,9.17103193230722,9.747272476064762,9.622499999999999,9.459999999999999,9.381527792296218,9.390102045061731,8.994490775325414,9.034529681657819,3.100416666666667,3.147499999999999,2.763303761147651,2.988768088835619,3.0780855215722687,2.6699013418412747,4.80125,4.561250000000003,4.425482253814502,4.550564792038057,4.619559596954379,4.795052452332902,3.9366666666666665,5.213333333333334,4.080721573663599,3.9482972685079485,4.53291698468428,4.652374965898655
2005-02-28,POMRB,4.82,9.725,10.0,9.0125,10.545,10.55,5.0,6.72,11.232500000000002,4.59,8.306875,9.74,2.9975,4.99,3.02,4.61125,3.8825,4.202456469273463,3.995154122233308,4.168531865099998,4.338314371236709,8.713437500000001,8.811250000000003,8.9066467155003,9.0089533663183,10.182132572981132,9.286672682807463,9.515,9.514999999999997,9.676553682572521,9.561880918699929,9.635106322248092,9.924550569257331,9.544895833333335,9.544895833333332,9.11581319090274,8.899403456168008,9.065478003967067,9.178874753517743,10.90675,10.376437500000002,10.410656616814872,10.737138068981622,11.067690089881745,10.31092512424455,9.744375000000002,9.819999999999997,9.706982567692183,9.662167774477977,10.51653406537199,9.99376513623115,5.137499999999999,4.877499999999996,4.941809623993869,4.880791100104118,5.309893096385208,5.044264073828206,6.74375,6.3987500000000015,6.6634746569925785,7.206065992636871,7.492040887249,7.004771815280363,11.084583333333335,11.084583333333333,11.069698360975094,10.975342112347734,11.43319476292329,11.178476679653912,4.3975,4.192500000000001,4.277148775532879,4.247201182310419,4.1826767728873975,4.537925635837134,9.46671875,9.46671875,8.884627259976217,8.640677265817308,8.463429358647439,8.487186269629467,9.731250000000001,9.545,9.524916675377732,9.515389379244477,9.5709405690104,9.537945172886218,2.8717708333333336,3.3068749999999993,2.8569822566885907,3.0523994873989877,3.049308411131471,2.4891186599848965,4.80875,4.801250000000003,4.6512893522887016,4.693489129712779,4.588074706479192,4.476176981228318,4.189375,4.698333333333334,3.6564329441981593,3.546698109145767,4.125017409453804,4.6695326297677235
2005-05-31,PREMON,5.5,8.945,10.0,10.425,11.88,10.55,5.88,7.0,12.14,4.09,12.5,10.24,4.625,5.715,3.71,4.7675,4.4175,4.721473881564078,4.482525073430789,4.924869906853466,4.771554321419901,8.485625,8.811250000000003,8.92198802930018,9.030805791512885,8.857387359800942,8.640880516942117,9.515,9.514999999999997,9.805932209543514,9.676237018374556,10.582523811333772,9.924550569257331,9.544895833333333,9.544895833333332,9.639487914541645,9.190087124070988,10.382369421539671,10.29591926724977,11.202875,10.838000000000003,10.998393970088923,11.202127857198589,11.72354935691857,10.400071030030015,9.66875,9.819999999999997,10.04418954061531,9.967231135882523,10.182857930637665,10.132329798938496,5.08,5.047499999999996,5.317085774396322,5.1715917471868496,5.678043869656405,5.24095802613511,6.861250000000001,6.686250000000001,6.798084794195548,7.257434870402421,7.252996787496206,6.924932882202916,11.084583333333335,11.084583333333333,11.497819016585057,11.55712465013583,11.680220664808017,11.624982787227857,4.530625,4.192500000000001,4.2022892653197275,4.185513823619338,4.89183057910101,4.228387713251864,9.46671875,9.46671875,10.33077635598573,9.643112306758562,11.682277940827857,10.62001401711576,9.673749999999998,9.700000000000001,9.810950005226639,9.772009303186177,9.749871804960309,9.426765000143929,2.8847916666666666,2.893958333333333,3.5641893540131546,3.6902731335364267,4.366870172807983,4.793366218453128,4.81,4.801250000000003,5.076773611373221,4.9988276361902795,5.206549665949394,5.147117436130143,5.121250000000001,3.175000000000001,3.6778597665188957,3.5528152320024327,4.29973966822171,5.109904956311988
2005-08-31,MONSOON,4.6,8.162500000000001,8.06,9.336666666666668,11.032,9.945,5.55,7.085,9.7725,5.49,8.06,9.87,1.6425,4.57,11.155,4.708749999999999,4.805000000000001,4.672884328938446,4.479285265927836,3.988826263666064,4.241625422527072,8.44875,8.615625000000003,8.618192817580109,8.741485873778405,8.501023495212626,8.479919126555624,9.515,9.514999999999997,9.107559325726108,9.217068234501964,8.96360900513721,8.033781833541951,9.544895833333333,9.544895833333332,9.518359415391654,9.267123897583307,8.728893071557959,9.196698056571773,11.8605625,10.975500000000004,11.011836382053353,11.27948011653363,11.523810634363315,10.963692427244633,9.668750000000001,9.668749999999996,10.004513724369186,9.952166440105536,9.844791745595659,10.276872615124903,4.8637500000000005,5.227499999999996,5.410251464637794,5.26466277125729,4.704647625691074,4.744234914985283,6.971875,6.801250000000001,6.912850876517329,7.310180841282388,6.907011975780176,6.533120036675771,11.084583333333335,11.084583333333333,10.807691409951033,10.495055042959525,10.14077338558287,10.619338567857612,4.41125,4.602500000000001,4.717373559191836,4.660016871907518,4.04415217447378,3.965948276924079,9.46671875,9.46671875,9.422465813591437,9.220798576372232,8.719113714390124,8.587015545193728,9.52625,9.762500000000001,9.834570003135983,9.809139276557485,9.99937814003028,10.081120259640008,2.9115625,2.849583333333333,2.7955136124078925,3.0146456292192108,2.406064215375902,2.1555028465278827,4.74375,4.816250000000004,4.874064166823933,4.90250816857599,4.705620116503717,4.749517647332241,5.035,5.203750000000001,6.668715859911337,6.378561991339452,3.0866401842988402,3.046995327999579
2005-11-30,POMKH,4.0,6.59,10.0,9.405416666666666,12.264000000000001,7.63,3.3,6.88,11.193333333333333,3.665,9.0,8.49,2.415,3.94,2.27,4.63125,4.73,4.403730597363068,4.262380255290268,4.641188689965232,4.470800890261769,8.541875000000001,8.355625000000002,7.806915690548065,7.954077052703557,7.6534166860736175,7.565031990277444,9.515,9.514999999999997,9.464535595435663,9.42795765468928,8.878566792347655,9.88995649453679,9.544895833333333,9.544895833333332,9.473182315901658,9.343320415744797,9.203793203265741,9.368332069130611,12.226083333333333,11.430250000000004,11.512701829232013,11.703290118924865,10.495307666588076,10.989706925492815,9.668750000000001,9.668749999999996,9.054708234621511,9.128637708763673,8.224121643581395,8.09007281989079,4.7375,4.932499999999996,4.566150878782676,4.616604141112939,4.873469509669003,4.802922461312715,7.130625,6.921250000000002,6.899710525910397,7.306677653999814,6.829649474529341,6.425892960763283,11.084583333333335,11.084583333333333,10.961948179303953,10.816111979726697,11.53889882137159,10.9825447290187,4.36375,4.45875,4.296424135515101,4.290635854774248,4.485791559507423,4.701462827762699,9.46671875,9.46671875,9.253479488154863,9.118973123733234,9.09621901854563,9.329972148026888,9.4525,9.585,9.29674200188159,9.349727205275512,9.373133645097845,9.480150229331905,2.6750000000000003,2.92,2.6433081674447356,2.855908561264604,2.6173536600739427,2.386735416352902,4.68375,4.803750000000004,4.50043850009436,4.657436763258878,4.7776684984304305,4.8859901063561475,5.0424999999999995,5.038750000000001,4.9092295159468025,4.821890969879122,6.274075346000216,6.109257123490126
2006-02-28,POMRB,4.65,10.47,10.0,9.0125,13.9875,10.55,4.45,7.125,11.232500000000002,4.21,8.306875,9.27,2.93,4.51,2.99,4.64125,4.6875,4.502238358417841,4.355468627086548,4.774806596409208,4.323887122478968,8.74625,8.541875000000001,8.872149414328838,8.968888027653906,9.411030742806288,9.367290784465453,9.53875,9.514999999999997,9.678721357261399,9.579806741023942,9.63521583830263,9.924550569257331,9.544895833333335,9.544895833333332,9.288909389540995,9.34670498791894,9.428125770635813,9.543496884282831,12.126874999999998,12.290875000000003,12.502621097539208,12.52093434638648,12.12323564056092,11.475013219030144,9.744375,9.668749999999996,9.652824940772907,9.621636041864106,10.487004571538586,9.747222136005309,4.56375,4.7949999999999955,4.519690527269606,4.540243742372087,4.984503729407061,4.969287937932828,7.327500000000001,7.022500000000003,6.989826315546239,7.3405546239863355,7.482647523147186,7.15120933523249,10.131770833333334,11.084583333333333,11.070168907582373,10.981807670566344,11.43319494398068,11.161728859139668,4.26125,4.3637500000000005,4.2618544813090615,4.2569906831042745,4.328309661725129,4.144240827290687,9.52190625,9.46671875,8.874837692892918,8.826511360799284,8.408334315480209,8.932823458832045,9.421875,9.4675,9.286045201128953,9.324465270895256,9.479583789458582,9.31633250627474,2.401979166666666,2.9031249999999997,2.7579849004668415,2.940799383078625,3.0470221226315477,2.6968715510397963,4.68,4.683750000000003,4.504263100056615,4.637756016603081,4.66254630085391,4.595794900558055,3.9456249999999997,5.031250000000001,4.141537709568082,4.106740828055065,5.0756712235261725,4.667808168434718
2006-05-31,PREMON,5.05,8.945,10.0,10.425,11.361666666666665,10.55,5.42,7.865,12.14,4.09,12.5,10.12,2.8,5.715,3.8,4.81375,4.575,4.721343015050705,4.56210925267451,5.18594236696177,4.669009171097288,9.394375,8.541875000000001,8.901289648597302,9.006038534289798,8.990989647130775,8.935168733774137,9.315,9.514999999999997,9.807232814356839,9.689144350279976,10.58257155541398,9.924550569257331,9.544895833333333,9.544895833333332,9.743345633724598,9.570169465632137,10.694069874897728,10.483829054799791,12.242458333333333,12.161291666666669,12.046239325190191,12.317350021970134,13.52129148983647,12.431877594759074,10.052777777777779,9.668749999999996,10.011694964463745,9.940976630572374,10.267191117922476,10.597385522102359,4.6425,4.679999999999995,4.879814316361764,4.795033020173569,5.265236821057124,4.6036659428650815,7.4275,7.238750000000003,7.339895789327743,7.5115103344902465,7.31389983197193,7.145946959258121,8.277291666666667,11.084583333333333,11.498101344549424,11.563727335363033,11.680220722652791,11.704152485881684,4.230625,4.3637500000000005,4.193112688785437,4.191703352786099,4.758259594810984,4.034309161776103,9.523135416666666,9.46671875,10.32490261573575,9.862430977357324,11.951584699715731,11.231716992739374,9.701249999999998,9.437499999999998,9.619627120677372,9.605881915486728,9.576402153365335,9.413494848597937,2.2914583333333334,2.4468749999999995,2.7747909402801048,2.9486769792895595,4.324313145210393,4.647501070293847,4.679375,4.683750000000003,4.9885578600339695,4.958328145177634,5.0581835493691205,5.047373105624748,2.86625,5.053750000000001,4.004922625740849,3.9589916669427963,4.938613841028728,4.185058935582944
2006-08-31,MONSOON,5.13,9.7975,8.25,9.336666666666668,10.756666666666666,10.55,4.62,7.795,2.15,4.67,8.5015,9.745,1.2833333333333332,4.54,2.29,5.036249999999999,4.7075,4.884805809030423,4.727975472407885,3.933691306087838,4.457724036724263,9.838125,8.950625,9.25977378915838,9.35892247938088,8.406056926722393,8.91267608533386,8.855,9.562499999999996,9.184339688614104,9.279396520468223,8.96362981997531,8.033781833541951,9.544895833333333,9.544895833333332,9.580674046901425,9.590088555900296,9.106449799513197,9.507648982304099,12.346020833333332,12.092458333333337,11.53041026178078,11.991295735283655,12.601395205941106,12.024294669601504,10.221388888888889,9.819999999999995,10.227016978678247,10.147830091830974,9.812212764668425,10.184116605550802,5.05,4.447499999999995,4.775888589817058,4.715092378928216,4.273473244000227,4.429431353784089,7.4193750000000005,7.416250000000003,7.521937473596646,7.6512381058737855,7.155892936413758,6.925449759399437,6.5278125000000005,9.178958333333332,7.758860806729654,6.26397514847241,10.14077340400219,10.543106670648534,4.282625,4.1587499999999995,4.383867613271262,4.3631626985061756,3.9815309801032956,4.418548920441904,9.469177083333333,9.57709375,9.59554156944145,9.584329869544101,8.459277349965781,9.310924708266574,10.025625,9.406249999999998,9.669776272406423,9.65737513373609,9.697536954945138,9.655934651327001,2.123333333333333,2.3570833333333328,2.1782078975013963,2.398165510670286,1.2628138818150965,0.8800229307155298,4.742500000000001,4.676250000000003,4.809134716020382,4.864741369347151,4.616881158466439,4.648458854972034,2.9400000000000004,2.837500000000001,3.3189535754445094,3.29984279060381,3.5526571162684544,5.722534473790124
2006-11-30,POMKH,4.85,10.14,8.02,9.405416666666666,13.464,9.492222222222225,4.86,6.9700000000000015,3.98,4.24,8.568333333333335,10.85,1.89,3.965,2.5,5.1375,4.92,4.870883485418254,4.736890283917483,4.84625789462502,4.869956815670957,10.14375,9.838125000000002,9.611864273495028,9.709613259890286,8.060757592086041,8.20031259502293,8.48625,9.067499999999995,8.718603813168462,8.92016154518074,8.985734336246223,10.023466659112362,9.470052083333334,9.544895833333332,9.51057109480752,9.617750872296352,9.413503200898537,9.557687997903658,12.367708333333333,12.392458333333336,12.303846157068467,12.569363997579742,11.15221766460698,11.541526725558217,10.096111111111114,10.28555555555555,9.933099076095838,9.909988964222508,8.251957556805715,8.59526112217894,5.257500000000001,4.837499999999995,4.809533153890235,4.736696278387721,4.248153918848825,4.148569684517971,7.40625,7.438750000000003,7.301162484157988,7.6067885475661186,7.214739883181905,6.886140304582439,4.83,7.375624999999998,6.247316484037793,4.932933167669316,6.35009505264686,5.858546368261394,4.333875,4.3025,4.326320567962757,4.313850340866684,4.020868488088709,4.127261980971505,9.144098958333334,9.469177083333333,9.184658274998203,9.32993397259921,9.15859993820922,9.004449493585046,10.0625,9.996249999999998,10.141865763443853,10.07802465928854,8.962450681564325,9.160565042388496,2.1189583333333335,2.225833333333333,2.062924738500838,2.2604789752867767,1.9582902856710245,1.9914853819940639,4.669079861111111,4.682500000000003,4.471480829612229,4.6369404075360405,4.712536258813581,4.747368327669035,2.99125,2.895000000000001,2.9913721452667055,2.963438952429179,3.202947967340237,2.405766589418523
