Date,Season,Bagodar,Jamua,Pirtanr,Deori,Gande,Bengabad,Tisri,Giridih,Bagodar_Trend,Bagodar_SMA,Bagodar_EWMA,Bagodar_DES,Bagodar_TES,Bagodar_ARIMA,Jamua_Trend,Jamua_SMA,Jamua_EWMA,Jamua_DES,Jamua_TES,Jamua_ARIMA,Pirtanr_Trend,Pirtanr_SMA,Pirtanr_EWMA,Pirtanr_DES,Pirtanr_TES,Pirtanr_ARIMA,Deori_Trend,Deori_SMA,Deori_EWMA,Deori_DES,Deori_TES,Deori_ARIMA,Gande_Trend,Gande_SMA,Gande_EWMA,Gande_DES,Gande_TES,Gande_ARIMA,Bengabad_Trend,Bengabad_SMA,Bengabad_EWMA,Bengabad_DES,Bengabad_TES,Bengabad_ARIMA,Tisri_Trend,Tisri_SMA,Tisri_EWMA,Tisri_DES,Tisri_TES,Tisri_ARIMA,Giridih_Trend,Giridih_SMA,Giridih_EWMA,Giridih_DES,Giridih_TES,Giridih_ARIMA
2005-11-30,POMKH,5.466666666666666,5.825,9.0,4.668571428571427,2.8,6.0,2.02,4.575,6.560833333333333,6.026666666666668,5.660036393842091,5.632103350628348,4.569061970994853,4.820804264977867,7.153125,6.667500000000006,6.2150949358657686,6.361274522951679,5.514121579202121,5.109807364503723,9.99875,8.894166666666665,8.646430250282407,8.693928594619448,7.287913422322381,7.248691598226972,6.086874999999999,6.305952380952379,5.704493987533148,5.202219657539294,5.495080402398529,5.010675896135095,5.5225,5.4875,4.166552973754727,4.6671873202031895,3.9515252352762045,3.9957565147745893,6.710000000000001,6.362499999999999,5.887570937046419,6.561989997836503,3.8910883087474493,3.434333864358744,3.0728124999999995,3.4068750000000025,2.675823243893477,3.1486743369786776,1.9414470799340542,1.9845799905082768,6.5325,6.036250000000001,5.441974219913124,5.173786202517333,4.741462923290639,4.731973951305697
2006-02-28,POMRB,7.1933333333333325,8.055,11.11,6.69875,9.73,7.45,4.305,6.725,6.5687500000000005,6.5166666666666675,6.273355169638588,5.983402197550463,6.1822828989361165,6.346420864585456,7.0062500000000005,7.156250000000005,6.951056961519461,6.951481226821586,6.633044238541009,6.619737557785792,10.258750000000001,9.622499999999999,9.631858150169444,9.870462847461868,8.379505388375378,8.086541437402422,5.953616071428571,6.181473214285713,6.10219639251989,5.51064555916648,6.543627607275445,6.207284514348583,5.4887500000000005,5.4875,6.3919317842528365,5.052046019846148,6.740249545285192,8.740251001695668,6.36625,6.625,6.512542562227852,7.309400328630899,5.931782546639224,5.837468553748053,2.9803125,3.131250000000003,3.327493946336086,3.371025297379427,5.393951707341211,5.067154547774835,6.328749999999999,6.4300000000000015,5.955184531947874,5.309206035765281,6.348835866978666,5.838009512425742
2006-05-31,PREMON,8.37,9.5,12.41,9.1875,6.699999999999998,8.48,4.0,9.54,6.392083333333334,6.605,7.112013101783153,6.557253635013026,8.76043079563043,8.597950531916362,6.735625000000001,7.150000000000006,7.970634176911677,7.981561782366824,9.26862608774716,9.276192893626218,9.7675,10.374999999999998,10.743114890101666,11.308196076781392,11.586415299878059,11.150111420763947,5.920446428571428,5.992276785714285,7.3363178355119345,7.458382927688601,9.3618801212027,9.401274308376571,5.419999999999999,5.557499999999999,6.515159070551702,5.218246101113252,6.882052091740334,6.042431366369506,5.60125,6.795000000000001,7.299525537336711,8.391396433265582,8.30842076377871,7.314531652009852,2.9462499999999996,3.014375000000004,3.5964963678016515,3.5115123605257113,4.39577071023722,4.197157496636011,5.828749999999999,6.635000000000002,7.389110719168724,5.654400626229936,9.528198625169097,8.98754613813837
2006-08-31,MONSOON,5.1,4.07,8.05,3.105,2.45,1.82,1.46,3.25,6.0501041666666655,6.532500000000001,6.307207861069892,6.43294140047261,4.859120956875466,5.259187665228014,6.42671875,6.862500000000006,6.410380506147006,7.0329557579801145,4.814240819683512,4.86261977201478,9.3925,10.142499999999998,9.665868934060999,10.495898704552426,8.285489016846228,9.3966859353059,6.0160937500000005,5.914955357142857,5.643790701307161,5.328759301574078,3.693470537507682,3.65316708361917,5.04625,5.419999999999999,4.889095442331021,5.076575797254999,3.0980022340273514,3.2822446296909447,5.0825,5.937500000000001,5.107715322402027,5.784288156068024,4.069964764933379,4.511719656851949,2.94625,2.946250000000004,2.741897820680991,3.018581344687559,1.65387178751915,1.8148014281899716,5.57421875,6.022500000000002,5.733466431501234,5.482016771070266,4.747816582099922,4.735374106128241
2006-11-30,POMKH,4.343333333333333,4.81,6.0,4.7125,2.8,3.31,2.02,3.025,5.760625000000001,6.251666666666668,5.521658049975268,6.138112170233734,5.29145870759282,4.950547325600649,6.188437499999999,6.608750000000007,5.770228303688203,6.380083971864646,5.54040152851512,5.267865100920847,9.17875,9.392499999999998,8.199521360436599,8.967677316247823,8.590568969058562,8.755818595700493,6.237633928571428,5.9259375,5.271274420784296,4.703530433292918,4.8121462087661,4.612719951335024,4.722499999999999,5.419999999999999,4.053457265398612,4.956858415628037,4.0159056499159425,3.3642457671393564,4.8525,5.265000000000001,4.388629193441216,4.446749041814384,4.012317239571748,3.9040843104233227,2.94625,2.946250000000004,2.4531386924085945,2.710688953123931,1.8432561638741207,2.0377212409338368,5.620937499999999,5.635000000000002,4.650079858900741,5.305048091393821,4.3273188835587355,3.3275193091862336
2007-02-28,POMRB,5.580833333333333,6.59875,11.11,7.420000000000001,6.74,5.989999999999998,4.305,6.23875,5.395625,5.8485416666666685,5.545328163318494,6.08774450168841,6.463594394974664,6.4335405166459605,6.0284375,6.244687500000007,6.101636982212922,6.3849718840689365,6.659455136777135,6.936232999693045,9.023125,9.392499999999998,9.363712816261959,9.912161293309858,8.59793847817333,8.925137069480224,6.466964285714287,6.10625,6.130764652470578,5.980924770978507,6.223141217289096,6.1499947451281365,4.70375,4.6724999999999985,5.128074359239168,5.116994618787038,7.239779651948572,8.84104181374504,4.902499999999999,4.9,5.029177516064729,4.792491832190499,5.901495801389915,6.125740298949759,3.09125,2.9462500000000045,3.1938832154451564,3.0049997974921685,4.622129554147856,4.521664703272264,5.7409375,5.513437500000002,5.2855479153404445,5.392570912672164,5.439231405718264,5.217115679840917
2007-05-31,PREMON,7.666666666666668,9.05,10.7,10.23857142857143,7.1,8.1,4.0,10.4,5.1485416666666675,5.672708333333336,6.393863564657764,6.451460907053429,8.241459288299762,7.962523931208915,5.854687500000001,6.132187500000008,7.280982189327753,7.231488815342348,9.29489666466834,8.879188161143164,9.26875,8.965,9.898227689757174,10.4422327397206,11.749805623940977,11.596397835610645,6.574955357142858,6.3690178571428575,7.773887362910919,8.954736426377634,9.560852260154501,9.678933762168125,4.635,4.772499999999998,5.9168446155435,5.300984867924376,6.856996856521354,5.7564090767508755,5.02375,4.805000000000001,6.257506509638837,6.282058801911794,8.195293674901766,7.520582948205702,3.2362499999999996,2.9462500000000045,3.5163299292670938,3.2182882078092403,4.120009035115434,4.019720474701601,5.750312500000001,5.728437500000002,7.331328749204267,5.7986865371732,8.803261399161272,8.852905413927449
2007-08-31,MONSOON,2.8833333333333333,3.24,8.515,3.888571428571428,1.9,2.6,2.62,3.35,5.0851041666666665,5.118541666666669,4.989651472127991,5.8362639521962905,4.4381123289751425,3.9709085849804797,5.71296875,5.924687500000008,5.664589313596652,6.066634474542349,4.8403964118144875,4.405389193706661,9.456249999999999,9.08125,9.344936613854305,9.897365277103095,7.976805330359839,9.041852906411357,6.430714285714286,6.564910714285714,6.219760989175122,7.069922795882998,4.317339270335941,4.1867833070418925,4.2612499999999995,4.634999999999998,4.3101067693261,5.1096318217573735,3.0403964715780143,3.1765539993870857,4.94875,5.000000000000001,4.794503905783302,4.738054862047555,3.9343527050576084,4.019933349428558,3.23625,3.2362500000000045,3.1577979575602564,3.076882235813414,1.5284943844791634,1.7050875915900972,5.74859375,5.753437500000002,5.73879724952256,5.62323773211687,4.714229046143751,4.839476053239227
2007-11-30,POMKH,4.583333333333333,4.25,7.5,4.792857142857144,2.8,3.5,2.02,3.0,4.655833333333334,5.178541666666669,4.827124216610128,5.580563024091364,4.143678305791772,3.6853604882981075,5.62125,5.784687500000008,5.098753588157992,5.371336793965858,5.566558751004443,4.7816285773597365,9.555,9.45625,8.606961968312582,9.04194796348948,8.47684516684443,8.300498695158783,6.174821428571428,6.585000000000001,5.64899945064793,5.971959148366141,5.515650184822302,5.177629612945573,3.7875,4.634999999999998,3.7060640615956597,4.980192648025204,3.8653666493857384,2.7977695287841726,4.125,5.047500000000001,4.276702343469982,3.972878138712138,3.919389500450504,3.7933829777346992,3.355625,3.2362500000000045,2.702678774536154,2.800104964496425,2.0841397067912752,2.322805297646287,5.54375,5.747187500000003,4.643278349713536,5.433666741766509,4.352002236868182,3.3178982737182654
2008-02-29,POMRB,4.833333333333333,6.025,11.11,6.185714285714285,3.75,5.2,4.305,6.25,4.386666666666667,4.991666666666669,4.82960786329941,5.391233181220833,5.681973154680413,5.241305978435398,5.711875,5.641250000000009,5.469252152894795,5.3727764498259525,6.685691288119355,6.4295913459801515,9.595625,9.45625,9.60817718098755,9.886343021418629,8.89085554382604,9.571739471091039,6.003601190476191,6.276428571428571,5.863685384674472,5.96147332638428,6.61591501711445,6.484404617125846,3.75625,3.887499999999998,3.723638436957396,4.917038651167599,7.165724001289282,7.64622620164022,3.45125,4.850000000000001,4.646021406081989,4.277726540255944,5.818661258987291,6.096798230318508,3.475,3.2362500000000045,3.343607264721692,3.118509508612443,4.545359325185479,4.175426888534501,5.249375000000001,5.750000000000003,5.285967009828122,5.512370372550292,5.442242878101596,5.492804799094152
