Date,Season,Mirpur,Akhnoor,Mirpur_Trend,Mirpur_SMA,Mirpur_EWMA,Mirpur_DES,Mirpur_TES,Mirpur_ARIMA,Akhnoor_Trend,Akhnoor_SMA,Akhnoor_EWMA,Akhnoor_DES,Akhnoor_TES,Akhnoor_ARIMA
1996-02-29,POMRB,3.2851871247486844,3.844,,,3.2851871247486844,3.363960660005532,3.295219002904122,0.0,,,3.844,3.7299466244519066,3.6919914474424482,0.0
1996-05-31,PREMON,4.0130565862708725,4.385,,,3.5763349093575596,3.3716477899573323,4.032481666878262,1.911754532313653,,,4.0604,3.9083930403923173,4.773033135482372,3.5289039445595654
1996-08-31,MONSOON,1.8639136925166335,1.9,2.952553680931091,,2.891366422621189,3.3423798073298534,1.8922644809167355,2.7966248583348787,3.3047499999999994,,3.1962399999999995,3.3715896809313954,2.14082009004266,3.945895972386621
1996-11-30,POMKH,2.6480573201881734,3.135,2.952553680931091,2.952553680931091,2.794042781647983,3.326716370496334,2.684787629843503,2.679898822572112,3.275583333333333,3.316,3.1717439999999995,3.3103106264710087,2.650306655590023,3.096660676430931
1997-02-28,POMRB,3.2851871247486844,3.7539999999999996,2.952553680931091,2.952553680931091,2.990500518888264,3.3221100288010708,3.3297104992155044,2.8632792911762537,3.2838125,3.2935000000000003,3.4046463999999994,3.4317051674413563,3.805392246014466,3.480529334408887
1997-05-31,PREMON,4.0130565862708725,4.241666666666666,2.952553680931091,2.952553680931091,3.3995229458413077,3.3301074830712487,4.064799419208409,3.5697472561540047,3.3014166666666664,3.2576666666666667,3.7394545066666662,3.6515575923322605,4.756672375868779,4.148815524667769
1997-08-31,MONSOON,1.8639136925166335,2.1091666666666664,2.952553680931091,2.952553680931091,2.785279244511438,3.3011598617467794,1.9224334053048966,2.083958762433954,3.532285714285714,3.3099583333333333,3.0873393706666663,3.23974418023336,2.0434559168776802,2.13164997889346
1997-11-30,POMKH,2.6480573201881734,3.0666666666666664,2.952553680931091,2.952553680931091,2.730390474782132,3.285824749669934,2.7128372922259882,2.633334681160758,4.057113095238095,3.292875,3.0790702890666664,3.195435115792487,2.7484968739812716,3.156799627708911
1998-02-28,POMRB,3.2851871247486844,5.6692857142857145,2.952553680931091,2.952553680931091,2.952309134768753,3.2815530590500677,3.355674784941181,3.142689992873741,4.659866071428572,3.771696428571429,4.115156459154285,3.8620293643185373,3.7973471118412716,3.6352043469394593
1998-05-31,PREMON,4.0130565862708725,6.525,2.952553680931091,2.952553680931091,3.376608115369601,3.289889802335589,4.088716206511114,3.863846277267724,5.291815476190477,4.342529761904762,5.079093875492571,4.57986701010588,5.975635244848371,5.415447622681192
1998-08-31,MONSOON,1.8639136925166335,4.647857142857143,2.952553680931091,2.952553680931091,2.7715303462284138,3.2612901618761603,1.9443442383932512,1.9036345008464242,5.749813311688312,4.977202380952381,4.9065991824384,4.601206534505839,3.9414444871711867,3.7890781140437166
1998-11-30,POMKH,2.6480573201881734,5.583571428571429,2.952553680931091,2.952553680931091,2.7221411358123175,3.2463098329759883,2.7327870937466003,2.6060135085650007,5.995698051948052,5.606428571428571,5.177388080891612,4.868150478117554,5.055227583919972,5.106270475727044
1999-02-28,POMRB,3.2851871247486844,6.816363636363636,2.952553680931091,2.952553680931091,2.9473595313868644,3.242398242174746,3.3737115498992685,3.184109987920964,6.168555194805195,5.893198051948052,5.832978303080422,5.394689079568737,6.238160444286301,6.384522593326762
1999-05-31,PREMON,4.0130565862708725,7.3450000000000015,2.952553680931091,2.952553680931091,3.3736383533404677,3.251098883320463,4.104890702318186,3.8973720681905455,6.25721590909091,6.098198051948053,6.437786981848253,5.922145008566184,7.591097232229046,6.9164389514346
1999-08-31,MONSOON,1.8639136925166335,5.2107142857142845,2.952553680931091,2.952553680931091,2.769748489010934,3.2228705439566085,1.9587097065149122,1.8996361184022068,6.299456168831169,6.238912337662338,5.946957903394666,5.735043617704487,5.049433605020203,4.9797572883109975
1999-11-30,POMKH,2.6480573201881734,5.73,2.952553680931091,2.952553680931091,2.7210720214818296,3.2082672136229045,2.7453989925190116,2.620240385143576,6.396934523809523,6.275519480519481,5.8601747420368,5.7375435641356045,5.81544434805166,5.708773624040623
2000-02-29,POMRB,3.2851871247486844,7.007857142857143,2.952553680931091,2.952553680931091,2.9467180627885714,3.204736984155138,3.384627280425521,3.2137852384741183,6.574553571428571,6.323392857142857,6.319247702364937,6.0825908130756,6.60680493924305,7.377697572074876
2000-05-31,PREMON,4.0130565862708725,7.933333333333333,2.952553680931091,2.952553680931091,3.373253472181492,3.213821999115597,4.1141693419377585,3.931682717054238,6.803630952380952,6.47047619047619,6.964881954752295,6.58376621408868,7.846726495852925,7.58751716462588
2000-08-31,MONSOON,1.8639136925166335,6.043333333333332,2.952553680931091,2.952553680931091,2.7695175603155486,3.1859842103667693,1.9664117451510374,1.8822730408976884,6.935603354978354,6.678630952380952,6.5962625061847096,6.443037474135728,5.517314731931472,5.747927386940603
2000-11-30,POMKH,2.6480573201881734,6.729999999999998,2.952553680931091,2.952553680931091,2.720933464264599,3.1717760841718605,2.7515861113051434,2.6215712404201463,6.92715909090909,6.928630952380952,6.649757503710825,6.5244426152894786,6.516013651358327,6.494905953417364
2001-02-28,POMRB,3.2851871247486844,7.0636363636363635,2.952553680931091,2.952553680931091,2.9466349284582334,3.1686445272306094,3.389362114370302,3.225308811499953,6.833729603729603,6.942575757575758,6.8153090476810405,6.673648746294389,7.498399027301724,7.624615693448076
