Date,Season,Vijaypur,Sheopur,Karahal,Vijaypur_Trend,Vijaypur_SMA,Vijaypur_EWMA,Vijaypur_DES,Vijaypur_TES,Vijaypur_ARIMA,Sheopur_Trend,Sheopur_SMA,Sheopur_EWMA,Sheopur_DES,Sheopur_TES,Sheopur_ARIMA,Karahal_Trend,Karahal_SMA,Karahal_EWMA,Karahal_DES,Karahal_TES,Karahal_ARIMA
1997-08-31,MONSOON,4.495,9.55,4.571428571428571,5.5004687500000005,5.395312499999999,5.43476704,6.878365732580439,3.3873024612034923,3.917650662414685,10.130416666666665,11.283333333333333,10.316506239999999,10.360884555936094,6.9430201310218855,7.745147070068109,6.895357142857141,7.502857142857144,7.102048091428571,7.669214246191181,3.723437793631893,2.4559218418175557
1997-11-30,POMKH,4.615,11.126666666666665,5.2385714285714275,5.30359375,5.57125,5.106860224,6.232102487600762,5.972831918929534,4.914360142912493,9.615416666666667,10.594166666666666,10.640570410666665,10.632031324157571,13.240314666755587,13.637773982165545,6.404107142857143,7.4325,6.356657426285714,7.583153983318943,6.143777593446612,6.323382551223185
1998-02-28,POMRB,4.63,7.06,4.184285714285714,5.1575,5.4296875,4.9161161344,5.78268206122688,6.10233378557377,5.376544689700107,9.0875,9.666666666666668,9.208342246399999,9.42639600812756,11.180480154458392,9.782417059567369,6.375357142857142,6.3582142857142845,5.487708741485713,7.40405948952615,8.077778030713382,7.852622426259812
1998-05-31,PREMON,6.97,10.52,11.805714285714286,5.02734375,5.1775,5.73766968064,6.797725298785802,6.592857237071019,6.822594593556142,7.812916666666666,9.564166666666667,9.733005347839999,9.808230910673691,10.38629394908217,8.624173093958401,6.277857142857143,6.449999999999999,8.014910959177142,7.838403640455861,9.89560733402106,9.070243117828564
1998-08-31,MONSOON,4.335,5.736666666666667,3.974285714285714,4.943593750000001,5.1375,5.1766018083839995,5.887817285461648,2.5259924092755117,3.446607869813007,7.186666666666666,8.610833333333332,8.134469875370666,8.431674995647068,6.512733070339156,8.61559638466537,6.7057142857142855,6.300714285714285,6.398660861220571,7.631035733670084,3.0754066801662567,3.78734750469438
1998-11-30,POMKH,3.73375,4.743333333333333,5.055714285714286,5.0082812500000005,4.917187500000001,4.5994610850304,4.974017336444998,5.670985379398541,4.684726473823065,7.624583333333333,7.014999999999999,6.778015258555732,7.184228084820198,10.239023774527553,9.735534764033734,7.136607142857144,6.255000000000001,5.861482231018057,7.504655229169772,5.514043185161232,5.679523106024731
1999-02-28,POMRB,4.8412500000000005,8.433333333333334,7.79,4.9634375,4.9700000000000015,4.6961766510182406,5.015890702413368,5.338273572934903,4.438106389414829,7.8925,7.358333333333332,7.440142488466773,7.616763091522352,6.213803834299869,4.697846854637262,7.203958333333334,7.156428571428572,6.632889338610834,7.5945899321909724,7.608716873437156,6.318086952305791
1999-05-31,PREMON,7.27625,12.65,11.647142857142859,5.090937500000001,5.046562500000002,5.728205990610944,6.396562107437328,6.606841593649119,6.999531194650816,8.83,7.890833333333332,9.524085493080065,9.338253745234828,9.213698200505268,10.09428354925255,7.183958333333334,7.116785714285715,8.638590746023644,7.993406551235476,10.891618285457323,11.823230728622267
1999-08-31,MONSOON,3.67,5.75,4.671666666666667,5.77140625,4.880312500000002,4.904923594366567,5.210919693523879,2.773128940091498,3.9712545111414617,10.538854166666667,7.894166666666666,8.014451295848039,8.125796811060594,6.619473271626429,9.236396882524405,7.3151785714285715,7.2911309523809535,7.051821114280853,7.8207036617809145,3.6562913342687544,3.7703950084971085
1999-11-30,POMKH,5.41875,12.23,4.198333333333333,6.543524305555556,5.301562500000002,5.11045415661994,5.441170789367232,5.190473552810596,3.8742408328744387,11.3503125,9.765833333333333,9.700670777508822,9.531455966353855,9.251381496224393,6.5270705640620355,7.491220238095239,7.076785714285714,5.910426001901844,7.603865717561806,6.136813700164386,5.75577390186934
2000-02-29,POMRB,8.6,14.6175,9.697142857142856,7.30095486111111,6.241250000000001,6.506272493971964,7.37326386311092,6.585278483501908,5.784322782730572,12.1125,11.311875,11.667402466505294,11.272848405751477,10.749920011636846,11.042693309411911,7.380624999999999,7.553571428571429,7.425112743998249,7.827985602717799,7.699303796521247,6.356351413559769
2000-05-31,PREMON,9.694444444444443,12.9575,11.148333333333332,8.209600694444443,6.845798611111111,7.781541274160956,9.176027157396208,9.85756757753819,9.865288251672997,13.349166666666665,11.38875,12.183441479903177,11.857791073101083,14.760799496417075,15.012984181796746,7.6950892857142845,7.428869047619047,8.914400979732282,8.16594066024129,11.635341920037712,12.681149339032068
