Date,Season,Bamra,Jamankira,Rairakhol,Dhankauda,Maneswar,Naktideul,Jujomura,Kochinda,Rengali,Bamra_Trend,Bamra_SMA,Bamra_EWMA,Bamra_DES,Bamra_TES,Bamra_ARIMA,Jamankira_Trend,Jamankira_SMA,Jamankira_EWMA,Jamankira_DES,Jamankira_TES,Jamankira_ARIMA,Rairakhol_Trend,Rairakhol_SMA,Rairakhol_EWMA,Rairakhol_DES,Rairakhol_TES,Rairakhol_ARIMA,Dhankauda_Trend,Dhankauda_SMA,Dhankauda_EWMA,Dhankauda_DES,Dhankauda_TES,Dhankauda_ARIMA,Maneswar_Trend,Maneswar_SMA,Maneswar_EWMA,Maneswar_DES,Maneswar_TES,Maneswar_ARIMA,Naktideul_Trend,Naktideul_SMA,Naktideul_EWMA,Naktideul_DES,Naktideul_TES,Naktideul_ARIMA,Jujomura_Trend,Jujomura_SMA,Jujomura_EWMA,Jujomura_DES,Jujomura_TES,Jujomura_ARIMA,Kochinda_Trend,Kochinda_SMA,Kochinda_EWMA,Kochinda_DES,Kochinda_TES,Kochinda_ARIMA,Rengali_Trend,Rengali_SMA,Rengali_EWMA,Rengali_DES,Rengali_TES,Rengali_ARIMA
1996-02-29,POMRB,2.77,4.1160000000000005,4.98,3.4575000000000005,3.5966666666666662,6.19,3.846,2.865,3.22,,,2.77,6.074474528972711,3.085725754195857,0.0,,,4.1160000000000005,7.79801016136361,4.623212297596345,0.0,,,4.98,9.00688954974293,5.812208151883259,0.0,,,3.4575000000000005,2.635541109477529,3.7567362624335425,0.0,,,3.5966666666666662,4.283455163179092,3.606666666666666,0.0,,,6.19,9.552915942898743,6.440306591278728,0.0,,,3.846,7.665582603511171,4.571372946570096,0.0,,,2.865,6.478808432990935,3.0578617543023983,0.0,,,3.22,4.284083983979316,3.622904779445569,0.0
1996-05-31,PREMON,4.68,6.336,7.44,5.727500000000001,5.946666666666666,8.2,6.292000000000002,4.9350000000000005,5.88,,,3.534,8.250204037997117,4.843005004099818,2.769992494476382,,,5.0040000000000004,10.024877942437767,6.080700191871977,1.8216120234003183e-06,,,5.964,11.377374662015553,7.557734279654438,1.9638384895937264,,,4.365500000000001,2.1485934307966095,5.1584385356055265,-1.401689007004803e-21,,,4.536666666666666,6.256894791793826,5.965503231763619,0.0,,,6.994,11.37263711062579,7.605539317205023,2.849662624419892,,,4.824400000000001,10.054136058868542,6.051514555125113,3.845991927849295,,,3.6930000000000005,8.900940089167982,4.829927322362511,9.447443517657272e-07,,,4.284,6.8762142415677365,4.701887759951259,1.0629490262870522
1996-08-31,MONSOON,1.26,2.445,4.92,0.7166666666666667,1.7555555555555555,3.6,3.664,0.5850000000000001,0.89,2.9168749999999997,,2.6243999999999996,6.780495467399469,1.0842749410079273,3.6850811243109183,4.432625,,3.9804000000000004,8.259163720833014,1.9650201193583379,3.4113578008625136e-06,5.699999999999999,,5.5464,10.614233569801682,3.2713051868469925,2.557155526885238,3.359724702380953,,2.905966666666667,1.2297752207501496,1.4267676592868463,2.7701349925359923e-21,3.673194444444444,,3.424222222222222,5.484496068715008,1.7820898055996777,0.0,5.75875,,5.6364,9.69609418191516,3.406996780269246,4.0925034526463095,4.7845,,4.360240000000001,8.63544242694893,2.6503760402678176,5.336791491919896,3.0768750000000002,,2.4498,6.879670631052799,0.601793782035692,1.8521832629866654e-06,3.2225,,2.9263999999999997,5.736305228074028,1.5548735896356995,2.040016261271888
1996-11-30,POMKH,2.85,4.1975,4.53,3.1728571428571435,3.081111111111112,4.84,4.682,3.41,2.93,3.155,2.8899999999999997,2.71464,5.875715263281286,1.9271277715679052,3.0055089643892563,4.67775,4.273625000000001,4.06724,7.225361070196857,3.527532920122364,1.7263124551341229e-06,6.0075,5.467500000000001,5.13984,8.868168193783864,4.463134856627792,2.2386875444890744,3.3202380952380954,3.268630952380953,3.0127228571428577,1.0973389595896963,2.576224951612104,3.90604063121297e-21,3.568948412698412,3.595,3.286977777777778,5.43875575518911,3.114238755165647,0.0,5.81625,5.7075000000000005,5.31784,8.3975782908701,5.118717413664756,3.3191457171540595,4.953166666666666,4.621,4.488944000000001,7.456770976928526,3.7144681223730145,4.13813276093512,3.300625,2.9487500000000004,2.83388,6.286900489312013,2.6354570285538115,2.849831826925588e-07,3.1075,3.23,2.9278399999999998,5.506301177184883,2.4385613807344306,1.0717699522586714
1997-02-28,POMRB,2.985,5.388,6.84,4.18625,4.2222222222222205,6.6,5.154000000000001,3.89,3.16,3.4362500000000002,2.9437499999999996,2.822784,4.874600998851387,3.385877082339049,2.682234649094788,4.7139999999999995,4.5916250000000005,4.595544,6.797162750980753,4.82422495024226,4.1160004313810905,5.976666666666666,5.932500000000001,5.819904,8.468188691807654,5.964195497961865,4.865607259245158,3.187574404761905,3.450818452380953,3.4821337142857147,1.2658676798819324,3.7760837749109073,3.45749948557989,3.360535714285714,3.7513888888888887,3.6610755555555548,5.883343208397392,3.627431861106645,3.5966666666666662,5.46125,5.81,5.830704000000001,7.976537163459755,6.521491489302015,5.966081318742982,4.69075,4.948,4.754966400000001,6.532904642085841,5.0707766864521275,3.9549957246012255,3.4943749999999993,3.2050000000000005,3.256328,5.709348827814069,3.208152230344691,2.864999584171269,2.96875,3.2149999999999994,3.0207040000000003,5.167308031625758,3.7980830474042957,3.042661226061438
1997-05-31,PREMON,6.37,7.025,8.04,4.682857142857143,4.487142857142857,8.25,6.333333333333332,5.6999999999999975,5.02,3.5831250000000003,3.36625,4.2416704,6.072725566867355,5.113656183324523,4.530994577399011,4.6374375,4.7638750000000005,5.567326400000001,7.305307476479553,6.763996758439851,6.917351167678686,5.7995833333333335,6.0825000000000005,6.7079424,8.67888496628477,8.048789504753206,7.802352618806683,3.1678125,3.1896577380952382,3.9624230857142866,1.5744889284555437,5.265567383115563,5.727499147840585,3.2619246031746028,3.386507936507936,3.991502476190475,6.256570249471609,6.048675019769914,5.946666666666667,5.1,5.8225,6.798422400000001,8.36793479787438,7.790016395781146,8.032231531439152,4.28125,4.958333333333333,5.386313173333333,6.561900458041851,6.8208003670731525,6.6053706742978076,3.57125,3.3962499999999998,4.233796799999999,6.1702753085661115,5.356770113505362,5.321691865817607,2.89125,2.999999999999999,3.8204224,5.721573378080905,4.810892445046592,5.412880091187173
1997-08-31,MONSOON,1.82,2.046,4.073333333333333,0.7,1.547777777777778,0.71,1.5233333333333334,1.37,0.64,3.7249999999999996,3.50625,3.2730022400000003,4.1378207430989855,1.8466507326388002,2.112049841307366,4.44675,4.664125,4.15879584,4.706682230560503,2.690019671336463,2.691510280732085,5.390833333333333,5.870833333333334,5.654098773333334,6.393680956724525,3.7839876953686606,4.739825860320578,3.0243526785714288,3.1854910714285714,2.6574538514285715,1.1456088424608248,1.3913764851772292,0.7166665600382514,3.0535912698412697,3.3345634920634915,3.0140125968253964,4.979253351328139,1.6854225695103278,1.7555555555555558,4.9750000000000005,5.1,4.36305344,5.032400844306479,3.549229963736159,3.602905708579996,3.9796666666666662,4.423166666666666,3.8411212373333328,3.52217769732682,3.176695947958228,3.8186611680850113,3.474999999999999,3.5924999999999994,3.088278079999999,3.868285619184272,1.1557390913247634,0.8284957594852929,2.7725,2.937499999999999,2.54825344,3.7608990421717508,1.39122335256446,0.7253670947428787
1997-11-30,POMKH,3.465,3.984,3.96,3.031428571428571,2.5,4.84,3.5466666666666664,3.24,2.56,3.6143749999999994,3.6600000000000006,3.3498013440000003,3.6172804837822676,2.619391729016076,3.2238625490102164,4.152875000000001,4.610750000000001,4.088877504,3.959375503695746,3.9220306856282012,3.820666967376728,4.785833333333334,5.7283333333333335,4.976459264000001,4.749618100746938,4.705964773237569,3.653963320831153,2.944933035714286,3.150133928571428,2.8070437394285714,1.2843760894032472,2.5431507450471598,3.172856670787289,2.9809102182539684,3.1892857142857136,2.8084075580952375,4.423905370064033,2.988066325651581,3.081111111111112,4.71375,5.1,4.553832064,4.478204700660874,4.3084214248958235,3.494685259615313,3.738541666666667,4.139333333333333,3.7233394090666665,2.985720018478322,3.3506381555251186,3.447716842810297,3.28125,3.55,3.1489668479999997,3.2630893982332796,3.5536571501665,3.5601088983949447,2.5725,2.8449999999999993,2.552952064,3.1736189358876774,2.25061436995804,2.6551101282047926
1998-02-28,POMRB,3.505,4.0760000000000005,4.14,3.18,3.1366666666666667,5.6,3.8766666666666665,3.29,2.58,3.5524999999999998,3.790000000000001,3.4118808064,3.331833332137161,4.051373416874634,3.158349220753298,4.149500000000001,4.282750000000002,4.0837265024,3.6239270647759882,5.002880007093895,4.907897835076552,4.5704166666666675,5.053333333333334,4.641875558400001,3.8841977872492643,6.045665652279397,5.847959035804078,3.1765446428571433,2.8985714285714277,2.9562262436571434,1.4769525104476924,3.7296018188900977,3.9628913818412923,3.1190228174603174,2.9178968253968254,2.939711201523809,4.27110828437576,3.931450982554384,4.2222222222222205,4.994999999999999,4.85,4.9722992384,4.565123758938166,5.965737457135898,6.294266409533156,4.078916666666667,3.8199999999999994,3.784670312106666,3.0720139484837947,4.449445000431845,3.990745225770584,3.160625,3.3999999999999995,3.2053801088,2.969230512050058,3.7611725632733535,3.4326207849770975,2.59375,2.6999999999999993,2.5637712384,2.7708586811841514,3.558910645695385,2.999252722455763
1998-05-31,PREMON,4.965,5.9860000000000015,5.9,5.05375,4.99125,7.16,5.6816666666666675,4.75,4.0,3.5006250000000003,3.4387500000000006,4.03312848384,4.0773148702225015,5.728746222852528,5.691271616196174,4.070083333333334,4.0230000000000015,4.84463590144,4.657897069350369,6.405936691229131,6.335763318869466,4.606249999999999,4.518333333333334,5.145125335040001,4.468161325792882,7.578093266382116,6.711529971109386,3.2862589285714288,2.991294642857142,3.795235746194286,2.095617728283389,5.1003239036090235,5.003034407607815,3.1541220238095242,3.0439236111111114,3.7603267209142857,5.007588993282808,4.47102137840222,4.487142857142857,5.4125,4.5775,5.847379543040001,5.55029598255386,7.094709361501234,7.73449140259877,4.568416666666667,3.6570833333333335,4.543468853930667,4.623984132597248,5.980517527766465,5.928487079225775,2.939375,3.1625,3.8232280652800004,3.7309705096324004,5.433534430423853,5.2909040528927305,2.64625,2.4449999999999994,3.1382627430400003,3.2166010496698654,4.475819246022575,5.048991257977954
