Date,Season,Sevapuri,Cholapur,Chirai Gaon,Arajiline,Baragaon,Pindra,Kashi Vidya Peeth,Sevapuri_Trend,Sevapuri_SMA,Sevapuri_EWMA,Sevapuri_DES,Sevapuri_TES,Sevapuri_ARIMA,Cholapur_Trend,Cholapur_SMA,Cholapur_EWMA,Cholapur_DES,Cholapur_TES,Cholapur_ARIMA,Chirai Gaon_Trend,Chirai Gaon_SMA,Chirai Gaon_EWMA,Chirai Gaon_DES,Chirai Gaon_TES,Chirai Gaon_ARIMA,Arajiline_Trend,Arajiline_SMA,Arajiline_EWMA,Arajiline_DES,Arajiline_TES,Arajiline_ARIMA,Baragaon_Trend,Baragaon_SMA,Baragaon_EWMA,Baragaon_DES,Baragaon_TES,Baragaon_ARIMA,Pindra_Trend,Pindra_SMA,Pindra_EWMA,Pindra_DES,Pindra_TES,Pindra_ARIMA,Kashi Vidya Peeth_Trend,Kashi Vidya Peeth_SMA,Kashi Vidya Peeth_EWMA,Kashi Vidya Peeth_DES,Kashi Vidya Peeth_TES,Kashi Vidya Peeth_ARIMA
1996-02-29,POMRB,10.275,7.6,4.66,7.14,4.3925,5.555,7.0950000000000015,,,10.275,11.064542890763427,11.186145159962884,0.0,,,7.6,7.517895171313901,7.618262154386167,0.0,,,4.66,5.222944504313942,4.689599982424831,0.0,,,7.14,7.581390536313243,7.3308466820865,0.0,,,4.3925,3.4501057895507077,4.452497739529744,0.0,,,5.555,5.310174276053607,5.116776234869172,0.0,,,7.0950000000000015,6.607829152411681,6.69147247278763,0.0
1996-05-31,PREMON,14.335,9.345,7.195,7.94,7.9275,6.0749999999999975,8.155,,,11.899000000000001,11.934919260884726,13.111813742165292,10.274945401306677,,,8.298,7.911657278016775,9.024817452581514,7.599980298135723,,,5.6739999999999995,5.65909604878591,7.0110229550250045,4.659984873823798,,,7.46,7.717680801118456,8.553515786412378,7.1399921137473354,,,5.8065,3.9743646051212167,7.3573405188161285,4.392489616187035,,,5.762999999999999,5.612336839683606,6.40614734588471,5.554997795114534,,,7.519,6.9359744349192916,8.471400859653999,7.094992596013506
1996-08-31,MONSOON,10.0,6.25,4.655,8.37,2.8150000000000004,3.165,5.485,11.4625,,11.1394,11.392898254096062,10.320098756998256,13.010240212116658,7.636875,,7.4788,7.475248222521024,6.626392362637286,8.545423596425907,5.363124999999999,,5.266399999999999,5.320726939150657,4.664455471881542,6.020323181292578,7.83875,,7.824,7.939418074027095,7.263899814568599,7.715352488361284,4.533750000000001,,4.6099,3.5128186420564584,3.750954319396673,6.537709538337875,4.500624999999999,,4.723799999999999,4.574208329800318,4.877955673855539,5.979529502971358,6.635625,,6.705400000000001,6.641880890481822,6.017127304039968,7.814266205204828
1996-11-30,POMKH,10.81,7.125,4.58,7.605,3.1825,3.665,6.085,11.549999999999999,11.355,11.00764,11.21818985803958,9.46946667695781,10.424763657698419,7.67875,7.58,7.33728,7.3524276734399026,6.460820818938694,7.581267997506182,5.519375,5.272500000000001,4.99184,5.036128136265215,4.620874642201244,5.460649088191602,8.274375000000001,7.76375,7.7364,7.877019958960192,7.30835645456395,7.999911428044358,4.3803125,4.579375000000001,4.03894,3.2083523988233957,3.6552043525249656,4.546153729859188,4.42375,4.614999999999999,4.300279999999999,4.180687905565673,3.580521321251001,3.705054159487081,6.5912500000000005,6.705,6.4572400000000005,6.533144692534862,5.864050319735678,6.2694170921408805
1997-02-28,POMRB,11.135,8.055,5.385,7.74,4.0275,4.6400000000000015,6.54,12.150000000000002,11.57,11.058584,11.179203053417902,11.702713475115257,10.947567876133506,7.492500000000001,7.69375,7.6243680000000005,7.480153075124619,7.822954126207971,7.363842221040797,5.554375,5.45375,5.1491039999999995,5.036578520693874,5.003565690755767,4.945698470490066,8.7775,7.91375,7.737839999999999,7.87138575080651,7.783191608830748,7.5105976897742135,4.211041666666667,4.488125,4.034364,3.1357240961846435,3.994255884302425,3.3390149615770857,4.828750000000001,4.3862499999999995,4.436168,4.35902417407168,4.305984826624514,4.726603708908241,6.501875,6.566249999999999,6.490344,6.5413581270773005,6.692085027411099,6.734068821396554
1997-05-31,PREMON,14.175,9.225,7.72,10.825,7.065,6.375,8.355,12.449375,11.53,12.3051504,11.97495399034853,13.742431783831941,12.59665669854583,7.07375,7.66375,8.2646208,7.854591103646392,9.316393293969197,8.320742863782172,5.468125,5.585,6.1774624,5.692315575070781,7.460363132028195,5.857637535092935,8.7675,8.635000000000002,8.972704,8.75868286746232,9.058709447535039,7.899085376352316,4.031145833333333,4.272500000000001,5.246618400000001,3.7108126602716935,7.08491764961968,6.901090789533292,5.2231250000000005,4.46125,5.211700800000001,5.1858625610770455,5.536875871631049,4.409033476830655,6.301875,6.616249999999999,7.2362064,6.924768367885351,8.189460847198,7.45267233339338
1997-08-31,MONSOON,14.96,4.88,4.41,9.51,2.3233333333333337,6.105,4.57,11.9425,12.77,13.36709024,12.766624668215394,10.688161608538469,11.453264002934088,6.5,7.321250000000001,6.910772479999999,7.106851536106996,6.775107017988434,7.3942145607253895,5.29,5.52375,5.47047744,5.314233558726279,5.138714271360081,5.700274076348711,8.481874999999999,8.920000000000002,9.1876224,9.013510186463014,8.620874253253614,9.706608517004703,3.7436458333333333,4.149583333333334,4.077304373333334,3.331368635437902,2.8525594964413328,2.661117636180224,5.004375,5.19625,5.569020480000001,5.552758552798587,4.664859186355718,4.926326291384517,6.063124999999999,6.387499999999999,6.1697238400000005,6.442985844936332,5.8852181235816765,6.307331825243569
1997-11-30,POMKH,8.245000000000001,5.145,4.135,6.385,2.235,3.88,5.4,10.636875,12.12875,11.318254143999999,11.522156827029447,11.362459225584049,12.743042028484288,6.04375,6.826250000000002,6.204463487999999,6.603462191264195,6.082377776835828,6.8683206138534825,4.890625,5.4125,4.936286464,4.938766401176181,4.858244987869517,5.255510999786203,7.871874999999999,8.615000000000002,8.066573439999999,8.292925762024907,8.587671357211855,8.689591732733572,3.359375,3.9127083333333337,3.3403826240000005,2.9855649947209844,3.060883506219869,2.7941996253586776,4.6875,5.25,4.893412288,4.837784875008134,5.136888214859725,5.365057033885833,5.765000000000001,6.216249999999999,5.861834304,6.233100809541791,5.533902983432446,5.694209224105114
1998-02-28,POMRB,9.645,5.445,4.405,6.675,2.675,2.675,5.315,9.062708333333333,11.75625,10.648952486399999,10.996399309520063,12.115257793170894,10.154834262895026,5.968125,6.173750000000002,5.9006780928,6.2934351369408805,6.888598173184301,6.5309590813284615,4.656458333333333,5.1675,4.7237718784,4.717712668574356,5.016196824015756,4.975614236602626,7.143958333333334,8.34875,7.509944063999999,7.8612164296907725,8.167951204065643,7.093188214306065,3.05875,3.574583333333334,3.0742295744000003,2.7781694053076014,3.337156123449381,3.0652338812981332,4.40125,4.75875,4.0060473728,3.920744183446319,5.109599749872958,5.018711922507471,5.647708333333333,5.909999999999999,5.643100582400001,6.048930643107743,6.191295877851828,6.297927885686038
1998-05-31,PREMON,5.22,8.185,5.505,7.01,5.343333333333334,5.805,7.195,7.946041666666668,9.517499999999998,8.47737149184,9.414368811017235,13.523162939790819,12.850791245047203,5.961875000000001,5.913750000000002,6.81440685568,6.708998035829621,7.800408223817436,6.938602791074132,4.529791666666667,4.6137500000000005,5.03626312704,4.849436703306674,7.146070417383647,5.906448810618005,6.621041666666666,7.3950000000000005,7.309966438399999,7.649166243042683,8.924570788338997,8.170971994624919,3.001041666666667,3.144166666666667,3.981871077973334,3.142138275944828,6.071666762081617,5.94212170929669,4.1899999999999995,4.61625,4.72562842368,4.6940422774264965,4.786791841487353,4.260807512281045,5.552291666666667,5.619999999999999,6.26386034944,6.293204331197116,7.462479705802569,7.164920969820905
1998-08-31,MONSOON,11.321666666666667,5.315,4.751666666666668,7.501666666666666,1.64,4.385,4.791666666666667,7.252291666666667,8.607916666666664,9.615089561770667,9.917624728432573,7.567856571644409,8.971141052104299,5.9625,6.022500000000003,6.214644113408,6.342504698894306,5.424340072226584,5.264975806148592,4.428541666666667,4.699166666666668,4.922424542890667,4.755610810107121,4.198422110749695,4.412712003705028,6.2872916666666665,6.892916666666668,7.386646529706666,7.639522064199936,7.169280940862705,7.495996461658971,3.0362500000000003,2.9733333333333336,3.0451226467840002,2.765588188281605,1.3756286932102344,0.9536296840385665,4.265625,4.18625,4.589377054208,4.550388492896367,4.015835209591856,4.318653913272297,5.369166666666667,5.675416666666666,5.674982876330667,5.987943048344154,4.833979935340256,5.009048740690203
1998-11-30,POMKH,2.95,4.66,2.78,4.21,2.4566666666666666,3.91,4.415,8.121041666666667,7.284166666666665,6.9490537370624,8.014246099937514,8.070122928032701,9.987493668443436,5.9975000000000005,5.901250000000003,5.5927864680448,5.90947815646545,5.3514644663749475,5.603120744212792,4.719791666666667,4.3604166666666675,4.0654547257344,4.1509742538556775,4.3401669797417135,4.443666782337605,6.4747916666666665,6.349166666666669,6.1159879178239995,6.681584208069423,6.93680954117782,6.909589043540814,3.060833333333333,3.0287500000000005,2.8097402547370667,2.5948305336925093,1.9112113959933368,1.4962279841605461,4.27375,4.1937500000000005,4.3176262325248,4.269029879109135,3.88685095695698,3.369848812030286,5.128541666666667,5.429166666666665,5.1709897257984,5.6675368223112335,5.0770392633351635,5.663897670343887
1999-02-28,POMRB,9.39,5.9350000000000005,4.949999999999998,6.18,2.735,3.25,4.835,8.830833333333334,7.220416666666664,7.92543224223744,8.375457309204743,8.157859833232715,7.328781161254202,5.835833333333333,6.023750000000003,5.72967188082688,5.88416193243125,6.243043288929753,5.584033366223626,4.902916666666668,4.496666666666667,4.419272835440639,4.267702418657719,4.222477896703426,4.019358318875177,6.669895833333334,6.225416666666669,6.1415927506944,6.565466022242491,6.329489740729763,5.679383008929143,3.0029166666666667,3.04375,2.77984415284224,2.510418599209009,2.9028694515489217,2.5879310903277495,4.205416666666666,4.3375,3.8905757395148797,3.830680366119855,4.577897326833947,4.353112909830251,4.864166666666667,5.309166666666665,5.0365938354790405,5.500546655409176,5.459283032364586,5.388965489627885
1999-05-31,PREMON,12.425,7.975,7.290000000000001,9.005,5.48,5.295,5.75,8.8675,9.021666666666665,9.725259345342465,9.460975081821779,10.79528890698465,7.934451946275296,5.581666666666667,5.971250000000003,6.627803128496128,6.349196509281144,7.549013300301711,6.970898361176838,4.692291666666667,4.942916666666668,5.567563701264383,5.020514505104092,6.793259626341203,5.46731114713876,6.456874999999999,6.724166666666669,7.28695565041664,7.298604285821244,7.566961330093969,7.278079151336301,2.85,3.077916666666667,3.859906491705344,3.006217821741508,5.867491566855351,5.6917988943318765,3.947083333333333,4.210000000000001,4.452345443708928,4.429166367339656,4.876151740294582,4.821248913735674,4.578541666666666,4.947916666666665,5.3219563012874245,5.558063607246726,6.890561342921485,6.828457346544605
1999-08-31,MONSOON,9.795000000000002,4.2316666666666665,4.431666666666668,7.0675,1.04,4.348333333333334,4.121666666666667,8.718125,8.639999999999999,9.75315560720548,9.537665134202609,8.138576161168858,13.049135213484956,5.361666666666666,5.700416666666669,5.669348543764343,5.812878359254655,5.187313648044254,5.0705455257440954,4.272291666666667,4.862916666666668,5.113204887425297,4.84389937784254,4.54970099257023,4.835880576092952,5.938125,6.615625000000003,7.199173390249984,7.263293672262123,7.011638154083352,8.270839722044288,2.7695833333333333,2.9279166666666665,2.7319438950232064,2.5921251642110903,1.5602284055584223,1.072432058490552,3.6814583333333335,4.200833333333334,4.4107405995586895,4.381501285635086,3.768844667238813,5.078944678951622,4.297916666666667,4.780416666666665,4.841840447439122,5.265565090063647,3.9715258107267846,4.292264979794783
1999-11-30,POMKH,4.77,3.71,1.415,2.9400000000000004,1.8333333333333333,1.88,2.8,7.566875,9.094999999999999,7.759893364323288,8.23122883881616,7.944324580233179,5.117679242376926,5.138541666666667,5.462916666666669,4.885609126258606,5.2828852010802585,4.820678312532379,4.863931664552407,3.839166666666667,4.521666666666667,3.633922932455178,3.8834311271643123,4.470359631535143,4.26441394286461,5.246250000000001,6.298125000000003,5.495504034149991,6.045502815335295,6.680193269977556,5.766727031982454,2.6455208333333333,2.7720833333333332,2.372499670347257,2.372602536432904,1.7695571075530063,1.263547248719613,3.723958333333333,3.6933333333333334,3.3984443597352136,3.324668131031766,3.757890546354581,3.183441459991312,4.329791666666667,4.376666666666665,4.025104268463473,4.759050663862696,4.214130297870621,4.8161146030299165
2000-02-29,POMRB,6.375,5.125,2.955,3.3,2.7150000000000003,3.155,4.205,6.6937500000000005,8.341249999999999,7.205936018593972,7.7159659652000725,8.678238815618181,8.492715006482175,5.089583333333334,5.26041666666667,4.9813654757551635,5.217362751986171,5.566744740839113,4.988012881217433,3.7502083333333336,4.022916666666668,3.362353759473107,3.5437441924060757,3.860227667448287,3.8331837879434785,4.6090625,5.5781250000000036,4.617302420489994,5.278322873936032,5.710162955578927,4.893399099709988,2.6480208333333333,2.7670833333333333,2.5094998022083543,2.3562028255665095,2.364607393522185,2.0676978221568825,3.720416666666667,3.6695833333333336,3.301066615841128,3.2434439558218493,3.382106277152418,1.9445843581703963,4.465208333333333,4.2191666666666645,4.097062561078084,4.648945351648694,4.328427799482948,4.352525548892934
