Date,Season,Fatehabad,Ratia,Bhuna,Tohana,Bhattu Kalan,Fatehabad_Trend,Fatehabad_SMA,Fatehabad_EWMA,Fatehabad_DES,Fatehabad_TES,Fatehabad_ARIMA,Ratia_Trend,Ratia_SMA,Ratia_EWMA,Ratia_DES,Ratia_TES,Ratia_ARIMA,Bhuna_Trend,Bhuna_SMA,Bhuna_EWMA,Bhuna_DES,Bhuna_TES,Bhuna_ARIMA,Tohana_Trend,Tohana_SMA,Tohana_EWMA,Tohana_DES,Tohana_TES,Tohana_ARIMA,Bhattu Kalan_Trend,Bhattu Kalan_SMA,Bhattu Kalan_EWMA,Bhattu Kalan_DES,Bhattu Kalan_TES,Bhattu Kalan_ARIMA
2001-05-31,PREMON,6.04,11.19,7.483333333333332,5.785,2.12,8.373750000000001,10.115416666666663,8.589966060264047,7.857442542154122,10.333589840521661,10.18086137823931,10.37,9.757499999999997,10.000382797562771,14.261827856842043,10.474906263024566,9.866262954768022,7.360416666666666,6.994166666666665,6.9483452275991,6.758010404490217,6.567202359793701,5.770006469465782,6.352083333333333,5.721666666666666,5.963637576226067,7.066221250954387,7.091383553148157,7.217928609660979,2.7620833333333334,2.899166666666668,2.748299444172469,2.5454339132942865,2.762548848891821,2.748587908662392
2001-08-31,MONSOON,9.106666666666667,11.4,7.406666666666667,8.63,1.6,8.541666666666668,8.365833333333331,8.796646302825096,8.143947027156683,8.808714336515614,8.371313424225791,10.559375,10.281249999999996,10.560229678537663,14.237037635644679,10.62282112166524,9.653716936271936,7.552499999999999,7.270833333333331,7.1316738032261275,6.932496324405538,7.337871978650476,7.047243191433987,6.322916666666668,6.328333333333333,7.030182545735641,7.402465209545102,7.334438528647544,6.2804187403138725,2.8716666666666666,2.4333333333333345,2.288979666503481,2.141579967054905,3.242971911994932,2.885522614810571
2001-11-30,POMKH,9.306666666666667,9.985,7.839999999999999,5.285,4.75,9.175416666666667,8.381666666666664,9.000654448361725,8.387390209861989,9.01887657886147,9.426572493941704,10.52125,10.458749999999997,10.330137807122597,14.126508226348534,10.567873301030563,9.838286991932808,7.732916666666667,7.449999999999998,7.415004281935676,7.2074109977363845,7.160637776572997,6.9547900359598795,6.428125,6.375833333333333,6.332109527441384,7.085608447181028,6.7271414009994785,6.613216454602293,2.65625,3.090833333333334,3.273387799902089,2.9443845071267862,2.257557614598431,2.400354872116222
2002-02-28,POMRB,10.353333333333332,10.065,7.8900000000000015,5.38,2.14,9.759166666666665,8.701666666666664,9.541726002350368,8.949490338934654,8.172737002898959,9.457736987827937,9.5825,10.659999999999997,10.224082684273558,14.014024350731919,10.6044989723187,10.08552192450442,8.004583333333333,7.654999999999999,7.605002569161406,7.38985398450304,7.12270831353413,6.918956794342041,6.533333333333333,6.269999999999999,5.95126571646483,6.839542515386664,7.702699892376094,6.629914443630225,2.76875,2.652500000000001,2.8200326799412534,2.73443323119161,3.5252188237679087,3.1294366951519854
2002-05-31,PREMON,9.83,10.079999999999998,8.106666666666667,7.05,2.15,9.99625,9.649166666666664,9.657035601410222,9.056061953892286,9.679901127939445,9.962506961009883,8.738124999999998,10.382499999999997,10.166449610564133,13.896665431564369,12.276201404818778,11.184663508801176,8.326666666666666,7.810833333333334,7.80566820816351,7.583629123476507,7.599083913702261,7.20229329762228,6.755208333333334,6.586249999999999,6.390759429878898,6.932832058613034,6.695323168654772,6.1570390639809744,2.58375,2.660000000000001,2.552019607964752,2.542146783636935,2.408227462535047,2.3550291046055474
2002-08-31,MONSOON,9.986666666666666,5.0,8.956666666666663,8.206666666666665,2.47,10.083333333333332,9.869166666666663,9.7888880275128,9.179952389802184,10.056997846189565,9.780850799586668,8.6434375,8.782499999999997,8.099869766338479,13.491686861824997,12.284629316584962,11.309709525348914,8.929375,8.198333333333334,8.266067591564772,8.035044638047342,8.076666306605544,7.156804636073379,7.239583333333332,6.480416666666665,7.117122324594005,7.216331952387965,7.251388346864834,7.136874383103134,2.32375,2.8775000000000013,2.5192117647788512,2.487513676368332,2.842005649140785,2.563175335419598
2002-11-30,POMKH,10.323333333333334,9.63,8.866666666666667,7.483333333333332,2.4,10.115,10.12333333333333,10.002666149841014,9.386595239830887,10.109528658743436,9.872503579590047,8.731875,8.693749999999998,8.711921859803088,13.34046197596959,10.62038362247387,9.53021554158395,10.155833333333334,8.455000000000002,8.50630722160553,8.266430634816555,8.296325900540483,8.082663357626425,7.558333333333333,7.0299999999999985,7.263606728089735,7.322768981740598,6.579968265445645,6.5707782465099935,2.45125,2.2900000000000014,2.4715270588673106,2.4227927227778854,2.7002577795097884,2.6884215630538084
2003-02-28,POMRB,10.033333333333333,9.6625,11.685,7.0566666666666675,2.41,10.091666666666669,10.04333333333333,10.01493302323794,9.386223049774895,9.23172210296095,10.071376276459159,9.270625,8.593124999999999,9.092153115881853,13.188272928796339,10.66517410371548,6.9509360549242345,11.582916666666668,9.403750000000002,9.777784332963318,9.519980195549413,8.234403228238367,7.858459585969541,7.496249999999999,7.449166666666666,7.180830703520508,7.335097510949323,7.99751397302423,6.69700835751579,2.515,2.3575000000000013,2.4469162353203866,2.3786120235834938,2.81245919783752,2.6095140998763684
2003-05-31,PREMON,10.403333333333334,11.19,14.123333333333335,7.923333333333333,2.9,9.855,10.186666666666664,10.170293147276098,9.535934652640234,10.14865781083156,9.97865105575274,9.714999999999998,8.870624999999999,9.931291869529112,13.11877924162686,10.984186466049035,10.206341352061647,12.972916666666668,10.907916666666669,11.516003933111325,11.227652572390138,9.630109175369192,10.145349629665404,7.258333333333333,7.6674999999999995,7.477831755445638,7.499733932857986,7.2505335371825215,7.2077075928702055,2.45625,2.5450000000000013,2.6281497411922317,2.5234483450935605,2.0702290863387223,2.2242372518152385
2003-08-31,MONSOON,9.226666666666668,8.2,14.356666666666667,6.836666666666666,2.23,9.625833333333333,9.996666666666664,9.792842555032326,9.144017282715568,10.570515064101295,10.181335234690078,9.809687499999999,9.670624999999998,9.238775121717467,12.881573030428225,7.086296920272993,6.646330243541622,14.572916666666668,12.25791666666667,12.652269026533462,12.3303164218038,11.604111223161405,12.407548322202583,7.134999999999999,7.324999999999999,7.221365719934049,7.442783536250717,7.866545803788835,7.414054955439329,2.4712500000000004,2.485000000000001,2.468889844715339,2.4195536329097798,2.7363833894708947,2.317525555895801
2003-11-30,POMKH,9.19,9.985,14.586666666666668,6.9499999999999975,2.17,9.485416666666667,9.713333333333331,9.551705533019396,8.907003255308437,10.077959456408257,9.625573756007,12.253885168650793,9.759374999999997,9.537265073030479,12.742636135957468,10.99236868908942,10.005860105555119,16.106875000000002,13.68791666666667,13.426028082586743,13.073752608623735,12.44315811029801,12.185356553705118,7.0404166666666645,7.1916666666666655,7.112819431960428,7.415705994309556,6.821042670479912,7.318687823895805,2.42,2.427500000000001,2.3493339068292034,2.3101090839203113,2.573669567225406,2.871655695576651
2004-02-29,POMRB,9.333333333333334,10.065,18.765,6.6033333333333335,2.76,9.529583333333335,9.538333333333332,9.464356653144971,8.83073089232988,8.72857964062148,9.51721776950079,14.247770337301588,9.859999999999996,9.748359043818287,12.607743932124666,11.026244214647338,10.347375313188957,17.555625,15.45791666666667,15.561616849552045,15.169070713479005,13.443765686139612,13.916682949083805,7.196666666666666,7.078333333333332,6.909024992509591,7.33147014824259,8.092658991366687,7.162105853968902,2.3937500000000003,2.515000000000001,2.513600344097522,2.42995800375899,2.6486332669680506,2.212549024461845
2004-05-31,PREMON,9.98,30.341081349206352,19.315,7.62,2.14,9.758750000000001,9.432499999999997,9.670613991886983,9.04952304727076,9.561257068358305,9.517579167543646,16.57732161935287,14.647770337301584,17.985447965973513,13.600348019362565,12.312731565793694,11.09439810871242,19.116458333333334,16.755833333333335,17.06297010973123,16.62652374716221,15.691633835349084,17.29821244927114,7.579583333333334,7.0024999999999995,7.193414995505754,7.442681911542846,7.242323300265648,7.1598697301288,2.5925,2.325000000000001,2.3641602064585134,2.3224499295383083,2.1885430619095962,2.397758238915259
2004-08-31,MONSOON,10.003333333333332,5.0,20.755,8.39,2.78,9.912916666666668,9.626666666666663,9.803701728465523,9.182999105295547,10.053337884740834,9.809049393075835,19.66326613057082,13.847770337301583,12.791268779584108,13.182115223621379,10.296996760018022,7.627072011965999,19.467708333333334,18.355416666666667,18.539782065838736,18.05926470532973,17.0525621576522,16.832223555479217,8.16,7.390833333333333,7.6720489973034525,7.6721694128948945,7.802722573451426,6.971279170578885,2.78125,2.462500000000001,2.530496123875108,2.458759119477435,2.4756676398037385,2.304013723058617
