Date,Season,Dhuraiya,Bausi,Amarpur,Shambhuganj,Charian,Rajon,Barahat,Katoria,Banka,Dhuraiya_Trend,Dhuraiya_SMA,Dhuraiya_EWMA,Dhuraiya_DES,Dhuraiya_TES,Dhuraiya_ARIMA,Bausi_Trend,Bausi_SMA,Bausi_EWMA,Bausi_DES,Bausi_TES,Bausi_ARIMA,Amarpur_Trend,Amarpur_SMA,Amarpur_EWMA,Amarpur_DES,Amarpur_TES,Amarpur_ARIMA,Shambhuganj_Trend,Shambhuganj_SMA,Shambhuganj_EWMA,Shambhuganj_DES,Shambhuganj_TES,Shambhuganj_ARIMA,Charian_Trend,Charian_SMA,Charian_EWMA,Charian_DES,Charian_TES,Charian_ARIMA,Rajon_Trend,Rajon_SMA,Rajon_EWMA,Rajon_DES,Rajon_TES,Rajon_ARIMA,Barahat_Trend,Barahat_SMA,Barahat_EWMA,Barahat_DES,Barahat_TES,Barahat_ARIMA,Katoria_Trend,Katoria_SMA,Katoria_EWMA,Katoria_DES,Katoria_TES,Katoria_ARIMA,Banka_Trend,Banka_SMA,Banka_EWMA,Banka_DES,Banka_TES,Banka_ARIMA
1996-02-29,POMRB,3.43,5.74,2.2350000000000003,2.11,4.552,4.9,2.71,6.063888888888887,4.98,,,3.43,2.7633998505158397,3.44,0.0,,,5.74,5.181291569790268,4.534428090456565,0.0,,,2.2350000000000003,3.243196458561968,2.245180616606509,0.0,,,2.11,6.22432793840878,2.1199999999999997,0.0,,,4.552,8.771839861985242,4.56200797508207,0.0,,,4.9,3.969131786256444,5.747040183904111,0.0,,,2.71,6.937646903440898,3.1217291976404717,0.0,,,6.063888888888887,7.633186211563088,6.036906812325322,0.0,,,4.98,3.7867745394758794,4.577664856630592,0.0
1996-05-31,PREMON,5.79,6.42,4.775,4.38,7.0840000000000005,6.4,5.45,7.419375,4.25,,,4.3740000000000006,3.0868459259972916,5.808836565096953,3.429997183018666,,,6.0120000000000005,5.237078199918213,6.565807878108535,5.739981895003043,,,3.2510000000000003,5.661949032193138,4.794472740434321,2.234989248964595,,,3.018,7.095054149301688,4.399445983379501,0.4505709600968707,,,5.5648,11.349344153804447,7.103442912776634,-3.2862241738493435e-07,,,5.5,4.0429102922886715,6.440869529436266,4.899992346977504,,,3.806,10.020891308463215,4.9219948129469655,0.5793601415893816,,,6.606083333333332,8.761678226724424,7.337786785859619,2.8910297877637888e-06,,,4.688000000000001,3.3582561525889436,4.823583062035831,4.979992421207923
1996-08-31,MONSOON,3.84,1.89,1.63,4.05,3.108333333333333,4.552000000000001,2.33,2.6214285714285714,1.93,4.06875,,4.1604,2.88262515393058,3.8665342500441215,4.615167320117838,4.37625,,4.3632,5.137535862791628,3.1887247948834214,6.097358899071373,3.71125,,2.6026000000000002,6.061102855000125,1.658396983864316,3.505333672594639,3.222797619047619,,3.4307999999999996,6.719795817887764,4.078340942749058,0.8791836468646773,4.626083333333333,,4.582213333333334,9.66541799963329,3.1366593849260944,-5.114150511308383e-07,5.2746071428571435,,5.120800000000001,3.8340249114431644,4.023969525345109,5.856768156866542,3.4725,,3.2156,7.657607646176302,2.3445313646617705,1.0911450272197596,5.169784226190476,,5.012221428571428,7.608191901366802,2.719895454125585,4.0956892816767175e-06,3.80375,,3.5848000000000004,2.5936631138513433,2.1676419271166067,4.54891648131225
1996-11-30,POMKH,3.3600000000000003,3.91,5.2,2.261190476190476,3.76,4.516428571428572,2.76,4.574444444444444,4.34,3.8616666666666664,4.105,3.84024,2.6704266981488307,3.393127644054535,4.353017679556977,4.3025,4.49,4.18192,5.109589999934954,3.63566971312272,4.466130336044113,4.086250000000001,3.46,3.64156,8.210925230072123,5.23667082005119,2.8796594739824215,3.275297619047619,3.200297619047619,2.9629561904761905,4.595083124057059,2.29787971578618,0.9929561553498165,4.626083333333334,4.626083333333333,4.253328,7.852252362617715,3.796685135301251,-9.960430929714104e-08,5.457107142857144,5.092107142857143,4.8790514285714295,3.683469811610465,4.019518766907616,4.888058255750149,3.5825,3.3125,3.0333599999999996,5.358768883942792,2.5576934543001,0.6192652708322746,5.169784226190476,5.169784226190476,4.837110634920634,7.086248367839101,4.668775117609843,1.063485243416853e-06,3.81875,3.875,3.8868800000000006,2.586973357278491,3.731817233512109,3.519413280760146
1997-02-28,POMRB,3.14,4.83,4.245,2.29,4.552,6.36,3.99,6.063888888888887,4.41,3.6470833333333337,4.032500000000001,3.560144,2.512941062537092,3.4660283523347153,3.757209002345673,4.3875,4.262499999999999,4.441152,5.113709111185779,4.593517591550844,4.715175791985998,4.192500000000001,3.9625000000000004,3.882936,9.448057782963643,2.278589656427259,3.2116741230132453,3.2765476190476193,3.2452976190476193,2.6937737142857143,3.0915654814435407,2.1508123096288267,2.0332788906225825,4.626083333333333,4.626083333333333,4.3727968,6.542108438959824,4.5965040815557705,4.551999165988118,5.457107142857143,5.457107142857144,5.471430857142858,3.920402690367635,5.7388435803208475,4.857408368477614,3.515,3.6325000000000003,3.416016,4.546772517049786,3.1607508352315787,2.6221446949962965,5.169784226190476,5.169784226190476,5.327821936507935,7.063243752667698,6.020090651046329,6.06388654108082,3.9225000000000003,3.7325,4.096128,2.6762905037418734,4.737153618835069,4.744009160333992
1997-05-31,PREMON,4.423333333333334,6.74,5.7650000000000015,4.62,7.0840000000000005,6.4,5.05,7.419375,4.94,3.6283333333333334,3.690833333333334,3.905419733333334,2.8790143993164823,5.794791071672524,4.879806695841618,4.4262500000000005,4.342499999999999,5.3606912,5.1824565548517665,6.493302380724181,5.040861588968108,3.748125000000001,4.210000000000001,4.6357616,11.08422670523988,4.936147496176607,3.876227357203868,3.18389880952381,3.3052976190476198,3.4642642285714285,3.8095238309037054,4.434781733042193,4.214922838544807,4.626083333333333,4.626083333333333,5.45727808,6.954132195900997,7.135765248401522,7.083998894753076,5.457107142857143,5.457107142857144,5.842858514285715,4.184421380473192,6.707530315204194,6.637104014089738,3.52625,3.5325000000000006,4.0696096,4.861221390019942,5.120282430812598,5.466125336736678,5.169784226190475,5.169784226190476,6.164443161904761,7.485803534459937,7.324328008674789,7.41937005626806,3.82125,3.9050000000000002,4.433676800000001,2.946813392674534,4.556836687162759,4.087595630660207
1997-08-31,MONSOON,3.49,2.25,1.49,3.82,3.108333333333333,4.552000000000001,2.19,2.6214285714285714,2.07,3.6836458333333337,3.6033333333333344,3.7392518400000005,2.9353733876257384,3.688612090159093,3.8540029731290915,4.39625,4.432499999999999,4.11641472,5.096826266503852,3.1695185647729196,3.576666460808327,3.0612500000000002,4.175000000000001,3.3774569600000004,9.957598388001077,1.8513445648531968,3.473036812618194,3.1662500000000002,3.2477976190476197,3.606558537142857,3.792412473602931,4.121889897218515,3.937073196943065,4.626083333333333,4.626083333333333,4.517700181333334,4.942477305311899,3.166832871426058,3.108332926507361,5.365857142857144,5.457107142857144,5.32651510857143,4.11651000375947,4.311464004122024,4.7222572695489875,3.3987499999999997,3.497500000000001,3.3177657599999995,2.959557026413829,2.46603531991423,2.117998375533476,5.169784226190476,5.169784226190476,4.747237325714285,6.0033225958662415,2.70912375181459,2.62142612047244,3.68875,3.9400000000000004,3.4882060800000003,2.5476562937643648,2.160524008711005,2.5888092308655772
1997-11-30,POMKH,3.56,3.86,1.785,1.75,3.76,4.516428571428572,2.99,4.574444444444444,3.39,3.6935416666666665,3.653333333333334,3.667551104,3.040703298203405,3.1739804601946915,3.576946395260408,4.3475,4.419999999999999,4.013848832,5.068457077604056,3.667956810737012,4.071418531842898,2.5968750000000003,3.321250000000001,2.740474176,8.767208314411715,5.41786554988931,3.977764954252993,3.1025,3.1200000000000006,2.863935122285714,2.429634546916275,2.3239164076655854,2.1167977330574357,4.626083333333334,4.626083333333334,4.2146201088,3.9430454168967364,3.8247393328784733,3.7599994857992627,5.2746071428571435,5.457107142857144,5.002480493714287,4.066209690553726,4.265728317790677,4.4043043269311175,3.04,3.555000000000001,3.1866594559999997,2.555914458523381,2.645636241197759,2.5031424242472817,5.169784226190476,5.169784226190476,4.678120173206349,5.411091358591262,4.660154009682786,4.574441233055721,3.6725000000000003,3.7025000000000006,3.448923648,2.550149522474021,4.016492774969455,4.179532336636469
1998-02-28,POMRB,3.3825,4.64,2.165,2.66,4.552,5.630000000000001,2.74,6.063888888888887,4.3,3.631875,3.713958333333334,3.5535306624,3.093897015662548,3.1971906176049174,3.4263092765852576,4.311249999999999,4.372499999999999,4.2643092992,5.067419500490684,4.6146307259005095,4.817242222375552,2.3978124999999997,2.8012500000000005,2.5102845056000005,7.675124876593216,2.47805705168098,3.109777322541846,2.895,3.2125000000000004,2.782361073371429,2.2548561125759328,2.2118432262858274,2.079543077478458,4.626083333333333,4.626083333333334,4.34957206528,3.8275679849174664,4.622472867253834,4.551999576152665,5.2746071428571435,5.274607142857144,5.253488296228572,4.2445644647355465,5.964622642692716,5.466361469734744,2.8287500000000003,3.242500000000001,3.0079956736,2.324121570589352,3.266925109483648,3.3482251457644128,5.169784226190476,5.169784226190476,5.232427659479364,5.475805588028966,6.013190766539303,6.063886707233596,3.6725,3.6750000000000007,3.7893541888,2.8143425588667492,4.5276319918163805,4.159461009413948
1998-05-31,PREMON,4.26,6.54,4.13,3.74,7.0840000000000005,6.4,3.43,7.419375,4.92,3.540625,3.673125,3.83611839744,3.463134863806955,5.2935989841009405,4.588209704122113,4.32125,4.322499999999998,5.17458557952,5.130832323445922,6.485747953860786,5.498212810512745,4.582916666666667,2.3925,3.1581707033600006,7.498395981292625,4.886255336458259,4.130809780244473,2.7975000000000003,2.9925000000000006,3.1654166440228577,3.0514501775060916,4.528361259132233,4.5131881590791405,4.626083333333333,4.626083333333334,5.443343239168001,5.4530190854837075,7.159686495211208,7.083999328165756,5.2746071428571435,5.274607142857144,5.712092977737144,4.575287850252231,6.714431458774331,6.33886463209214,2.7525,2.8375000000000012,3.1767974041600002,2.8816864829277886,5.052406591286555,4.976784278907175,5.169784226190475,5.169784226190476,6.107206595687618,6.079916755275202,7.31880570149419,7.419371922262062,3.6487499999999997,3.670000000000001,4.24161251328,3.245504780188141,4.588516491615626,4.607269155362429
1998-08-31,MONSOON,3.16,2.16,1.5325,3.04,3.108333333333333,4.552000000000001,2.12,2.6214285714285714,2.09,3.5215625,3.5906249999999997,3.565671038464,3.408368141813347,3.5243048796787124,3.639339313882954,4.35375,4.299999999999998,3.9687513477120007,5.043763545357218,3.135831489815043,2.6212351128381917,6.8220833333333335,2.403125,2.5079024220160004,6.016843046485944,1.5787048724677626,2.4870779359896744,2.9124999999999996,2.7975000000000003,3.1152499864137146,3.119745695767433,3.9813990420856635,3.6445199856331847,4.626083333333333,4.626083333333334,4.509339276834133,4.327174553495513,3.188748128199971,3.1083330832439313,5.365857142857143,5.274607142857144,5.248055786642286,4.550541031881435,4.371658968835795,4.626979359757623,2.6787500000000004,2.8200000000000016,2.754078442496,2.2797938339543866,2.19896134493421,1.8534001271509304,5.169784226190476,5.169784226190476,4.712895385983999,4.870257986753507,2.7047039855756188,2.6214270214086732,3.6,3.6750000000000007,3.3809675079679997,2.9438594642276468,2.033704551078097,2.4983418810271023
1998-11-30,POMKH,3.16,4.03,19.223333333333333,1.75,3.76,4.516428571428572,2.45,4.574444444444444,3.18,3.4224999999999994,3.490625,3.4034026230784002,3.349950424344792,3.1369236072726365,3.4744146854471714,4.34375,4.3424999999999985,3.9932508086272005,5.02281590168141,3.6266228679956654,3.833413276664664,6.947708333333333,6.762708333333333,9.194074786542934,13.446577976489653,4.804260788013574,3.696756444061154,3.09625,2.7975000000000003,2.569149991848229,2.253040138992687,2.0444069387457384,1.7768867549917378,4.626083333333334,4.626083333333334,4.20960356610048,3.869416319123957,3.8446935156154347,3.759999689623429,5.586482142857144,5.274607142857144,4.9554049005568,4.523252157001091,4.31892902887488,4.458099708493126,2.835,2.685000000000002,2.6324470654976,2.222429848192462,2.403854552281728,2.79773416099115,5.169784226190476,5.169784226190476,4.6575150093681765,4.564715358909843,4.6566166596281295,4.574442358837013,3.5287500000000005,3.6225000000000005,3.3005805047808,2.945796501093114,3.7431823987302235,3.5449006403907948
