Date,Season,Model Town,Narela,Saraswati Vihar,Model Town_Trend,Model Town_SMA,Model Town_EWMA,Model Town_DES,Model Town_TES,Model Town_ARIMA,Narela_Trend,Narela_SMA,Narela_EWMA,Narela_DES,Narela_TES,Narela_ARIMA,Saraswati Vihar_Trend,Saraswati Vihar_SMA,Saraswati Vihar_EWMA,Saraswati Vihar_DES,Saraswati Vihar_TES,Saraswati Vihar_ARIMA
1996-11-30,POMKH,1.42,2.399166666666667,5.10125,1.92375,2.1375,1.9285599999999996,1.7613998272553633,1.5952815355161878,1.4214880727413337,2.89175,3.031193181818182,2.8203357575757573,3.0443355257458893,2.7967098672888766,3.191397086739092,5.520580357142857,5.789434523809524,5.610577142857142,5.487934825159224,5.579317121079157,5.598228891863775
1997-02-28,POMRB,2.34,3.0981818181818186,5.59625,2.07125,1.9100000000000001,2.0931359999999994,2.082115377207083,1.8225940840385766,1.4820354956644881,2.910253787878788,2.9373295454545456,2.9314741818181815,3.0954232048831942,2.8900120912786704,3.067715826961033,5.3781026785714285,5.6268303571428575,5.604846285714285,5.521111862103953,5.697492258016925,5.516900252592068
1997-05-31,PREMON,2.95,3.699,5.5412500000000025,2.2937499999999997,1.9375,2.4358816,2.554042047126016,2.631805215837762,2.028471542660712,2.989316287878788,2.8461704545454545,3.2384845090909087,3.2360235899285255,3.889029266665836,3.263351340854004,5.350937500000001,5.414330357142858,5.579407771428572,5.514202228360402,5.994454885371635,5.7290289058148725
1997-08-31,MONSOON,2.11,2.701,5.12875,2.3562499999999997,2.205,2.30552896,2.371653109764968,2.1105310789188008,2.04466070503493,3.0157727272727275,2.9743371212121215,3.0234907054545452,3.1946565654668957,3.1960089033491723,2.764096583397392,5.305000000000001,5.341875000000002,5.399144662857143,5.323368325633569,4.849352411522879,5.323464554492562
1997-11-30,POMKH,2.13,2.519,5.17375,2.36125,2.3825,2.2353173760000002,2.288416048102046,2.4456203407658106,2.248557641317511,3.02175,3.0042954545454545,2.821694423272727,3.129996231907363,2.965646775354543,2.8169813804427304,5.294486607142858,5.360000000000001,5.308986797714286,5.240044905288985,5.116165616690207,5.152846244157752
1998-02-28,POMRB,2.13,3.1900000000000004,5.15625,2.3975,2.33,2.1931904256,2.245823217577879,2.5590722243514037,2.575313185439371,2.9723750000000004,3.0272500000000004,2.9690166539636365,3.1832713121282854,3.0491139683651403,3.1139626140033307,5.253504464285714,5.250000000000001,5.247892078628571,5.18681599881184,5.563755581420665,5.393427599317155
1998-05-31,PREMON,3.2,3.655,5.897142857142858,2.34875,2.3925,2.5959142553600003,2.7639658269197245,2.6003800437646527,2.27154614863381,2.893625,3.0162500000000003,3.243409992378182,3.303796663168872,4.034654783820333,3.5066474702518717,5.042150297619047,5.338973214285715,5.507592390034286,5.493893826854292,5.672372466963882,5.230096964796453
1998-08-31,MONSOON,2.15,2.35,4.444999999999999,2.28375,2.4025000000000003,2.417548553216,2.499256764819591,2.3074337583277784,2.2604174750556725,2.7927272727272725,2.9285,2.886045995426909,3.1957263197486125,3.3036540225637916,2.531237489192102,4.830171130952381,5.168035714285715,5.082555434020571,5.00223325925448,4.944211058019651,5.49781642144097
1998-11-30,POMKH,1.7,2.24,4.166666666666667,2.2475,2.295,2.1305291319296003,2.1367272309503593,2.5152236317562138,2.2860725190289264,2.7116477272727275,2.85875,2.6276275972561454,3.085839487459924,2.981429133378495,2.547741741695622,4.684747023809524,4.916264880952381,4.716199927079009,4.608750008137368,4.732195713120654,4.511449729901458
1999-02-28,POMRB,2.04,2.6618181818181816,4.4675,2.29125,2.2725,2.09431747915776,2.1227879630197846,2.2233338537322265,2.130219603606483,2.844215909090909,2.7267045454545453,2.6413038310809602,3.0603121716442323,3.0058539005695595,2.904284002731342,4.770260416666666,4.7440773809523815,4.6167199562474055,4.531298279097881,4.796583537125794,4.6499464033026054
1999-05-31,PREMON,3.0,3.5345454545454547,5.4225,2.40625,2.2225,2.456590487494656,2.600085145458614,2.464015863406451,2.34180848017314,3.1219545454545456,2.6965909090909093,2.9986004804667576,3.1795300130925677,3.8942689644561663,3.197626354399951,5.106493055555556,4.625416666666667,4.939031973748444,4.922311664551957,4.953428391851177,4.737570314744828
1999-08-31,MONSOON,2.7,3.531,5.60375,2.5349999999999997,2.36,2.553954292496794,2.692936189014227,2.1194401132198437,2.0505976111868556,3.3637727272727274,2.9918409090909095,3.2115602882800545,3.2805771406316198,3.1672602677026838,2.5995882028393082,5.473038194444444,4.9151041666666675,5.204919184249066,5.217056470247818,4.375507284554752,4.80777447754743
1999-11-30,POMKH,2.07,3.280909090909091,5.697777777777778,2.6525,2.4525,2.360372575498076,2.422541370753175,2.925984186121566,2.5551754824218222,3.5565000000000007,3.2520681818181822,3.239299809331669,3.3263097640733172,3.1088982725361003,2.7153229532659866,5.76984623015873,5.297881944444445,5.402062621660551,5.419915150895829,5.2258410277777205,5.144457894984566
2000-02-29,POMRB,2.7,3.5554545454545465,5.86875,2.575,2.6175000000000006,2.4962235452988457,2.602086130691971,2.601024270795689,2.4912065968066925,3.5647840909090918,3.475477272727274,3.3657617037808203,3.4096407192469265,3.316277383857747,3.2209051989929787,5.889310515873016,5.648194444444444,5.588737572996331,5.607723158197621,5.928249306978324,5.5250084893180285
2000-05-31,PREMON,3.28,4.1827272727272735,6.395714285714287,2.5362500000000003,2.6875000000000004,2.8097341271793077,2.9866365479534847,3.0707516829598864,3.067019459775621,3.5582954545454553,3.637522727272729,3.6925479313594014,3.581998248776641,4.321505084318404,3.6603291915458636,5.928025793650794,5.891498015873016,5.911528258083513,5.948800444982423,6.250883003997843,5.903781091687202
2000-08-31,MONSOON,1.8,2.9490909090909088,5.58625,2.5949999999999998,2.4625000000000004,2.4058404763075845,2.436583416721631,2.46108632641964,2.5187215529559492,3.655238636363636,3.492045454545456,3.3951651224520045,3.5296368357793244,3.638749955995352,3.196364181005868,6.069441964285714,5.887123015873016,5.781416954850108,5.76709020075264,5.473560662196756,5.799281505289493
2000-11-30,POMKH,2.66,3.810909090909091,6.025,2.5575,2.6100000000000003,2.5075042857845506,2.589086935109063,2.2602492415315307,1.8193338832975336,3.6860454545454546,3.624545454545456,3.561462709834839,3.624219404512398,3.3694010409985684,3.046041009486783,6.278883928571429,5.968928571428571,5.878850172910065,5.867300618209674,5.637851669094646,5.467699018555481
