Date,Season,Tonto,Chakradharpur,Tantnagar,Chaibasa,Goilkera,Jhinkpani,Manoharpur,Bandgaon,Khuntpani,Tonto_Trend,Tonto_SMA,Tonto_EWMA,Tonto_DES,Tonto_TES,Tonto_ARIMA,Chakradharpur_Trend,Chakradharpur_SMA,Chakradharpur_EWMA,Chakradharpur_DES,Chakradharpur_TES,Chakradharpur_ARIMA,Tantnagar_Trend,Tantnagar_SMA,Tantnagar_EWMA,Tantnagar_DES,Tantnagar_TES,Tantnagar_ARIMA,Chaibasa_Trend,Chaibasa_SMA,Chaibasa_EWMA,Chaibasa_DES,Chaibasa_TES,Chaibasa_ARIMA,Goilkera_Trend,Goilkera_SMA,Goilkera_EWMA,Goilkera_DES,Goilkera_TES,Goilkera_ARIMA,Jhinkpani_Trend,Jhinkpani_SMA,Jhinkpani_EWMA,Jhinkpani_DES,Jhinkpani_TES,Jhinkpani_ARIMA,Manoharpur_Trend,Manoharpur_SMA,Manoharpur_EWMA,Manoharpur_DES,Manoharpur_TES,Manoharpur_ARIMA,Bandgaon_Trend,Bandgaon_SMA,Bandgaon_EWMA,Bandgaon_DES,Bandgaon_TES,Bandgaon_ARIMA,Khuntpani_Trend,Khuntpani_SMA,Khuntpani_EWMA,Khuntpani_DES,Khuntpani_TES,Khuntpani_ARIMA
1997-05-31,PREMON,5.83,5.71,7.75,2.7,12.92,6.37,6.56,8.8,3.72,4.098125,4.182499999999999,4.945168000000001,4.336180349207006,6.225791137909007,5.724275890086227,4.44375,4.512500000000002,5.102896,4.092636022045749,6.722952933406419,5.938590937371124,3.8337499999999998,3.9374999999999996,5.2187776,2.5734423881486075,7.580160549801775,6.731973181154883,2.58125,2.6100000000000003,2.8690271999999997,2.9733478196079317,4.776436113960632,5.326704486701054,7.16375,7.305000000000001,9.4262816,11.062896996852357,13.786527987420499,14.299988782383954,3.495,3.6350000000000002,4.6560255999999995,6.843509511465832,6.02975820150725,5.579995642019109,4.87875,4.892499999999998,5.333408,2.7983455401851427,3.97316192583548,3.5809308341275217,5.893750000000001,5.9525,7.0404064,8.823583752192745,9.13936119154565,8.660177896501501,2.9575000000000005,2.8300000000000005,3.4452288,5.636196409726039,5.081006892983522,4.455883230197477
1997-08-31,MONSOON,1.25,3.08,1.2,1.79,3.35,1.15,3.36,3.7,0.64,4.022916666666666,4.1,3.4671008000000003,4.278612830090818,1.7245113125818605,1.4853679941105735,4.525,4.455000000000003,4.2937376,3.784519181561378,2.6798777806776775,3.6392750238525196,3.7541666666666664,3.9375,3.61126656,2.2935322318212874,1.92278178959852,1.8945704471320663,2.33375,2.855,2.4374163199999996,2.5520739575034512,1.412685632755391,1.1751108868802471,7.123333333333334,7.285,6.9957689599999995,6.8959264965232,2.689244875493256,3.4299973093410463,3.4066666666666663,3.6950000000000003,3.2536153599999995,5.438029500552132,1.3628935589045028,0.9099992892898546,4.95625,4.829999999999998,4.5440448,2.7236623764064367,4.464094118289231,4.071928353030984,5.875833333333334,5.949999999999999,5.70424384,6.5314575628461355,4.052999059518826,4.1297023505291905,3.0879166666666666,2.9150000000000005,2.32313728,3.513127081927182,0.4053915932705303,0.2717001967421332
1997-11-30,POMKH,4.385,4.16,2.41,0.93,5.36,2.02,4.91,4.99,3.64,3.8966666666666665,4.0962499999999995,3.83426048,4.2685134265307365,3.162722916299221,4.017556952839192,4.48,4.432500000000003,4.24024256,3.8314856817364595,3.9926904241734227,4.073057528008782,3.8280208333333334,3.73,3.1307599359999996,2.179872943151182,2.776643343220003,3.316225887718086,2.2375,2.3075,1.8344497919999998,1.96452669678439,2.9039168151903367,2.650058593229261,7.2579166666666675,7.0425,6.341461376,5.296302798283062,5.620099053370676,6.329995034439889,3.4917708333333333,3.295,2.7601692159999995,4.416369980916631,3.006556241676498,3.619997172779422,4.95625,4.927499999999998,4.69042688,3.0791168414877608,5.300920872086491,4.5304874671742255,5.987604166666667,5.8374999999999995,5.418546304,5.435874923775982,5.147756677730629,5.5538504600831535,3.127083333333333,3.000000000000001,2.8498823680000003,3.3111853907907034,3.434747595034015,2.98870216651561
1998-02-28,POMRB,4.333333333333333,5.52,3.753333333333333,4.02,7.186666666666667,4.533333333333333,5.11,6.166666666666668,4.703333333333333,3.9128125,3.9495833333333326,4.0338896213333335,4.257839270181403,4.148824786066972,4.612222083472396,4.491249999999999,4.617500000000002,4.7521455360000004,4.296394772093228,5.0921822028141825,4.526566122790704,4.053333333333334,3.778333333333333,3.3797892949333326,2.2368337262929527,4.7408888862469185,3.5696715753994197,2.3049999999999997,2.36,2.7086698752,2.743472463224849,2.1345369703779395,1.557478130482,7.311249999999999,7.2041666666666675,6.679543492266667,5.489979646785307,7.739486143259507,7.692150289629397,3.5820833333333333,3.5183333333333326,3.4694348629333334,4.335369022827582,4.474426263491784,3.9388315980654425,4.86625,4.9849999999999985,4.858256128000001,3.4903537612274036,5.791967516802115,4.915628130316602,6.041666666666667,5.914166666666667,5.717794449066668,5.295199001778692,6.138622674020664,6.241041046644515,3.2186458333333334,3.175833333333334,3.5912627541333335,3.7599269871801657,3.4957020875766167,3.4340885801459233
1998-05-31,PREMON,5.406666666666666,4.61,8.1475,1.72,13.35,6.1575,6.33,9.3875,3.33,3.94,3.8437499999999996,4.583000439466666,4.2634890540404555,6.225791140825345,5.500547736890319,4.6675,4.342500000000002,4.6952873216,4.451215714555824,6.75850877221432,5.923536288182607,4.343645833333333,3.8777083333333326,5.28687357696,2.8117018005936862,7.6776208973846405,7.216379495406224,3.0562499999999995,2.115,2.31320192512,2.3802520198103805,3.8479390115302676,4.516090779138819,7.448333333333334,7.311666666666667,9.347726095359999,9.94224868054735,13.020978302514735,13.455337814482489,3.950520833333333,3.465208333333332,4.54466091776,4.830473915083329,6.086390042119437,6.074898945389354,4.7075000000000005,4.927499999999999,5.4469536768,4.215878155496019,6.431643898486573,6.330247184268243,6.0841666666666665,6.061041666666667,7.185676669440001,6.976445127413119,9.047907311772477,8.74255189120853,3.318020833333333,3.0783333333333345,3.4867576524799997,3.4861518078433034,4.8306613430654055,3.928658339238776
1998-08-31,MONSOON,1.8025,4.27,2.6050000000000004,3.31,3.3466666666666662,2.085,2.87,3.545,1.7625,3.928958333333333,3.9818749999999996,3.4708002636799997,4.21514722747389,1.7245113131969125,1.2425575021342983,4.655625,4.640000000000002,4.52517239296,4.477197206108366,2.3444023682746162,3.156651362269659,4.519166666666667,4.228958333333333,4.214124146176,2.7357758984983267,2.0095454076052,1.6773884980917178,3.6799999999999997,2.495,2.711921155072,2.742465245577953,0.9837496356694491,0.8680885628281412,7.616666666666667,7.310833333333333,6.947302323882666,7.143572640931056,2.5991753330461895,3.3810328273586756,4.290833333333333,3.6989583333333322,3.5607965506559998,3.9590718218552423,1.4138750846233101,1.060349428994223,4.4525,4.805,4.41617220608,3.9979976005665936,4.004301222545419,3.6188036249387965,6.180625,6.022291666666667,5.7294060016640005,5.466868420575453,4.0370773664433095,4.0041342183058735,3.4645833333333336,3.358958333333334,2.7970545914879996,2.5745707672478932,0.5680013055007933,0.47873676075586163
1998-11-30,POMKH,4.05,4.38,3.3275,5.42,6.460000000000001,4.0325,4.13,5.4849999999999985,3.3125,3.7872916666666665,3.898125,3.702480158208,4.200910584284036,3.1627229199178655,4.2523488141504036,4.889999999999999,4.695000000000002,4.467103435776,4.51845511190229,4.155648493946614,4.260329201261524,4.705312500000001,4.458333333333333,3.8594744877056,2.7512031831228287,2.8677448721109817,3.256553854279272,3.7975,3.6175,3.7951526930432,3.758362578736156,3.004155657497993,2.6271014931818435,7.745000000000001,7.585833333333333,6.7523813943296,6.719141735565152,5.259500253726204,5.7362899607532025,4.416145833333333,4.2020833333333325,3.7494779303935997,3.8391080303506597,3.0497272047238457,2.6176657571224613,4.3149999999999995,4.609999999999999,4.301703323648,4.098791354493942,5.281993536156485,4.828022542417614,6.378020833333332,6.146041666666667,5.6316436009984,5.2407987719222175,5.116362816431074,5.270428948555589,3.665833333333333,3.2770833333333336,3.0032327548928,2.670339851069632,3.6432182942511218,3.2978453033858446
1999-02-28,POMRB,4.58,5.205,4.24,4.52,7.433333333333334,5.243333333333333,3.85,6.443333333333333,6.203333333333332,3.651979166666667,3.959791666666667,4.0534880949248,4.1948529616912955,4.148824787864433,4.195650796331641,5.05875,4.616250000000002,4.7622620614656,4.793045332952498,5.273778139633942,4.95321542941163,4.816250000000001,4.579999999999999,4.01168469262336,2.8775280226143862,4.824579839492281,3.900971870820273,3.7362499999999996,3.7425000000000006,4.08509161582592,4.067054696493845,5.392568042926149,5.631939848840764,7.831666666666667,7.647500000000001,7.024762169931093,7.009619578898273,7.560055606882316,7.695808924778934,4.504583333333333,4.379583333333333,4.347020091569493,4.164166416076265,4.528383843049633,4.325829943247227,4.37625,4.295,4.1210219941887996,4.108708786000545,5.417456815006622,4.962711807579341,6.3152083333333335,6.215208333333334,5.956319493932373,5.611641942645102,6.1657890192280105,6.275649481817024,3.8192708333333325,3.6520833333333336,4.283272986269013,4.395405441127533,3.941328733865562,3.9330560161875048
1999-05-31,PREMON,4.026666666666666,6.8,9.15,2.16,14.13,6.45,6.489999999999998,10.69,3.44,3.729166666666667,3.614791666666667,4.042759523621546,4.180671493600292,6.225791143963621,5.487584508026752,4.94125,5.163750000000002,5.57735723687936,5.52908787346082,6.777847067900967,5.57225324996554,4.814687500000001,4.8306249999999995,6.067010815574016,3.5913664316773604,7.77882056368904,7.672679066229119,3.07375,3.8525000000000005,3.3150549694955522,3.383342467147074,4.780853141765427,3.6662363967379155,7.640833333333333,7.842500000000001,9.866857301958657,11.792705110301686,13.240910782627513,13.522275087167287,4.711145833333333,4.452708333333333,5.188212054941696,4.894591599214359,6.140519960097568,6.044559532891713,4.509687499999999,4.334999999999999,5.0686131965132795,4.801247507615785,6.263233480505283,5.904903889730645,6.028958333333333,6.540833333333334,7.849791696359423,8.295024731887372,9.102830041357342,8.98386631090489,3.8698958333333335,3.679583333333334,3.9459637917614083,4.342453164929913,4.623574475335122,3.6693599914714077
1999-08-31,MONSOON,2.1,3.43,2.49,2.38,3.26,2.5,3.2,1.74,2.88,3.6454166666666663,3.6891666666666674,3.2656557141729277,4.137776490576785,1.7245113088334558,1.3457821726045642,4.901875,4.953750000000002,4.718414342127616,5.150734527864104,3.0729821654200613,4.083468852077846,4.7625,4.801875,4.63620648934441,3.5086856190330438,2.11229592587436,2.2655596305621053,2.69625,3.6200000000000006,2.9410329816973313,3.0318589447464075,2.6115737299358663,2.6003128092867613,7.220416666666667,7.820833333333334,7.224114381175194,8.423107550498944,3.1072590856421973,3.370680254223418,4.900416666666667,4.556458333333333,4.112927232965017,4.231380965265539,1.474130266350402,1.5762655578863387,4.645625,4.417499999999999,4.321167917907967,4.580582302201357,3.1105290441214115,3.151046286177375,5.891666666666666,6.089583333333334,5.405875017815654,5.819246762812521,4.230790435278067,4.033773585447935,3.881666666666667,3.9589583333333342,3.519578275056845,3.8982277906106266,1.0922359463020719,1.070928941192992
