Date,Season,Jaldega,Bano,Simdega,Thethaitangar,Kolebira,Jaldega_Trend,Jaldega_SMA,Jaldega_EWMA,Jaldega_DES,Jaldega_TES,Jaldega_ARIMA,Bano_Trend,Bano_SMA,Bano_EWMA,Bano_DES,Bano_TES,Bano_ARIMA,Simdega_Trend,Simdega_SMA,Simdega_EWMA,Simdega_DES,Simdega_TES,Simdega_ARIMA,Thethaitangar_Trend,Thethaitangar_SMA,Thethaitangar_EWMA,Thethaitangar_DES,Thethaitangar_TES,Thethaitangar_ARIMA,Kolebira_Trend,Kolebira_SMA,Kolebira_EWMA,Kolebira_DES,Kolebira_TES,Kolebira_ARIMA
2005-02-28,POMRB,3.76,3.63,5.029999999999999,2.32,5.915,3.828333333333333,4.076041666666667,3.6785755090882453,3.387731439043688,4.805599603811205,4.758013924285987,5.153333333333333,5.149999999999998,4.5984454001815696,4.511188865723492,6.462499341587918,6.299997058075352,5.04125,4.45125,4.40083433381222,3.7680023411819272,4.794976838897911,5.247905973307258,2.47375,1.785000000000002,2.218128199916305,1.7419008945457153,3.0368170775660714,2.77783520106354,4.781874999999999,5.393750000000001,5.09505334878124,5.781397005255182,5.491623698382775,4.7985964255848526
2005-05-31,PREMON,6.88,8.61,9.645,4.1,6.49,3.7275,3.819166666666667,4.959145305452948,4.389137885988137,7.88235527500172,7.815173543205246,5.092499999999999,5.154166666666664,6.2030672401089415,5.593200959956575,8.378538689934159,8.345247071121845,4.866874999999999,5.0875,6.498500600287333,6.266590079519275,7.509284524102629,7.080167151989054,2.31625,2.447500000000002,2.9708769199497826,2.5703401072371843,3.7419071475917365,3.300830624590389,4.97625,4.728750000000002,5.653032009268744,6.08466052216714,7.547447149724734,7.246118447549637
2005-08-31,MONSOON,1.31,3.5,1.41,0.92,3.425,3.55125,3.8375,3.4994871832717687,3.4818729273015347,0.27666749660501866,0.9199846067590678,5.2437499999999995,5.152499999999997,5.121840344065365,4.914644044293325,2.4337529640226254,2.412147325719097,4.53875,4.995,4.463100360172399,4.866218729598429,3.6223559349592622,3.460889191505344,2.07375,2.5000000000000018,2.1505261519698697,2.009191366141366,0.09375118830633733,0.08819099967336541,5.136875,4.835000000000002,4.761819205561246,5.558458689795745,2.661988314157533,2.049589053141392
2005-11-30,POMKH,2.52,4.39,2.87,1.19,4.6400000000000015,3.2125,3.6175,3.107692309963061,3.0791753251564704,3.0900687873330273,3.794264725725465,5.29375,5.032499999999997,4.829104206439219,4.621179376469094,4.5029163316997085,5.1594445539294815,4.03625,4.7387500000000005,3.8258602161034396,4.176962488392436,3.6682733303400354,3.044974588344358,1.786875,2.1325000000000016,1.7663156911819218,1.6458465901789296,2.651249422721946,2.4420258762776292,5.401250000000001,5.1175000000000015,4.7130915233367485,5.358320053477382,4.461591705060394,3.5641258199915695
2006-02-28,POMRB,3.23,5.32,3.43,1.85,6.07,3.05125,3.485,3.1566153859778368,2.9826670817183523,4.078093674904047,3.7674722678643473,5.0575,5.454999999999997,5.025462523863531,4.697435419922269,5.5244693786482655,5.414438611999666,3.77,4.338750000000001,3.667516129662064,3.8169989080165556,4.651843281073792,4.961740361670519,1.50625,2.0150000000000015,1.7997894147091533,1.6213775471994623,2.4438388749097717,2.2084865353291865,5.474375,5.156250000000002,5.255854914002049,5.533571368759732,5.61439424176171,5.329389729810499
2006-05-31,PREMON,4.7,7.32,7.225,2.275,8.45,3.17,2.9400000000000004,3.773969231586702,3.41133442673102,7.2229674091577145,6.822056185641196,5.03125,5.132499999999998,5.943277514318119,5.470525541489231,8.67516912047671,8.571003987780022,3.8943749999999997,3.7337500000000015,5.090509677797239,5.161114588067897,6.9797578270703795,7.6902467079474235,1.4575000000000002,1.5587500000000016,1.9898736488254918,1.7971084247377611,3.392165411029371,2.981654089960694,5.351875,5.646250000000002,6.5335129484012295,6.320196660867055,7.676136146440371,7.464073342285143
2006-08-31,MONSOON,2.2,2.9,1.7,0.5,2.05,3.2728125,3.1625,3.144381538952021,3.0014186436313093,-0.2936400027978503,-0.07135364176549519,5.0853125,4.982499999999997,4.725966508590871,4.709472259885603,2.46780550062996,2.972100568100823,4.06,3.8062500000000012,3.734305806678343,4.003908455596998,2.591433987835465,2.270804883204345,1.5784375,1.4537500000000017,1.393924189295295,1.2798172147692979,-0.8723996268033908,-0.8121064428106868,5.4675,5.302500000000002,4.740107769040738,5.40655116242504,3.126969942696347,2.7644161429899263
2006-11-30,POMKH,2.58,4.78,3.575,1.22,5.035,3.3356250000000003,3.1775,2.9186289233712124,2.777312493216806,2.5252740119099295,3.443674111988411,5.230625,5.079999999999997,4.747579905154523,4.649415281794842,4.159965225554894,4.305156442224787,4.198125,3.982500000000001,3.670583484007006,3.7667204546352067,2.9876890415101958,3.118248898853866,1.7987499999999998,1.4612500000000015,1.3243545135771768,1.1516215701597858,1.549173196342131,1.3886176824468524,5.543749999999999,5.401250000000002,4.858064661424443,5.297738729345429,4.588688472320413,3.8263464820312425
2007-02-28,POMRB,3.9925,5.3625,4.05,2.7875,6.6,3.1368750000000003,3.368125,3.3481773540227273,3.0620981694340528,3.6213364904432046,3.735213670588816,5.451874999999999,5.0906249999999975,4.993547943092714,4.807160647486,5.355707886963215,5.8376933504846,4.504375,4.137500000000001,3.822350090404204,3.7829168329731404,4.338746530908924,4.522702730422634,2.038125,1.6956250000000015,1.9096127081463061,1.7203030485574566,2.0260465842598063,1.740209175667555,5.61,5.533750000000001,5.554838796854666,5.600265835792862,5.790687395136156,5.176981819043423
2007-05-31,PREMON,4.44,8.44,7.71,3.1,8.530000000000001,2.941875,3.3031250000000005,3.7849064124136365,3.490051298193121,6.683744662803548,6.1191193757891815,5.448125,5.370624999999997,6.372128765855628,6.027285556324384,8.354406599359175,8.235741897440457,4.8687499999999995,4.258750000000001,5.377410054242523,5.437743645710909,6.914138932146223,7.19482175496432,2.384375,1.9018750000000013,2.3857676248877837,2.3993328826917204,3.524597938350462,3.079297343961498,5.515625,5.553750000000002,6.7449032781128,6.393587934266599,7.917382224867846,7.811680012079769
