Date,Season,Lephripara,Balisankara,Gurundia,Subdega,Sundargarh,Lathikata,Koida,Kuanrmunda,Baragaon,Hemgir,Tangarapali,Lahunipara,Kutra,Bisra,Nuagaon,Rajagangapur,Lephripara_Trend,Lephripara_SMA,Lephripara_EWMA,Lephripara_DES,Lephripara_TES,Lephripara_ARIMA,Balisankara_Trend,Balisankara_SMA,Balisankara_EWMA,Balisankara_DES,Balisankara_TES,Balisankara_ARIMA,Gurundia_Trend,Gurundia_SMA,Gurundia_EWMA,Gurundia_DES,Gurundia_TES,Gurundia_ARIMA,Subdega_Trend,Subdega_SMA,Subdega_EWMA,Subdega_DES,Subdega_TES,Subdega_ARIMA,Sundargarh_Trend,Sundargarh_SMA,Sundargarh_EWMA,Sundargarh_DES,Sundargarh_TES,Sundargarh_ARIMA,Lathikata_Trend,Lathikata_SMA,Lathikata_EWMA,Lathikata_DES,Lathikata_TES,Lathikata_ARIMA,Koida_Trend,Koida_SMA,Koida_EWMA,Koida_DES,Koida_TES,Koida_ARIMA,Kuanrmunda_Trend,Kuanrmunda_SMA,Kuanrmunda_EWMA,Kuanrmunda_DES,Kuanrmunda_TES,Kuanrmunda_ARIMA,Baragaon_Trend,Baragaon_SMA,Baragaon_EWMA,Baragaon_DES,Baragaon_TES,Baragaon_ARIMA,Hemgir_Trend,Hemgir_SMA,Hemgir_EWMA,Hemgir_DES,Hemgir_TES,Hemgir_ARIMA,Tangarapali_Trend,Tangarapali_SMA,Tangarapali_EWMA,Tangarapali_DES,Tangarapali_TES,Tangarapali_ARIMA,Lahunipara_Trend,Lahunipara_SMA,Lahunipara_EWMA,Lahunipara_DES,Lahunipara_TES,Lahunipara_ARIMA,Kutra_Trend,Kutra_SMA,Kutra_EWMA,Kutra_DES,Kutra_TES,Kutra_ARIMA,Bisra_Trend,Bisra_SMA,Bisra_EWMA,Bisra_DES,Bisra_TES,Bisra_ARIMA,Nuagaon_Trend,Nuagaon_SMA,Nuagaon_EWMA,Nuagaon_DES,Nuagaon_TES,Nuagaon_ARIMA,Rajagangapur_Trend,Rajagangapur_SMA,Rajagangapur_EWMA,Rajagangapur_DES,Rajagangapur_TES,Rajagangapur_ARIMA
1996-02-29,POMRB,9.58,4.18,1.94,5.615,3.1125,4.28,5.416666666666668,4.77,4.3925,5.8900000000000015,3.14,7.3,7.34,3.435,2.9679999999999995,5.176666666666667,,,9.58,12.017606667679214,9.518917344016677,0.0,,,4.18,8.594619286224015,4.134876124648078,0.0,,,1.94,2.37568606420018,2.7075858541429323,0.0,,,5.615,5.003008065486887,5.224332855838657,0.0,,,3.1125,2.6454556088597565,3.3967930677274425,0.0,,,4.28,4.6829205722480785,5.023800225748159,0.0,,,5.416666666666668,7.624877484570147,5.316786518487591,0.0,,,4.77,11.070611814558788,5.565489401164125,0.0,,,4.3925,3.7966980135311768,4.452612858968608,0.0,,,5.8900000000000015,6.337022776493279,6.403981634277746,0.0,,,3.14,1.78559343057701,3.0685009827082097,0.0,,,7.3,6.314281110925339,7.551957155259904,0.0,,,7.34,6.535357624711012,6.897622637888153,0.0,,,3.435,2.811499921793624,3.4422916666666663,0.0,,,2.9679999999999995,5.960123501142971,3.1666598546085885,0.0,,,5.176666666666667,9.898997111379208,5.422494034059896,0.0
1996-05-31,PREMON,10.96,6.78,4.34,6.615,5.4025000000000025,8.855,6.6933333333333325,8.63,7.9275,9.81,4.89,11.64,9.3,6.1525000000000025,4.88,8.236666666666666,,,10.132000000000001,13.232088879816345,11.072549833212616,9.579935047410006,,,5.22,11.394657036126647,5.917785807293416,1.078227888316436,,,2.9,2.392816180812793,3.8328080667095525,1.9399968141265609,,,6.015000000000001,5.3189392009724745,6.551482604488529,3.0428930141525883,,,4.028500000000001,2.1747172586604977,4.845067230457207,3.1124960791879492,,,6.11,4.999689026559313,7.9952572312238015,-4.874684162831302e-21,,,5.927333333333333,8.77793267195206,7.226569575628924,1.2889738695842605e-07,,,6.314,15.33917053602652,7.597886936217673,4.769982265187089,,,5.8065,4.445909559936717,7.357382868387927,4.392483695177422,,,7.458000000000001,6.444320689059732,8.30716917237525,5.1690952587099055,,,3.84,2.1638091672202058,4.535652683624366,3.139994267980488,,,9.036000000000001,6.88257014129098,10.384212423145678,4.437434727385797,,,8.124,7.182555499729581,9.14537508605534,6.99428147758575,,,4.522000000000001,3.3455806117028937,6.166679362880888,3.4349934507658704,,,3.7327999999999997,7.838628299683895,4.175316473008895,7.529650873961932e-07,,,6.400666666666666,12.788345246605195,7.205197595992763,5.176643947609234
1996-08-31,MONSOON,3.08,1.39,1.07,0.82,1.02,2.51,2.4566666666666666,2.48,2.8150000000000004,0.9266666666666667,0.51,2.8,0.53,1.4433333333333334,1.352,2.5033333333333334,8.20375,,7.311200000000001,11.270930531641948,4.643344054126122,10.37637351764644,3.8275000000000006,,3.6879999999999997,8.824326729899452,1.695221161735598,1.5756051921307725,2.15125,,2.168,2.3999413869594375,-0.10657771664544136,3.745341041501716,4.624375,,3.937,4.188834452442775,3.291033251005756,4.407905337086499,2.7580208333333336,,2.8251000000000004,1.3115213181990681,1.312775837677406,4.803714100619388,5.030625,,4.67,4.649750498918584,2.6147672814082266,-2.0359480212847455e-21,4.87875,,4.539066666666667,7.537424690683352,2.6938842081409464,3.7728084227206474e-07,5.475,,4.7804,11.616605589923347,2.5635002163561005,7.277978820993186,4.533750000000001,,4.6099,4.037486650990365,3.7507460624318893,6.405415019668183,5.6275,,4.845466666666667,4.202277421411941,3.1577129226333467,7.451152323551775,2.4720833333333334,,2.508,1.6809912899044186,0.6912583816463571,4.238468098797586,7.3275,,6.541600000000001,6.277407403735627,4.618100951887,7.114810835031481,5.7143749999999995,,5.0864,5.5116769065144755,3.591144778958075,8.16796664147505,4.085208333333334,,3.2905333333333338,2.962828472414999,1.4639986040878545,5.1428684065464445,3.01825,,2.78048,5.583630006022819,1.8304586063221138,1.2380286588737317e-06,5.308333333333334,,4.841733333333333,9.105982487873323,3.782219060358819,6.604897819004944
1996-11-30,POMKH,8.86,3.16,1.89,5.34,1.5200000000000002,4.05,4.53,4.95,3.1825,4.953333333333333,1.45,6.56,6.06,4.36,2.768,5.12,8.32,8.12,7.930720000000001,11.183867825161819,7.492004833156539,7.153852892410127,3.67125,3.8775000000000004,3.4768,7.011320854882253,3.053929485535784,0.5491061912000774,1.9375,2.31,2.0568,2.409593809512751,1.520805013371049,1.0194773522082596,4.661250000000001,4.5975,4.4982,4.297988882995006,4.058307285688496,3.581535859789505,2.892395833333334,2.7637500000000004,2.3030600000000003,0.9129652679234704,1.9727694663337756,1.5472016488546871,5.140625,4.92375,4.422000000000001,4.482546552274143,3.7847316344693738,-5.3065554292955186e-21,5.15125,4.774166666666667,4.53544,7.030443482835578,3.490249888072709,4.6906776268354366e-07,5.805000000000001,5.2075000000000005,4.8482400000000005,9.257043768920937,4.040040350079719,3.905757362753694,4.3803125,4.579375000000001,4.03894,3.7491504857072493,3.655085691740065,5.168993562588492,6.102916666666666,5.3950000000000005,4.888613333333334,3.7326243777065926,3.9524457316465242,4.814268482730871,2.3716666666666666,2.4974999999999996,2.0848,1.4698900001649715,1.6831178392454444,2.092312570007775,7.310625,7.075,6.548960000000001,6.221629290977354,5.675129495870916,3.777925861569668,5.465,5.8075,5.47584,5.619147819238354,4.213862204682778,5.156340339052743,4.344583333333334,3.847708333333334,3.7183200000000003,3.1585891950738043,4.386752570538535,2.8161239538463247,2.947,2.992,2.7754879999999997,4.415638022832612,2.362211587032852,-3.3382653654138545e-08,5.249166666666667,5.259166666666667,4.95304,7.486964865086186,4.357258869626309,5.561022706616572
1997-02-28,POMRB,10.25,3.78,0.67,5.83,3.066666666666667,5.135,6.253333333333333,6.91,4.0275,7.75,2.936666666666667,9.32,6.595,5.335,3.178,5.57,8.45875,8.2875,8.858432,11.43452293059961,9.476276543032693,9.32893132478057,3.64125,3.7775000000000007,3.59808,5.649981989575419,4.268191067082497,3.9078464604458936,1.92,1.9925000000000002,1.5020799999999999,2.415518750342754,2.923688865233293,2.154961569405771,4.989375,4.651249999999999,5.03092,4.552506830419819,5.046546402223852,5.25606365829371,3.1346875,2.7522916666666672,2.608502666666667,0.9740411351661576,3.333947924951212,3.001141805416113,5.114374999999999,5.137499999999999,4.7072,4.44483246203895,5.049664164664111,4.27999649345686,5.3429166666666665,4.983333333333333,5.222597333333333,7.1612166818244525,5.461962702947751,5.28425193248298,5.958750000000001,5.742500000000001,5.672944000000001,8.406900512849154,5.719583356688325,4.815929410366229,4.211041666666667,4.488125,4.034364,3.672551236359321,3.9944395628359564,1.9936437540194323,6.287916666666666,5.86,6.033168,4.349103977872098,6.302517641872718,5.457750653951018,2.352916666666667,2.4466666666666663,2.4255466666666665,1.60423398425905,3.2035092997697707,2.86238584238417,6.924375,7.580000000000001,7.657376000000001,6.515397033298818,7.583252057586346,6.855852393466465,5.376875,5.62125,5.923503999999999,5.8311783279743645,6.758649486587956,5.783090670154073,4.450416666666667,4.322708333333335,4.364992,3.4923770847342483,3.4659102915604936,3.7429746579706835,2.822,3.0445,2.9364928,3.7284979796476443,3.284854163086138,2.96799910733897,5.123333333333334,5.357500000000001,5.199824,6.432142090702984,5.784447924393265,3.138767629481805
1997-05-31,PREMON,11.22,5.93,3.9,6.695,6.5233333333333325,8.879999999999997,8.036666666666667,9.13,7.065,11.753333333333332,4.29,9.485,8.05,6.3275,4.1,7.370000000000001,8.63875,8.3525,9.8030592,11.87899237466336,11.153027333413412,10.599568730159513,3.57875,3.5650000000000004,4.530848,5.817757372043575,5.950734549638027,6.061861043211533,1.95875,1.8825000000000003,2.461248,2.4313629031494366,3.865308036595389,3.303642894248514,5.4125000000000005,4.671249999999999,5.6965520000000005,5.0328488492164,6.46868566452602,6.391385701071131,3.4160416666666666,3.0324999999999998,4.174434933333333,1.8123705077044718,4.786563479650115,5.168843685961752,5.084999999999999,5.143749999999998,6.37632,4.814434398509827,8.098694729811413,8.854992745224413,5.3100000000000005,5.319166666666667,6.348225066666666,7.945734222961196,7.6340514013881995,6.529709462378522,5.92,5.8675,7.055766400000001,9.20472007331416,8.832905994208021,9.080106570912442,4.031145833333333,4.272500000000001,5.246618400000001,4.248773656351797,7.085022355395482,7.013532993224576,6.307499999999999,6.345833333333333,8.321234133333334,6.368381802852947,9.030446849663814,9.309294366262664,2.5791666666666666,2.296666666666666,3.171328,2.0356905088093225,4.59083457269306,4.4224471114610235,6.74,7.041250000000002,8.3884256,6.788968474760443,11.297042096750324,11.537692112095215,5.443125,5.30875,6.7741024,6.347696080691811,8.698404495117163,6.488102766188744,4.205625,4.366458333333334,5.1499952,3.944360972490098,6.29261176538968,5.751138328914115,2.71975,2.8495,3.40189568,3.8865947801673166,4.318335373045683,4.960977194754547,5.012083333333334,5.140833333333335,6.0678944,6.942915022116444,7.581983313408981,7.494381642391593
1997-08-31,MONSOON,3.93,2.0,1.37,3.365,1.8375,2.2750000000000004,2.646666666666667,3.21,2.3233333333333337,0.4633333333333334,0.96,1.865,1.0750000000000002,2.115,1.1320000000000001,2.3633333333333337,8.61125,8.565,7.45383552,9.744520714884791,4.7548364852278775,4.2554793318777575,3.5125,3.7175000000000002,3.5185088,3.7526302049469074,1.5620050297592432,1.2131564819767018,2.0825,1.9575000000000005,2.0247488000000002,2.4394704136628707,-0.13245353282064354,1.5444221389546655,5.4350000000000005,5.307499999999999,4.7639312,4.639589349662492,3.2476063096866534,1.1661162822092201,3.6152083333333334,3.236875,3.2396609599999997,1.6154649598736812,1.555236664579692,1.9362012143765988,4.909999999999999,5.084999999999999,4.735792,4.48441066563965,2.7108662064295066,2.509997943592691,5.0633333333333335,5.366666666666667,4.867601706666667,6.255158252622698,3.4563660470761204,2.396611500508821,5.501250000000001,6.05,5.517459840000001,5.717812068966861,3.2933371897114876,3.2017817057152893,3.7436458333333333,4.149583333333334,4.077304373333334,3.8329727726879126,2.852415135374488,2.5220574744789994,6.109166666666666,6.23,5.1780738133333335,4.600000941276329,4.393990452474626,2.931254425653842,2.7595833333333335,2.4091666666666662,2.2867968,1.766543679521189,0.5918603369248747,0.8141271565165957,5.972499999999999,6.807500000000001,5.779055359999999,6.0809505971385525,4.171051509776471,2.084070415258763,5.51375,5.444999999999999,4.494461439999999,5.020142080025398,2.0614989120358604,4.907999064521549,3.6971875,4.534375000000001,3.93599712,3.5792127409491648,1.5962908832052145,2.6569109419176966,2.58025,2.7944999999999998,2.493937408,2.161275677219988,1.723889911296272,0.9620015813961622,4.8308333333333335,5.105833333333335,4.586069973333334,4.106487588318625,3.5712740904421256,3.2905750879214803
1997-11-30,POMKH,9.45,2.05,1.9,6.18,2.953333333333333,4.05,4.076666666666667,3.91,2.235,5.573333333333332,2.81,6.02,6.045,1.73,2.1700000000000004,4.37,8.435,8.712499999999999,8.252301312,9.60476119462857,7.731084398154236,8.70347290131806,3.355,3.4400000000000004,2.9311052799999997,2.48811071543348,3.06058151253765,3.1042712484927173,2.0787500000000003,1.9600000000000006,1.9748492800000002,2.449216992813342,1.5351900609840547,1.966407904026994,5.26375,5.517499999999999,5.3303587199999996,4.991948793895551,4.640852584578649,5.828613300004238,3.3018749999999994,3.5952083333333333,3.1251299093333333,1.7153705043440008,2.3619791993831325,1.8534657719931533,4.263125,5.084999999999999,4.461475200000001,4.358135150658372,3.849853107877993,4.04999668189259,4.566666666666666,5.253333333333334,4.551227690666667,5.35913623732775,4.035570074874793,4.419260543811115,4.84625,5.79,4.8744759040000005,4.057280824769109,5.00770018853075,4.927130563759485,3.359375,3.9127083333333337,3.3403826240000005,3.4368695871632395,3.0607815025088136,2.7787982174031742,5.227083333333333,6.385,5.3361776213333325,4.684103201056421,4.474083631831968,4.9431620378995795,2.64,2.7491666666666665,2.49607808,1.9093465356815638,1.7133416821395584,1.6990182200602049,4.3881250000000005,6.6725,5.875433215999999,5.98546500031576,5.011785851093949,5.230189135919307,5.560625,5.441249999999999,5.114676864,5.247187303518809,4.672017787773449,5.095407939288993,3.2746875,3.876875000000001,3.0535982720000003,3.2105431319567823,4.5527883761632575,4.0150934296339384,2.4362500000000002,2.6449999999999996,2.3643624448000002,1.8143570880963065,2.224970670990033,2.724840045675969,4.5425,4.918333333333335,4.499641984,3.6923608534586854,4.179846787048502,4.79095559359509
1998-02-28,POMRB,9.44,4.36,1.65,5.17,3.2266666666666666,3.735,4.733333333333333,4.6,2.675,5.543333333333332,3.02,3.72,7.175,3.8975,2.66,4.87,8.488749999999998,8.509999999999998,8.7273807872,9.488543643108907,9.775982341820052,9.866641633023564,2.9725,3.5850000000000004,3.5026631679999998,3.0434141284707894,4.064696870748626,3.5371371877005644,1.8775,2.2050000000000005,1.8449095680000003,2.4582122187368687,2.9375321549253073,1.3627173226696347,5.1656249999999995,5.352499999999999,5.2662152319999995,5.065740891179325,5.691353259831848,6.159811526359482,2.7971874999999997,3.635208333333334,3.165744612266667,1.8971113618174675,3.98961602631554,3.555340405139031,3.98875,4.734999999999999,4.17088512,4.210417467761824,5.108692905238374,4.804776918020611,4.418333333333333,4.873333333333334,4.624069947733334,4.910741010514282,5.628459957049546,5.849429272207696,4.3012500000000005,5.2124999999999995,4.7646855424000005,3.7087343634910286,6.103802059155466,5.712079426529534,3.05875,3.574583333333334,3.0742295744000003,3.174406664290373,3.3372959561553457,2.989173374802893,5.0929166666666665,5.833333333333333,5.4190399061333325,4.795331358852768,6.865514100131928,6.88489491971583,2.51375,2.7699999999999996,2.705646848,2.099388277164395,3.5474730576240883,3.3358077942134985,3.404375,5.2725,5.013259929599999,5.61832709960054,6.974583040945705,7.914922153335564,6.203750000000001,5.58625,5.9388061184000005,5.6950653436382614,6.551507303839803,5.718015823303008,3.2503125000000006,3.517500000000001,3.3911589632000005,3.2867697057066176,3.8828026943573573,3.781301770768297,2.3777500000000007,2.5154999999999994,2.48261746688,2.0499275589276786,3.0230223515761137,2.873970607741624,4.56625,4.743333333333335,4.6477851904000005,3.9742505330622757,5.336396213714149,4.387950824292072
1998-05-31,PREMON,10.62,4.09,2.89,5.985,3.856666666666667,5.105,5.583333333333332,6.2,5.343333333333334,6.903333333333332,3.25,2.41,7.8450000000000015,4.385000000000002,3.466,5.763333333333333,8.25625,8.359999999999998,9.48442847232,9.791920956038947,11.261016502205754,10.742645609980912,2.81125,3.125,3.7375979008,3.4337645105915535,5.894688566674238,6.2405785668770966,1.68625,1.9525000000000006,2.2629457408,2.4710262314681666,3.9985167464292153,3.950200414676584,4.9425,5.174999999999999,5.5537291392,5.339935120855296,6.797944550259589,6.447330504139863,2.466666666666667,2.968541666666667,3.442113434026667,2.2323667585812923,5.315738049496202,5.777476025308616,4.0443750000000005,3.7912500000000002,4.544531072,4.219411924758703,8.021217463271158,8.870339964448057,4.3358333333333325,4.26,5.007775301973333,4.940804053344034,7.1608034155484805,7.419164680477288,3.9074999999999998,4.479999999999999,5.33881132544,4.835955344359493,8.130283310657095,7.9279891756476335,3.001041666666667,3.144166666666667,3.981871077973334,3.4922634501126577,6.071774564206369,5.892507405331233,5.425208333333332,4.620833333333334,6.012757277013332,5.3760996712204,8.428876128009488,9.765159109736542,2.3449999999999998,2.51,2.9233881088,2.3363474101301875,4.873306652759603,4.406273820571084,2.8937500000000003,3.50375,3.9719559577599997,5.139723199894526,8.475862124143177,7.655538357874912,6.506875,5.535,6.7012836710400006,6.195324305771323,8.686997783006248,6.795863920236308,3.8112500000000002,3.031875000000001,3.7886953779200008,3.4362201785772264,6.219511754382461,5.634940337796505,2.351,2.3569999999999998,2.875970480128,2.9083122864320226,3.987234773174282,4.394132269023615,4.610833333333333,4.341666666666668,5.094004447573333,4.964074431664076,7.014845627697884,6.745080016443363
